"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","La piacevole attesa","Una precisazione importante per chi vorrà conoscere questo locale per la prima volta.1) questo locale è il classico e vero agriturismo, ovvero un’azienda agricola con annesso ristorante in cui si cerca di ottimizzare le produzioni dei propri terreni e di reperire sul territorio, meno chilometri possibile di distanza, le materie prime.2) si lavora solo su prenotazione. Non esiste una carta fissa del menù scelta del menù, vi sono alcune alternative, ma questo cambia giornalmente. La politica del locale è: il menù viene stabilito di volta in volta in base alla disponibilità degli elementi freschi reperiti.Situato in una bella posizione panoramica, sulla vallata del Savio a ridosso dell’antica torre di Roversano, questo piccolo ristorante agrituristico si distingue nella zona come una piccola perla di sapori nostrani, non troppo ricercati che cercano di valorizzare quello che è il lavoro e la fatica degli agricoltori della zona e dei proprietari. In questo ristorante non troverete i piatti elaborati condito con salse, spezie o cotture lunghe e tecnicamente difficili, come il solerte si vede nei programmi tv che siamo abituati a vedere da qualche anno a questa parte.Nei piatti di questo agriturismo si potrà assaporare la volontà di dare al cliente piatti il più possibile vicini alla tradizione, con ricette che non stravolgono la natura delle materie prime di qualità senza comunque mai cadere nella banalità. Ricordiamoci sempre che tradizione non è sinonimo di banale, ma è sinonimo di storia e cultura.Si potrà assaporare l’impegno e la passione che i due proprietari mettono in cucina, nella gestione del locale e dell’azienda agricola. Sicuramente ritengo che ci sia da migliorare qualcosa sotto l’aspetto dell’organizzazione.Mentirei a chi legge la mia recensione se non dicessi che spesso e volentieri le attese sono molto lunghe, forse a volte anche per un eccesso di zelo da parte dei proprietari che tendono a preparare sempre tutto all’ultimo momento, ma vediamola in questo modo, è sicuramente una buona occasione per starsene, senza cellulare alla mano, a parlare con i nostri commensali.PS Finalmente un pollo che è veramente un pollo. Da addetto al settore posso dirvi, complimenti. Non il solito pollo da ingresso a 40 giorni, ma un pollo maturo dalle ossa robuste e le carni sapide."
"ui_bubble_rating bubble_50","Pranzo eccellente","Sono ritornata in questo agriturismo domenica 18 novembre 2018 per un pranzo di famiglia. Come ho scritto nella precedente recensione di ottobre complimenti per il menù. Devo fare due critiche: la torta di mele e la torta della nonna non bastavano per tutti i commensali e 2 bottiglie di liquorini perché di solito ne portate 4 al tavolo. Tanta cordialità dei titolari e del suo staff. A presto e buon lavoro."
"ui_bubble_rating bubble_40","Ottima la lasagnetta","Pranzo con amici. Tutto molto dagli antipasti alla grappa. Mi sono piaciuti in maniera particolare i tortelli stracchino noci e radicchio. Buona anche la carne e i ferri. Ottimi i dolci. Personale gentile e disponibile. Prezzi contenuti, porzioni più che abbondanti "
"ui_bubble_rating bubble_40","Compleanno","Pranzo di compleanno in famiglia: siamo stati molto soddisfatti, hanno un'ampia scelta di pasta e dolci ed i secondi di carne appena cotti, tutto molto squisito. Il servizio al tavoloè stato un po' lento. Prezzo onestissimo: antipasti,tre minestre,arrosti,grigliata, contorni,dolce,caffè e liquori assortiti € 20.Ci torneremo sicuramente, è da prenotare con largo anticipo"
"ui_bubble_rating bubble_30","Il prezzo ottimo, il resto no.","Mi sono recato in questo agriturismo per pranzo, spinto dalle ottime recensioni scritte sul suo conto. La location è carina, anche se il locale è un po' piccolo, tant'è che bisogna prenotare con largo anticipo per poter trovare un tavolo disponibile. Simpatica la presenza di un juke box, funzionante con le lire mese a disposizione dal locale. Le dolenti note sono venute fuori, purtroppo dal cibo, servito in porzioni di certo non abbondanti. La qualità assolutamente rivedibile: se per antipasti e primi non c'è stato particolare entusiasmo, ma non si poteva dire che erano cattivi, la carne, in particolar modo la grigliata è stata ampiamente sotto la sufficienza: la carne era davvero dura! L'opera è stata poi completata dal dessert che offriva assaggi di dolci vari, fra cui quello di un tiramisù servito con savoiardi secchi, non inzuppati nel caffè. Servizio sufficiente, anche se suggerirei di fornire due bicchieri (uno per l'acqua ed uno per il vino invece di un solo bicchiere). Alla fine il conto, invece, è stato decisamente economico: nel rapporto qualità prezzo mi ci ritrovo, ma la delusione nasce se rapporto le aspettative date dalle altre recensioni a ciò che ho mangiato. Purtroppo la mia esperienza non è stata positiva."
"ui_bubble_rating bubble_50","Complimenti","Sono stata in questo agriturismo domenica 7 ottobre a pranzo dopo tanto tempo. Portate buonissime e molto abbondanti. Il solito prezzo di sempre di € 20,00 a persona. Location molto.nitida e accogliente. Bellissimo anche il panorama di tutta la città di Cesena e dintorni. I titolari e il suo staff cordialissimi con i tutti i loro clienti. Superconsigliato!!!!. A presto."
"ui_bubble_rating bubble_50","Piccolo agriturismo, qualità eccezionale. ","Dopo tanti tentativi sono riuscito a prenotare presso questa locazione. Bell’ambiente che gode di un panorama stupendo sulla valle del Savio. La cucina è quella tipica del luogo ma con una marcia in più. Le portate sono diverse e sapientemente distribuite ad personam appunto per evitare inutili sprechi. Tutto ciò che viene servito è rigorosamente preparato in loco. Servizio efficiente e personale cordiale. Per accedere prenotare con molto anticipo. "
"ui_bubble_rating bubble_50","Buono!","Ottima trattoria con menù romagnolo abbondante, ottimo rapporto qualità prezzo. Bellissima veduta sulle colline romagnole. Buon servizio. Lo consiglio!!"
"ui_bubble_rating bubble_40","Bella esperienza","Son andato domenica a pranzo con la mia compagna, premetto che ho dovuto prenotare 2 settimane prima, quindi vi consiglio di fare altrettanto!!! Cibo buono e servizio nella norma, altra cosa positiva le pietanze vengono centellinate onde evitare sprechi e ognuno sia in grado di assaggiare le numerevoli portate. Ci tornerò sicuramente! "
