"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Tutto buono","È la seconda volta che torno,la prima non mi ero trovato particolarmente bene perché c erano pietanze che non erano di mio gradimento,ma sono gusti personali non perché le pietanze fossero cucinate male,anzi. Tornati oggi abbiamo mangiato veramente bene, fonduta di borlotti e porcini,pasta lorda ripiena di erbette con ragú ottima,forse il ragù poco saporito a mio parere,grigliata mista con verdure buona,dolce caffè e liquore della casa il tutto per 27 euro spesi benissimo.La qualità c è e si vede,le porzioni mi sono sembrate giuste,finito il menù eravamo strapieni e posso garantirvi che sono una buona forchetta!caffè ottimo,personale gentile,bravi continuate così. Ottimo il menù stagionale che cambia mensilmente."
"ui_bubble_rating bubble_50","Magico","Agriturismo immerso nella natura, spazi verdi e suggestivi, un po’ difficile da trovare senza indicazioni dettagliate ma ne vale la pena, veramente incantevole. Cucina romagnola di altissimo livello con un tocco di innovazione, possibilità di variazioni sul menù per persone con intolleranze o vegane, altissima qualità degli ingredienti, cuoca meravigliosa e gentilissima, personale cordiale e attento. Consigliatissimo"
"ui_bubble_rating bubble_50","Vivamente consigliato, caccia ai tesori ","Alura, ero alla ricerca di un agriturismo con location nella valle del savio e dintorni, e qui Devo ringraziare tantissimo TripAdvisor, perché quando ho visto la posizione /le recensioni / i voti - Mi sono detto Si, è il posto giusto.!! Ho trovato disponibilità, gentilezza e cortesia Ma Soprattutto una linea di cucina alternativa e un contesto magico dolcemente mixato fra vintage e new style. Un vecchio casale di contadini, tipico della Romagna di una volta, non troppo ristrutturato*( anzi quasi per niente), uno stradello non asfaltato che in un giorno di pioggia autunno inverno non è il massimo della felicità. Poi entri dentro e fra profumi invitanti, pietanze ammiccanti gli occhi e il palato iniziano a lavorare. Il menù è intrigante, quel famoso vintage New style che accennavo prima.... Materie prime molto ricercate, prodotti di qualità e il più possibile a Km 0. Fornitori specificati molto chiaramente. Questo secondo me è un valore aggiunto. Dopo aver ordinato, è stato un vero piacere assaggiare le portate. È stata un elucubrazione del palato, gusto olfatto tatto pienamente appagati. La vista è stata emozionante ( Molto emozionante) quando ho visto che mi è stato servito il caffe in tazzine stile anni 70/80 proprio uguali a quelle che aveva la mia mamma. Mi sono letteralmente emozionato. Il conto finale è stato più che accettabile. Quindi che dire, andateci, prenotate e accettate il contesto e il contenitore dove poi vi troverete. Concludo dicendo che a me ha dato l'idea di avere un buon potenziale per il periodo estivo, ed invito la gestione dell agriturismo I FILARI ha tenere duro e andare avanti così senza mollare un centimetro. Complimenti e auguri "
"ui_bubble_rating bubble_50","Conferma ","Ennesima cena, ennesima conferma. Mi stupirei del contrario.Prezzi ritoccati dalla mia ultima visita. Alla tasca dispiace ma l'impegno, le preparazioni, le materie prime lo meritano. Certo il nuovo posizionamento spero sarà accompagnato da qualche innesto nella carta dei vini, magari 2-3 bottiglie locali inusuali come si conferma il locale: un agriturismo che punta sulla tradizione senza appiattirsi sulla banale mediocrità dei ristoranti di cucina romagnola.Bravi. "
"ui_bubble_rating bubble_50","Graditissima conferma","Domenica è stata il secondo giro ai Filari di Casalbono, se la prima volta poteva essere una eccezione la seconda è stata una graditissima conferma. Materie prime di stagione e ottime, preparazione che denota studio passione e soprattutto competenze che però lasciano trasparire un amore verso il buono e la tradizione che non trascura nemmeno l'estro e la novità. Porzioni 'grandi' (con un menu abbiamo mangiato in due) che non appesantiscono, ma a continuare a elogiare l'altissima qualità del cibo si rischia di tralasciare un ambiente informale che ti fa sentire a casa e che si respira in ogni gesto del personale, giovane ma di una gentilezza sincera che non ha tracce di finzione ma solo di solarità. Jenny (la proprietaria) ed il marito birraio che a fine servizio si fermano a parlare con gli avventori e le tovagliette con la stampa delle vecchie lettere di guerra fanno bene al cuore."
"ui_bubble_rating bubble_40","Ottima cucina","Il tortino alle melanzane e la ricotta cotta sono una delizia.La tagliata é veramente buonissima Ottimo il servizioUn po alto il prezzo ma il cibo era tutto ottimo"
"ui_bubble_rating bubble_40","Locale rustico con buona cucina","L'agriturismo è situato ad una quindicina di minuti da Cesena, sopra al paese di Borello, arredato in maniera rustica e diviso in due sale, non grandissime, ma graziose. Possibilità di tavoli anche all'aperto. Il personale, giovane, è molto gentile ed attento.I piatti proposti, a base di carne, sono gustosi ed originali. Tra gli antipasti segnalo un buon tortino di pane e melanzane alla parmigiana ed una ricottina al forno accompagnata da erbette e pomodorini rossi e gialli; nei primi sicuramente da provare i ravioli ripieni al fricò con burro, salvia e guanciale, oppure potrete scegliere tra altre proposte. Nei secondi, oltre alla classica grigliata di carne (presente al suo interno anche il filetto di maiale arrotolato nella pancetta), potrete scegliere tra altre proposte, tra cui la tagliata ed il modaiolo hamburger.Il locale nelle bevande oltre al vino (quello della casa è il sangiovese della Tenuta Casali di Mercato Saraceno), propone una birra artigianale prodotta direttamente nell'agriturismo.In questo agriturismo potrete scegliere se ordinare alla carta, oppure effettuare il menu' degustazione (27,00 euro a persona qualora sceglieste il menù standard, con la tagliata il prezzo si alza a euro 32,00), il quale comprende un antipasto, un primo, un secondo, contorni misti, un dolce acqua, vino e caffè, a scelta tra 4 proposte di ciascuna portata. Il prezzo risulta leggermente sopra la media di pochissimi euro, ma la qualità dei piatti è la forza di questo locale.Consiglio la prenotazione.Due piccoli difetti sono l'assenza della piadina, che viene sostituita da pane e grissini di loro produzione (molto buoni), ed i digestivi che vengono serviti direttamente nel bicchiere e solo su ordinazione."
"ui_bubble_rating bubble_40","FERRAGOSTO IN TRANQUILLITA'..............","Ho colto l'opportunità per una visita in questo agriturismo al pranzo di ferragosto, accolti con cortesia e messi a nostro agio, bene alla prima impressione, il locale molto piccolo è adatto ad una clientela non troppo rumorosa, in questa giornata non sempre è stato così, la maleducazione regna sovrana. Se non si conosce è difficile trovarlo, è sulla strada di Casalbono non sempre praticata dalle masse. La proposta menu degustazione con possibilità di scelta delle portate è valida, così come i piatti ordinati. In questo locale si rivisita la tradizione romagnola arricchendola con un tocco di eleganza e raffinatezza, non male complimenti a Jenny. Il vino della casa abbinato della tenuta Casali adeguato al menu. Sicuramente da provare, in estate ed alla sera all'aperto può essere migliore. Per le altre stagioni stanno investendo nella ristrutturazione della vecchia stalla, intrigante vederlo con questa nuova stanza. Prenotate è la parola d'ordine."
"ui_bubble_rating bubble_40","Ingredienti locali e certificati.","Agriturismo collinare gradevole e tranquillo, pietanze delicate e ricercate sul territorio, tutto molto buono. (..pure il Sangiovese della casa) ..costi nella norma."
