"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Perfetto da ogni punto di vista","Abbiamo cenato in questo locale un venerdì sera, eravamo in totale 25 persone, optando per un menù completo al costo di € 25 cadauno.Il locale è semplice, ma ben curato; il personale gentile e molto professionale.Piatti squisiti, abbondanti e soprattutto gustosi: la tagliata si scioglieva in bocca. Ho apprezzato tantissimo il menù senza glutine, riservato ad una ragazza celiaca, che ha rispettato lo stesso menù di noi altri.Anche il vino impeccabile, sia bianco che rosso.Consigliatissimo a chiunque, se non l'avete mai provato: ANDATECI!"
"ui_bubble_rating bubble_40","Consigliato","Il locale è semplice, fine, delicato.Vale la pena andare, e lo dico in maniera schietta, per la gentilezza del proprietario, imprenditore vitivinicolo, e di tutto lo staff. Ma non solo. La cucina merita!Carne deliziosa, vino buono, prezzi più che onesti che ti portano un po' indietro nel tempo... A quando negli agriturismi si poteva mangiare genuino, con un rapporto qualità/prezzo ottimo. Spesso capita di andare in agriturismi che dell'agri hanno solo l'insegna. Beh, qui si respira davvero un'aria diversa, piacevole... Ripeto, onesta. "
"ui_bubble_rating bubble_50","Tutto perfetto ","Posto carino e ben organizzato. Cè pure la possibilità di andare in cantina e degustare i loro buonissimi vini. Era tutto prenotato ma nonostante ciò il servizio è stato ottimo come le uscite dalla cucina, dagli antipasti ai primi cotti alla perfezione, unica nota, avrei fatto uscire prima le tagliatelle poi gli gnocchi visto che sono squisitamente saporiti. Per finire con grigliata e tagliata ottima. Non sono amante dei dolci ma a mio parere troppo burrosi . Il tutto annaffiato dai loro vini  Ci torno sicuramente "
"ui_bubble_rating bubble_40","Compleanno in collina","Cena di compleanno ben organizzata. La sala tutta occupata (chissà come sarebbe stato in estate di fuori...), con numerosi antipasti (forse anche troppi), 2 primi e un misto carne con assaggi di differenti dolci. Siamo tutti usciti a pancia piena per 25 euro a testa. Ben fatto!"
"ui_bubble_rating bubble_50","Cena di gruppo perfetta","Siamo venuti in questo ristorante per il compleanno del mio ragazzo, eravamo ben 50 persone.Servizio impeccabile: ci hanno offerto un calice del loro vino bianco come benvenuto, ogni 5-10 minuti ci portavano un diverso antipasto ed anche tra i primi e i secondi hanno lasciato passare i tempi giusti.E' una cucina tipica romagnola rivisitata in chiave moderna, con varianti e particolarità, come per esempio i dolci ed antipasti serviti in piccoli vasetti e piattini.Siamo rimasti tutti davvero molto contenti, da tornarci sicuramente in estate quando dispongono i tavoli all'aperto tra i vigneti!"
"ui_bubble_rating bubble_40","Piacevole scoperta","Prima volta qui. Cena con amici. Abbiamo optato per un menù a 25€ che prevede antipasti in vasetti, gnocchi alle verdure, tagliatelle al ragù, grigliata mista con tagliata, dolci al cucchiaio. Tutto molto buono e non pesante. Servizio senza pretese e cortese. Consigliato!"
"ui_bubble_rating bubble_10","Delusa","Ho sempre mangiato benissimo in questo posto è mi piace come sporzionano MA DOMENICA SCORSA IL 31-9-18 mi hanno deluso TANTISSIMO. Dopo tante peripezie per riuscire a portare li MIO FIGLIO e la sua compagna a mangiare visto che non riusciamo mai a beccarci con i turni Decidiamo per quella domenica il mio compagno il Mercoledì chiama alle 10:45 prenota ad una signora orario 19:30 nome ecc..... Finalmente arriva la domenica sera arriviamo SI SONO SCORDATO DI SEGNARE E NON AVEVANO PIÙ POSTO è manco hanno provato a trovare una soluzione........ ANZI ....mi dispiace provare più avanti sulla strada ci sono altri ristoranti Alla fine siamo Andati alle SPIGHE DI CESENA.... OTTIMO "
"ui_bubble_rating bubble_50","Cena top!","Cena piacevolissima consiglio vivamente!! Menù completo, antipasti sfiziosi in vasetto, tagliatelle al ragù spettacolari, i gnocchi ancora meglio! Tagliata di manzo che si scioglieva in bocca. Dolcetti al cucchiaio tradizionali e molto buoni. Amari e digestivi offerti. Conto onestissimo."
"ui_bubble_rating bubble_50","Una gradita sorpresa ","Accoglienza ottima e messi a nostro agio anche per i nostri due cagnoloni. Le pietanze di nostro gradimento, apprezzabili gli antipasti sfiziosi, le paste di buonissima qualità ed abbondanti. La carne e i contorni buoni. Ottimo il vino. Il conto con un rapporto qualità/prezzo speciale. Infine la location tra i filari d'uva con un fascino particolare."
