"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Pranzo domenicale in campagna","La location è carina, soprattutto all'esterno, molto ben tenuta. Il cibo è nella media, niente di che, la carne piuttosto dura. Servizio non sempre gentilissimo, e non particolarmente disponibile.in generale non è male, ma di posti come questo ce ne sono a centinaia nella zona e lui non emerge di certo."
"ui_bubble_rating bubble_50","Gruppo di amici","Molto amichevole il posto e il personale c'ha consentito di stare dalle 10 alle 18, con qualche aperitivo e un buon pranzo, molto buono nel rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Piacevole sorpresa","Siamo venuti in questo Agriturismo un po' per caso senza aver avuto pareri da altri! Ci e' davvero piaciuto! A pranzo era tutto pieno e c' erano tavolate molto numerose, noi eravamo solo due ma nonostante questo il servizio e' stato velocissimo e il cameriere era sempre presente! Antipasti abbondanti e molto buoni, minestre deliziose! Io ho preso dei cappellacci al mascarpone con crema di patate e tartufo che erano deliziosi! Fuori c e un bellissimo parco con animali! Torneremo sicuramente molto presto!"
"ui_bubble_rating bubble_40","buono il cibo bella location","Cibo molto buono e abbondante, servizio ottimo e location molto ben curata , con giochi per bambini e qualche animale , bellissima scoperta ."
"ui_bubble_rating bubble_40","Cibo nella media, molto bella la zona piscina","Buone le formule di menù fisso per il pranzo e ottima la zona piscine e anche il prato con molta ombra per via degli alberi. Luogo rilassante a due passi dalla città per evitare il caos delle località di mare. Utile per le famiglie la piscina dei bimbi!"
"ui_bubble_rating bubble_40","Zona piscina TOP","Ho usufruito una mattina dell'area piscina con un bimbo di 3 anniposto sicuro tutto recintato,dotato di una vasta area verde all'ombra con giochi per bimbi.Le piscine sono due,una bassa per i più piccoli e una più alta ,al max sarà 1,20 ,ci si accede tramite gradoni comodi anche per i bimbi.Docce calde per tutti ed ombrellone e lettini a pagamento. Il costo è nella media,io ero ospite e Non ho pagato ma mi sembra di aver visto che l'adulto per l'intera giornata paga 7 euro di ingresso.Grande parcheggio gratuito.Consigliato per chi ha dei bimbi e vuole evitare la fila e il caldo per arrivare al mare."
"ui_bubble_rating bubble_10","Scandaloso","Viste le foto del posto su internet che sembra essere carino, decidiamo di andare a cena per avere info sulla possibilità di organizzare lì il ricevimento del nostro matrimonio. Entrati chiediamo se, dopo cena, si può parlare con qualcuno per una festa di matrimonio. Nell’attesa ordiniamo da mangiare. Qualità così scadente devo dire che era da un bel po di anni che non mi capitava... Sembravano avanzi.Cura per il servizio è per il cliente pari a zero. Una volta mangiato ordiniamo il caffè. Non sto nemmeno a dire che non hanno portato nemmeno un goccio di limoncello cosa che ormai ti offrono anche all’autogrill. Finalmente parliamo con il titolare, probabilmente divorziato visto il disgusto con il quale ha parlato del matrimonio. Riassumo tutto dicendo che ha detto che non si può fare il matrimonio di domenica (tra un anno) perché forse farà delle comunioni. Avrei voluto dargli dello stupido e del grezzo ma ho preferito non fargli complimenti. Il conto fatto su un pezzo di carta perché non ha un registratore di cassa e conclude dicendo “ magri vedete altrove perché non ho tempo per fare matrimoni perché la domenica ho da lavorare”RIDICOLI E SI MANGIA MALISSIMO!!!"
"ui_bubble_rating bubble_20","Pranzo da dimenticare","Ci ero stato un anno fa a pranzo con amici, e mi ero limitato ad una tagliata,me la ricordavo molto buona e non troppo cara. Ora sono tornato per una cresima e devo dire che è stata una cosa dozzinale . A partire dall aperitivo che prevedeva solo del panone, pizza, focaccia tutta che allappava ed impastava, e tra si e no due olive e grana. mah... poi il pranzo, antipasto veramente nulla di speciale, cappelletti non male a meno che non ti venissero serviti con un dito nel brodo o versato il brodo addosso.i secondi per fortuna li ho saltati a piè pari come i dolci. per fortuna non pagavo io , ma credo che molti siano usciti frustratati e con la fame. La sera mi son dovuto mangiare una bella pizza tonno e cipolla per compensare. Pensare che la lochescion è bellissima e con la loro piscina da sola merita. (piscina con acqua gelida !! )"
"ui_bubble_rating bubble_50","Da provare..","Agriturismo nelle prime colline cesenate. Ampio parcheggio ed ampio prato e spazio per i bambini nonché tanti posti a sedere sia interni che esterni. Mangiare tipicamente romagnolo. Antipasti come crostini, formaggi e salumi con piadina ottimi. Primi molto buoni. Carne come tagliata di manzo e filetto di maiale molto buoni. Prezzi sotto la media. Come sentirsi a casa..."
