"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Alternativo, buona atmosfera","Locale piccolo, molto curato con personale accogliente e gentile.Menù non abituale ma offre piatti rivisitati, non molto ampia la scelta.Cibo buono, ben presetato, prezzi sopra la media. "
"ui_bubble_rating bubble_30","Interessante ","Un’ottima atmosfera, luci soffuse, decisamente adatto ad un’uscita romantica. Cucina particolare, asiatica rivisitata direi. Un menù difficile da interpretare perché molto conciso, ma buono il cibo servito. Il personale è goffamente simpatico e cordiale. I prezzi non sono alti e sono consoni alle pietanze servite. Porzioni piccole ma sufficienti. L’unica delusione è stata la carta dei dolci, decisamente troppo ristretta rispetto al resto del menù. Sicuramente un locale da provare almeno una volta."
"ui_bubble_rating bubble_20","Albizzi","Locale che si trova nell’omonima piazza nel pieno centro di Cesena, l’ambiente è carino ma non troppo raffinato, il servizio abbastanza lento e non degno di nota, il menù è molto vario e spazia da una cucina orientale per arrivare a una locale leggermente rivisitata, ciò che mi è sembrato dai vari piatti che ho visto e assaggiato è che sia per lo più tutto fumo e poco arrosto, la qualità non è male e la ricerca della materia prima non è banale (il tagliolino con gambero crudo e stridoli non è male) tuttavia a mio modo di vedere non è sfruttata appieno e soprattutto i prezzi sono troppo spropositati, da rivedere"
"ui_bubble_rating bubble_40","Buon locale ma occhio al prezzo","Buon ristorante nulla da dire, cibo buono e ma occhio al prezzo non è alla mano. Pochi posti a sedere meglio prenotare."
"ui_bubble_rating bubble_40","Buona cucina e bell'ambiente","Merita senz'altro una visita.Personalmente non avevo mai avuto occasione di provarloma dopo una prima volta a cena sono ritornato dopo poche settimane e tornerò sicuramente ancora.Piatti molto curati sia nella preparazione che nella presentazione e realizzati con materie prime di ottimo livello.Carta dei vini adeguata.Disponibili anche piatti per bambini (ottimi hamburger) quindi anche una famiglia è a proprio agio.Personale gentile e puntuale.Prezzi sicuramente non da osteria (se cercate la tradizione romagnola orientatevi su altri locali) ma rapporto qualità/prezzo comunque corretto.Da consigliare."
"ui_bubble_rating bubble_40","Qualità, ricerca, ovviamente si pagano","Ottima cena, pietanze di qualità, carne di wagyu e dry aged, ottimi i piatti piccoli che permettono di assaggiare tante specialità, buono il pulled pork, buonissimi i tacos, carne dry aged cotta alla perfezione, pezzo forte della serata: il gelato al pistacchio, mai sentito uno così buono. Lo jamon non mi ha entusiasmato, bocciato. Ovviamente i prezzi sono adeguati alla ricerca del prodotto, occhio che poi vi lamentate!"
"ui_bubble_rating bubble_20","Occasione persa per fare qualcosa di diverso","Ormai vengo in questo ristorante da tempo.. mediamente 1 o 2 volte l’anno (non sono della zona). E forse il mio problema è proprio questo, la frequenza con cui frequento Albizzi. Alla fine mi dico sempre “che delusione” ma poi, a distanza di tanti mesi succede che finisco per dargli un’altra possibilità perché non ricordo mai esattamente come ho mangiato l’ultima volta. E così ci sono “cascato” ancora, qualche giorno fa.Il locale è carino come sempre (con l’arrivo della bella stagione poi è bello mangiare all’aperto), così come la gentilezza di chi ci lavora.Non discuto sui prezzi (che sono comunque abbastanza alti) perché sono disposto a spendere quando si parla di mangiare bene. Il fatto è che il cibo lo trovo mediocre, per di più altezzoso. Non basta farsi un paio d’anni in Australia per poter dire di proporre una cucina internazionale, anche perché onestamente in Australia ho trovato ristoranti di qualità ben più elevata e con una proposta ben più fantasiosa.Le patatine ad esempio, sono di una banalità disarmante. Non basta chiamarle french fries per renderle più accattivanti. Se vuoi essere davvero internazionale servile almeno con delle salse (che so, una salsa aioli ad esempio, se proprio non vuoi usare un normale ketchup), oppure fai delle truffle fries.. insomma, fai quello che vuoi ma non puoi servire delle semplici patatine fritte surgelate come la più banale delle pizzerie.La flank steak di wagyu è qualcosa di imbarazzante: tre fettine di carne buttate su un piatto vuoto che all’occhio erano inguardabili, una delle presentazioni più brutte che abbia mai visto.Sorvoliamo su dei semplicissimi edamame a 5 euro (!), che faccio anche fatica a considerare come antipasto, ma pure gli altri piatti che abbiamo provato mancavano di quella marcia in più che ci si aspetta da un posto del genere.Peccato, perché le basi per un ristorante veramente originale e fuori dai soliti schemi della cucina romagnola ci sono tutte.. ma come spesso succede dalle nostre parti, poi ci si perde in un bicchier d’acqua. E questo mi spiace, perché sarei il primo a sostenere qualcosa di diverso, a sponsorizzare il coraggio di proporre piatti originali, internazionali, fuori dai soliti schemi (cose che amo tantissimo e che nella patria della piadina e della tagliatella purtroppo non è facile trovare).Sicuramente passerà molto altro tempo prima di un mio ipotetico ritorno da Albizzi.. e quando sarà il momento dovrò ricordarmi di passare a leggere questa mia recensione per evitare una ulteriore delusione.."
"ui_bubble_rating bubble_10","Troppo caro! Occhio al vino..","Siamo stati con una coppia di nostri amici Venerdì sera. Il posto è molto carino ed accogliente ma .. i prezzi sono decisamente gonfiati per alcune pietanze!Un carpaccio di manzo (€14,00) composto da 8 fettine minuscole praticamente invisibili è davvero esagerato, sebbene sia un antipasto. La bottiglia di vino(Donna Fugata), rispetto il prezzo del calice, ha un prezzo spropositato..ben €25,00! Il totale pagato è assolutamente alto per la quantità di cibo proposta, non ci torneremo mai più, con €160,00 andiamo a mangiare il pesce a Cesenatico!"
"ui_bubble_rating bubble_40","Il mondo in Romagna ","Ottima Hosteria internazionale, cucina eccellente ed innovativa, cucina superlativa, servizio informale. Discreta carta dei Vini, porzioni ridotte, Prezzi nella media, consigliato"
"ui_bubble_rating bubble_50","Il miglior ristorante a Cesena!","Semplicemente perfetto! Userei le seguente parole per descriverlo: Eccellenza, perfezione, innovazione culinaria, internazionale, semplicità ed eleganza.I piatti esprimono un'armonia unica, un miscela tra semplicità e innovazione, materia prima di alta qualità elaborate con maestosità. Tutte le portate sono squisite... Il personale cordiale e professionale.Lo stra-consiglio."
"ui_bubble_rating bubble_40","Bella serata fra colleghe!","Ho proposto questa osteria dopo averne sentito parlare molto. E' stata una piacevole esperienza e abbiamo apprezzato piatti ben presentati e con una sapiente ricerca delle materie prime. Rapporto qualità/prezzo onesto. Locale molto accogliente, dispone di pochi posti (dal mio punto di vista si tratta di una nota positiva!). Se proprio devo trovare un difetto c'era abbastanza rumore ma questo dipende dalla buona educazione dei commensali. "
"ui_bubble_rating bubble_40","Buona ‘’ Osteria’’","Locale in centro Cesena , buona cucina internazionale ben eseguita .... servizio da Osteria poco informale ma attento...bella la location ...rapporto qualità prezzo giusto , per 6 portate con tre calici di vino acqua caffè , poco più di 90 euro ...consigliato"
"ui_bubble_rating bubble_30","Cibo buono, servizio attento, prezzi alti","In 12, 573€. Si può riassumere così il senso di questo locale. Cibo di qualità, porzioni ridotte (ma non é questo il problema, ormai non si va più a cena con l’obiettivo di scofanarsi), prezzi al di sopra della media del luogo. Per questo motivo la valutazione é media (nessuna disonestà, sia chiaro: i prezzi sono chiari e stampati sul menu; la questione é che, quando si vanno a fare le somme, si sale parecchio; nello specifico, noi ci siamo affidati al locale per un antipasto misto; e ognuno di noi ha scelto un secondo, mentre non tutti hanno preso il dessert; con alcune bottiglie di Gewurtztraminer Hofstatter -3- e qualche caffè, abbiamo speso circa 49€/cad)."
"ui_bubble_rating bubble_20","Deludente.. piatti freddi","Sono di Cesena e non ero mai andata a mangiare da albizzi fino a una settimana fa.. ho preso un gamberoni burger ovvero un hamburger coi gamberi ma era gelido!! Nemmeno tiepido, proprio freddo e quindi deludente. In più, le patate che dovevano essere aromatizzate con la paprika erano ricoperte interamente di paprika e quindi poco gradevoli. A mio parere bisognerebbe avere più cura dei piatti considerando anche che il costo non è basso."
"ui_bubble_rating bubble_30","SABATO SERA","Vorrei fare un'osservazione ai titolari del locale.Premetto che Il cibo è davvero buono e la qualità della materia prima si sente e quindi potrei anche essere disposta a spendere qualcosa in più ma... modificate le porzioni! Non è possibile che un antipasto che costa 8 € sia composto da UN SOLO tentacolo di polpo e che nel BBQ che costa 17€ ci siano : 4 gamberetti 1 capasanta e 1 seppia (senza tentacoli). Sono una donna e sono uscita con la fame! Se le stesse cose le avesse prese il mio compagno si sarebbe fermato a prendere una pizza! Buono ma troppo poco! Solo considerando il semplice costo dei piatti avrei speso 25 € poi noi abbiamo preso il vino (da 18 €) e a testa è venuto 38 €. Troppo caro per le porzioni!! Solo un piccolo consiglio...Peccato, perché la cucina è ottima."
"ui_bubble_rating bubble_40","una super sorpresa","se capitate a cesena in centro vi raccomando questo piccola osteria,di sicuro propongono piatti ricercati ed internazionali,i propietari a differenza di molti ristoratori girano il mondo quando possono e assaggiano le cucine locali e da esse attingono poi nuove idee da inserire nel loro menù.......(vedi il ramen nel periodo invernale ,la carne wagyu e il tacos di manzo) e prodotti mai banali con abbinamenti insoliti....io ci vado spesso ultimamente.....d'estate poi cè la possibilità di mangiare all'aperto e cosa che farà piacere a molti da albizzi si beve un ottima sangria blanca de cava( a buon intenditore)........qualità prezzo ottima .....in due con 1 jamon iberico de bellota con il suo pane ,4/5 crocchette cremose di baccalà e salsa mojo , 1 tartarre di salmone extra dry ,1 tacos di manzo ( buonissimo) 1 patata fritta rustica con formaggio fuso....super.......1 dolce l'ultima volta c'era un trancio di panettone artigianale al cacao e crema burrosa divinaaaaaa.........con 1 birra da 50 cl ed 1 calice di vino o come questa estate 1 caraffa di sangria spesa tot. 63€"
"ui_bubble_rating bubble_50","Locale innovativo, cucina creativa","Il locale è innovativo, almeno per Cesena, la cucina creativa/fusion (ma non esageratamente) per palati anche raffinati. Ottima la scelta dei vini e la cordialità del personale è un tocco in più"
"ui_bubble_rating bubble_40","Prodotti di qualità in chiave moderna","Un bel locale molto curato sito in una bellissima location. Tutti i piatti assaggiati sono stati soddisfacenti, i prodotti sono ottimi, le idee tante e innovative. Sicuramente i burger sono il prodotto di punta (il gambero burger merita) ma tutti gli antipasti sono ottimi e particolari"
"ui_bubble_rating bubble_40","Posto da provare in assoluto!","Questo ristorante mi era stato raccomandato dalle mie amiche e si è rivelato all'altezza delle mie aspettative, sia per la qualità del cibo che per la presentazione dei piatti e l'accoglienza. Il servizio è ottimo, il menù è molto particolare, mischia piatti asiatici con piatti europei e italiani. Posto adatto a chi ha voglia di mangiare cose diverse."
"ui_bubble_rating bubble_20","Deludente ","Vedendo su Facebook tante foto dei piatti di questo locale mi sono ingolosita e ho deciso di provarlo. Il locale è molto carino e raffinato, però la cena mi ha deluso. Ho preso un primo all'astice e non mi è piaciuto per niente, così non sono più tornata. Però a onor del vero i miei amici che avevano preso l'hamburger hanno detto che era buono."
"ui_bubble_rating bubble_30","Carino ","Buona qualita dei piatti , bella presentazione . Non aspettatevi grandi quantita . Prezzo alto . Ottimo servizio. "
"ui_bubble_rating bubble_30","Fusion...","Questo locale, scoperto da un'amica risulta avere una serie di spunti interessanti di cucina fusion con piatti locali e nazionali. Le materie prime sono di qualità e l'ambiente ha un'atmosfera calda e piacevole. Il servizio invece è un po' leggero e poco professionale anche se sicuramente di buona volontà. I prezzi sono alti."
"ui_bubble_rating bubble_20","Niente di che","Ero con amiche e abbiamo diviso un Thai curry, un gamberoni burger e un hamburger vegano. Non mi ha entusiasmato nessuna delle tre portate (il migliore comunque era il Thai curry, nonostante le carote fossero state lasciate abbastanza crude). Per i prezzi che ha mi aspettavo molto di più. Servizio buono e personale gentile. "
"ui_bubble_rating bubble_50","Qualità ","Sono spessissimo a Cesena per lavoro ed Albizzi è diventata una tappa obbligata, almeno una volta a settimana.Consiglio di non prendere uno dei piatti grandi, ma 3 o 4 di quelli un po' più striminziti.Ottimi tartare di salmone, tacos di manzo e jamón iberico con bruschettine.5 stelle piene. "
"ui_bubble_rating bubble_10","No!","10 minuti X preparare il tavolo (locale semi-vuoto)Va be, ordiniamo.. sangria finita, ok, chips alla paprica, ci dicono che nn sono disponibili per via di un problema alla friggitrice.. PECCATO CHE VENGONO SERVITE AL TAVOLO A FIANCO che è arrivato un ora dopo!Detto questo, il menù è invitante ma il servizio è MISERO."
"ui_bubble_rating bubble_40","Siamo stati bene","Cena tra amici (eravamo 11+2passeggini)ognuno ordina quello che preferisce (quasi tutti un antipasto e un primo e un dolce) tutto buono piatti ricercati sia tradizionali che etnici però rivisitati, ingredienti di qualità,cura nella. Preparazione e nella presentazione. Cameriera molte gentile e disponibile Location bella piccolo ristorante con tappeto esterno rialzato nel pieno centro cittaDa riprovare "
"ui_bubble_rating bubble_50","Interessante","Ristorante certamente non economico ma dal menu molto interessante, avrei volentieri ordinato tutto. Servizio perfetto, ci hanno cambiato posate e piatti ad ogni portata, con estrema velocità.Il locale è piccolo ma molto ben arredato e discreto."
