"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Cenone di Capodanno 2018","Fra i tanti ristoranti che ci aveva colpito, c'era uno in particolare ed era un casolare con giardino esterno, molto carino, con all'interno area attrezzata con gonfiabili per bambini; dato che eravamo 3 famiglie con figli piccoli, credevamo di aver individuato il posto giusto per un indimenticabile Cenone di Capodanno....Ma l'illusione durerà poco, in quanto non appena arrivati, iniziano i problemi; ci accomodiamo nelle stanze, particolarmente accoglienti, in una di queste l'aria climatizzata era fuori uso, ed in sostituzione c'era una sorta di scalda bagno, che  in teoria avrebbe dovuto sostituire il clima....... Ma la cosa assurda è che lamentandomi col gestore della struttura, ho notato che era più preoccupato, a farci pagare in largo ANTICIPO la quota del cenone, e NON quello di risolvere il freddo nella stanza. Anzi mi viene rinfacciato il fatto che avrebbe sostenuto un costo  esorbitante  per l'acquisto dello scalda bagno, per risolvere un mio problemaOvviamente ho manifestato la mia scontentezza, ma sono state parole al vento, in quanto era solo preoccupato a strisciare la mia carta di credito, senza venirmi incontro per il disagio arrecatomi.Immediatamente dopo ci siamo accomodati in sala, e qui credetemi sono iniziate le comiche !!!!!Chiediamo un aperitivo, e nello specifico uno Spritz con Aperol, e dopo ben 10 minuti sono arrivati degli Spritz, annacquati, fatti col vino bianco , senza fettina di arancio, di un sapore assolutamente inesistentePoi dopo un bel po di tempo di attesa, leggiamo il menù che recitava:- una spuma di gorgonzola, miele, noci e chips di pane croccante (passabile)- Flan di zucca, noci, crema di taleggio e speck croccante (piatto impiattato in maniera sufficiente, ma era abbrustolito, ed assolutamente dusgustoso.- Tagliatelle al tartufo: assolutamente prive di sapore, anche incollate e con il tartufo grattuggiato qui e la, e tutto sapevano fuorchè al tartufo... ORRENDE !!!- Lasagnette verde al morbido di spinaci: mangiata per fame...- Bauletto di vitello all'Armagnac: il vitello era di un sapore nauseante, lasciato dopo il primo assaggio- Cotechino alle lenticchie con crema di patate: credete solo l'odore era vomitevole; neanche assaggiato- Vino: sufficiente- Dolci e caffè: Innominabili come termine della parolaConclusione della cena: costo adulti € 60 e costo bambini € 25 e tra l'altro per non aver mangiato nulla e due ragazzine che dovevano farli divertire, e vagano all'interno dell area...Conclusione il ristorante è ASSOLUTAMENTE da sconsigliare durante le festività, forse in giorni di normale routine, pare (dai precedenti commenti..) di capire che almeno la pizza sia buona"
"ui_bubble_rating bubble_50","Una piacevole serata ","Cena sabato sera con amici, siamo stati molto bene. Il locale e’ molto carino e lo spazio esterno direi che è splendido. Abbiamo mangiato molto bene, assaggi di pizza davvero squisita, molto buoni gli antipasti e anche la carne. Una bella serata. Servizio ottimo e veloce! Ci torneremo!"
"ui_bubble_rating bubble_10","CENA DI NATALE DA INCUBO","Personale poco disponibile per iniziare poi iniziamo dagli antipasti pan cotto con una fetta di cotechino sopra....Cotechino mezzo crudo su 15 familiari lo anno mangiato in 4 Poi cappelletti in brodo...Brodo salabrato cappelletti duri come sassi Lasagna al forno....Lasagna al carbone la dovevano chiamare nera carbonizzata Poi il fiore al occhiello il menu prevedeva cosciotto di maiale.....Portano lo stinco di maiale alla richiesta di spiegazioni viene detto al inizio che era uguale la differenza tra cosciotto e stinco poi avendo a che fare con gente che le cavolate non le Acetta hanno detto che hanno fatto un piccolo errore Va bé piccolo Dolce sul dolce diciamo che era nella media.Caffè tralascio perché ho preso un gen Sen dove era tutta acqua sporca e nel fondo la polvere tutta appiccicata alla tazza Ammazza caffè pensavamo che ci portassero le bottiglie di limoncello ecc come si fa dappertutto no ti portano un bicchierino con un dito di limoncello o quello che hai scelto tutto questo per 33 euro a testa lo raccomando sicuramente per rovinarvi la serata"
"ui_bubble_rating bubble_50","Pranzo domenicale con la pancia piena","Abbiamo scelto di provare questo ristorante per organizzare eventualmente una comunione, e credo proprio che lo sceglieremo. Abbiamo provato menu tradizione, con antipasti bis di primi e grigliata. Antipasti ottimi, affettati e formaggi misti, ciccioli e noci, già solo con questo una persona potrebbe riempirsi, piadina e pane freschi e buonissimi. Primi provati tagliatelle al tartufo, spettacolari, e cappelletti, ripieno molto morbido di formaggio, buoni ( porzioni più che abbondanti). Grigliata buona, nella media. Vino di Bertinoro di ottima qualità,ne ho bevuta quasi una bottiglia da solo, senza mal di testa. Prezzo nella media, ma bello il posto, gentilissimi camerieri e proprietario. C'è anche posto per far giocare bambini con reti e gonfiabili, anche al chiuso. Consigliato. "
"ui_bubble_rating bubble_20","Senza infamia,senza lode","Location bella, posto pensato per famiglie e bambini grazie allo spazio gioco loro dedicato. Personale gentile. Grigliata di carne normale, filetto di manzo cotto bene, tenero ma sapore acquoso. Buona la piadina e le patate arrosto.Ritengo di aver pagato troppo rispetto al cibo servitomi: un tagliare misto salumi e formaggi (avevamo chiesto solo formaggi ma ci hanno portato e fatto pagare un tagliere misto con anche affettati) un filetto manzo, una grigliata mista, patate arrosto, 75cl acqua=53 euro.A fine serata uno del personale ha trascinato dentro al locale un cane; preferisco comunque il cane ai bambini urlanti."
"ui_bubble_rating bubble_10","Pessimo","Sono stato con la famiglia qui. Oltre al cibo che è scadente. La carne condita per niente, i funghi pieni d'acqua, i salumi sembravano presi al Conad. Il cuoco molto ma molto lento. Poi c'erano due cani in sala. Non è possibile che dove la gente mangia ci siano i cani. "
"ui_bubble_rating bubble_10","Un ristorante da dimenticare...","22/09/2018... serata in compagnia di 4 famiglie con figli per una pizzata (14 persone). .. siamo arrivati alle ore 20:15... dopo 30 minuti seduti all'esterno tra grilli che cadevano in testa con zanzare e calabroni giganti che ronzavano tra i tavoli; finalmente sono venuti a prendere le ordinazioni... immediatamente arrivano le bevande... nel frattenpo passano altri 60 interminabili minuti di attesa e miracolosamente si materializzano le pizze ordinate ma oramai le bevande sono diventate calde per l'attesa e la metà già finite... nel frattempo chiediamo a uno dei camerieri altre 2 birre e un acqua... i minuti trascorrevano inesorabilmente ma niente... le bevande non arrivavano nemmeno dopo 30 minuti di attesa ma nel frattempo ci accorgevamo che c'era una organizzazione del personale pessimo... addirittura uno dello staff, invece di dare una mano con il servire i clienti, se ne stava seduto col cellulare in mano davanti al nostro tavolo a farsi i fatti suoi.Alla fine, la beffa... arriva il conto salato di Euro 210,00 nella quale ci accorgiamo che ci sono 4 birre da 75cc al prezzo di 14,00 euro a bottiglia (56,00 euro) mentre noi abbiamo ordinato 4 birre da 50cc al prezzo di 6,00 a bottiglia (praticamente se non ci facevo caso saremmo stati fregati) al che' dopo essermi lamentato con il responsabile ci correggono il conto pagando un conto forfettario... ma l'attesa e il tempo perso dalle ore 20:15 alle ore 23:15 per mangiare una pizza che non era neanche tanto buona è davvero da dimenticare..."
"ui_bubble_rating bubble_40","tutto buono ...ma caldo torrido","Cibi buoni, vari, accurati. Cortesia, affabilità, disponibilità ...garantite. Va peraltro evidenziato il fatto che le temperature erano notevolmente superiori a quelle 'normali' in piena estate. Consiglio ovviamente di far funzionare un condizionatore!"
"ui_bubble_rating bubble_50","Ottimo","Bella location, cibo molto gradevole, staff gentile ed accogliente. Franco pronto e premuroso!!! Ottima serata."
