"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Piadina.","Una pausa pranzo con vista sulla Rocca Malatestiana di Cesena,una bella piadina con lo squacquerone ,calda e ricca.Personale gentile e prezzo adeguato."
"ui_bubble_rating bubble_20","aperitivo con mistero...","Ci siamo recati per un aperitivo e non abbiamo capito perché per alcuni è stato accompagnato da stuzzicherie e per altri (tra cui noi) nemmeno due patatine...Possibile che in futuro lo proveremo come ristorante...di certo non ci torneremo per un aperitivo!"
"ui_bubble_rating bubble_40","Luogo molto bello, cibo&drink azzeccati, occorre aggiornare meglio gli orari però","La Rocca di Cesena è sempre una location molto bella, che si parli di concerti, tardi pomeriggi o serate all'aperto sul finir del giorno.. Sul tetto della città, all'Asilo politico si trovano vini e birre (compresa una artigianale), stuzzichini o anche cosette più sostanziose come hamburger e piadina (comprese alcune scelte senza glutine!) per aperitivi o cene veloci. Il luogo è verde, conviviale e rilassante. Prezzi onesti. Unico appunto: è capitato più di una volta di andare e trovarlo chiuso, nonostante gli orari su internet lo indicassero aperto (google, tripadvisor etc). Magari occorre aggiornarli più spesso o segnalare meglio i giorni di chiusura."
"ui_bubble_rating bubble_50","Isola gluten free nella Rocca di Cesena","Grande scoperta in una caldissima domenica di fine agosto. A Cesena per posticipare a lunedì il rientro a Milano, visitiamo un po' il centro e saliamo alla Rocca dei Malatesta trovando all'interno questo bar che fa ottime piadine (e anche dolci) gluten free, ottima cosa visto che mia moglie e figlia sono celiache. Bella anche la location, con tavolini all'aperto (oltre che all'interno) proprio sotto le torri interne"
"ui_bubble_rating bubble_40","Sembra di stare in campagna ma si è in piena città","Bellissimo sito, nella rocca Malatestiana, abbiamo cenato in compagnia di famiglie e bambini che giocavano sui prati , gente speciale,atmosfera tranquilla, nessuno smanettava su telefonini o tablet ( cosa assai rara ) ; sembrava di stare in campagna. Un piatto vegetariano io, tagliere di salumi mio marito. Buono ed abbondante."
"ui_bubble_rating bubble_30","5 stelle alle visite guidate...","...ma il locale in se è così così... Servizio molto distratto anche con solo uno/due tavoli... La gestione non è il massimo ma i piatti sono gradevoli. "
"ui_bubble_rating bubble_40","Mi è piaciuto","Provato e piaciuto. Ambiente rilassante con tanti tavoli in mezzo al verde ed alla storia (la Rocca è sempre affascinante). Un menù soddisfacente, con scelta tra piatti di affettati, formaggi e verdure (compreso il tomino) accompagnati da tanta piadina (per chi vuole essere sacrilego anche nella versione no strutto sì olio). Servizio gentilissimo: la ragazza si è offerta di metterci il biberon della nostra piccola peste, che ovviamente l'aveva fatto cadere per terra, in lavatrice. Altra nota positiva: scelta perfetta di musica. Insomma, garantisce una pausa rilassante in una atmosfera naturale."
"ui_bubble_rating bubble_10","Pessimo","Non ho mai mangiato così male , nemmeno nei militari , abbiamo prese la piadina dopo quasi un ora e mezzo che aspettavamo è arrivata la piadina fredda e gommosa , con affettati a dire poco scadenti , la porchetta non ne parliamo , posto da evitare assolutamente"
"ui_bubble_rating bubble_50","Battesimo","Abbiamo festeggiato qui il Battesimo del nostro bimbo: siamo davvero soddisfatti!! Stupenda location, ottimo servizio, ottimo buffet. I ragazzi che gestiscono il locale sono giovani, davvero disponibili e professionali! Bravi!! Grazie a tutti!! Elisa, Andrea e Samuele"
