"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","caffè e prodotti sopra la media","Un bar è pur sempre un bar indipendentemente da dove è ubicato.. leggo alcune critiche che non mi sento di condividere.. i prezzi sono come da altre parti e il personale è gentile e sorridente.. e ultimo ma non ultimo i prodotti sono di alta qualità.. da provare assolutamente Estrà, estratti di frutta e verdura."
"ui_bubble_rating bubble_10","Un buon Bar è un'altra cosa!","Forse a Cesena si usa così ,dubito...ma far pagare il caffè 10 cent in più perchè lo vuoi macchiato mi pare davvero una presa in giro.E per non sbagliarsi, se vuoi il caffè americano (che in mancanza della macchina a filtro non è altro che un espresso in tazza grande con un pò d'acqua calda a parte), lo paghi 10 cent in più...ma questa è una pessima abitudine anche di altri bar. Quello che sta gente non capisce è che un bar all'interno di un ospedale potrebbe farsi le palle d'oro (se le fa comunque ahimè) offrendo un buon servizio e di buona qualità e proprio grazie al cibo buono ed invitante, allietare i momenti buii che la gente affronta in un ospedale...ma queste sono cose che agli imprenditori poco interessa....P,S. il caffè è davvero triste....."
"ui_bubble_rating bubble_20","Prezzi troppo alti!!! ","Bariste carine e gentili. Ampia scelta fra le offerte. Servizio scadente ai tavoli (slmeno per pulirli) perché il personale è troppo impegnato al banco. Per quanto riguarda i prezzi sono un po troppo elevati tenuto conto che di è in ospedale e la gente non ci va a divertirsi. Sono fortunati perché sono in monopolio...."
"ui_bubble_rating bubble_30","Non male ","Mi sembra sia l'unico all'ospedale ma non male il servizio che da....Un pò caro mi sembra però non ci si può lamentare dei prodotti o x lo meno di quello che ho potuto vedere in quella mattinaCari ma bravini"
"ui_bubble_rating bubble_20","Troppo caro!!!","Il bar è ben fornito sia x le colazioni dolci che x quelle salate, ma questa è l'unica cosa positiva!!!! Prezzi troppo alti x essere un bar di un ospedale, bariste si carine,ma troppo troppo serie( qualche sorriso in più, non uccide ma rende migliore la giornata), servizio minimo( le tazzine restano sui tavolini x troppo tempo)!!!! Migliorare migliorare migliorare!!!!!!!!!!"
"ui_bubble_rating bubble_40","Per spuntini","Ottimo spuntini di ogni tipo,colazioni e dolcetti per spuntini in compagnia. Posti a sedere e ottime bariste cordiali e carine "
"ui_bubble_rating bubble_30","il privilegio di esser soli in un grande ospedale","ampio, pratico e comodo ,discreti posti a sedere. dai servizi di bar alla piccola ristorazione abbastanza varia, mini bazar, molto frequentato ma i prezzi e la gentilezza del personale si possono e devono migliorare."
"ui_bubble_rating bubble_30","Grande bar, grandi prezzi!","Il bar interno al Bufalini è grande, comodo, molto servito (enorme la scelta dei banchi di piccola ristorazione sia salata sia dolce), ma, data la frequentazione continua, abbondante e - trattandosi di ospedale - obbligata, si permette di effettuare un servizio spesso sbrigativo e sempre molto caro. "
"ui_bubble_rating bubble_30","Non male","Confermo quanto precedentemente segnalato; si presenta bene e ogni tanto ci sono anche novita' alimentari; forse i prezzi sono leggermente sopra la media...."
"ui_bubble_rating bubble_30","Ma manca qualche sorriso","E' un buon bar, per un ospedale. Ben organizzato e con prodotti selezionati bene. Quel che manca, sono i sorrisi delle dipendenti impegnate al banco. Che non guasterebbero......"
"ui_bubble_rating bubble_40","Buon bar!","Locale situato all'interno dell'ospedale bufalini, ma non ha nulla da invidiare ad altri bar, pulizia, edicola, regali, bevande ed un buon caffè."
