"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Locale molto accogliente","Mi sono fermato in questo locale con amici e che mi era stato consigliato visto che c'è stato il cambio di gestione posso dire che mi sono trovato molto bene locale pulito altrettanto i bagni abbiamo fatto uno spuntino e posso dire prodotti di ottima qualità pane multicereali con affettati di Levoni di ottima qualità ad un prezzo molto contenuto nonostante i prodotti di qualità come l'hanno consigliato a me io lo consiglio altrettanto merita veramente"
"ui_bubble_rating bubble_30","in centro: si vede e si sente","Di passaggio per una colazione veloce: cappuccino, spremuta, doppio salatino (molto -ino) farcito, un panino, totale euro 8.90.Qualità così così. Ok la posizione (in pienissimo centro), ma prezzi troppo elevati."
"ui_bubble_rating bubble_40","caffe'","questo e' il posto ideale se vuoi bere un vero caffe'. si vede dal modo maniacale con cui lo fa' e te lo serve."
"ui_bubble_rating bubble_10","Cappuccino latte di soia","Incuriosita dalla lavagnetta esposta in cui pubblicizzano paste veg cappuccini con latte di soia,riso e cocco entro.Attendo qualche minuto il mio turno. Alla richiesta del mio cappuccino il titolare sbofonchia qualcosa alle cameriere e si mette a ridere....attendo 5 minuti che trovino il latte e mi preparano il peggior cappuccino mai bevuto. A parte che se non si è capaci di fare un cappuccino con latte vegetale basta non farlo,poi la maleducazione,la scortesia e la derisione per un cappuccino non ordinario ve la potete risparmiare! Se volete un buon cappuccino non andate li!"
"ui_bubble_rating bubble_50","una domenica pomeriggio","Ci sono stato due volte, e sempre per centellinare una cioccolata in tazza.Viene fatta al momento, l'attesa è lunga perchè fatta come un tempo, con cioccolata fondente e altri magnifici ingredienti che immagino non svelino neanche sotto tortura:E'' fra le migliori prime 5 cioccolate in tazza che abbia mai bevuto negli utlimi 58 anni e passa.La prima volta capitati per caso, per una domenica pomeriggio a Cesena in un centro storico che è un vero gioiellino. La 2^ solo per la cioccolata"
"ui_bubble_rating bubble_40","E' cambiata ma ne vale ancora la pena","Molti anni fa la Tazza d'oro era un riferimento per tutti. Le su paste (prodotte lì di fronte) erano odorose, stuzzicanti, sempre appena sfornate. Oggi la pasticceria è uguale a quella di tanti, ma il caffè resta di qualità, il locale pulito ed il personale gentile."
"ui_bubble_rating bubble_50","Troppo carini","Stuzzichini buonissimi, pasticcini deliziosi, grande selezione di te e altre bevande calde e fredde, perfetto per fare un pomeriggio tranquillo tra a miche, per l'aperitivo o per colazione, ambiente rilassato ed elegante, personale gentilissimo, fanno entrare anche le mie cagnoline, loro adorano andarci prendono sempre tante coccole e biscottini, veramente un posto tranquillo e fantastico in centro!"
"ui_bubble_rating bubble_20","Per un caffè fugace","Buoni gli stuzzichini che si trovano in questo bar carino,sotto i portici del centro, ma la cordialità è un' altra cosa. Per un caffè veloce."
"ui_bubble_rating bubble_30","Per una breve pausa sotto i portici","Piccolo bar sotto i portici del centro, perfetto per una breve pausa. Il personale è molto gentile, mi sono sentita ben accolta e servita tutte le volte che ci sono andata. Ricordo che qualche anno fa insieme ad una compagna di scuola compravamo molto spesso i loro biscottini con finestrelle piene di nutella...che buoni e come ci hanno allietato tanti pomeriggi sul dizionario di greco! L'altro giorno ho assaggiato un croissant salato: forse un po' troppo burroso, ma gustoso di tanto in tanto."
"ui_bubble_rating bubble_10","Non venite qui",""
"ui_bubble_rating bubble_50","Sono sceso per una birra e abbiamo incontrato diverse persone per gustare ottimi tempi con mentre guardavamo la folla sulla Nan Jing Rd.",""
