"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo ","Un bar molto accogliente con personale serio e organizzato. Possibilità di consumare anche all aperto. "
"ui_bubble_rating bubble_20","PASSATO AI CINESI","Come tutte le cose belle che passano, anche questo bar è finito nelle mani dei cinesi, gestito per 50 anni dagli stessi proprietari e ora è stato venduto, peccato."
"ui_bubble_rating bubble_40","Una sorpresa di simpatia!","Un ristorante? Non proprio, un bar? Anche.Fuori c'è scritto Bar Centrale, una piccola pergola con qualche tavolino, dentro un bar, bancone, macchina del caffè vetrina piena di panini a tramezzini, vecchi avventori che discutono animatamente (di quelli che sembrano vivere lì), poi, a lato, una stanza in cui ti aspetteresti dei biliardi (o più recentemente delle Slot) invece diventa una trattoria, tavole imbandite con candide tovaglie di carta, come centrotavola un piattino con quelle che in cucina si definiscono entreè, che cambiano ogni giorno, ci si siede, nessun menù, ti viene incontro la bella e gentile cameriera, cosa bevi? Poi ti arriva un vassoio di salumi e formaggi (che potrebbero già saziarti) poi la domanda è: facciamo un giro di assaggi? Se dite sì prendete tempo e slacciate la cintura: il cuoco e proprietario, vecchio come la città in cui vive, vi lancerà un cortese guanto di sfida e come una mamma partenopea vi servirà tre, quattro primi, ottimi ed abbondanti, se vedrà che apprezzate lo renderete felice e, alla fine della processione vi tenterà Ho giusto fatto due spaghetti aglio e olio... oppure Due ravioli con l'erba cipollina? oppure qualunque fantasia che abbia sognato nella sua cucina.Nessun secondo, nessun contorno.Ma nessuno si lamenta.Il prezzo?11 €Meglio di qualunque asianfusion all you can eat.Cercatelo, non è cucina da stelle Michelin ma soddisfa, e molto."
"ui_bubble_rating bubble_50","Accogliente, economico e con porzioni enormi","Il posto è piccolo quindi è meglio prenotare prima anche se in settimana trovi un tavolo senza problemi. Il personale è gentilissimo sopratutto il padrone del locale che ti fa sentire come a casa. Piatti buoni e porzioni molto grandi. Con 15 euro mangi gli antipasti (piada, affettati, focaccia e pizza), tutti i primi che vuoi nelle quantità che preferisci (anche con tipi di pasta differenti con sughi a scelta), tutti i secondi che vuoi come per i primi, contorni uguale. Compreso nel prezzo anche il dolce, il sorbetto e il caffè. Un posto da visitare assolutamente sopratutto in compagnia di amici, per cene di lavoro o anche per compleanni."
"ui_bubble_rating bubble_50","Strepitoso ","Dopo averne sentito parlare da tempo finalmente ci siamo andati a cena: cibo abbondante e buono, staff molto gentile e ospitale. Ci tornerò sicuramente."
"ui_bubble_rating bubble_50","Da scoppiare ","Cena prenatalizia con amici il 21 dicembre, la saletta dove si pranza e adiacente al bar, piccola ma pulita.. Il personale è molto gentile..il menù non esiste, portano loro fino a quando non dici basta... Buonissima la pizza che viene servita come antipasto assieme agli affettati, crostini, sottili, ma i primi sono il punto forte del locale... A noi ne sono stati serviti 5 tutti ottimi... Carne alla griglia buona e ottimo lo stinco.. Spesa irrisoria..con acqua vino e 3 lt di birra solamente 15 euro a testa."
"ui_bubble_rating bubble_40","spesa poca meraviglia tanta","Maria e Gualtiero, padroni ed ospiti del locale, Vi rimpinzeranno fino all'inverosimile, quando pagherete il costo di una pizza ci ritornerete. "
"ui_bubble_rating bubble_10","Pranzo pausa lavoro","Che dire..... la prima e l ultima volta ..cibo veramente scadente ..tanta quantità ma veramente poca qualità "
"ui_bubble_rating bubble_50","Le Catolettine di Gualtiero!!!","Il vero clima Romagnolo!!! Da Gualtiero non puoi sbagliare se vuoi sbaghinare!!! Un vero genio dell'arte culinaria romagnola...simpatia,gentilezza e cortesia sono di casa qui al bar centrale.. Il tutto ad prezzo stracciato!!! Gualtiero for president!!! "
"ui_bubble_rating bubble_40","Da oscar","Sono venuto per la prima da Gualtiero e devo dire che è tutto molto buono...dagli antipasti al cocomero...ci tornerò sicuramente!lo consiglio a tutti vegani compresi!"
"ui_bubble_rating bubble_40","Per chi vuol mangiare tanto!!!","Incuriosita dalle recensioni siamo andati a cena qui. Locale molto alla buona, personale gentile, una vera abbondanza di cibo: antipasti, primi, secondi, bottiglia di vino della casa buono, sorbetto, caffè! Prezzo 15€! Ovviamente, il cibo è industriale, la pasta non è fatta in casa, ma tutto buono, con questa cifra non si può pretendere di più! Un posto per gente che si accontenta e vuol mangiare molto, senza badare tanto alla qualità!"
"ui_bubble_rating bubble_50","Ottimo e abbondante","Ci sono venuto con gli Amici in un pre partita. Avrei mangiato ancora di piu' non fossi stato di fretta. Abbondanti gli antipasti e i primi. Ottimo il sorbetto. Avessi avuti piu' tempo chissa' ... Rapporto qualita' prezzi assolutamente buono(12 €)"
"ui_bubble_rating bubble_50","Da record!","Simpatia, ospitalità, piatti abbondanti e mai lesinati: ecco il segreto del bar Centrale, che garantisce forse il miglior aperitivo mangereccio di Cesena."
"ui_bubble_rating bubble_50","Ottima cucina","Ci vado spesso perché si mangia davvero molto bene e le porzioni sono abbondanti .. Ho passato anche l ultimo dell anno li e devo dire che e stato tutto bellissimo"
"ui_bubble_rating bubble_50","Aperitivo super ","Solo una parola: meraviglioso! Nel cuore di Sant'Egidio si trova il posto migliore dove fare l'aperitivo... Chiedi e ti sarà dato... Pizze, piadina, affettati, primi, secondi... Servizio cortese, alla mano, personale davvero gentile! In più si possono vedere le partite... Il paradiso per ogni uomo :) "
"ui_bubble_rating bubble_40","Pausa pranzo oversize ","Fermati in due x pausa pranzo e sorpresi: antipasti abbondanti, primo, secondo, contorno, acqua vino caffè 12 €. Molto ben spesi!!! Consigliato!"
"ui_bubble_rating bubble_50","Gualtiero è sempre il migliore","Ormai sarà la decima volta che torno a mangiare qui e non si smentisce mai questo posto, non dovete aspettarvi cibo gourmet di alta cucina ovviamente ma solo un posto con brave persone che che ti servono antipasti,primi e secondi a non finire e alla fine c'è spazio pure per dolce e caffè!!!Se volete passare una serata simpatica con amici o anche in coppia il bar centrale è il posto giusto!!!E si spende anche poco 15€ a testa!!!"
"ui_bubble_rating bubble_40","Buona Trattoria vicino all'autostrada","Ci siamo andati per un veloce pranzo durante una trasferta di lavoro prima di entrare autostrada. Bar con saletta ristorante, cortese il servizio piatti abbondanti con un prezzo davvero contenuto. Buona soluzione direi da consigliare."
"ui_bubble_rating bubble_50","Si mangia da paura....","Ci sono stata varie volte di domenica e devo dire che si mangia benissimo e si beve bene. Quando si ha finito tutte quelle portate che servono si e davvero sazi e a volte e fatica finire tutto. Sono molto cordiali e ti fanno sentire a casa. Meraviglioso"
"ui_bubble_rating bubble_50","Ottimo per cene convivialiSSi","Si mangio davvero bene.Antipasti vari, 5/6 primi in abbondanza 4/5 secondi contorni vari cpn PREZZO VERAMENTE CONTENUTO"
"ui_bubble_rating bubble_50","Che bonta'","Bar trattoria molto semplice ,cibo buonissimo e a volontà,tante portate e ad un prezzo davvero contenuto."
"ui_bubble_rating bubble_50","....te fini ad magneeee'''!!!!!????","allora....se lo vediamo come bar andiamo sul sicuro ...gentilezza sempre presente...come ristorante ....una bomba...si mangia tantissimo a prezzi modici....vai Gualtierooooooo!!!!"
"ui_bubble_rating bubble_50","Il top","E' un semplice bar con adiacente una saletta per mangiare, climatizzata, il che non guasta con il caldo che c'è stato quest'estate, con tavoli non troppo attaccati tra loro.Appena ci si mette a sedere iniziano i trionfi di antipasti: prosciutto e melone, sottoli e sottaceti, pizze e crescioni, salumi e formaggi col miele, piadina, poi si passa ai primi, di solito 4 o 5: tagliatelle al ragù, cappelletti al ragù, ravioli burro e salvia, strozzapreti con salsiccia, tagliolini ripassati in padella e poi i secondi con un piattone pieni di almeno 5 tipi di carne diversa: tagliata, cotoletta, pollo alla cacciatora, coniglio, salsiccia, patate fritte, melone, bottiglia di vino, acqua, vino e caffè per una cifra pari a € 15,00 a cena.Ottimo tutto e servizio veloce e gentilissimo, lo consiglio vivamente"
"ui_bubble_rating bubble_50","Ottimo!","Molto accogliente, servizio gentile e sempre disponibili, mi mangia molto bene e con abbondanza!!!Ci andiamo spesso...."
"ui_bubble_rating bubble_50","Gualtiero sindaco di Sant'Egidio","Tutto ottimo,accoglienza e cibo..conduzione familiare,ti fanno sentire a casa,porzioni abbondanti e di qualità..classe fa vendere!!"
"ui_bubble_rating bubble_50","Tanta roba","Ambiente familiare, dove il buon cibo e la tradizione sono legati da un connubio di ABBONDANZA . Perfetto per chi senza tante pretese formali vuole trascorrere una serata tra amici degustando la tipica cucina locale contornata dalla simpatica che contraddistingue il proprietario .. il mitico GUGLIELMO (non chiamatelo signor GUGLIELMO)"
"ui_bubble_rating bubble_50","più che un Bar un ristorante 3 stelle","locale veramente gestito ottimamente, ottima qualità del cibo e rispetto alla quantità tra antipasti vari, 4 primi e ottima carne il prezzo fisso è veramente irrisorio... ci si alza da tavola veramente soddisfatti.. Complimenti"
"ui_bubble_rating bubble_50","Il top!","Domenica, tavolata da 16... Antipasti di melone e prosciutto, salame bruschetta alla salsiccia e formaggio con miele... Poi tripudio di primi elaborati contati 5 dalle lasagne ai strozzapreti e ravioli ai funghi... Poi un diluvio di secondi arrosti, coniglio manzo con rucola e agnello al forno...contorni patate, insalate e verdure gratinate ottime... Il tutto a volontà annaffiato da rosso e bianco della casa... Sorbetto e caffè per finire... Alla cassa... 15 euro a testa ...mai visto un posto e dei prezzi così ... Poi mi dicono che fra settimana il prezzo È 12,00 euro !!! Bravi grazie"
"ui_bubble_rating bubble_50","La Vera Romagna","Come essere dalla nonna! un posto romagnolo x veri romagnoli, con la VERA piadina Romagnola quella da spaccare! Astenersi fighetti!"
"ui_bubble_rating bubble_20","Se vuoi spendere poco...","Se spendere poco è sinonimo di mangiare bene allora siete capitati nel posto giusto. Qua si spende poco e si mangia da scoppiare. Anche solo con il prezzo di un aperitivo.. La qualità??? Non si può pretendere anche quella... L'importante è andare consapevoli. "
"ui_bubble_rating bubble_50","Il migliore ristorante di cesena!","Praticamente a gratis ti portano ogni genere di ben di dio buonissimi antipasti misti, primi fatti in casa, ottima carne e contorni....il tutto a volontà. Gualtiero il padrone davvero una persona formidabile...lo consiglio a tutti "
"ui_bubble_rating bubble_50","Eccellente","Ristorantino familiare, proprietari calorosi ed accoglienti, ottima cucina! Consiglio a tutti. Prezzo basso se rapportato a quanto si mangia"
"ui_bubble_rating bubble_50","Evviva la Romagna","Locale carino, Personale professionale e Caloroso ...very friendly, CIBO Romagnolo, Aperitivo che diventa Pranzo o Cena ...Tanta Roba e Tutta Buona...al costo di un Aperitivo! UN Caffè veramente buono..fra i migliori di Cesena..."
