"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","prezzi folli","la focaccia con i pomodorini pachino ha il sapore di un foglio A4. I pistacchi venduti a un prezzo fuori dal comune sono vecchi. Servizio da rivedere"
"ui_bubble_rating bubble_20","La differenza si vede","Purtroppo la gentilezza e la preparazione della gestione precedente è solo un ricordo.Qualità di prodotti indiscutibile, ma poi bisogna anche saperli vendere.Non mi fa venire voglia di tornare."
"ui_bubble_rating bubble_40","Biologico a non poco","Il Borgo Etico ha riaperto con una nuova gestione (da un po'). Sono andato per consumare un veloce pranzo (è dietro il posto in cui lavoro) e ho constatato che, rispetto alla gestione precedente, il nuovo personale ha tempi di reazione molto più compatibili con il consumare un pranzo tra la mattina e il pomeriggio di lavoro. Però, quel che non è cambiato, è che si deve fare attenzione al conto; i cibi proposti, tutti di ottima qualità nel loro genere, sono mediamente costosi (probabilmente, è il costo tipico di questi cibi ma alla fine il conto può lievitare). Fatta attenzione a questo dettaglio, nulla quaestio..."
"ui_bubble_rating bubble_50","Cena con coupon di tippest","Sono andata con un coupon di tippest. Mi ha accolta con un bel sorriso Mimosa. Salumi e formaggi di ottima qualità. Estratto super! Pane di due-tre tipi freschissimo e molto digeribile. Nel negozio ci sono tantissimi prodotti Bio, vegetariani e vegani. C'è anche il reparto fresco con anche le uova. Acqua, birra e vino alla spina. Da non dimenticare la parte riguardante i prodotti per la casa ed il corpo. Alla prossima!"
"ui_bubble_rating bubble_50","Negozio biologico, con una grandissima gamma di sfuso a spreco zero!","Un'ottima alternativa ecologica e biologica, conveniente e di alta qualità!Negozio con banco ristorazione per pranzi, brunch ed aperitivi,cereali, farine, semi, the, tisane, frutta secca, spezie ed erbe aromatiche, saponi al taglio, detersivi eco bio.. tutto sfuso!Splendido, consigliatissimo!"
"ui_bubble_rating bubble_40","Acquisti molto speciali","Uno dei miei negozi preferiti per gli acquisti speciali... Conosciuto non molto tempo fa grazie alla mia compagna è diventato tappa fissa di tutte le volte che sono a Cesena... Inoltre ho trovato il loro stand anche in diverse fiere o manifestazioni ritrovando in tutti i posti la stessa cordialità e gentilezza che trovo sempre nel negozio... Consigliato"
"ui_bubble_rating bubble_50","Risorsa Ecosostenibile a 5 stelle","Locale innovativo e creato nel totale rispetto dell'ambiente. Ottimi prodotti e servizi tutti a km 0 ed ecosostenibili. Adoro gli shampoo, i detergenti e i bagnoschiuma alla spina. Possibilità anche di poter pranzare sia dentro che all'aperto con ottimi prodotti freschi e genuini. Ogni tanto organizzano anche tanti interessanti eventi, consiglio vivamente di visitarlo e soprattutto di provarlo "
"ui_bubble_rating bubble_50","Un posto fantastico!","Da quando ho scoperto questo posto io e mia mamma ci andiamo sempre! La cosa stupenda è che è praticamente tutto alla spina! Dai cereali, ai biscotti, a tante varietà di pasta, alle crocchette per gli animali, ai prodotti del bagno eccecc Io vado sempre per le bacche di goji perchè, in rapporto a quelle che si trovano al supermercato o in altri negozi, costano molto meno! E' pieno di spezie di tutti i tipi e di semi....ne ho visti alcuni che proprio non conoscevo, e il tutto sempre alla spina. C'è anche un bancone con salumi, pane, piatti fatti in casa per vegetariani e non....e altro ancora! Ci sono 2-3 tavolini all'interno che permettono anche di mangiare lì! Insomma proprio un bel negozio in cui torno puntualmente."
"ui_bubble_rating bubble_50","Oltre il Bio, locale unico!","Filiera corta, prodotto italiano, qualità alta, prodotti sfusi e alla spina, compro solo quello che mi serve in peso, prodotti e gastronomia vegana e vegetariana, si fanno gli estratti coi superfood, c'è il naturopata, la nutrizionista, qua si è oltre il bio...posso mangiar nel locale, dolci, salato, c'è il wi-fi, sopra si fanno corsi di autoproduzione e tanto altro, questo è il futuro, l innovazione già arrivata a Cesena e in poche altre città d Italia, siamo fortunati ad averlo!!"
"ui_bubble_rating bubble_50","locale molto particolare e cibo genuino","Il locale è molto accogliente, la scelta di semplici arredi e alcuni elementi realizzati con materiali di riciclo creano un'atmosfera davvero piacevole!La vendita alla spina è innovativa e in perfetta filosofia etica. Tale tipologia di vendita però fa alzare un pò i prezzi rispetto alla media. In generale però io credo che ci sia un ottimo rapporto qualità/prezzo.Ps. I biscotti sono ottimi!!"
"ui_bubble_rating bubble_30","Ottima qualità","Sono andata a fare la spesa non a mangiare, la qualità del cibo è ottima. Tutto fresco e molto buono ma i prezzi sono piuttosto alti per cibo fatto in casa, biscotti sfusi e detersivi da ricaricare. Non credo tornerò."
"ui_bubble_rating bubble_50","Mi piace! ","Capitati per caso in orario di pranzo...ottimo il tagliere di affettati e formaggi bio e locali...in questo posticino in realtà si può comprare un po' di tutto dai generi alimentari ai prodotti per la persona e per casa...tutto sfuso con formula a peso...ottima scelta green per evitare inutili sprechi di plastica...sono uscita soddisfatta per il buon cibo e con qualche prodotto da provare ma sono certa che ci tornerò presto! "
"ui_bubble_rating bubble_50","Ottimo cibo bio e atmosfera amichevole","Ci siamo capitati con la bimba piccola e abbiamo mangiato i cassoni bio con birra artigianale, inoltre la commessa ci ha spiegato alcune ricette con miglio e cous cous. Ci torneremo!"
"ui_bubble_rating bubble_50","Cibo biologico, sano e sfuso","Borgo Etico è un negozio alimentare veramente atipico. La maggior parte dei prodotti possono essere comprati sfusi con la formula a peso, portando un proprio contenitore da casa, ciò sia per gli alimentari (frutta, verdura, tisane, biscotti, spezie,..) che per le bevande (acqua, vino, birra artigianale) e anche i detergenti (per piatti, lavatrice, lavastoviglie, shampoo, etc.).I prodotti sono a prevalenza biologica e con attenzione al territorio locale di provenienza.Ci si può fermare sia in pausa pranzo che a cena, offrono piccola ristorazione di piatti pronti con accento vegetariano e vegano, oppure taglieri di salumi e formaggi di qualità provenienti dal territorio."
