"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Buono","Ristorante tranquillo, abbastanza pulito, adatto a famiglie e gruppi di persone. Cibo di media qualità a un prezzo giusto, servizio un po’ disattento ma comunque serata piacevole. Molto buona la scelta di cibo cinese!"
"ui_bubble_rating bubble_30","Sushi con amici","Sono stato in questo locale per alcuni pranzi con amici. Il cibo era nel complesso abbastanza buono e anche il locale molto carino."
"ui_bubble_rating bubble_20","..da dimenticare!","Abbiamo cenato altre volte in questo locale, l'ultima circa 1 anno fa..ieri sera siamo tornati e non lo faremo più!Il personale è distratto e poco presente.Dopo aver ordinato ci è stata portata una bottiglia d'acqua a fronte di 2 richieste più una bottiglia di vino e relativi calici, dopo aver chiesto a 3 diversi camerieri siamo stati serviti.Il cibo è arrivato ai primi 2 di 6 commensali dopo 1 ora dall'ordine, agli altri è andata peggio, dopo aver chiesto spiegazioni in più occasioni ed a persone diverse,i piatti sono arrivati in tavola dopo 2 ore e non ciò che era stato ordinato..Guardandomi intorno ho notato, nei commensali degli altri tavoli, il medesimo sconforto e la noia nell'attesa interminabile!Peccato, comunque a Cesena i locali che offrono sushi non mancano..."
"ui_bubble_rating bubble_10","Pessimo!","Cibo non di qualità. Trovato capello nel piatto. Menù troppo ristretto a pranzo. Camerieri non attenti. Sconsigliatissimo."
"ui_bubble_rating bubble_50","Nuovo menu' top!","Sono tornata in questo ristorante dopo un po' di tempo, non sapevo del cambio di menu, ma ne sono stata felicemente sorpresa!! Abbinamenti nuovi e buona qualità! Servizio più attento rispetto a prima!! Non capisco le altre recensioni in merito a questo ristorante!"
"ui_bubble_rating bubble_40","Buono..ma conto con sorpresa","Frequentiamo spesso questo ristorante, era un Po che nn venivamo, menù nuovo, molto meno bello rispetto a quello di prima, ma tutto molto buono.Purtroppo la sorpresa è arrivata alla cassa, ci avevano messo su nel conto anche la metà della cena a prezzo fisso per la bambina di 3 anni. Siano sempre andati con la bambina è questa è stata la prima volta che ci volevano fare pagare per la bambina."
"ui_bubble_rating bubble_50","Asporto fantastico! ","Abbiamo ordinato un pranzo da asporto per 4 persone, con Just It. Il sushi è davvero superlativo: taglio del pesce ottimale, qualità della materia prima di gran lunga superiore a quella di altri ristoranti analoghi, soprattutto per la limitatissima presenza di venature grasse nel salmone. Riso ben strizzato e compatto. Anche il cinese è molto buono. Se non volete sorprese, anche con la consegna, questo è il posto giusto! "
"ui_bubble_rating bubble_30","Mi aspettavo di meglio ","Ho preso presso questo locale del cibo da asporto.Il sushi era nella norma, ne ho mangiato di migliore però anche questo si faceva mangiare abbastanza bene, il riso alla cantonese era insipido ma porzione stra abbondante e il pollo al limone aveva un gran profumo ma sapore poco.Bene ma non benissimo. Sicuramente riproverò questo locale ma recandomi personalmente in modo da verificare se il sapore sia stato condizionato dal viaggio."
"ui_bubble_rating bubble_40","All You can eat ma di buon livello","Capitato qua per un pranzo di lavoro e devo dire che ho mangiato molto bene. Classico all you can eat ma di buon livello m. Prezzo in linea con gli altri ."
