"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Va bene anche per il pranzo","La mia recensione precedente si completa anche per quanto riguarda il pranzo che in questo bar ristorante e decisamente ad un buon livello, Buona scelta di primi curati bene e con buoni ingredienti servizio veloce ed estremamente gentile. Gentilezza e simpatia del personale che è decisamente il punto di forza di questo locale peccato che non si possa estendere anche lo stesso discorso per quanto riguarda il proprietario, ma c'è sempre tempo per migliorarsi... il mio giudizio comunque rimane positivo"
"ui_bubble_rating bubble_50","Un salto di qualità....","Già prima era un porto sicuro, ora è diventato qualcosa in più..........Con il rinnovo dei locali al piano interrato e primo piano ed un cambio di brigata in cucina che ha portato una ventata di freschezza alle proposte culinarie (ottima cucina di pesce), questo locale non potrà più essere considerato un semplice caffè/bar ma un vero e proprio bistrot ideale per tutta la giornata dalla colazione al dopo cena.Davvero complimenti per la dedizione e la qualità offerta, di istituzioni come queste in città ne sono rimaste davvero poche!!!!"
"ui_bubble_rating bubble_10","Che prezzi!!!!","Sono rimasta stupefatta, quando alla cassa mi hanno chiesto 5 euro per una tisana!!! Quasi senza parole!!! Un caffè ed una tisana € 6,50 di 5 per la tisana. Sproporzionata!!! Mai più! "
"ui_bubble_rating bubble_50","Ottimi miglioramenti","Mi sento in dovere di cambiare la mia recensione di due anni fa Che era stata all'epoca alquanto negativa. Adesso il bar è migliorato molto sia nell'accoglienza dei clienti, tutti ragazzi del servizio sono sempre molto sorridenti e cordiali. L'aperitivo adesso è servito nel modo giusto gli stuzzichini sono abbondanti con ottima scelta di tramezzini, adesso il mio giudizio è più che positivo a volte servono delle piccole critiche per migliorare... prezzi ottimi rispetto ai concorrenti del centro di Cesena"
"ui_bubble_rating bubble_40","Merito del servizio Bus 94 anzi DEMERITO","Dopo avere atteso adiacentemente il Bus 94 alla fermata Barriera per recarmi a Cesenatico per ben Ore 1/30 dalle 11.25 fino alle 13.05 che pur passando non si è mai fermato visto l orario ci siamo recati in questo ristorante a pochi metri dalla fermata UNA SORPRESA! siamo stati accolti con gentilezza ed abbiamo pranzato con buon pesce fresco e degli ottimi cappellacci ! buono il dolce lo consiglio per un personale che ti mette a tuo agio e ottimo cibo prezzi assolutamente onesti Giuliano e Fabrizio"
"ui_bubble_rating bubble_50","Una cena coi fiocchi","Siamo capitati per caso in cerca di un ristorante aperto ad Agosto in citta' (molto difficile). Abbiamo ordinato un fritto misto, una grigliata mista ed un hamburger con patatine. Decisamente tutto ottimo, porzioni abbondanti e servizio buono. Abbiamo aspettato mezz'ora dall'ordinazione ma' ne e' valsa decisamente la pena. Il prezzo? Decisamente basso per la qualita' e la quantita' del cibo offerto. "
"ui_bubble_rating bubble_50","Ogninvolta che torno lo recensirei di nuovo.","Ne ho già scritto ma davvero, ad ogni visita mi bene voglia di scriverne ancora. Arricchiscono il menù con piatti del giorno che nulla hanno a che vedere con un ristorantino dove forse vi fermerete più per un aperitivo che per un pranzo o una cena. E ogni volta mi alzo piacevolmente stupita da ciò che ho scoperto. Oggi: la tartare, che non è un piatto alla portata di tutti. Ottima, la carne, la preparazione, la presentazione, sempre con il solito servizio impeccabile ed un sorriso. Ottimi prezzi considerata la qualità di ciò che propongono e la varietà. Come ogni volta mi riprometto di tornarci più spesso, voi, se non l:'aveste ancora fatto, provatelo, diventerà una piacevole abitudine. "
"ui_bubble_rating bubble_40","Per fortuna che esistono ancora posti del genere","Cosa dire nn me l'aspettavo di solito quando vedi il menu del giorno con quei prezzi normali chissa cosa ti danno...e invece il posto e bello e caratteristico il servizio buono il mangiare buono io ho mangiato un galletto era da tanto che nn mangiavo un galletto cosi buono...prezzo veramente buono per la qualita e la quantita da tornarci e portare anche amici "
"ui_bubble_rating bubble_50","Rinnovarsi nella tradizione","È stato bello scoprire che nella taverna al piano interrato (accessibile da scale un po’ ripide, è stata allocata una osteria attiva dalle 18,30, per aperitivi, degustazione vini, ristoranti no, e (sentite sentite) PIZZERIA. Sono un amante della pizza e quindi ho voluto provare. L’ambiente è quello di sempre di una cantina con archi in mattoni a vista e luce soft, la musica di sottofondo non è altissima e il vettovagliamento informale. Il menu pizza ne contiene poche, giusto le classiche e qualche personalizzazione inventata dai titolari. Ordino una dondolo anche se l’occhio cade su quella di grano arso (grano nero) una novità assoluta ma la proverò prossimamente. La pizza quando arriva non appare grandissima ma ben villosa e di media altezza. Impasto ottimo e croccante (vengo a sapere con 72 ore di lievitazione naturale), farcitura con ingredienti di primissima qualità (pomodoro, mozzarella, salamino piccante, gorgonzola rucola) inseriti nel giusto equilibrio. Una prelibatezza, forse la migliore di Cesena del segmento media altezza. Bravi ragazzi questo significa rinnovarsi nella tradizione (anticamente qui c’era una pizzeria)."
"ui_bubble_rating bubble_30","buono","location ottimail resto nella normasenza infamia nè lodeservizio buono......caffè e paste buoneprezzi superiori alla media"
"ui_bubble_rating bubble_40","Aperitivo","Di passaggio un aperitivo di lavoro. Ottime le bevande, fra cui frizzantino Franciacosta, spritz e anche analcolici. Rimango stupito dalle stuzzicherei portate a corredo, veramente abbondanti e ottime. Un ottimo ricordo."
"ui_bubble_rating bubble_40","Ideale per pranzo veloce","Locale storico della realtà cesenate, oltre ad essere una caffetteria serve pranzo, cena e aperitivi. Al contrario di quanto ci si potrebbe aspettare questo locale è molto più ristorante che Bar, certo gli ambienti non richiamano proprio un idea di ristorante attuale, ma la cucina è davvero ottima. Piatti genuini, ingredienti freschi, cortesia e rapidità, insomma ideale per il pranzo, vista anche la centralità della location "
"ui_bubble_rating bubble_50","Ottimo sia per aperitivo che per pranzo","Servizio eccellente, cibo di qualità a prezzi molto convenienti (assaggiati uno spago con vongole e una chitarra con tonno davvero buoni). Piacvoli gli aperitivi. Forse l'unico punto debole è il necessario svecchiamento del locale, per il resto tutto perfetto "
"ui_bubble_rating bubble_40","Pranzo al volo","Dopo la visita alla città un pranzo al volo, abbiamo assaggiato i tortelloni di patate buoni e il piatto vegetariano con hamburger di verdure servito con verdure grigliate molto buono, servizio accurato e gentile, prezzi ottimi, location piacevole e comoda per una visita in centro."
"ui_bubble_rating bubble_30","bar per incontri","sala superiore adatta per incontri di gruppo , feste e ritrovi al piano terra ampia veranda , possibile snack ed aperitivi e pranzi e cene veloci "
"ui_bubble_rating bubble_50","Ottima cucina","Locale molto carino, aperitivi ottimiPersonale molto cordiale e disponibile, il bar ristorante migliore di cesena a parere mio Piatti di ottima qualita con un prezzo molto basso rispetto ad altri ristoranti del centro.Lo consiglio per pausa pranzo o anche a cena.5 punti meritatissimi sicuramente tornerò "
"ui_bubble_rating bubble_50","Come a casa!","In questo locale, che sia per i pasti o per un caffé, mi sento coccolata.Ha una cucina di gran lunga migliore di molti ristoranti, nonché un menù ricco e di ampia scelta. Per quanto mi riguarda, è il mio locale di fiducia.Consiglio i dolci, fatti in casa, da leccarsi i baffi!"
"ui_bubble_rating bubble_20","Aperitivo molto scarso","Purtroppo a dispetto delle recensioni lette su trip advisor devo commentare che l'aperitivo non è minimamente all'altezza.Il posto è centralissimo e dispone dei tavoli all'aperto molto carini.La scarsità dell'aperitivo affronte del prezzo pagato di 5 euro non regge il confronto.Il consiglio è quello di migliorare la qualità e la quantità degli snacks."
"ui_bubble_rating bubble_50","Eccellente","Si mangia proprio bene! Servizio gentile e veloce. Perfetto per pranzo lavoro. Piatti di pesce fantastici e insalate ottime."
"ui_bubble_rating bubble_40","Decisamente sopra la media","Decisamente sopra la media rispetto a locali analoghi...rapidità nel servizio prezzi contenuti gentilezza ed efficienza senza trascurare la qualità. Primi saporitissimi. Posizione strategica. Ottimo"
"ui_bubble_rating bubble_30","pranzo di lavoro tranquillo","punto comodissimo a Cesena per un pranzo veloce nella pausa di lavoro.personale molto cortese.buona varietà di piatti sia caldi che di insaltoni.non avete tempo: i gustosi tramezzini"
"ui_bubble_rating bubble_40","Pranzo di lavoro gustoso","Era la prima volta che passavo da Cesena e ho pranzato con dei colleghi di lavoro in questo locale con ampio dehors. Accoglienza molto cordiale; ho provato gli spaghetti alla chitarra con vongole veraci in bianco che devo dire veramente buonissime, non allo stesso livello gli spiedini di pesce, avevano un retrogusto di limone. Le patate al forno che avevamo ordinato non sono mai arrivate. Prezzo nella media."
"ui_bubble_rating bubble_30","Intimo","Adatto per amici ma più per coppiette.Posto tranquillo e intimo, discreto e carino. Va bene per mangiare ma anche semplicemente per prendere un drink."
"ui_bubble_rating bubble_50","Ottimi primi ","Premetto di aver mangiato solo il primo (risotto )in questo locale. Beh tutte le volte sempre ottimo il personale è gentile e l'attesa è breve. Consigliato anche per i prezzi non eccessivi!!!"
"ui_bubble_rating bubble_50","Un caffè con calma","Erano molti anni che non mi fermavo a prendere un caffè o a fare uno spuntino al Caffè Barriera e sono rimasto piacevolmente meravigliato di aver trovato lo stesso ambiente tranquillo e cordiale dei tempi passati. Un ottimo caffè preso con amici in assoluta calma. Ottima miscela tra le altre cose. "
"ui_bubble_rating bubble_50","Sempre una garanzia","Nonostante da fuori possa sembrare solo un bar, questo posto è davvero un evergreen quando il sabato sera vuoi mangiare qualcosa di buono in un locale con un'atmosfera calda e accogliente. Ampia scelta di vini e piatti, servizio veloce e personale sempre molto disponibile. Il loro cavallo di battaglia indubbiamente sono i primi ma anche le bruschette sono da provare! Vietato andare via senza aver assaggiato i dolci, fatti per la maggior parte in casa! Posizione strategica vicino al parcheggio sotterraneo e all'inizio del centro. Bravi!"
"ui_bubble_rating bubble_40","Buon bar bistro con ristorante nel centro di Cesena.","Buon bar bistro con ristorante nel centro di Cesena.Prezzi modici,personale cortese e preparato.Consiglio pranzo con bis di primi strozzapreti e ravioli e un buon mascaprone"
"ui_bubble_rating bubble_50","Un caffé come una volta","Tutte le volte che vado a Cesena mi fermo qui. Non è un bar scintillante di tendenza come va oggi, non è il caffé storico alla torinese, è un posto caldo dove il servizio è ottimo, gentile, c'è lo spazio per fermarsi bene, caffé, cibo e il resto molto bene"
"ui_bubble_rating bubble_30","un pranzetto in centro","ho pranzato in questo cafè, direi proprio niente male... buoni e con prezzi modici.. non c'ero mai andata, ma ho visto che è molto frequentato! un pranzo al volo senza essere spennati!"
"ui_bubble_rating bubble_50","Ottimo a qualunque ora","Ci faccio colazione, prendo il caffè di metà mattina, spesso a pranzo per lavoro, spesso a cena per piacere. E non si sbaglia mai! Sia di giorno che di notte qualità e cortesia non mancano. Ottimi primi, ottimi vini ed eccellenti dolci così come i secondi. "
"ui_bubble_rating bubble_40","Imperdibile","È una meta storica di Cesena, un locale che conserva il fascino dell'art de vivre di qualche decennio fa. Molti sono tratti in inganno dal suo apparire come semplice bar ma all'interno cela un autentico bistrot. Un menu semplice ma ricco di gusto: qualche piatto può sembrare demodé (le penne alla vodka!) ma la verità è che alcuni sono semplicemente intramontabili! Il servizio è genuino, semplice e cordiale, fatto da ragazzi giovani ma sempre professionali. Vale bene un pranzo (anche di lavoro) o una cena prima di andare al cinema (proprio di fronte)."
"ui_bubble_rating bubble_20","Disorganizzati","Ci sono stato diverse volte a pranzo ma mai recensito per pigrizia ma dopo oggi DEVO. pranzo di lavoro che di solito dovrebbe essere veloce leggero e a prezzo competitivo. ... beh... sul leggero ci siamo stati ma 35 minuti per una insalata di mare mi sembrano un po tanti ! E a fronte delle nostre rimostranze ho sentito rispondere in malo modo la cameriera con un  da oggi solo su prenotazione. . No problem, il mio posto te lo lascio ! 16.50 euro per un petto di pollo con acqua contorno e caffè mi sembrano pure tanti... qualità medio alta devo dire però per quello che mi riguarda avete perso un cliente "
"ui_bubble_rating bubble_50","La sorpresa che (forse) non ti aspetti!","Abbiamo scoperto il Caffè Barriera per caso; come spesso accade cercavamo un posto per uno snack in centro, se non ricordo male prima di andare all'Eliseo (cinema). Abbiamo pensato di farci un panino, un toast o simili; quando ci hanno portato il menù ci siamo incuriositi ma siamo stati anche cauti, l'idea di ordinare un filetto ai funghi porcini in un caffè ci lasciava perplessi, forse per altre esperienze non proprio positive. Ci sbagliavamo, e tanto. Enormemente. Il cibo, che si scelgano i primi, i secondi, i panini, le piade è tutto ottimo. La carne è di ottima qualità , cucinata benissimo, e, in generale, la qualità delle materie prime proposte è alta e vengono preparate con cura e maestria. Servizio fantastico, sono tuti sempre gentili, cortesi, attenti e veloci oltre che simpatici. Quando portiamo la truppa al cinema (siamo in cinque in tutto) o andiamo a fare un giro in centro ho pochi dubbi e mi fermo a mangiare da loro. Rapporto prezzo prestazione eccellente; hanno a disposizione una grande sala al piano superiore e (ma qui è la gola che parla) nonostante offrano primi ben più interessanti (tutti meritevoli) per me fanno il miglior spaghetto AOP della zona (anche grazie alla auto produzione di Habanero, da intenditori :-)) Quindi se siete di passaggio o magri non avete mai pensato di provare il loro menù, FATELO, non credo ve ne pentirete."
"ui_bubble_rating bubble_40","Ottima Bruschetta","Ci sono capitato per caso mentre facevo una passeggiata in centro. Birra e bruschetta con un amico. Servizio e cortesia ottimi. Ci ritornerò"
"ui_bubble_rating bubble_50","Posizione strategica, ottimo cibo e servizio, prezzi buonissimi!","Posizione bellissima, consiglio l'interno con divanetti, luogo anche molto romantico. Personale cordialissimo, piatti squisiti, consiglio la classica piadina ma è buono tutto. Ben frequentato, Prezzi ottimi. Aperto fino a tardi!!!!"
"ui_bubble_rating bubble_40","Ok, per un pasto veloce...","Ambiente gradevole dove fermarsi e gustare ottimi primi...in particolare i risotti sono sempre proposti...sia in versioni tradizionali che più ricercati come il risotto zafferano e liquirizia...ottimo!!! Cortesia e professionalità fanno il resto...buona sosta!!!"
"ui_bubble_rating bubble_30","Caffè d'oro","Bar molto elegante al centro di Cesena, ma con dei prezzi esagerati rispetto al servizio che offre, che non mi è parso diverso da quello di tanti bar della stessa zona. Due caffè normalissimi, solo perché serviti al tavolo, ci sono venuti a costare 5€. Non credo che ci torneremo."
"ui_bubble_rating bubble_40","Ottima scelta","Volete pranzare o cenare ?Preferite un aperitivo oppure solamente una tisana o qualche spuntino ?Il Caffe Cavour vi offre qualsiasi cosa.Atmosfera accogliente e mooolto rilassante.Sono disponibili 3 sale (sala caffè, taverna e piano superiore). Il piano superiore offre il massimo del relax per via dell'arredamento e della continua musica di sottofondo.Personale molto attento e premuroso.In tutti i bar, il caffè costa 1€, qui costa 1,50€"
"ui_bubble_rating bubble_40","Pranzo veramente buono ","Siamo stati a pranzo in questo locale in centro a Cesena , appena arrivati bella atmosfera camerieri simpatici che ci hanno fatto subito accomodare .Qualche minuto e ordiniamo subito degli ottimi tortellini pasticciati a mio avviso il miglior piatto del locale veramente da lasciarti estasiato , tanto che finiti i tortellini tutti abbiamo fatto la scarpetta con il pane . I prezzi sono buoni per la qualità dei piatti infatti abbiamo speso 10 euro a testa .Consigliato"
"ui_bubble_rating bubble_50","Super locale, super atmosfera sotterranea","Sono stato con 4 miei amici pochi giorni fa , devo dire che a cesena ne ho visti pochi di locali come questo , siamo stati nel sotto locale , una caratteristica grotta tipica con tavoli e vini invecchiati un ottima stanza molto grande . I drink erano ottimi , il personale molto cortese , è uno dei pochi locali o forse l unico che non chiede il conto inmediatamente e che non pressa il cliente al pagamento . Avendo preso drink hanno portato stuzzichini ottimi e di alta quantità , ottimo ambiente , consiglio a tutti questo locale sia a famiglie sia a compagnie di amici"
"ui_bubble_rating bubble_50","Ospitalità Romagnola","Sorrisi, disponibilità, dinamismo,efficienza, profumi intEnsi e squisiti sapori; questa è la percezione che si acquisisce entrando e gustando la cucina e l'ospitalità della ristorazione offerta dal Bar BarrieraNon manca occasione per cercare una scusa che giustifichi uno stop al Bar Barriera.Colazione , pranzo, cena, incontro tra amici, un aperitivo di lavoro ... L' importante è poterci ritornare."
"ui_bubble_rating bubble_40","Per ogni esigenza, alta qualità","Sono stato in questo locale INNUMEREVOLI volte, vuoi perché è ai bordi del centro di Cesena e raggiungibilissimo, vuoi perché mentre altri locali sono chiusi questo è costantemente aperto, vuoi perchè quando esco e voglio bere birra non mi accontento dell'heineken o della moretti e qui ce n'è per tutti i gusti. Locale complesso, ingresso stretto che fa apparire il luogo come angusto ma che poi si dirama tra veranda (sempre aperta, da cui vedi l'esterno e la strada), piano di sopra (sermpre trovato pieno o non disponibile e piano sotto terra, scoperto ieri sera per la prima volta e più freddo ma anche quello più in stile cantina. Pasto veloce, serata fra amici, pranzo... c'è di tutto e il posto è davvero carino. Ottimo per portarci una ragazza, e anche per farla ubriacare :D"
"ui_bubble_rating bubble_50","Per i cesenati ci sarà sempre. Per fortuna.","Il caffè Barriera é una parte della storia di Cesena. La stessa collocazione del locale - all'interno di una delle porte storiche di ingresso alla città - facilita una lettura molto cittadina del locale, forse non adattissima ai turisti, ma sicuramente piacevole per ogni cesenate. É piacevole fermarsi al Barriera qualche minuto per un caffè veloce, ma anche gustarsi un aperitivo di lavoro o con amici. I cesenati non ne possono fare a meno e, anche per questo, forse, continuano a frequentarlo numerosi."
"ui_bubble_rating bubble_50","Elegante e molto buono","Sono stato in questo ristorante trovato per caso, molto elegante e cibo di ottima qualità, raffinato e personale molto cortese. Lo consiglio"
"ui_bubble_rating bubble_40","Elegante e sofisticato.. forse troppo?","Otuna posizione, nel centro di Cesena, ma forse i prezzi potrebbe essere più alla mano. Si passano sempre delle piacevoli serate, il personale è molto cortese."
"ui_bubble_rating bubble_50","adoro questo posto","sarò venuta mille volte in questo bar e mai sono rimasta delusa.....sarà l'ambiente un pò old style....mi piace da matti l'atmosfera rilassata che si respira.camerieri sempre gentilissimi e disponibili e vasta scelta di prodotti :)"
"ui_bubble_rating bubble_40","cool e di tendenza","ottima pozione ,ampia scelta bar e ristorante, veranda all' aperto, bel servizio e buona qualita' del cibo, sicuramente perfetto per un pasto veloce e di qualita'"
"ui_bubble_rating bubble_40","Buono","Abbastanza fornito..ottimo il caffe...e buona ricchezza di vini ..praticamente in centro...bello anche il locale ho apprezzato sopratutto la veranda...tutto ok"
"ui_bubble_rating bubble_50","Aperitivo","Ampia scelta di vini e cocktail preparati con cura, il tutto accompagnato da ottime stuzzicherie. Ambiente rilassante e personale molto cordiale."
"ui_bubble_rating bubble_40","Colazione di lavoro ... con la stessa cura di una cena importante.","Non è il classico ristorante dove ci si reca per una cena romantica o fra amici o in famiglia o la trattoria rustica o l'osteria di paese, ma i piatti preparati dalla famiglia Pieri (Derno e il figlio Simone in cucina) nulla hanno da invidiare sia al ristorante internazionale che alla più tipica trattoria romagnola. E' un locale multifunzione: caffè, bistrot, pub, ristorante, in cui gustare dal buon bicchiere di vino, distillato, tisana, gaffè, al dolce, macedonia, tagliatelle al ragù di coniglio sapientemente preparate da Simone, penne alla vodka o al curry, per non parlare del risottino di pesce appena rosato o le favolose insalatone (piatto unico) preparate da Antonella. Oggi stavo gustando il risotto alla pescatora quando, un signore al tavolo di fronte, sentendomi interloquire col cameriere, mi sussurra: certo che siete fortunati voi romagnoli ad avere posti del genere, .... io sono di Milano e nella pausa pranzo è raro trovare piatti così genuini e curati. Non nascondo di essermi sollevato 3 centimetri dalla sedia per l'orgoglio che forse il luogo comune  in provincia si vive meglio sia ancora assolutamente una bella verità!!!!."
"ui_bubble_rating bubble_50","Caffe Barriera Cavour",""
