"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Lo ADORO! da tornarci sempre!","Vuoi un aperitivo formidabile, servito da un personale cordiale e attento alle tue esigenze? SEI NEL POSTO GIUSTO!Locale non molto grande ma offre cocktail e vino super, buon rapporto qualità prezzo, tuzzichini fatti a mano e taglieri davvero indimenticabili.Se sei per Cesena ed è orario di aperitivi, fermati e non te ne pentirai."
"ui_bubble_rating bubble_40","OTTIMO BAR","Noi frequentiamo spesso il sabato mattina questo bar, ottima fornitura di paste e dolci, personale giovane e gentile, atmosfera informale. A presto."
"ui_bubble_rating bubble_30","meglio per l'aperitivo...","ogni tanto quando sono in centro passo. devo dire che il locale è piccolo ma grazioso. il personale disponibile. l'aperitivo di buona qualità con miscelati e vini super. l'unica cosa che a mio parere stona è il caffè non all'altezza."
"ui_bubble_rating bubble_40","Un buon caffè","Abbiamo consumato un caffè davvero buono. Molto buone anche le paste e le torte. Il personale è molto gentile e disponibile."
"ui_bubble_rating bubble_50","ottimo caffè e derivati","miglior caffè a quant'altro si possa fare con il caffè di tutto il territorio ottima la colazione e pausa caffè. il mio ufficio molto vicino ci sono circa un paio di volte al giorno......... ................................................................................................"
"ui_bubble_rating bubble_40","caffè e cornetto","Miscela di caffè molto gradevole e varietà di paste, torte e cornetti notevole e di ottimo gusto.Professionale il personale, cortese ed attento.Il locale è piccolo, elegante con qualche tavolino.Una sosta da preferire nella via centrale di Cesena"
"ui_bubble_rating bubble_50","Ottimo ","Ottimo da tutti i punti di vista. Ottimi cappuccini, ottimi caffè, gentilissimi ma, soprattutto, complimenti ad Alex!"
"ui_bubble_rating bubble_40","Buoni centrifugati","Buone centrifughe di frutta e verdura per una pausa pranzo leggera e energizzante dopo gli eccessi dell'ottima cucina romagnola! Simpatici i due ragazzi al bancone. Un bell'ambiente!"
"ui_bubble_rating bubble_50","Colazione.... ","Per andare al b&b dove alloggiavo, sono passata per il caffè del corso. Location accogliente e confortevole pulizia e cortesia. Ho provato il classico bombolone romagnolo alla crema, che dire un gusto eccezionale. Lo consiglio vivamente. "
"ui_bubble_rating bubble_40","Accogliente","Frequento spesso questo bar, per un semplice caffè oppure per un aperitivo. Ottimo rapporto prezzo/qualità "
"ui_bubble_rating bubble_50","Piccola chicca nel centro cesenate","Questo piccolo bar merita davvero, ottimo il caffè e ampissima la scelta per la colazione, dalle stratosferiche brioche della pasticceria Elvis a torte, crostate e biscotti davvero buoni!Pulito,accogliente e curato nei minimi dettagli, davvero un bel posto dove poter prendere un buon caffè e fare quattro chiacchiere con il titolare, simpatico e molto attento ai clienti!Assolutamente consigliato"
"ui_bubble_rating bubble_50","ne vale la pena","il caffe' qui e' un rito, non vale la pena prenderlo normale quando puoi scegliere tutte le golosita' possibili, senza contare i cioccolatini e le varie goloserie dolci che hanno.."
"ui_bubble_rating bubble_40","Apericena accogliente","Ieri sera in attesa del l'orario della cena da Pippo sempre a Cesenatico e in una serata molto umida e quasi piovosa abbiamo approfittato dell'accoglienza del bar del Corso con scelta di spritz e prosecco accompagnato da patatine noccioline e olive in ambiente pulito ordinato ed accogliente. Siamo rimasti piacevolmente sorpresi dai bicchieri (vasetti) in cui ci hanno servito gli spritz e dal l'accoglienza molto educata e fattiva dei titolari. Unico appunto il conto appena appena caruccio in quanto per 2 spritz 1 te' e 1 calice di prosecco ci è sembrato che 21 euro e 50 centesimi ci è sembrato ...un po' caro!!"
"ui_bubble_rating bubble_50","di classe","chi è in visita a cesena non può non fermarsi in questa caffetteria di lusso dove il caffè è speciale e in tutte le sue forme e sfaccettature più strane ottimo."
"ui_bubble_rating bubble_50","Qualità e cortesia","Non sbagliano: buonissimo il caffè; ottima la pasticceria fresca; disponibile e gentile il personale. Un piccolo/grande bar del centro storico di Cesena."
