"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Relax","Sono stata all'hotel Casali perché cercavo una spa a Cesena ed avevo una mattinata libera. Nonostante fosse sabato mattina sono stata da sola tutto il tempo... Che volere di più per rilassarsi. Spa pulita ed accogliente ve la consiglio! "
"ui_bubble_rating bubble_40","Ottimo Hotel","Hotel in posizione centrale a Cesena ma comodo e rapido da raggiungere con l'autovettura proveniendo dall'autostrada. Gentile e premuroso il personale così come estremamente soddisfacente la colazione. La camera era ampia ed anche il bagno rispecchia appieno le 4 stelle. Hotel consigliato per soggiorni di lavoro o di coppia."
"ui_bubble_rating bubble_50","Famoso ristorante Casali","Il Sig. Casali, cominciò durante la guerra alla stazione di Cesena a vendere un vassoio con piadina vino o birra e perfino una sigaretta ai viaggiatori che erano nel treno e durante la fermata Lui faceva affari. Poi apri questo elegantissimo albergo, ristorante. Alla sua morte gli ere non se ne intendevano e diresse il ristorante il Sig. Maurizio. Si mangia molto bene, con eleganza ed infatti tute le riunioni del Rotary Club di Cesena avvenivano in questi locali arredati meravigliosamente."
"ui_bubble_rating bubble_40","Buon pasto","Ristorante curato, bel colpo d'occhio, un po' freddino in sala pero'. Manca musica di sottofondo, esaltando i discorsi dei vicini di tavola. Buona la qualità del cibo, carne saporita, non abbondante. Da non perdere i cappelletti in brodo. Buono anche il rapporto qualità prezzo"
"ui_bubble_rating bubble_40","Un ricordo idelebile","Molti e molti anni fa qui si celebrava il rito della cosiddetta Dittatura gastronomica. Non c'erano autostrade e le automobili erano poche. Ora la sala ristorante ha conservato un che di antico e di quieto. L'altra sala, quella più utilizzata è invitante e vi si mangia bene come solo in Romagna è possibile. Grande cortesia e tagliatelle deliziose. Vale una sosta o una deviazione dall'autostrada."
"ui_bubble_rating bubble_50","Eleganza e raffinatezza in cucina","Alloggiando in nel medesimo hotel non volevamo uscire la sera abbiamo optato di rimanervi per cena l'ambiente molto elegante e raffinato leggiamo il menù e scegliamo cappelletti in brodo ottimo era tanto tempo che non assaggiavo dei cappelletti così buoni per secondo abbiamo scelto la grigliata mista con verdure grigliate buona. La porzioni abbondanti il prezzo molto buono. Il servizio impeccabile ."
"ui_bubble_rating bubble_30","Accoglienza e buona cucina","Per coloro a cui piace la cucina romagnola, un luogo da conoscere.I cappelletti in brodo sono magistrali, ma anche le varianti di antipasti ed il buon pesce.Cordialità e servizio rinomate e prezzi onesti fanno da gradito corollario."
"ui_bubble_rating bubble_40","Ristorante Casali un classico prima dello stadio","Ristorante Casali, situato a pochi passi dalla scuola Pascal di Cesena. Tappa obbligata prima di andare a vedere il magico Cesena al Manuzzi. Tutte le volte mi sono sempre fatto consigliare dallo Chef/titolare Maurizio: dai cappelletti in brodo, alla tagliata di carne, ai dolci...Sempre una sicurezza. Consigliato prezzi medi"
"ui_bubble_rating bubble_40","La classe nei particolari","Antipasto di tonno affumicato con pinzimonio di asparagi alla colata di alici e sale nero in olio extravergine di oliva. Ti basta?"
