"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","D'altri tempi","Castrum del XII secolo ristrutturato con cucina stagionale a chilometro zero e richiami alla gastronomia dell'epoca. Il menù è fisso e varia in base alla stagionalità. Posto fuori dal tempo che lascia a bocca aperta e cibo buonissimo, anche se i deboli di stomaco potrebbero trovarlo troppo saporito e speziato. Il proprietario non perderà l'occasione per mostrarvi il castrum e raccontarvi la sua storia. Almeno una volta bisogna andarci."
"ui_bubble_rating bubble_20","Salvo solo la location ","A parte la location molto bella e caratteristica , il resto non mi è piaciuto non sapevamo che il menù è fisso , quindi sei obbligato a mangiare quello che ti danno . Appena arrivati ci hanno servito dei crostini se così si potevano chiamare freddi e un altro antipasto con fagioli e verdure . Dopo un ora ci hanno servito i primi tagliatelle al ragù di cinghiale e ravioli ai senapi (così li chiamano loro ) . Dopo un altra ora abbondante ci hanno portato i secondi che consisteva il arrosticini salame ed anatra con contorni di erbette e patate . Dopo un altra ora ci hanno portato il dolce una zuppa inglese , abbiamo chiesto il caffè che sicuramente era fatto con la moka ma sembrava più acqua che caffè . Totale €30 conto molto esagerato per quello ci hanno dato e non abbiamo scelto noi . Sconsigliato per chi come noi non piace mangiare come dicono gli altri . "
"ui_bubble_rating bubble_20","Cena fra amici ","Crostini freddi, minestre appena tiepide, carne cotta il giorno prima e servita a temperatura ambiente, dolce ancora congelato all'interno. Come ristorante non è proprio da consigliare. Per quanto riguarda la location, devo dire che è particolare e d'effetto, ma non ha sicuramente un valore storico e artistico come vorrebbe far credere il proprietario. Nel complesso però l'ambiente è gradevole."
"ui_bubble_rating bubble_40","Location veramente bella","Siamo stati in questo ristorante/agriturismo per pranzo con la famiglia.Il menù è a prezzo fisso, i bambini pagano la metà. Buone le portate, si mangia quello che offre la stagione.Non si ordina, appena ci si siede iniziano a portare il loro menù.Noi avevamo tre bambini, un po' difficile, ma hanno mangiato tutto.Questo è un vero agriturismo, ti danno quello che producono.La location è uno spettacolo, mi piacerebbe provarla in estate per godere della vista.Il proprietario è simpatico e ti spiega quello che mangi.Ritornerò sicuramente......"
"ui_bubble_rating bubble_40","Fantastico! ","Sono stato a castrum sagliani insieme alla mia famiglia per il giorno di Pasqua. Il posto è davvero incantevole, sembra quasi di essere in una favola e di essere tornati indietro nel tempo (Basta guardare le foto). La storia del posto è altrettanto bella e il proprietario sará molto felice di raccontarla, non a caso (da quel che ho capito) si possono fare anche delle visite guidate. L'entrata è attraverso una chiesa con un pavimento in vetro, dove è possibile vedere una parte di un sotterraneo. Si è sin da subito accolti calorosamente dallo staff e dal proprietario, sempre sorridenti e disponibili anche durante il resto del servizio. Il menù è fisso (nel nostro caso 32€) con: antipasto, verdure, polenta, 2 primi, grigliata (arrosticini, agnello, un po' di salsiccia), contorni di patate e melanzane gratinate,dolce, caffè, vino e acqua. Tutto fatto con gli ingredienti che la stagione ha da offrire. i piatti che personalmente mi sono piaciuti di piú sono state le tagliatelle con carne di capriolo e la polenta di ortica.. davvero davvero buonissimi. C'ero stato anche lo scorso anno ma purtroppo non ricordo granchè.. ma sicuramente anche l'anno precedente non era stata una brutta visita al ristorante. Do 4 stelle solo perchè la grigliata e i contorni erano un po' pochi.. ma siamo usciti tutti a pancia piena. (si meriterebbero 4 stelle e mezzo in realtá). Consigliatissimo per coppie e famiglie che cercano un posto tranquillo e famigliare ma data l'atmosfera (appunto molto tranquilla) del posto mi sento di sconsigliarla per mangiare con amici o con persone festaiole. Consigliatissimo!!! "
"ui_bubble_rating bubble_50","Un posto unico e sapori di altri tempi.... cucina stagionale","Un posto che non mi aspettavo, mattone dopo mattone, il Castrum è stato ricostruito dal proprietario Giuseppe che ci ha investito anima e cuore... La vista sulla vallata di frutteti ed infine il mare - di giorno uno spettacolo di colori, di notte le luci del lungo mare. E' un luogo colmo di storia - Giuseppe sarà felicissimo a raccontarvela.La cucina è stagionale e biologica, tutto rigorosamente ricercato e curato dal proprietario, che coltiva ed alleva gran parte di quello che vi proporrà a tavola. Usa erbe spontanee (es. papaveri) oppure fiori di acacia, riportandovi in contatto con la natura e con quello che di buono ha da offrire. Il Vin Santo, fatto da Giuseppe, è ottimo.Il menù è fisso, non è alla carta, non aspettatevi tovaglie bianche e camerieri con il cravattino - è un posto rustico, è per chi ancora apprezza le cose fatte con il cuore, le cose autentiche, chi non si fa abbagliare dall'apparenza.Un'esperienza da vivere!"
"ui_bubble_rating bubble_10","Posto meraviglioso ma Menù fisso a prezzo fisso.","Per il posto 5 stelle non bastano: è bellissimo, ricostruito benissimo, tanti particolari valorizzati. Di quel poco che ho potuto mangiare ( il menù è fisso e lo decidono loro) la carne era buona ed i fichi carammellati sotto spirito fenomenali. C'è un cartello con scritto di far presente eventuali intolleranze, ma la risposta che mi hanno dato al telefono è stata : noi facciamo questo e basta, lei mangia quello che vuole, ma paga tutto il menù . Al tavolo non mi è stato dato neanche il tempo di spiegarmi che sono partiti subito con l'ironia. ( secondo me non si dovrebbero deridere i clienti...). Comunque se non avete problemi di allergie od intolleranze, può valerne la pena (anche se potete decidere poco o niente e solo chiamando molto prima ) se le avete sappiate che pagherete anche quello che non mangerete."
"ui_bubble_rating bubble_50","Il meccanismo dell'orologio della torre","Con un nutrito gruppo di amici ci siamo ritrovati nella splendida ed accogliente dimora del Castrum Sagliani di Cesena.L’unicità del luogo, la competente accoglienza del proprietario che con rara ed accurata delicatezza propone la riscoperta di cibi e sapori della tradizione locale.Sono e siamo rimasti estasiati. Da visitare con un buon tempo a disposizione."
"ui_bubble_rating bubble_50","Un titolare ... interessante","Parlare di ..titolare..non rende neanche un po la immensa passione, il sacrificio e l'amore che ha messo l'uomo (ma anche la sua Famiglia) nel ricostruire, dalle macerie e dall'oblio della memoria storica, un borgo di stupefacente bellezza.Il titolare, dicevo, trasmette questa immensa passione raccontando tutta la storia della riscoperta del piccolo borgo e...della sua rinascita grazie al lavoro, certosino e determinato che lui, con il supporto della propria famiglia, hanno effettuato negli anni.Ma veniamo al dunque ! Il cibo servito a tavola è adeguato a tutto il resto descritto, tutto a Km 0, genuino e del territorio ma...non banale; ricette particolari, profumi, sapori e qualità ECCELLENTI !"
