"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Bene ma non benissimo","Panini buoni anche se abbastanza costosi, alcuni troppo asciutti, altri invece con la base del pane inzuppata di acqua (?)... patatine ripiene di aria! Orribili! Per non parlare della maionese che ti danno in una ciotolina piccolissima... non sa di niente, di NIENTE! Prezzi per posto e panini leggermente alti, va bene qualità ma non vedo questa differenza abissale con altri posti!Tornerò per i fagioli, che mi hanno davvero stupito!"
"ui_bubble_rating bubble_50","Il Migliore!","Posto carinissimo, un po’ piccolo forse ma il servizio è molto veloce e l’atmosfera molto calda e piacevole. Gli Hamburger di chianina sono di altissima qualitá, vasta scelta nel menù, tutto davvero squisito. Ormai è una tappa fissa: se non ci andiamo una volta a settimana non stiamo bene :) mitici!"
"ui_bubble_rating bubble_40","Novità molto carina","Panini in grandezza. nella media. qualità della carne è ottima rispetto alle grandi catene . Il Locale è molto carino mà piccolo. per un pranzo e una cena veloce :)"
"ui_bubble_rating bubble_50","Per me il miglior hamburger! ","Ci sono ritornato dopo diversi mesi e che dire: per me è il top! Qualità della carne molto buona, non appesantisce. Cottura perfetta, la mayonese di loro produzione è leggerissima. Anche le patatine sono buone e si sente che non sono fritte in un olio esausto come mi è purtroppo capitato altrove. Posticino raccolto ma decisamente carino, personale gentile. Consiglio di prenotare perché i coperti sono veramente pochi, neanche una trentina, ed è molto frequentato anche in settimana. Prezzi altini ma la qualità ti fa uscire soddisfatto. "
"ui_bubble_rating bubble_40","Serata in famiglia","Il ristorantino ha pochi tavoli per consumare in loco, molto si svolge in asporto, ma è lo stesso confortevole è carino. Ottima qualità dei piatti per la qualità delle carni usate! La tartara, certamente non battuta in diretta, e comunque di livella e molto magra. Non mi aspettavo questo piacere in un locale con indirizzo all’asporto."
"ui_bubble_rating bubble_40","MERITA","sono stata con un paio di amiche e abbiamo mangiato tre tipi di Burger diversi e devo dire che erano tutti ottimi. fantastiche anche le patatine. unica pecca è che i panini sono un filino piccolini; per fortuna ci sono le patate che saziano e rimangono leggere. i panini dovrebbero avere un formato un po' più grande perché se ne mangerebbero tranquillamente due senza sentirsi pesanti. salse artigianali ottime e leggere. servizio veloce anche se non al tavolo ma il locale è talmente piccolo che è tutto piuttosto comodo. merita altre visite e altri assaggi. consigliato per una cena veloce, stile American ma mooooolto più leggera di qualsiasi burgeria."
"ui_bubble_rating bubble_40","Ottimi hamburger artigianali","Ho più volte assaggiato gli hamburger di questo piccolo locale, sempre da asporto. Non mi è ancora capitato di mangiare in loco, anche perché esso sicuramente non è il punto forte dei giovani gestori in quanto manca di spazio utile per permettere la disposizione un certo numero di tavoli. Fa comunque piacere vedere che lavorano tanto con l'asporto, ed il motivo è chiaro: gli hamburger sono davvero buoni, tutti gli ingredienti ricercati (anche le semplici salse, si può scegliere ad esempio tra la mayonese heinz e quella fatta da loro) ed il personale gentile. L'unica cosa che posso puntualizzare è che il pane spesso si impregna un po', ma è un epilogo difficile da evitare considerando anche il tragitto locale-casa dove il panino viene consumato. In compenso, anche le patatine fritte sono buone, condite con un po' di rosmarino. Insomma 5 stelle sono troppe (per ora?) ma non si può negare che sia una delle migliori hamburgerie artigianali in zona. Continuate così "
"ui_bubble_rating bubble_50","Ottimo hamburger","Locale piccolino, è un pò difficile trovare un tavolo libero...ma l'attesa vale sicuramente la pena ! Anche l'hamburger 'base' è di una qualità e una bontà superlativa, così come le patatine, non vedo l'ora di tornarci per provare anche il resto! Personale molto gentile e prezzi nella media, consigliatissimo !"
"ui_bubble_rating bubble_40","Buono","Hamburger buono, servizio rapido, buona scelta di birre. Il locale ha un aspetto un po' da fast-food, non mi è piaciuto molto..luce molto forte, vassoi di plastica. Se si è in cerca di una cena al volo spendendo poco è il posto giusto"
"ui_bubble_rating bubble_40","Burgher top ","Come si dice “ nella botte piccola c’è il vino buono “ , il locale si presenta piccolo , ma quando si prende in mano il Menú , si può notare una ricerca particolare sul prodotto che ti viene proposto, grande selezione di carne e materie prime , buona selezione di birre . Consigliato , da ritornare sicuramente per provare anche altri panini ...."
"ui_bubble_rating bubble_50","Ottimo hamburgher!!","Qualità ottima sei prodotti, senza dubbio uno dei migliori hamburgher che abbia mai mangiato!! Servizio preciso e puntuali!"
"ui_bubble_rating bubble_50","Il toppppp","Il top, dopo svariate volte ma già alla prima ci ha subito convinti.... Troppo buono. Il pane è nella norma, ma tra carne, salsine e verdure... Quando penso ad un hamburger penso a chianí.. Servizio ottimo, buona selezione di birre. Che dire.... Il top! "
"ui_bubble_rating bubble_50","Buonissimo! ","Vorrei fare un ovazione alle patate fritte che non erano squisite, di più! Il panino era molto buono e la carne morbida! Molta cortesia ed educazione da parte del ragazzo alla cassa! Ci tornerò di sicuro! "
"ui_bubble_rating bubble_50","Davvero ottimo!","Ho avuto il piacere di cenare con il mio fidanzato, la sera di Ferragosto. Locale accogliente, il Responsabile cordiale ed ospitale. Ma il pezzo forte è l’hamburger. Ottima qualità su tutti i fronti, dal pane alla carne. Ottimo il chianì Romagnolo. Prodotti super, qualità eccellente! "
"ui_bubble_rating bubble_50","fantastica scoperta","è stata una piacevole scoperta, la carne è di ottima qualità e veramente buona .la scelta dei panini è varia da abbinamenti classici a più innovati . veramente consigliatorapporto qualità prezzo eccellente"
"ui_bubble_rating bubble_40","Piccolo ma buono","Sono stata in questo locale in una calda sera d'estate. Abbiamo mangiato nella piccola terrazza all'ingresso; il locale anche all'interno è piuttosto piccolo, lo spazio sembra però ben organizzato. Detto subito che non sono una super patita di hamburger, quello mangiato qui lo definirei veramente buono. Pane saporito, carne ottima e salse e condimenti vari in giusta proporzione. Insieme viene servita una bella porzione di patate veramente ottime. Hanno birra di varie qualità, alla spina o in bottiglia. Personale giovane, gentile e servizio veloce. Da provare."
"ui_bubble_rating bubble_40","Ottimo","Piccola burgheria vicino allo stadio ma un tesoro di sapori!!!Carne di prima scelta cucinata benissimo a un prezzo accesibile a tutti.Personale gentilissimo e veloce.Cosa dire ci ritornerò sicuamente, di corsa"
"ui_bubble_rating bubble_40","HAMBURGER TOP!","Miglior hamburger mai mangiato, qualità della carne ottima e degli altri ingredienti!Unica pecca locale piccolo, si sta un po appiccicati fuori!"
"ui_bubble_rating bubble_50","Buonissimo ","Panino agricolo veramente buono Carne tenera e succosa molto saporito! Per non parlare delle patatine fritte! Non unte e buonissime sicuramente ci ritorno! Servizio eccellente e personale cordiale! Prezzo nella norma!"
"ui_bubble_rating bubble_40","Hamburger top ","Locale molto piccolo e abbastanza scomodo..tavoli e sedie a mio avviso da rivedere anche se lo spazio permette poco..panini di qualità superiore rispetto alla media, ottima carne, ottimo pane e ottimi condimenti..scelta della birra alla spina un po’ limitata e per finire a mio avviso prezzo un po’ troppo alto..tutto sommato per una cena o un pranzo veloce e di qualità super consigliato.."
"ui_bubble_rating bubble_50","PRANZO ECCELLENTE","Tutto di qualità , abbinamenti originali e personale molto cordiale. Tornerò sicuramente nelle mie pause pranzo!"
"ui_bubble_rating bubble_50","Sempre un'ottima idea","Menù che va dai panini tradizionali a quelli più audaci, con periodiche nuove proposte. Ottima qualità ed evidente attenzione alle materie prime utilizzate, che giustifica un prezzo che possiamo definire buono. Ci sono tornato più volte e ho sempre mangiato molto bene, consiglio in particolare l'hamburger BBQ PULLED che a mio parere è sempre vincente. Il locale è curato ma davvero piccolo, motivo per cui ho sempre preferito prendere d'asporto (con tempistiche quasi sempre rispettate). Personale accogliente e disponibile, in particolare la cameriera riccia vegetariana che consiglia i panini a base di carne!;)"
"ui_bubble_rating bubble_50","Il top per gli hamburger a Cesena","Il Meglio su tutti i fronti, poco da dire. Dal pane alla ottima carne, al packaging complessivo... Una marcia in più per qualità. Bravi"
"ui_bubble_rating bubble_40","Hamburger direttamente a casa","Ho voluto provare l’hamburger di Chianì dopo che ne avevo sentito parlare molto bene e devo dire che ne ho avuto la conferma. Ho ordinato tramite food station che me l’ha recapitato direttamente a casa. Hamburger buonissimo, enorme e ben farcito, servito con patate fritte altrettanto buone. Lo consiglio vivamente!"
"ui_bubble_rating bubble_50","OTTIMA SCOPERTA","Siamo stati per la prima volta venerdì sera, siamo rimasti stupiti del fatto che questi panini fossero eccezionali, è vero non tanto grandi ma più che sufficienti, ottima qualità della carne e di tutto il resto. Grande gentilezza da parte dei ragazzi. Ottimo lavoro. L'unico neo è il parcheggio che è da ricercare."
"ui_bubble_rating bubble_50","Ottimo","Abbiamo pranzato con 2 ottimi hamburger. La qualità è veramente alta! Le porzioni non sono enormi è vero, ma grandi abbastanza da soddisfare uno stomaco medio. Prezzi leggermente sopra la media ma comunque accettabili. Consigliato."
"ui_bubble_rating bubble_50","Top hamburger di Cesena.","sosno già stato unpaio di volte a pranzo da chianì. Locale piccolino davanti allo stadio di cesena. Panini ottimi, anche grazie alla carne di chianina che da un sapore assurdamente buono. Ho preso due panini un agricolo ed un montanaro . tutti e due buonissimi. i sono però accorto troppo tardi nel menù di un panino super da 250 gr o giù di lì che mangerò la prossima volta. :p servizio rapido e cordiale. prezzo adeguato al tipo di carne"
"ui_bubble_rating bubble_40","Hamburger da asporto","Abbiamo preso due hamburger da asporto, patatine incluse nel prezzo, tutto molto buono. Abbiamo scelto di portare via gli hamburger perché il locale è davvero molto piccolo. La qualità è evidente ma forse i prezzi sono eccessivamente alti. "
"ui_bubble_rating bubble_50","Cena buona e sostanziosa","Gli hamburger sono ottimi, cotti a puntino e si sente che sono fatti con ingredienti di prima scelta (detto da una persona che non apprezza molto la carne rossa, è davvero un gran complimento!). Le patatine sono proprio buone, croccanti, salate al punto giusto e servite con una maionese delicata. I dolci sono semplici ma gustosi, ottimo il mascarpone con scaglie di cioccolato.Il servizio è stato molto veloce e cordiale, ci torneremo sicuramente, anche solo per l'asporto in quanto i posti a sedere sono limitati ed è facile trovare il locale pieno."
"ui_bubble_rating bubble_50","ECCELLENTE MA TROPPO CARO","Ordino tramite food station da chiani molto spesso. Hamburger ECCELLENTI, carne buonissima e di qualità, salsa bbq dolce fatta da loro OTTIMA, i migliori hamburger di Cesena senza dubbio! Unica pecca il costo di un hamburger è circa di 9€ secondo me davvero troppo visto che sono abbastanza piccoli.. Non riesco comunque a smettere di ordine da loro perché sono troppo buoni!!"
"ui_bubble_rating bubble_50","Bravi","prima volta in burgheria mi sono trovato molto bene la ciccia mi è sembrata di qualità ,ottima cottura ambiente pulito personale giovane e volenteroso"
"ui_bubble_rating bubble_40","da asporto","Forse altri locali simili offrono un menù più vario, nonostante questo rimane uno degli hamburger migliori dal punto di vista della qualità e delle materie prime, forse non uno dei più abbondanti in quantità. Valutato solo da asporto, chi ha intenzione di fermarsi nel locale tenga presente che i posti a sedere sono limitati, i parcheggi anche meno!"
"ui_bubble_rating bubble_50","Hamburger Squisiti!","Se volete gustare degli hamburger veramente squisiti dovete fare un salto in questo piccolo ma delizioso locale! La carne è eccezionale e molto buona anche la versione vegetariana dell'hamburger con pomodoro melanzana e mozzarella. Squisite le patate offerte dalla casa!Gestione giovane, gentile e attenta alla qualità del prodotto!"
"ui_bubble_rating bubble_50","Hamburger migliore di cesena","Hamburger top!!!! Menù interessantissimo (non solo hamburger) e quello che ho provato tutto ottimo, come sapori e qualità.... Consigliatissimo sia per asporto che per mangiare nel locale piccolo ma molto carino, originale ed accogliente..."
"ui_bubble_rating bubble_50","Piacevole scoperta ","Locale piccolo che ti immerge in una sensazione di calore,qualità della carne molto buona e presentazione dei piatti che,nonostante può considerato paninoteca o pub, risaltano molto all’occhio. Ottima la carne utilizzata e spero continuino così. Prezzi nella media "
"ui_bubble_rating bubble_40","Gustoso...","Piccolo ma ben curato locale, situato vicino allo stadio, offre ottimi hamburger a base di carne di prima scelta. I piatti sono ricercati, materie prime di qualità. Per un pranzo o una cena veloce ma sfiziosa è l’ideale. Unica pecca, il pane degli hamburger: è buono, ma per accompagnare ingredienti così ottimi forse servirebbe un pane più di qualità. Servizio veloce e personale gentile, cortese e sorridente! Sicuramente ci ritornerò! Consigliato!! Ps. Nelle serate classiche da uscita (venerdì e sabato) meglio prenotare. "
"ui_bubble_rating bubble_50","Panini favolosi","Hanno dei panini favolosi, la carne è molto tenera e saporita,,, un intero panino non ti appesantisce per niente,,, e vogliamo parlare delle patatine che lo accompagnano??? Una bomba! In più utilizzano il servizio a domicilio di foodstation,,, non li abbiamo scoperto così! Non lo abbandoneremo facilmente!!"
"ui_bubble_rating bubble_40","Gentilezza e bontà","Abbiamo cenato in questa burgheria è devo dire che siamo rimasti molto soddisfatti. Pani davvero buoni, diverse combinazioni succolenti e già accompagnati con le patatine, carne ottima. Vi consiglio di prenotare se volete mangiarli sul posto. "
"ui_bubble_rating bubble_50","Hamburger Ottimi","Ho cenato in questo localino sotto coniglio di un amico. Bisogna prenotare ma gli hamburger sono squisiti e ben fatti!! Materia prima Ottima. Lo consiglio vivamente.Ci tornerò sicuro!!!"
"ui_bubble_rating bubble_40","Soddisfatti! ","Il posto è un po' troppo piccolo rispetto al numero di coperti e quando viene aperta la porta, con questo freddo, diciamo che non è piacevolissimo per chi è seduto a mangiare. Ci ha serviti un ragazzo molto cortese, tempi di attesa giusti. I panini hanno un prezzo leggermente alto ma siamo usciti tutti e quattro soddisfatti: hamburger alla giusta cottura (non stracotto come mi è capitato altrove) e di qualità, condimenti assolutamente ben equilibrati, buone anche le patatine. Però sono d'accordo con chi ha scritto che magari bisognerebbe migliorare la qualità e la consistenza del pane più simile ad un sandwich che ad un panino. Comunque nel complesso credo che ripeteremo. "
