"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Il gusto della tradizione","Buona la piadina. Fa anche servizio per compleanni e feste offrendo piadine farcite, rotoli e crescioni di tutti i tipi. Sono buoni ammessi i cappelletti di piadina ripieni di Nutella. Simpatici i gestori. Durante il periodo estivo dispone di un giardinetto sul retro in cui è possibile fermarsi a mangiare. "
"ui_bubble_rating bubble_50","Piadina da re","Signore e signori, questo è il miglior chiosco di Cesena!Piadina ottima, abbinamenti originali, ma anche tradizionali, materia prima di alta qualità. Invenzioni stagionali. E questo per il lato cibo. Non vi fermate al fronte, sul retro puoi essere ospitato in comodi tavolini sul parco, in un’area estremamente curata. Servizio attentissimo e poi c’è Cello, il giovane titolare, che dopo averti conosciuto una volta, non si dimentica più di te e ti tratta come un amico di famiglia!"
"ui_bubble_rating bubble_40","CHE PIADINA !!!","Sulla strada del ritorno verso Milano mi fermo da un amico a Cesena che mi porta qui a a mangiare la piadina.Magari non capirò molto di questo cibo...ma una così buono non l'ho davvero mangiata.Per non parlare dei crescioni...Stesso riscontro da parte di mia mamma e mia moglieAmbiente informale che ti mette a tuo agio e possibilità di stare seduti nel parco dietro.Spero davvero di tornarci."
"ui_bubble_rating bubble_30","Piada in compagnia e non solo...","Piade, la famosa pidazza e quanto altro è possibile mangiare in questi chioschetto con annesso archetto dove stare in compagnia e o in famiglia, panzerotti e piccoli crescioni, insomma di tutto un po' all'aria aperta..."
"ui_bubble_rating bubble_40","TUTTO BUONO","Sono stato di recente a prendere piadine e crescioni in questo chiosco, tutto è buono e ben condito ma il meglio è sempre il gestore."
"ui_bubble_rating bubble_50","Veramente gustosa","Crescione ottimo, sebbene farcito alla grande leggero e digeribile, consigliatissimo. Scoperto per caso! Ritorneremo!"
"ui_bubble_rating bubble_40","Una sicurezza","Ottima la piadina, i crescioni e i rotoli,non hanno mai sbagliato un colpo! Generalmente chiamiamo per prenotare quindi non abbiamo mai aspettato per avere le ordinazioni.I proprietari molto gentili. In pratica una garanzia"
"ui_bubble_rating bubble_50","Cena con amici","Posto tranquillo all'aperto, le famiglie si rilassano mentre i bambini giocano tranquilli nei giochini del parco vicino!si mangia molto bene e i proprietari sono molto simpatici! "
"ui_bubble_rating bubble_40","piadine e cresceioni (un tipo di piadina imbottita e chiusa) di ogni tipo e x ogni gusto","Simpatia dei gestori e bontà della piadina x ogni gusto .farciture di ogni gusto anche vegane. comodo perché si trova sulla strada principale."
"ui_bubble_rating bubble_40","Se siete in fermatevi si mangia bene","Merita una sosta se siete in zona per una piadina o un crescione...buone e ben farcita, quantità abbondante quindi si pranza/cena senza dover fare il bis."
"ui_bubble_rating bubble_50","Qui solo PIADINA della vera tradizione Romagna","Se passate da Cesena...La PIADINA prendetela qui!!!È unicaIl creazione alle erbe il classico perfetto...E per chi ama l'innovazione ed è curioso non mancate i rotoli e i crescioni ai gusti più creativi..."
"ui_bubble_rating bubble_50","Simpatia & qualità ","Qui la cortesia e la simpatia sono di casa , come tutti i prodotti di altissima qualità! Piadina, crescioni, rotoli, cappelletti ripieni alla Nutella piadipizza allieteranno i vostri palati e sarete costretti a tornare in questo fantastico chiosco! Provare X credere!!!! "
"ui_bubble_rating bubble_50","5 Stelle meritate","L'ameno giardino estivo, offre riparo dalla calura al ritmo delle prelibatezze preparate dai gestori del chiosco....merita davvero!!"
"ui_bubble_rating bubble_50","Piadina fantastica!","Sicuramente una delle migliori piadine della città, se non LA MIGLIORE!! chiosco piccolino, di passaggio in una strada trafficata, che con ingredienti ricercati e di qualità, la piadina del giusto spessore e della giusta dimensione e ben farcita, ogni volta delizia il mio palato lasciandomi sempre più che soddisfatto!! 5 pallini meritatissimi! complimenti!"
"ui_bubble_rating bubble_50","Ottima piadina","Punto focale per la piadina a Cesena, ottima qualità, personale disponibile e brillante, prezzi nella norma, servizio veloce. Grazie"
"ui_bubble_rating bubble_50",".... la piadina!!!",".... la vera piadina romagnola !!! .... per non sbagliare!! ..... very well!! ottima!! ... con tanto di folklore locale!! ..... bravo FABRI!!!!"
"ui_bubble_rating bubble_50","Speciale!!!","Piadina eccezionale! Personale splendido, gentile, disponibile e cortese. Se vuoi mangiare la piadina fatta per bene non puoi non venire qui! Punto di riferimento a Cesena. Top di gamma!"
"ui_bubble_rating bubble_50","Buonaaaaaaaaa","Buonissima ora non so se la più buona di cesena ma sicuramente una delle migliori...noi abbiamo preso e portato a casa!buona!"
"ui_bubble_rating bubble_50","Piadina da urlo","Piadina deliziosa....la più buona di Cesena. Chioschetto piccolo,ma in posizione strategica, facile da raggiungere e con un bel parco sul retro. Ottime piadine da portare a casa, come nel nostro caso in Brianza. Da provare assolutamente."
"ui_bubble_rating bubble_50","NON SOLO PIADINA","Ho scoperto quel posticino da poco ma devo dire che è stato amore a prima piadina , piadina e crecioni stupendi presto ci tornerò per provare il resto , persone solari e amichevoli Bell posto ."
"ui_bubble_rating bubble_50","LA MIGLIOR PIADINA DELLA ROMAGNA","Da quando io e la mia ragazza abbiamo scoperto questo chioschetto ne siamo diventati dipendenti !! Il bello è che nella mia famiglia siamo due CUOCHI ( io e mio babbo) e abbiamo sempre fatto piadina e crescioni in casa, per questo motivo ho sempre reputato inutile andare a mangiarle fuori, anche perché la maggior parte delle volte è sempre stata una delusione, ma un giorno presi dalla fame decidiamo di provare questo chioschetto ed è stato amore ! Pur abitando a Santarcangelo, una volta ogni tanto prendiamo la macchina e andiamo a trovare Cello per degustare i suoi crescioni, composti da un ottimo impasto (tra i migliori che abbia mai sentito) e dei condimenti di prima scelta... DA PROVARE!!!"
"ui_bubble_rating bubble_30","Più che per la piadina, si va per Fabrizio","Questo chiosco di piadina tipica romagnola si trova in una posizione strategica, facile da raggiungere, con un bel parco sul retro in cui è possibile sedersi per mangiare in tranquillità. La piadina è nella media, i prezzi alti, ma qui si va per sentire le battute di Cello, non per la piadina. In conclusione, se si cerca una buona piadina si trova di meglio, se si vuole passare una divertente serata, questo è il posto giusto!"
"ui_bubble_rating bubble_50","Non solo piadina","Vasta scelta fra piadine, rotoli, crescioni e piadipizze, inoltre puoi fermarti a mangiare nell'accogliente giardinetto sul retro lasciandoti intrattenere dalle perle di saggezza del vero macho romagnolo!!! Cello, numero 1!!!!"
"ui_bubble_rating bubble_50","CELLO ED IL PASSATORE UNICI","Buffet di cibo strepitosa con solo 10€ a persona, tanta varietà e tanto reso...Fabrizio (il proprietario) simpaticissimo ci fa morire dal ridere! Complimenti a tutto lo staff!"
"ui_bubble_rating bubble_50","Provare per credere","Una delle migliori piadinerie di Cesena. Ha una gran varietá di scelta, fedele alla cucina romagnola. I gestori sono simpaticissimi."
"ui_bubble_rating bubble_50","Spettacolare","Non ti sbagli qui!!! Tutto buonissimo e servizio speciale !!! Piada e crescioni ottimi veramente gustosi e ben cucinati, qua c'è la vera romagna!!!"
"ui_bubble_rating bubble_50","Non si sbaglia","Se avete bisogno di un buffet di qualità lasciate fare al Cello: rotoli, crescioni e piadine farcite, già porzionati e pronti da servire in cesti di vimini avvolti nei teli della tradizione romagnola. Il successo è assicurato!"
"ui_bubble_rating bubble_50","Buffet strepitosi","Da qualche anno mi affido a questo chi socio per fare il buffet di compleanno per mia figlia, che festeggia in un parco giochi li vicino. Quest'anno ha festeggiato insieme ad un altra coppia perché il loro figlio compiva gli anni in quei giorni. Non sapendo loro come organizzare il tutto, mi hanno affidato il compito di contattare il chiosco, che loro tra l'altro non conoscevano, per fare il buffet. Devo dire che sono stati entusiasti di tutto, abbondante, buono, e sopratutto una cordialità e disponibilità incredibile da parte del titolare, che si è offerto di portare il tutto presso il parco, mettendolo addirittura nei cestoni, con i tipici strofinacci romagnoli. La mia opinione è ottima, sia per la disponibilità sia per la qualità del cibo... E sopratutto un prezzo decisamente contenuto.!Da provare i rotoli!"
"ui_bubble_rating bubble_50","Il chiosco della romagna","Piadina eccellente tipica cesenate, il proprietario un patacca che vi farà spataccare... la vera piadina cesenate!!"
"ui_bubble_rating bubble_50","La piadina e....tutte le sue sfaccettature!!","Ho visto nascere e crescere Il Passatore (abitavo a Cesena al momento dell'apertura)e non avevo mai preso altro che piadina e affettato, da mangiare poi a casa. Da quando non abito più a Cesena, ogni volta che torno è una tappa fissa, e con piacere provo le squisite variaizioni sul tema che Fabrizio (e Laura, ovviamente) hanno introdotto: l'ultima, in ordine di tempo Verza e Cotechino (nei mesi invernali, naturalmente) è semplicemente spettacolare.La cortesia e competenza di Fabrizio, la gentilezza di Laura fanno il resto.Da non mancare per una pausa di lavoro ma anche per una piadina squisita da portare a casa e condividere con i propri cari."
"ui_bubble_rating bubble_40","Pura Romagna","...... Se vuoi mangiare un'ottima piadina, rotoli, crescioni, insalate..... ecc. e fare due risate con amici consiglio vivamente di fermarsi al chiosco di Fabrizio (proprietario) .. non ve ne pentirete...!!!"
"ui_bubble_rating bubble_50","<U+0001F51D>","Io e i miei amici in durante l'estate ci fermiamo sempre a mangiare nei tavolini sul parco, la qualità è eccellente, ci portano tantissima roba, solo con 10€ a testa, e poi la risata e garantita!!!!"
"ui_bubble_rating bubble_40","Ottimo e abbondante!!!","Come al solito una certezza!sono ritornato ieri sera per l'n-esima volta a prendere rotoli e crescioni, tutti buonissimi, e molto grandi, sia i rotoli che i crescioni!Per i più golosi provate i rotoli dolci con la nutella, sono STRAFARCITI!!!Prezzi buoni!!!UNA CERTEZZA!!!"
