"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Purtroppo è così","Ci sono stato un paio di volte. Locale a torto frequentatissimo con gestore simpatico e chiacchierone. Crescioni ben cotti e scontrino fiscale solo su richiesta."
"ui_bubble_rating bubble_50","Il top","Niente da dire , rotoli e piadina veramente squisiti, sia come cottura che come farcitura, impasto DOC."
"ui_bubble_rating bubble_50","Istituzione","Sono tornato qua dopo 17 anni e nonostante il luogo Cambiato,rimane la migliore piadina di sempre.Locale è un chiosco con due tavoli, c'è sempre gente che ordina soprattutto da asporto. La scelta è variegata ma risulta davvero digeribile!Uno consiglio è Provarla!!!Spettacolare!!!"
"ui_bubble_rating bubble_50","Che bontà ","Piadina e crescione buonissimi!!! Ritorno a Cesena dopo alcuni anni desiderio di mangiare una buona piadina e non potevamo scegliere posto migliore. "
"ui_bubble_rating bubble_40","Sempre super","Questo weekend dopo 4 anni che mancava in questa terra meravigliosa sono ritornato al chiesto che dire sempre super, se ci penso ho l'acqualina..."
"ui_bubble_rating bubble_50","Eccellente","È un chiosco che ho scoperto da poco...... veramente eccezionale..... crescioni grandi e ben farciti.... scelta ampia.....il migliore di Cesena. Rapporto qualità prezzo molto buono."
"ui_bubble_rating bubble_50","Se un buon crescione vuoi mangiare al Chiosco del Savio devi andare!","Weekend con famiglia e amici a Mirabilandia. Abbiamo soggiornato a Cesena e la sera per cena abbiamo optato per questo piccolo chiosco in cerca di piadine e crescioni tipici, specialità della zona. La qualità dei prodotti, ospitalità e professionalità del Sig. Paolo e del suo staff hanno superato le nostre aspettative! Torneremo senz’altro a trovarvi! Grazie!"
"ui_bubble_rating bubble_50","Miglior slow food mai provato!","Chioschetto molto affollato e gestito brillantemente da una simpatica coppia. Servono piadine, rotoli e crescioni con una grande varietà di impasti e ripieni. Tutto preparato al momento e freschissimo. La simpatia dei proprietari è la ciliegina sulla torta! Consigliatissimo!"
"ui_bubble_rating bubble_10","Schifo","Ci sono stata più volte, maleducati e distaccati. La cordialità non sanno neanche cosa sia!Un mezzo sorriso neanche morire cosa che invece è importante quando gestisci questo genere di attività."
