"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una delle migliori pasticcerie di Cesena!","Da anni mi affido a Claudio per le colazioni. Ricca scelta di paste al mattino, con caffetteria inclusa. Il locale è sempre pieno, anche i tavolini fuori in inverno. Prezzi nella media per la qualità che a mio avviso è alta. Una sicurezza. Devo ancora provare tuttavia le torte."
"ui_bubble_rating bubble_50","La Crema migliore di Cesena","Insieme ad un'altra pasticceria di Cesena si gioca, il titolo come miglior crema di Cesena, che dire davvero squisita. "
"ui_bubble_rating bubble_30","Desinare veloce","Ristorante con cucina valida in relazione al prezzo ,ma la quantità degli ospiti va a danno del servizio per cui si devono attendere tempi infiniti per essere serviti."
"ui_bubble_rating bubble_50","Migliore a Cesena","La crema e le paste di Claudio sono le migliori!Il locale è accogliente, il personale attento e disponibile, sempre sorridente.Alla mattina il BUONgiorno è assicurato, se si consuma la colazione da Claudio. Consiglio di assaggiare le nuove tortine alle mele.... Spettacolari!Paste vegane super!!!!"
"ui_bubble_rating bubble_50","TOP","La miglior crema di Cesena! Super consigliata la pasta con Crema e Noci all'esterno! Ogni sabato mattina, quando capito in centro, la colazione da Claudio è d'obbligo!"
"ui_bubble_rating bubble_50","Torta senza lattosio","Ho prenotato una torta senza lattosio ed era assolutamente strepitosa. Pan di spagna sofficissimo e creme deliziose. Nel complesso una torta molto bella e molto buona. Grazie davvero!"
"ui_bubble_rating bubble_50","Amore per la qualità ","Non vogliamo essere il top per nessun motivo, questo fa parte della nostra personalità ma mi riferisco alla gente che punta il dito, a volte può succedere qualche mancanza come arance limoni ecc ma il prodotto è sempre stato di prima qualità e questo lo dimostra la grinta e la clientela che ci segue sempre... sfido qualunque paragone di prodotti... Altra cosa non siamo una fabbrica di prodotti standard ma producendo tutto a mano capita che le dimensioni a volte sia differente. Con questo grazie per le vostre recensioni che in ogni modo ci aiutano a crescere ed a rimediare gli errori che involontariamente possono succedere..... Pasticceria Claudio "
"ui_bubble_rating bubble_20","Che succede? ","Questa recensione si riferisce alla sede vicino a Piazza del Popolo. Claudio era la mia pasticceria preferita, ultimamente però la qualità dei prodotti è scaduta. Questa mattina, venerdì, ore 10 il banco paste era completamente vuoto, così come la pasticceria mignon. Le arance per fare le spremute erano terminate. Non è possibile che una pasticceria come questa sia così sprovvista alle 10 di mattina. Oltretutto i clienti non sono stati tanti da come si può vedere dal numero dello scontrino. Nota positiva il personale, sempre dolce e sorridente. "
"ui_bubble_rating bubble_30","Buona","Ogni dolce che abbiamo preso in questa pasticceria è stato al livello delle nostre aspettative. Buoni e freschi. Sicuramente c'è ancora da provare molto per poter dare un giudizio completo ma per il momento non c'è nulla di cui lamentarsi. "
"ui_bubble_rating bubble_10","Qualità scaduta :(","Claudio era una delle migliori pasticcerie di Cesena. Ultimamente ha cambiato il prodotto..ora paste, torte e ripieni sono pieni di stabilizzanti e aromi artificiali :(! Provare per credere, il gusto è totalmente cambiato. Claudio, torna quello di un tempo!!!"
"ui_bubble_rating bubble_30","Discreta.","Discreta pasticceria anche se alcune volte le paste di proporzioni ridotte. Locale carino con parcheggio davanti."
"ui_bubble_rating bubble_40","Torte e paste buonissime","Vengo in questa pasticceria per tutte le occasioni festive e compleanno di familglia!! vasta varietà di paste e torte una più buona dell'altra!! Che dire ., ogni festa e compleanno di famiglia né approfitto per prendere torta e pasticcini!!!"
"ui_bubble_rating bubble_40","Acquolina..","Una delle migliori pasticcerie di Cesena per scelta e qualità, quando siamo in zona è tappa fissa per le nostre colazioni o merende!"
"ui_bubble_rating bubble_30","Ottima pasticceria","Una delle migliori pasticcerie di cesena per scelta e qualita.... Paste e torte ottime che dire consiglierei una volta di provarla merita tutto...! "
"ui_bubble_rating bubble_30","La miglior crema pasticcera","Non ha paragoni: propone la miglior crema pasticcera di Cesena. Basta assaggiarla per tornare. Ben curato il servizio; pulitissimo il locale."
"ui_bubble_rating bubble_50","Il numero uno ","Amo amo amo questa pasticceria dal personale sempre gentile e disponibile, dal pasticcere Claudio e collaboratori sempre attenti nel curare ogni minimo dettaglio,le torte sono speciali e squisite e bellissime da vedere!!! I pasticcini sono veramente ottimi speciali come le torte ,è da tanti anni che mi servo in questa pasticceria e per me' non c'è pasticceria più buona di questa!!!!complimenti a tutti "
"ui_bubble_rating bubble_50","La migliore","Se cerchi la miglior crema pasticcera della città, sai di trovarla da Claudio. Se cerchi prodotti freschi e soffici, sai di trovarli da Claudio. Se cerchi la pasticceria che fa la differenza, Claudio è il luogo da frequentare. A dirlo sono le mie figlie ed io la penso come loro."
