"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Superlativo!!","Ottimo sushi! Locale piccolo e con cucina a vista e ciò è già una garanzia. Il menù è abbastanza ampio e i prezzi onesti se rapportati al prodotto. Diffidate dalle formule all you can eat perché la materia prima si paga, il sushi o lo mangi buono oppure è meglio non mangiarlo. Faccio i complimenti al sushi man per il sushi che pur non essendo il migliore che io abbia mai mangiato si piazza nella mia top five, tuttavia, posso dire che a Cesena mi sembra uno dei migliori se non il migliore! Bravi ragazzi continuate cosi da oggi avete un cliente in più! "
"ui_bubble_rating bubble_40","Buonissimo","Ottimo sushi, di qualità. Per essere solo da asporto i prezzi sono un po' sopra la media ma ne vale la pena! "
"ui_bubble_rating bubble_40","Buono","Possibilità di consegna a domicilio e take away ottime, anche se bisogna utilizzare whatsapp/telefono.Fanno solo sushi, nient’altro.Ma il sushi che propone questo ristorante è sicuramente sopra la media rispetto agli altri a Cesena. I prezzi sono leggermente superiori.Ma il Sushi, costa.Tuttavia il vero Sushi, quello mangiato in Giappone è un’altra cosa.Ma in Italia, a Cesena, la proposta di College Sushi non è male.Consigliato.Unico appunto : il wasabi va messo tra il riso e il pesce, non a parte. E magari andrebbe utilizzato quello giapponese, la versione proposta ne è un lontano parente."
"ui_bubble_rating bubble_50","Finalmente il vero sushi!!!","Dopo il pullulare di ristoranti asiatici che propongono un sushi mediocre con quella squallida formula all you can eat, finalmente è arrivato a Cesena il sushi di livello. Tutto davvero ottimo, dalle tartare ai menù speciali. Il locale è pressocchè esclusivamente da asporto anche se d'estate dispone di un piccolo giardinetto con un paio di tavolini dove è possibile sedersi e gustare in loco i prodotti che sono davvero di qualità. I prezzi sono un pò più alti rispetto a quelli dei ristoranti ma la qualità e la pulizia si pagano.Due consigli: 1) ordinate con un certo anticipo (io consiglio entro le 19) sennò poi vi toccherà aspettare tanto perchè la clientela è numerosa 2) non vi confondete con il numero di telefono perchè esiste una succursale anche a Forlì e se sbagliate numero vi toccherà andare a ritirare il sushi in un altra città!!!"
"ui_bubble_rating bubble_50","Miglior sushi d’asporto","Sicuramente il miglior posto dove prendere sushi di qualità a Cesena dal momento che non fa AYCE. Diverse sono le offerte del menù e gli uramaki special hanno dei gusti davvero particolari. Occhio ai prezzi che sono un po’ alti, ma tutto sommato vale quello che mangi."
"ui_bubble_rating bubble_50","Gnam!! ","Ottimo sushi! Niente a che vedere con i soliti ristoranti fusion in cui il pesce sa di gomma e non ha sapore. Ottime materie prime e bella anche la presentazione della confezione d'asporto. I prezzi sono più che giusti considerando la qualità del pesce. Sicuramente tornerò ad ordinarlo perché ne vale davvero la pena!Viva il sushi! "
"ui_bubble_rating bubble_50","Qualità sopra le righe","Al primo assaggio riconosci la qualità del buon cibo. Sushi freschissimo e ingredienti mirati ad esaltare i sapori. Staff giovane e cordiale, location simpatica e cucina a vista.Take away e anche piccolo punto di ristoro all'esterno quando non è freddo.Consigliato per mangiare un pasto non all you can eat, ma per assaporane la bontà."
"ui_bubble_rating bubble_50","Ottimo","Mi hanno consigliato di prendere il sushi qua... non avevo mangiato mai sushi qui a cesena. Non sapevo neppure che fosse solamente da asporto. Bè, posso solamente dire che sono rimasta molto contenta, il sushi che ho portato a casa era ottimo. Sicuramente ci tornerò. "
"ui_bubble_rating bubble_50","Eccola la qualità","Il locale è moderno, estetico e colorato, la freschezza dei prodotti e la salubrità del locale è messa subito in risalto da un grande vetrata che separa la cucina comunque a vista, dalla piccola saletta di attesa.Le confezioni da asporto sono ben curate e protette e volendo effettuano la consegna a domicilio.Dimenticatevi l'ormai dilagante Cinese Sushi, qui si mangia Romagna Sushi!"
"ui_bubble_rating bubble_50","Sushi a casa, di qualità","Ho provato la consegna a domicilio utilizzando il servizio tramite whatsapp.Molto facile e veloce sfogliando il menù direttamente dal sito internet; perfetti nella consegna che è stata puntualissima, anzi anche con qualche minuto di anticipo.Il sushi è molto valido e di qualità: quindi bisogna capire che si spende di più rispetto che mangiare ad un ristorante all you can eat.Sicuramente da provare!"
