"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Tradizione e certezza ","Piatti tipici della tradizione romagnola, con la famiglia o per lavoro troverete sempre un posto accogliente e genuino.C’è anche la pizza!Consigliato "
"ui_bubble_rating bubble_40","Ci torno sempre volentieri","Cena veloce in ambiente familiare, locale conosciuto da tempo.Titolare gentile e sempre attento, così come il personale.Buona la pizza così come la carne ai ferri."
"ui_bubble_rating bubble_30","storico ristorante di cesena, forse un attimo caro...","Storico ristorante di cesena sito sulla via emilia, arredamento assolutamente anni 70 e pietanze classiche per un ristorante pizzeria di quell'epoca....non troverete nulla al di fuori dell'ordinario.Mi sono fermato per pranzo, il servizio è molto piacevole ed informale, la pasta ripiena assaggiata buona, ma leggermente cara.Nel complesso un buon ristorante, ma nulla di eccezionale."
"ui_bubble_rating bubble_50","Mangiare da Baldo...una garanzia!!","Ogni volta che vengo a mangiare da Baldo è un'emozione.. profumi e sapori di casa..accoglienza sempre bella e sorridente e il mitico Baldo sempre pronto a farti un saluto e a darti il meglio che c'è! I primi sono fantastici, consigliatissima la pasta e fagioli Se passi da Cesena è una tappa obbligatoria<U+270C>"
"ui_bubble_rating bubble_40","Baldo é una icona ","Da Baldo si va con la stessa naturalezza con cui si visita una piazza o un monumento della tua città.Ristorante pizzeria storico, é più una istituzione e una risorsa del patrimonio storico culturale, che un posto per gourmet sopraffini. Il buon baldo, vecchio suonato, ancora ce la fa! Non si mangia male, ma neanche bene, si. Mangia. La super tagliatella che propone é senza infamia e senza lode. Grande, troppo liscia, un po in la di cottura, ben condita. Pizza ok e ottime insalatone.Resisti baldo, resisti. "
"ui_bubble_rating bubble_40","I sapori di una volta","Vado spesso in questo ristorante-pizzeria tradizionale, in cui si possono assaporare i piatti tradizionali della cucina romagnola. Ottimi soprattutto i cappelletti in brodo."
"ui_bubble_rating bubble_50","Cucina casalinga: ottimo e abbondante!","Questo ristorante ci è stato consigliato dalla titolare del B&B dove risiedevamo.Locale rustico, quasi un osteria, atmosfera accogliente e personale gentile e veloce.L'arredamento ed il menù sembrano usciti dagli anni '70 ed anche se non credo che sia una cosa voluta, risulta comunque gradevole.Ho assaggiato la pasta e fagioli (piatto che ormai si trova raramente nei menù) e secondo me era favolosa: mi ha fatto tornare bambino, sembrava quella che faceva mia nonna. Onesta ricca cremosa e piena di gusto.Dolci casalinghi davvero buoni.Porzioni molto abbondanti e prezzi onesti.Credo che da un locale come questo non si possa chiedere di più!Consigliato"
"ui_bubble_rating bubble_30","C'ERA UNA VOLTA.....","Dopo molto tempo che non tornavo da Baldo mi sono fermato una sera per mangiare una pizza che ricordavo ottima. Purtroppo hanno cambiato il pizzaiolo e la pizza servita non era neanche lontana parente di quella che mangiavo anni fa. Insipida, poco fragrante,assolutamente anonima. Rimane la cordialità e la gentilezza ed un conto sicuramente onesto."
"ui_bubble_rating bubble_40","Da baldo davvero bene","Scettico sul posto, invitato a un compleanno devo dire che tutto davvero buono...birra ben filtrata...pizza curata e strozzapreti spaziali e dolci deliziosi...servizio davvero curato e generoso... soprattutto una cameriera in particolare che mi ha dato Montenegro in pochi secondi!da consigliare"
"ui_bubble_rating bubble_50","Lavorativo","Uno dei migliori ristoranti pizzeria di Cesena se non il migliore! Cucina tipica romagnola con qualità del cibo alta!Titolare del ristorante sempre presente e attento al cliente e servizio molto cordiale e simpatico! Posizione molto comoda con parcheggio annesso! Baldo re di cesena!"
"ui_bubble_rating bubble_30","Baldo una vita per il ristorante.","Pizzeria piuttosto grande con arredamento un po datato, Pizze abbondanti ma sottile e fragranti, Condimenti buoni, Primi normali discreti , Dolci buoni. Servizio gentile e veloce, Si avverte nell'aria un po di stanchezza."
"ui_bubble_rating bubble_50","La storia di Cesena","Da Baldo, ma per i più è e sarà sempre l'Arrostogirato, anzi il Girarrosto.Qui ci facevo le cene di classe delle medie, e qui ci venivo spesso, tantissime vole, con amici, parenti, ecc...E' forse in questo locale che ho mangiato la mia prima pizza in assoluto.Poi nel tempo cambiò gestione, più volte, e persi l'abitudine, preferendo altri posti .... forse il locale era anche un po' decaduto.Poi Baldo ha ripreso tutto in mano ... ed è stato meraviglioso, ritornare a quei tempi e ritrovare il locale di nuovo operativo al meglio. Ha rimasto un po' il gusto degli anni 80, e questo è il suo grande pregio; qui ho ritrovato la semplicità e la spensieratezza di quegli anni.La pizza è ottima, inoltre (cosa ormai rara nei ristoranti) tengono anche la frutta (almeno quella sera avevano il cocomero). Servizio semplice e cordiale, e potete vedere l'inossidabile Baldo che gira tra i tavoli a controllare la situazione. Evviva !"
"ui_bubble_rating bubble_40","Pizza buonissima","Tutte le volte che vengo in questo locale ordino sempre la pizza perché merita: è una delle più buone in città. Chiedetela stesa...è sottile, croccante e buonissima."
"ui_bubble_rating bubble_50","Cena in tarda serata","Sono stata in questo locale venerdì sera 15 agosto 2017. Abbiamo ordinato 2 pizze di vari tipi, 1 acqua gasata, 1 Fanta in barattolo e 1 birra in bottiglia. Tutto buonissimo. A fine cena, 1 tartufo, 1 sorbetto al caffè e 2 caffè. Complimenti alla cordialità del titolare e al suo staffa. L'unica è di non offrire limoncello o altro."
"ui_bubble_rating bubble_40","CUCINA ROMAGNOLA","Locale un pò datato come arredamento, ma da provare se si vuole assaporare la cucina romagnola. Consiglio vivamente per gli amanti il bollito."
"ui_bubble_rating bubble_50","Profumo di Romagna","Qua si trova la vera cucina romagnola , ottimi piatti e prezzi contenuti , la pizza poi è fantastica, l'abbiamo provato sia a cena che a pranzo, sicuramente una visita è d'obbligo!"
"ui_bubble_rating bubble_50","Pranzo di lavoro","Pranzo di lavoro chi ha ordinato pizza chi insalatina chi menù del giorno tutto ottimo dalle tagliatelle al coniglio il servizio gentile e professionale conto onesto bravi."
"ui_bubble_rating bubble_50","Tagliatelle che valgono il viaggio","Un ristorante pizzeria tradizionale, ma dove si possono mangiare le migliori tagliatelle della Romagna condite anche in modo originale e intrigante."
"ui_bubble_rating bubble_10","DA ESCLUDERE ED EVITARE","Difficilmente lascio recensioni negative.....Apprezzo la passione ,la volonta' e la voglia di lavorare delle persone.....ma qui non posso esimermi....Locale fatiscente . All'ingresso una bella ragnatela lungo la porta d'entrata dovrebbe lasciar presagire che forse.....converebbe cenare altrove.Servizio non costante,ma la cameriera piu giovane si e' mostrata cordiale anche se poco attenta...(e' comunque arrivata al tavolo dopo richiesta)I prezzi assolutamente fuori luogo !!!!!!! Un primo semplice a 9 euro (esagerato per la location)e una porzione IN BIANCO alla modica cifra di OTTO euro. Pizza buona....leggera ma assolutamente sopra la media prezzo in locali della medesima categoria...Grigliata a 15 euro con 1pancetta striminzita,1 salsiccetta,1 pezzetto di fegato(che tra l'altro non gradisco)1 bocconcino di carne e due striscette di petto di pollo..... vabbeh.....il contorno era incluso..... In ogni caso prezzo ESAGERATO...... considerata la location.....Il conto ???? Uno scontrino con il totale senza il dettaglio.... E guarda caso aveva sbagliato in eccesso......Qualita' discreta ad un prezzo sproporzionato e poca trasparenza...Adios'"
"ui_bubble_rating bubble_30","...pizza buona.","Ci abito quasi dinfronte ma non mi sono mai fermato. Ultimamente la ordino e la porto via. Forno elettrico ma pizza buona. Personale educato e gentile. Baldo...un'istituzione a Cesena!"
"ui_bubble_rating bubble_30","Senza troppe pretese","Il locale, come detto da altri, è un po datato, molto simile a quelli delle pensioni romagnole degli anni 80. Il sevizio è celere. Siamo stati consigliati da un collega ed abbiamo mangiato le tagliatelle...non si sbaglia. In effetti le ho trovate buone (un po scotte). Ottimo se cerchi qualcosa di rapido e di casareccio in alternativa al fast food od ai panini."
