"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","UN PECCATO NON POTER MANGIARE","Venivo da Parma, ma purtroppo quanto sono arrivato avevano già finito tutto, a malincuore me ne stavo per andare quando il signore della piadineria vedendo la mia faccia triste, mi ha detto di aspettare e da dietro il bancone mi ha consegnato una busta con all'interno 4-5 piadine calde ma vuote. Ho cenato mangiandone un paio, nonostante fossero vuote ho potuto comunque assaporare il sapore dell'impasto, qualità molto buona! Ci ritornerò per assaggiarle farcite. Titolare davvero gentile e simpatico. Consiglio!"
"ui_bubble_rating bubble_50","La mia Piadineria di fiducia","Per lavoro vivo durante la settimana a Cesena e spesso la sera per cena mi fermo da loro, anche per fare la spesa per casa.Persone squisite e prodotti eccezzionali, ho provato altre 3 Piadineria nella zona ma loro non si battono per qualità prezzo e dimensioni Provata a chiedere una schiacciatina Od un rotolo....Guardate le mie foto e fate le misure"
"ui_bubble_rating bubble_40","Crescioni e rotoli giganti.","Chiosco di piadina in centro a S. Egidio di Cesena, vicino alla Chiesa. Rotoli e crescioni molto grandi. Consigliabile la prenotazione con largo anticipo. Prezzi davvero competitivi."
"ui_bubble_rating bubble_50","Wowwwwww","Ringrazio chi mi ha fatto scoprire questa fantastica piadineria. I crescioni sono molto grandi e molto buoni, il pomodoro poi non è acido come in alcune piadinerie adiacenti, per non parlare dei rotoli veramente ricchi di sapori. Unica pecca è che bisogna prenotare perché rischi di arrivare e non trovare nulla. Ci tornerò molto presto. COMPLIMENTI!"
"ui_bubble_rating bubble_50","Piada, crescioni e rotoli insuperabili. ","Cliente da molto tempo, posso dire che rimango sempre impressionato dalla bontà e dalle dimensioni di rotoli e crescioni. la piadina sempre ottima è una garanzia. Ultimo ma non meno importante è anche la gentilezza e la disponibilità dei titolari. "
"ui_bubble_rating bubble_50","La Piadina The best","Secondo me la miglior piadina di Cesena. E' buonissima anche il giorno dopo perchè rimane morbida e non si secca come le altre. Di un'altra categoria sono i crescioni e i rotoli. Grandi, lunghi, carichi di sapori....Buonissimi. Prenotate per tempo perchè specialmente il sabato e la domenica c'è la fila e spesso potete trovare il cartello TUTTO ESAURITO !!!"
"ui_bubble_rating bubble_40","Quantità e bontà!","Una buonissima piadina che si mangia volentieri anche il giorno dopo, buona varietà di grandi e squisiti crescioni ben farciti con buonissimi prodotti. Un buonissimo rapporto qualità prezzo e una grande simpatia dei titolari. Da provare per credere!"
"ui_bubble_rating bubble_40","I Crescioni e i Rotoli più grandi mai mangiati.","Crescioni e rotoli grandissimi e superfarciti. La qualità degli ingredienti è ottima, i gestori supersimpatici. E' meglio prenotare perché se si arriva in tarda serata, in particolare per crescioni e rotoli si rischia di dover aspettare troppo oppure che abbiano finito l'impasto (mi hanno detto che lo fanno fresco ogni giorno per garantire una migliore qualità). Unico neo la mancanza di qualche tavolo in cui fermarsi a mangiare."
"ui_bubble_rating bubble_50","Gran piada","Non c'è che dire. Una piadina come non ne mangiavo da tempo. Non dai due lire a questo chiosco ma in meno di 5 minuti mangi una piada che è un sogno. Non quelle sottilissime di Riccione ma quella bella tosta. Ottima. Diventerà un appuntamento fisso"
"ui_bubble_rating bubble_40","Mega-buoni","Le dimensioni dei crescioni e dei rotoli sono mega la qualità è buona!Oltre questi aspetti un altro fattore positivo è il prezzo!Insomma... una sicurezza a Sant'Egidio!"
"ui_bubble_rating bubble_40","Crescioni giganti","Non solo buoni, ma enormi i crescioni della Daniela non deludono mai. Ottimo impasto, ottimi condimenti e i prezzi?? I più onesti della zona, forse anche troppo. 3,50 euro per un crescione che si mangia in due non lo paghi da nessuna parte. Da provare!!!"
"ui_bubble_rating bubble_50","Una garanzia!","Vivo a S.Egidio da una quindicina d'anni e... quando non si ha voglia di cucinare, si ricorre alla piada e (molto spesso) ai crescioni di questo chioschino vicino alla chiesa. Ottimo il crescione classico mozzarella e pomodoro. Buoni i rotoli. Davvero grandi. Attenzione alle dimensioni. Vanno tagliati. La piada e' davvero buona. Di spessore medio... come piace a me.Titolari simpatici e un po' matti... sempre disponibili... tranne quando finiscono l'impasto... Non ce n'e' piu' per nessuno..."
"ui_bubble_rating bubble_50","Piadineria e cortesia","Ho abitato per due anni a pochi passi dal chiosco. Le proprietarie sono gentilissime, e le loro piadine e crescioni sono ottimi. Consigliato caldamente."
"ui_bubble_rating bubble_50","Rotolone","Provate a prendere il rotolino e vedrete che ci mangerete anche in due! Piadina veramente buona...consigliatissimo!!"
"ui_bubble_rating bubble_50","il crescione!!!","crescioni di un'altro pianeta...bravi ragazzi!!...per non dimenticare la piadina e i rotoli....il mio chiosco preferito!!"
"ui_bubble_rating bubble_50","Mai altro chioschino","Non ce n'è per nessuno... la piadina é FAVOLOSA per non parlare delle dimensioni... il rotolo raggiunge anche i 55 centimetri e i crescioni sono grandissimi.. il tutto con prezzi decisamente competitivi... da sempre il mio chiosco di fiducia anche se mi tocca fare 20 km per raggiungerlo.."
"ui_bubble_rating bubble_50","La Piadina più grande e più buona della Romagna!","Che spettacolo! Scoperto per caso questo chiosco di Piadina tornando daL mare e siamo rimasti folgorati dalla bontà di questa piadina, crescioni e rotolini (o meglio, ROTOLONI!). Le dimensioni sono XXXL...le farciture super abbondanti e la qualità elevatissima. Se a questo aggiungiamo la simpatia dei gestori e i prezzi decisamente economici il risultato è eccezionale. Provate e non resterete delusi.Se ci fossero anche 2 tavolini dove fermarsi a mangiare sarebbe il TOP...comunque è possibile appollaiarsi su degli sgabelli al bancone."
