"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Carino","Buon bar dove fare una piccola sosta. Lungo la via Emilia direzione Cesena. Ha un parcheggio adiacente un po' piccolo. Bar molto carino e curato."
"ui_bubble_rating bubble_40","Ora si chiama Don Diegaro Cafè Lounge Bar, pranzo di lavoro","Nuova gestione, nuove persone e aggiungerei squisite, una cuoca super che non si risparmia, diverse cose a menu per una ristorazione veloce, porzioni generose, ottime finora tutte quelle assaggiate. Sono possibili delle convenzioni.Sia i primi che i patti unici e le insalatone sono molto buone e si presentano molto bene, anche l'occhio vuole la sua parte"
"ui_bubble_rating bubble_10","Solo perché non si può fare diversamente! ","A volte la pasta è scotta, una volta con capello, insalate col tonno sempre diverse (a volte il tonno c’è e a volte solo l’ombra), dimenticano il pane, il bere ... boh! ... personale disinteressato che a volte manco saluta. Ci si va perché si ha poco tempo ed è vicino al lavoro. "
"ui_bubble_rating bubble_10","triste <U+0001F622>","Buffet scadente confronto altri posti vicini personale inadeguato ambiente troppo frivolo e personale inesperto "
"ui_bubble_rating bubble_40","Colazione buona","Bar molto ben curato e con tanti tavolini dove sedersi, personale educato e sorridente, vasta scelta di cornetti e cappuccino buono. Forse un pò caro per il rapporto qualità-prezzo ,siamo di Roma e da noi la colazione cappuccino e cornetto costa tra gli 1,50 e i 2,20 a seconda del bar e della zona. Se fossi di Cesena lo frequenterei!"
"ui_bubble_rating bubble_50","ottimo aperitivo con dj set ....","bella musica e buonissima carne angus preparata dal titolare del ristorante la pannocchia di Calisese .... bravi ed onesti...."
"ui_bubble_rating bubble_50","Fotonici super paella !!!!!","Conosco bene il Diegaro Caffè con i suoi aperitivi fantastici ma ieri sera si sono superati !!!!!Paella al top!!!!Gemellaggio con la Pannocchia di Calisese Continuate cosi ci vediamo presto."
"ui_bubble_rating bubble_30","Normalissimo bar","Sentito nominare parecchio non mi sembra che rispecchi tanto quanto la sua notorietà...Qualità normale niente di eccellente Servizio sottotono Attese x pagareCredo possa fare molto di più I parcheggi ci sono sempre nelle vicinanze Però mi spiace ma c'è di meglio in giro"
"ui_bubble_rating bubble_30","Frequentatissimo","Veramente molto frequentato, è una tappa fissa per tanti. Normali il caffè e la pasticceria; poco curato il servizio."
"ui_bubble_rating bubble_40","Una piacevole pausa caffè","Durante il nostro viaggio direzione Umbria ci siamo fermati in questo bar!I proprietari molto disponibili e anche la scelta per la colazione molto vasta, tra dolce e salato. Il locale pulito ed ordinato! I prezzi nella media!"
"ui_bubble_rating bubble_40","Buon bar!","Un bel bar con un ottima posizione. Diversi parcheggi nelle vicinanze. Locale abbastanza pulito e personale gentile. Paste e caffè buoni."
