"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Rapida cena di Natale","Il locale è nel cuore di Cesena ed è uno più conosciuti.Non sapendo dove cenare per la vigilia di Natale, un amico ed io abbiamo scelto questa opzione fuori standard.Io prendo un hamburger da 300g mentre l'amico opta per quello da 200g.Carne di qualità e cotta davvero a puntino, condita con cipolla e verdure. Il pane non era scaldato bene ma le nostre porzioni sono state divorate.Il più classico dei locali informali per una serata allegra."
"ui_bubble_rating bubble_40","Tutto bene","Locale informale, carne buonissima, titolare molto spiritoso. Buona scelta dei vini, ma conto molto salato!Tornerò sicuramente per provare altro"
"ui_bubble_rating bubble_40","Tutto sommato un buon ristorante! ","Ci siamo recati in questo ristorante a pranzo. Ci ha accolti la cameriera (gentilissima) che ci ha fatto accomodare e ci ha spiegato il menù e ci ha portato un assaggino di pane con olio.Purtroppo è stata sbagliata una portata, ma non lo abbiamo fatto presente perché comunque può succedere (anche se non dovrebbe, ma penso sia successo perché era terminato il prodotto) e il piatto che ci è stato portato rientrava comunque nei nostri gusti. Detto questo i prezzi sono nella media, con 20€ più o meno si possono prendere 2 primi e l’acqua. Un buon ristorante tutto sommato, nel centro di Cesena. "
"ui_bubble_rating bubble_50","Pausa pranzo","Ottimi primi del giorno come anche la carne. Tutte le pietanze sono curate da Giovanna veramente bene. Buoni i prezzi"
"ui_bubble_rating bubble_50","Buona qualità con sorriso","Sono ritornato in questo ristorante dopo qualche mese, questa volta a pranzo.Devo dire che la qualità dei prodotti e sempre molto elevata sia della sfoglia dei primi sia della carne. Interessante anche il menù della giornata .Il servizio molto efficiente la cameriera c'è sembrata molto preparata nella descrizione dei piatti e soprattutto sempre sorridenteI prezzi sono proporzionati alla qualità del cibo e del servizio"
"ui_bubble_rating bubble_50","Tutto fatto in casa !!!","Durante la pausa lavoro a pranzo mi fermo in questo ristorante sopratutto a mezzogiorno a mangiare i primi perché sono una cosa eccezionale !!!Fanno tipica cucina romagnola con ingredienti freschi, genuini e ovviamente tutta la pasta è fatta a mano !!! Rapporto prezzo qualità a mezzogiorno è ottimo e alla fine ti offrono sempre un dolce della casa !!!Consigliato "
"ui_bubble_rating bubble_30","Buone le paste, ottima la carne","Dovendo sostare per diversi giorni a Cesena ho scelto questo ristorante all'interno di una corte nel pieno centro di Cesena. Atmosfera familiare e grande cortesia della ragazza addetta ai tavoli che, sempre col sorriso, illustra i piatti. Ho avuto così modo di apprezzare una classica tagliatella al ragù, le trofie al radicchio con guanciale croccante, il bollito di manzo in salsa verde e una tagliata di chianina talmente ben cotta e tenera da sciogliersi in bocca. Il tutto accompagnato da verdure di stagione e doverosi dolcetti di chiusura. Prezzi economici fatta eccezione per la carne...ma la bontà vale il conto."
"ui_bubble_rating bubble_40","Carne speciale","Ho avuto modo di cenare qualche volta in questo ristorante collocato nella corte più carina di Cesena!"
"ui_bubble_rating bubble_50","Un ristorante da consigliare","Mi e´capitato di andare per un pranzo di lavoro con un collega e ho trovato l´ambiente molto famigliare . Cordialità´e il piacere di gustare primi piatti tutti fatti a mano con verdura di stagione e pane fatto a mano. Personale gentilissimo desideroso di far conoscere i propri piatti. Il conto finale e´stato molto onesto .Ci tonero´sicuramente"
"ui_bubble_rating bubble_10","Pessima Esperienza","Non mi sembra corretto recensire un locale in cui non ho mangiato ma credo possa essere di aiuto a chi vuole provare questo ristorante. Dopo un'ora e venti minuti di attesa c'è ne siamo andati. Senza avere mangiato nulla. Se volete provare questo posto portatevi il cibo da casa o preparatevi ad una attesa indefinita. A onor del vero ci sono stati offerti vino, acque e coperti. "
"ui_bubble_rating bubble_50","Fantastico!","Ristorante davvero fuori dagli schemi sia per la location bizzarra che per il simpaticissimo ed eccentrico Giacomo, il proprietario... cibi squisiti, sopratutto le carni...Il mio consiglio è lasciarsi guidare dal proprietario...di certo non potrete restare delusi! Tutto ottimo, dagli antipasti ai liquori fatti in casa.... che dire... Se passate da Cesena la tappa è obbligatoria..."
"ui_bubble_rating bubble_30","Locale strano ma carne buonissima","Capitiamo in questo locale dove ci accoglie il proprietario ....personaggio alquanto bizzarroIl locale è una accozzaglia di oggetti entriamo e ci accorgiamo di essere gli unici nel locale La cameriera ci porta il menu....illeggibileChiediamo aiuto a lei ma le risposte sembravano di una persona che si trovava li percaso.Arriva in aiuto il proprietariocuococamerierelavapiattisomelierChe ci consiglia un antipasto con crostino e qualche salume (poco ma molto buono)Ci consiglia la tagliata e devo dire buonissima e di alto livelloVino prima bottiglia di sangiovese niente di che (etichetta rosa)Ma la bottiglia consigliata dal proprietario tuttofare ottimaIl piatto dei dolci ...nulla di cheBottiglioni di liquori liquirizia e cioccolato buonissimi.Prezzo nella norma per una carne di quella qualitá.Peccato che all esibire la carta di credito il proprietario ci dice che ha deciso di non regalare soldi alla banca e che quindi solo contanti (perfortuna li avevamo gia mi vedevo in cucina a lavare i piatti).Ci tornerei"
"ui_bubble_rating bubble_10","Un furto legalizzato","Siamo stati in questo locale solo questa volta e sarà l'ultima!!!!!! Abbiamo chiesto un antipasto da dividere in due (2 crostini olio e sale e 2 con sottaceti tritati, 2 fettine di frittata, 4 fette di salame, 4 arrosticini e 2 fettine di formaggio brie) per secondo ci siamo fatti consigliare dal gestore un cosciotto di agnello su letto di carciofi, che a suo dire potevamo tranquillamente dividere, e così era in effetti, in più abbiamo chiesto un contorno di patate al forno. Da bere un' acqua naturale ed una birra piccola, alla fine un caffè. La cena non devo dire che non fosse buona, perché in effetti il cosciotto era buono, il problema è arrivato al conto. Il gestore ha battuto due menu della casa da 30€ ciascuno, per un tot di 60€..con la battuta del gestore vi ho fatto bene... Li per li ci è venuto un groppone al cuore, abbiamo pagato e siamo usciti. A questo punto abbiamo pensato che gli antipasti erano per due e, non per uno come da noi richiesto, il cosciotto ci è stato fatto pagare come due piatti, in più ci hanno fatto pagare un menù di cui non abbiamo neanche usufruito tutto (dolci e un caffè).. credo proprio sia stato un Po disonesto, ma in realtà la cosa che mi spiace di più è di non aver avuto la prontezza di chiedere spiegazioni direttamente al gestore. Comunque sia credo che sia stato esageratamente caro."
"ui_bubble_rating bubble_30","Cena con delitto","È difficile fare una valutazione in quanto ristorante fuori dagli schemi (può piacere tantissimo oppure mettere a disagio).Si trova all'interno della corte Dandini a due passi dal duomo e nella buona stagione si può mangiare all'aperto.Il locale non è molto grande e sarebbe da ristrutturare. Attualmente è pieno di cianfrusaglie (qualcuna anche simpatica, ma altre meno) si passa da bottiglie vuote e impolverate appese ovunque alle maglie di alcuni calciatori appese ai muri, da caricature dello chef a pagine di fumetti incollate sui tavoli, da vecchie riviste fino ad un cuscino con l'effige di mussolini e relativo fascio (speriamo sia lì per scherzo).Il menù prevede dei classici della cucina romagnola e il piatto forte è decisamente la carne di ottima qualità (anche per i trascorsi da macellai della famiglia).La carta dei vini e di media qualità è presentata con scritte su una bottiglia magnum (originale ma un po' kitsch ).I liquori vengono offerti e quello al cioccolato spacca (cit.). Servizio simpatico ma poco professionale.Nota dolente il conto, ci è sembrato un po' alto anche per quella carne ottima.In un futuro quando sarà normale mangiare vegano e insetti, si può spendere quelle cifre per un po' di buona carne.Location **Menù ****Servizio **Conto *Pro: carne eccezionaleContro: conto salato"
"ui_bubble_rating bubble_50","CHE CARNE, CHE FUNGHI.","Da provare! Tutto veramente ottimo. Unica anche torta all'amaretto , Il locale, non è il solito camerone,molto carino e caldo."
"ui_bubble_rating bubble_30","In the midst (but food was good)","Il voto (nella media) é frutto di una valutazione complessiva di qualità del locale e qualità del cibo. Va detto che il cibo vale 5 pallini, mentre il ristorante può far disamorare il cliente prima ancora di passare al cibo. Locale articolato e datato, anche nella colonna sonora, come fatto notare anche da altri; menu francamente poco chiari con aspetti inquietanti (i prezzi della carne all'hg e le dimensioni minime delle porzioni scoraggerebbero persino Rockfeller: una specialità é offerta a 7€/hg con tagli minimi di 1,2kg per un conto-base di 84€...). Poi scegliete i piatti, noi crostone con porcini e scaloppe bianche di maiale, sempre con porcini, e scoprite la faccia meno visibile del locale: i piatti sono notevoli, i porcini spt abbondano. Abbiamo preso anche una bottiglia di Firmamento (Merlot e cabernet) della Tenuta Amalia, buono. Con acqua e coperti, conto non economicissimo: in 2, 62€ complessivi..."
"ui_bubble_rating bubble_10","Se odi qualcuno, mandalo qua!","Se odi qualcuno, consigliagli vivamente questo posto. Locale rimasto agli anni 80 (musica compresa; divise di squadre di calcio con tanto di autografi; menù incomprensibile, fotocopiato 457 volte e rimasto invariato dall'89 ); la lentezza del servizio è disarmante considerando che nel locale eravamo in 6; I piatti sono arrivati freddi e cotti ad minchiam; e per concludere in bellezza il conto: appena l'ho visto mi son chiesto se non avesse sbagliato tavolo. Riassumendo: 45€ per un crostino, dico 1 (diviso in due) con pane raffermo e porcini + tagliatella incollata, cruda e fredda; filetto(ino) freddo e stracotto,che avevo chiesto al sangue, e di non qualità + patate arrosto fredde+ acqua.Ripeto: lo consiglio ai nemici."
"ui_bubble_rating bubble_50","Non si sbaglia","Ottima cena all'aperto in una bella serata di fine estate nella corte. La qualità ottima delle carni la conoscevamo già, questa volta abbiamo apprezzato anche la pasta fatta in casa, alcuni piatti a base di porcini, e la nuova formula dell'hamburger.. al piatto o nel panino: tutto molto buono. Buona lista dei vini, soprattutto locali ma non solo (con ricarico un po' altino) Sul cibo mi pare che abbia un po' abbassato i prezzi, ma non la qualità. Offerti liquorini a fine pasto."
"ui_bubble_rating bubble_40","Prodotti di qualita","Per coloro che amano i prodotti di qualità, di gran qualità...Se nelle recensioni trovate commenti negativi che criticano il prezzo alto... Non fatevi scoraggiare. In questo ristorante troverete tante cose, e il prezzo è relativo alla vostra scelta sul cibo. Lo chef propone e modifica le portate in base alle richieste del cliente, con gran stile.Carne di qualità molto alta...E sinceramente noi ci siamo trovati bene anche sul prezzo.Consigliato a tutti, specialmente agli amanti della carne!"
"ui_bubble_rating bubble_20","UN FURTO!!","Locale eclettico, un po' bizzarro... Forse anche un po' kitsch. Ma andiamo al dunque... visto che abbiamo cenato fuoriin piazzetta.Premetto eravano noi 4 (2 adulti e 2 bambini) ed 1 coppia in tutto il locale. Il menù che dovrebbe essere artistico è in realtà pressoché illegibile... e dopo ho anche capito perché!!! Ci siamo affidati alla cameriera:2 tagliatelle al ragù pervenute dopo oltre mezz'ora... comunque buone!2 tagliate, chieste peraltro con cotture diverse l'una dall'altra:Servite dopo 50 min dal primo, sono arrivate in un unico piatto comprensive di ossa (nella tagliata?????), tant'è che la domanda è stata: e l'altra tagliata?No signore, sono 2A €5 all'etto (come detto dalla cameriera) sarebbero dovuti essere 800g di carne senza ossa...In realtà, al massimo saranno stati la metà! Tutto il resto si vede dallo scontrino!La qualità delle pietanze è anche notevole, ma...2 ore per una cenetta con soli 2 tavoli da servire,€ 40 per 2 finte tagliate,Senza parlare di €8 di coperto fatto di tovaglie di carta...Fate voi!!!"
"ui_bubble_rating bubble_50","Un folle ai fornelli","Siamo capitati per sbaglio in questa piazzetta appartata di Cesena e abbiamo scelto questo ristorantino per una cena di lavoro. Primo impatto delirante, cuoco/proprietario/sommelier/cameriere che sbraita, sempre sorridendo, decidiamo comunque di provare, risultato una splendida esperienza, carne ottima, ottimo vino, ottimo intrattenimento , servizio rapido anche se c'era in unica persona a fare tutto!!"
"ui_bubble_rating bubble_30","Carne buona, però...","Io e il mio ragazzo ci siamo fermati una sera a cena qui, e abbiamo deciso di prendere il menù da 30 euro a testa. Una porzioncina minuscola di verdurine; la carne era molto buona, ma le porzioni davvero piccole rispetto al prezzo ! Fortunatamente non si sono sprecati con il liquore al cioccolato, che viene lasciato direttamente al tavolo, ed è favoloso! Nel complesso una serata carina ma mi aspettavo di più "
"ui_bubble_rating bubble_50","Un'ottima fiorentina in pieno centro a Cesena!","Mi avevano parlato di questa osteria ed ho voluto provarla il giorno stesso. Ottima posizione e locale molto colorato e accogliente. Cameriera molto simpatica e gentile, come anche il cuoco. Vi consiglio di chiedere la carte dei vini! Per quanto riguarda il mangiare, ultimo ma più importante, ottima la fiorentina e le verdure di contorno. Per finire i dolci e gli ammazza caffè sono tutti rigorosamente fatti in casa! Da provare!"
"ui_bubble_rating bubble_40","Non fermatevi alle apparenze..","Locale che dall'esterno non risulta molto invitante..una volta entrati ci si trova in un locale atipico,direi bizzarro,che rispecchia in tutto il titolare..arredamento senza un filo logico,c'è praticamente di tutto a riempire le sale,musica con volume un po alto.ma stranamente tutto ciò non e' fastidioso,ci si sente a proprio agio.La cameriera molto cordiale e simpatica,il servizio è veloce.Non consiglio l'antipasto,costoso per quello che offre,anche se buono.Il primo,tagliatelle con ragù di giornata fatto da loro,meritano sicuramente,molto buono,porzione abbondante.Come amaro il liquore al cioccolato fatto da loro e' buonissimo,ti lasciano al tavolo un bottiglione enorme..Il prezzo e'buono per la qualità offerta nel complesso."
"ui_bubble_rating bubble_40","Buono ed a buon prezzo.","L'impatto con il Ristorante è decisamente sul chi va la ma la gentilezza della cameriera prima e le ottime pietanze poi, ti lasciano decisamente un bel ricordo.I primi piatti sono cotti al punto giusto ed i condimenti sono abbondanti e gustosi ma è la tagliata a fare da protagonista. Il tutto accompagnati da un buon Sangiovese.Ci siamo capitati per caso, ma sono convinto che ci torneremo di nuovo."
"ui_bubble_rating bubble_40","Tagliata ottima","Siamo tornati in questo locale a distanza di un paio d'anni, anche questa volta la tagliata è stata meravigliosa, peccato che le polpette di chianina fossero finite. Un appunto al locale è quello di non accettare pagamenti con carte di credito/bancomat."
"ui_bubble_rating bubble_40","ottima tagliata","Voglia di carne, e allora si cerca chi ce l'ha buona e la sa fare....Una cena veloce, con 2 bruschette di antipasto, 2 tagliate con contorno di patate alla griglia.Pranzato all'aperto nella piazzetta storica.Tavolini spartani metallici, ma ci può stare.Buono e veloce anche il servizio.Prezzo medio-alto per una tagliata (20 euro), ma di ottima qualità.Ci ritornerei."
"ui_bubble_rating bubble_50","Ottima carne","Cena di fine estate, tavolini fuori nella corte, pochi clienti, candelina accesa, carne davvero ottima... squisita! Buona scelta di vini locali. Il titolare un po'.. sopra le righe, ma simpatico. Un'ottima cena. Prezzi medio-alti, ma adeguati all'alta qualità."
"ui_bubble_rating bubble_50","Ottimo!","Sono stato in questo locale per una pausa pranzo veloce e devo dire che non sono pentito affatto di aver scelto qiesto piccolo locali no in centro . Ottimi piatti a prezzi giusti .!! Consiglio di provare l'insalata di farro e riso e i bocconcini di Pollo!!!"
"ui_bubble_rating bubble_30","buono","hamburger buoni e prezzo ottimo , la qualità della carne e della farcitura anche, non ho mangiato altro di conseguenza non sò come possa essere il resto."
