"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","I migliori di Cesena","Pizza gigante gratis a Capodanno, solo loro in tutta Cesena. Ottima pizza, la mangio ogni settimana! Proprietari simpatici e cordiali. Ho ricevuto pure uno sconto! Assolutamente consigliata. 10/10"
"ui_bubble_rating bubble_50","La MIGLIORE pizza","La MIGLIORE pizza. Mio figlio mangia solo questa. Il pizzaiolo e la moglie sono persone simpaticissime"
"ui_bubble_rating bubble_50","In ferie ","Abbiamo trovato per caso questa pizzeria essendo in villeggiatura (siamo di catania) vicino cesena e fortunatamente è andato tutto bene.Pizza ottima e soprattutto proprietari di una gentilezza pazzesca.Consigliatissimo e complimenti al pizzaiolo nonché proprietario "
"ui_bubble_rating bubble_50","Leggerezza!","Pizza leggerissima, personale simpatico e prezzi più che onesti! Il massimo se avete poco tempo e non cercate camerieri in livrea...."
"ui_bubble_rating bubble_40","Molto buono","Venendo da fuori Cesena ed in visita pazienti dell'ospedale Bufalini, giunta ora di pranzo io e la mia famiglia abbiamo deciso di fermarci in zona a pranzare ed all'ospedale ci hanno consigliato la Pizzeria Il Capriccio.Trattasi di un piccolo locale in cui è possibile sedersi ai tavoli, è più adatto però alla pizza d'asporto; il piccolo locale si presenta in stile rustico ed è ospitale. Le pizze mangiate sono state veramente buone, servite su un tagliere; il gestore della pizzeria è stato molto cordiale e gentilissimo con noi. Meriterebbe 5 pallini, ma gliene do 4 (che in ogni caso trattasi di un bel voto) poiché a mio avviso i prezzi di alcune pizze sono un po' elevati ed inoltre non si può pagare con bancomat e carte di credito (hanno un pos adatto solo per i buoni Day dell'ospedale)."
"ui_bubble_rating bubble_50","Buonissima e bellissima!!!!","Pizza buonissima..!! Curato ogni dettaglio! Titolare davvero gentile!!! Mi sono trovata molto,molto bene! Ci tornerò! "
"ui_bubble_rating bubble_30","Meglio del bar dell'ospedale...","Locale molto comodo per chi fa assistenza in ospedale essendo ad un centinaio di metri. Pizza nella media...speso 12 euro per una diavola più peperoni e una Moretti da 66.titolare gentile."
"ui_bubble_rating bubble_10","Provata per la prima volta","Io non capisco come si fa a fare mangiare Delle pizze del genere e,chiamarsi pizzeria,pessimo impasto,pessimo forno e, soprattutto pessimo pizzaiolo,sotto della pizza nero,sinonimo di farina bruciata.da arresto"
"ui_bubble_rating bubble_50","Una garanzia <U+0001F44C>","Tutte le volte che abbiamo voglia di mangiarci una pizza ci rechiamo al Capriccio, la pizza è squisita, il servizio è ottimo, il giropizza è super ! È diventata la nostra pizzeria di riferimento. "
"ui_bubble_rating bubble_40","altra serata con amici in questo locale, buonissimo","Solito giro pizza, solita pizza d'entrata con fichi caramellati, crudo e stracchino, pizze a scelta compresa quella buonissima al baccalà, base pizza leggera e croccantina quanto basta, finale con pizza alla nutella e alla frutta, bere a prezzi modici. cosa vuoi più di così"
"ui_bubble_rating bubble_50","Per i clienti abituali anche un regalo speciale","Ho già scritto una recensione positiva su questa pizzeria che assicura anche il servizio da asporto. Consumando 20 pizze a domicilio viene offerta gratuitamente una maxi margherita con bevanda a scelta. Si pagano solo eventuali variazioni di farcitura della maxi pizza. A me pare una iniziativa vantaggiosa per i clienti e io ne ho approfittato con soddisfazione."
"ui_bubble_rating bubble_40","Semplicità e qualità","È una pizzeria da asporto con saletta piccola e semplice dove per le bevande ci si serve direttamente dal fornito frigo in esposizione . Qualità della pizza ottima ....leggera e fragrante con ingredienti di qualità, personale estremamente cortese e prezzi onestissimi....quindi cosa chiedere di più ?!?!"
"ui_bubble_rating bubble_20","Disgustoso","Pizza molto acquosa e condita con ingredienti di bassa qualità, ogni spicchio che ho preso in mano mi si è sfaldato facendo cadere tutto. Ora ho capito perche si chiama il capriccio! Fa piangere"
"ui_bubble_rating bubble_50","Sorprendente ","Bel posto, personale gentile e cordiale. Pizza bencotta con ingredienti di qualità e molto condita. Tutto a buon prezzo"
"ui_bubble_rating bubble_50","Giropizza per festeggiare in famiglia","Facce soddisfatte dopo il giropizza!!Inizio ottimo e finale a sorpresa!!Davvero un'ottima pizza da gustare in compagnia!"
"ui_bubble_rating bubble_50","Pizza ottima","Pizza buonissima,croccante e ben condita servizio ottimo grandiiiii pizza al salame piccante e funghi e pizza bianca con salsiccia "
"ui_bubble_rating bubble_50","In assoluto la più buona!!","Quando voglio gustare una pizza veramente buona, esiste solo il capriccio pizzeria a Cesena. Un impasto assolutamente ottimo, una pizza ricca!Insomma, una squisitezza!!!! Per me, in assoluto la più buona. "
"ui_bubble_rating bubble_50","Io non cambio resto al capriccio <U+0001F44D>","Pizza eccezionale digeribilissima... ...buonissimaCosa dire di più Vito e sua moglie sono fantastici Per i veri amanti della pizza credetemi Provate che poi non cambiate"
"ui_bubble_rating bubble_50","Ottima super pizza a cesena !","Ottima pizza e super barzellete gratis!!! Da vivere e provare ....si respira l 'aria di Romagna ed il gusto ci guadagna "
"ui_bubble_rating bubble_40","pizza a pranzo","A Cesena vicino all'ospedale Bufalini per l'ora di pranzo mi sono fermato in una pizzeria, piadineria ''il capriccio''. Ho ordinato pizza al piatto. E' stata una sorpresa per la qualità sia dell'impasto, del condimento e per la cortesia del titolare. Il prezzo buonissimo, ritornerò per assaggiare altri tipi di pizza."
"ui_bubble_rating bubble_50","Pizza speciale","Sono stata qui in occasione di una visita in ospedale. Pizza fantastica, impasto croccante e digeribilissimo , pizza ben farcita e saporita. X arrivare alla pizza di frutta che è veramente una specialita'. Consiglio a tutti"
"ui_bubble_rating bubble_50","Vito il boss delle pizze! ","Essendo dipendente Asl ho scoperto questo locale grazie ai buoni pasto e ne sono talmente rimasta soddisfatta da tornarci spesso e volentieri con amici, colleghi e familiari. La pizza è ottima, ben farcita e su prenotazione ho gustato anche dei primi deliziosi e un fritto di pesce super! Il titolare e il personale sono simpatici e disponibili. Complimenti! Lo consiglio a tutti! "
