"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Zero ","Questa sera abbiamo preso 2 rotoli e un crescione ma è stato un calvario! Nei Rotoli hanno messo solo dei piccoli pezzetti di crudo che mai abbiamo visto da qualunque altro chiosco a Cesena!!! Spero che sia stato un caso , altrimenti cambiate mestiere "
"ui_bubble_rating bubble_50","L'eccellenza della piadina a Cesena","Sicuramente la miglior piadina di Cesena, qualità dei prodotti eccezionale! Da provare sicuramente.!"
"ui_bubble_rating bubble_50","Piada e Crescione al Top","Molta varietà e bontà per questo chioschetto street food. Materie prime di qualità (e si sente) e impasto m-e-r-a-v-i-g-l-i-o-s-o"
"ui_bubble_rating bubble_50","Ottima piadina e crescioni super!","Tappa fissa quando passiamo da lì,a volte ordiniamo e sono sempre puntualissime.la piadina è buonissima e i crescioni sono ottimi. Tanta varietà, e soprattutto gentilezza,cordialità e pulizia.consigliatissimo!!!"
"ui_bubble_rating bubble_50","Una fantastica e buona Piadina <U+0001F44D><U+0001F44D>","Camminando Camminando per le vie di Cesena una bella cittadina Romagnola mi è venuto un po di fame e in terra di Romagna é famosa questa piadina...ragazzi io ho preso rucola squaccherone e crudo poi crescione farcito ...risultati GRAZIE NARINA E ELEONORA PER LA BONTÀ DEL VOSTRO PRODOTTO...GRAZIE PER LA BOSTRA GENTILEZZA ...Quando torno a Cesena passerò dal vostro Chiosco e camminando camminando mi porto dietro con me un crescione e piadina da deliziato .....VIVA LA ROMAGNA E UL CHIOSCO DI MARINA "
"ui_bubble_rating bubble_40","Ottima piadina e crescioni!!!!","secondo il mio parere i crescioni di questo chiosco sono ottimi.noi prendiamo sempre cose varie, ma il top è quello pomodoro e mozzarella.E' possibile prenotare telefonicamente e sono molto puntuali con gli orari."
"ui_bubble_rating bubble_50","Crescione eccellente ","Abbiamo mangiato il crescione taleggio e zucchine grigliate, buonissimo, fatto lì sul momento, abbiamo aspettato dieci minuti ma ne è valsa la pena, anche il prezzo buono "
"ui_bubble_rating bubble_50","Ottima piadina","Devo dire che la piadina fatta in questo chiosco è davvero ottima e anche i crescioni sono buonissimi...Consiglio a tutti di provare!!!!!"
"ui_bubble_rating bubble_50","Chiosco da tradizione romagnola","...ho trovato il chiosco che sognavo da tempo e posso garantire che i sogni diventano realtà, perché al chiosco di Marina ho trovato la bellezza delle persone che lavorano con tanta professionalità un bellissimo sorriso e il prodotto molto buono...la piadina è fatta come una volta con la semplicità dei suoi ingredienti e i crescioni sono eccezionali con il suo abbondante ripieno e non dimenticate di farvi fare una gustosa piadina dolce....meritate tutta la mia stima perché siete fantastici e grazie per avere realizzatoil mio sogno e continuerò a venire,anzi andiamo numerosi perché il sogno deve continuare...grazie<U+2764>"
"ui_bubble_rating bubble_50","Fantastici","La ritengo la migliore a Cesena! Le signore sono veramente gentili e cortesi, molto disponibili e bravissime nel loro mestiere. Ingredienti freschi, se volete provare un ottimo crescione oppure un ottima piadina lo consiglio a tutti!"
"ui_bubble_rating bubble_50","La migliore piadina di Cesena!!!!","Questo chiosco è veramente superlativo, la piadina e i crescioni sono un must da provare assolutamente. Gli ingredienti sono eccellenti e di qualità. Le proprietarie, la Marina e la figlia Eleonora sono sempre premurose e gentilissime. Si percepisce che fanno questo lavoro con vera passione romagnola.Io quando mangio la loro piadina, penso con nostalgia a come la faceva mia nonna quando ero piccola :-) Super consigliato per chi ama i sapori autentici!!!!!!"
"ui_bubble_rating bubble_50","MIGLIOR CHIOSCO IN ROMAGNA !!!","A Cesena non esiste piadina migliore, crescioni abbondanti di eccellente qualità, prodotti eccezionali. La cortesia del personale è insuperabile. Peccato dare solo 5 stelle, ne meriterebbe almeno 10 !!!! TOP! TOP! TOP! Provare per credere !!!"
"ui_bubble_rating bubble_40","la piadineria è a Cesena!!!","N.B: è inserito nella città sbagliata. Comunque, è un piccolo chiosco all' aperto, senza tavoli ma con solo qualche sedia a disposizione. Piadina tradizionale, ottima e ben farcita. Servizio veloce e cordiale."
"ui_bubble_rating bubble_50","Una vera delizia","Non ho le parole giuste per definire questa prelibatezza. Una delle migliori piadine che abbia mai assaggiato. Un po' spessa, come piace a me e preparata all'istante. Trovata per caso e mai più dimenticata. Non fa orario continuato."
