"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Divina tipicità romagnola","Piadina crescioni e rotoloni per qualsiasi gusto ma soprattutto di ottima qualità... esistono alcuni posti a sedere, Oppure un piccolo parco sulla riva del fiume proprio di fronte al chiosco, per gustare le specialità seduti al fresco"
"ui_bubble_rating bubble_50","Squisito!","Piadina buonissima e crescioni eccezionali, e soprattutto un tratto al cliente davvero formidabile, simpaticissimi!"
"ui_bubble_rating bubble_40","Molto buono","Piadina e crescioni molto buoni. Grande varietà di gusti, sia dolci che salati. La signora è molto simpatica e pronta a soddisfare i clienti.Ci ritornerò di sicuro e non solo una volta."
"ui_bubble_rating bubble_30","Gustosi i rotoli","Ho provato in questo chioschetto sia la piadina, che rotoli e crescioni. Mi piacciono molto i rotoli, anche per cambiare un po' i gusti. In ogni caso è tutto ben farcito e i prezzi sono piuttosto buoni. Fantastiche le caramelle alla Nutella!La posizione è proprio adiacente al Ponte Vecchio, scendendolo venendo dal centro verso la zona Oltresavio - San Mauro."
"ui_bubble_rating bubble_50","ottima piadina","sempre un ottimo punto di riferimento per un buona piadina!ottime le caramelle alla nutella.veloce nel servizio con una varietà di ingredienti per la farcitura. consigliato"
"ui_bubble_rating bubble_50","Quanta Romagna!","Non solo nel cibo tipicamente romagnolo, piadina e crescioni, piadipizza, caramelle alla nutella, ma la gentilezza, c'è sempre un sorriso spesso accompagnato da una loro nuova specialità in omaggio. I prezzi sono i soliti."
"ui_bubble_rating bubble_50","Top a Cesena","Passo sempre con gli amici a prendere la piadina pomeridiana e qualche volta la sera Consigliato Ottimo!!!!"
"ui_bubble_rating bubble_50","Gnam","Tutto buonissimo dai crescioni a rotoli e piadine!!! Super :-) ci sono tavoli fuori dove ci si può sedere! Consiglio caramelle alla nutella!!!!! "
"ui_bubble_rating bubble_30","Panini","Panini piedina gustosi e invitanti sempre pieno a qualsiasi ora tempo di attesa lungo ma buono consiglio sul tarda sera "
"ui_bubble_rating bubble_50","Tutto davvero squisito e servizio disponibilissimoo!!","Ingredienti di qualità e amore nel fare da mangiare, qui c'è vera piadina rimagnola!!! E si sente la cura che ci mettono anche nel metterti a tuo agio!! Piadinara gentilissima e cibo delizioso"
