"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Bel posto con piatti genuini","Piccolo agriturismo immerso nel verde delle colline. Nella stagione calda si può mangiare di fuori. Cibi genuini e ben preparati, con porzioni giuste. Buono anche il sangiovese. Dolci fatti in casa con freschissimi ingredienti. Unica pecca, volendo sottilizzare, i sughi di alcuni primi un po' troppo pasticciati. Prezzo nella norma."
"ui_bubble_rating bubble_50","Piacevole sorpresa","Davvero una piacevole sorpresa il pranzo con amici consumato Al Rifugio l’8 dicembre.Molto carina la location curata ma non stucchevole, e immagino che in primavera/ estate diventi spettacolare grazie al giardino con vista panoramica.Mi aspettavo il solito ristorante romagnolo, come ce ne sono tanti sulle colline di Cesena, e invece abbiamo gustato un pranzo ,sempre locale ma di qualità, ben curato e ben presentato.Menù da € 25,00 con antipasto misto ( crostini, crescioncini, affettati, insalata di cavolo rosso, zucca stufata con gorgonzola,crema e semolino fritti) due primi ( ottimi i ravioli gratinati al forno) due secondi con contorno ( coniglio e carne alla brace)dolci ( una intera torta pere e cioccolato appena sfornata, mascarpone con gli amaretti e delicati biscottini fatti in casa) caffè e ammazzacaffè....una “crema” di liquerizia veramente eccellente.Gentile garbata e disponibile la signora che ci ha servito Vivamente consigliato"
"ui_bubble_rating bubble_20","Cena con amici ","Non siamo stati male, eravamo 3 amici, ognuno ha preso una cosa diversa, tutto buono, non eccellente ma buono, posto carino, curato, forse un po' troppo rumoroso; la signora molto gentile e cordiale, il signore molto nelle sue poco socievole. Ma arriviamo al conto, ci hanno stupito i 24 euro per una tagliata, che mi sembrano veramente tanti, anzi troppi; inoltre tutto il listino prezzi é un po' sopra alla norma. "
"ui_bubble_rating bubble_40","Cena con amici","Ottima cucina ( tutto fresco e non pesante) Gentilissimo e cordiale il personale, mettono a proprio agio. Ottima location.. suggestiva e semplice. Ottimo prezzo. Unica pecca le panche scomode. "
"ui_bubble_rating bubble_50","Domenica fuoriporta","OTTIMO, situato nelle prime colline di Cesena in una location molto suggestiva. Antipasto della casa bello, buono ed abbondante, primi rigorosamente fatti in casa di ottima qualità. I secondi eccellenti dal gusto molto raffinato; anche i dolci molto particolari e squisiti. Servizio impeccabile e molto cortese. LO CONSIGLIO VIVAMENTE"
"ui_bubble_rating bubble_50","Tutto ottimo","Invitati da amici in questo splendido posto immerso nel verde, abbiamo pranzato optando per un menù da 25 euro a testa. Antipasto, due primi, due secondi, dolce, caffè, vino ed acqua tutto buonissimo. In particolare gli gnocchi sono stati sublimi. Complimenti"
"ui_bubble_rating bubble_50","Spettacolare ","Sono stato con la mia famiglia, bel posto, curato e accogliente. Ottima cucina con piatti ben preparati, servizio attento e cortese.Consiglio vivamente "
"ui_bubble_rating bubble_50","Bellissima serata!","Sono stata a cena in questo bell’agriturismo la sera del mio compleanno, su consiglio dei miei genitori, ed è stata un’ottima decisione. Piatti tipici della tradizione romagnola, rivisitati ma sempre buonissimi e delicati. Con un menù fisso da 25€ ci hanno dato: antipasti misti, insalata e piadina di contorno, 2 primi a scelta dalle proposte della casa ( abbiamo scelto tortelloni porcini e speck + tagliatelle con sugo di asparagi), 2 secondi (grigliata mista + scortichino con aceto balsamico), misto di verdure gratinate e patate al forno, 2 dolci (strudel di mele + fragole con crema di mascarpone), acqua e 2 bottiglie di sangiovese, caffè e digestivi. Sia io che i miei amici abbiamo trovato tutti i piatti molto buoni e digeribili. Le porzioni erano giuste, i tempi di servizio ben calibrati, il personale sempre rapido, professionale e alla mano. Altro bonus, la location: facile da raggiungere e con vista sulle colline romagnole. Nei mesi estivi deve essere ancor più bello godersi un pranzo o una cena all’aperto. Insomma, mi sento di lasciare una recensione a punteggio pieno. Complimenti ai gestori!"
"ui_bubble_rating bubble_40","ottimo rapporto qualità prezzo","buono andateci e rimarrete sorpresi dai piatti buoni, semplici dal gusto equilibrato, il tutto in un ambiente carino e con vista sulle colline"
