"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Super","Sono tornato da Jack's pizza per un secondo cabaret di pizze al taglio. Mi ero trovato alla grande la prima volta, speravo di fare altrettanto la seconda.Le mie aspettative sono state soddisfatte appieno!La pizza è soffice, ben condita, per nulla unta. La gradirei un tantino meno sapida, ma è questione di gusto.Personale super gentile, squisito come la pizza che propone."
"ui_bubble_rating bubble_50","Buonissimaaa","Pizza ottima!!!! Impasto leggerissimo, condimenti spesso particolari e molto azzeccati. Locale accogliente e tanta disponibilità da parte della titolare sempre molto gentile. Da provare assolutamente! Se ci vai, ci torni!!!!"
"ui_bubble_rating bubble_30","accettabile ma niente di più....","Acquistata la quantità industriale in offerta eravamo in 4 e ci siamo sfamati, ma la pasta non era croccante come speravamo e il condimento appena apprezzabile: nella media o lievemente sotto...."
"ui_bubble_rating bubble_50","PIZZA AL PIATTO","Sono tornato, sempre con Coupon Tippest, da jack'Pizza per provare stavolat la pizza al piatto.Anche questa dopo quelle al taglio) si è dimostrata BUONISSIMA, l'impasto seppure un pò più alto rispetto alla media è fragrante e croccante e buona la farcitura abbondante, ma non esagerata.Il sapore davvero buono e soprattutto la pizza non è stata pesante.. STRACONSIGLIATA!!"
"ui_bubble_rating bubble_50","Ottima pizza al taglio","Ero fuori con la famiglia quando è arrivata l'ora di fare merenda. Cosa di meglio che una buona pizza al taglio? Ce n'è per tutti i gusti. Dalla classica margherita all'abbinamento insolito cachi piccanti e taleggio che ho gradito molto.Insomma, un piacere per il palato che replicherò molto presto!"
"ui_bubble_rating bubble_50","PIZZA SUPER","Che dire pizza ottima , impasto leggero e abbinamenti di sapori unici!! Il tutto accompagnato da gentilezza e professionalità della titolare da provare assolutamente! "
"ui_bubble_rating bubble_50","VERAMENTE BUONA","Conosciuta grazie ad un coupon Tippest (che consiglio), ho assaggiato le pizzette alla romana di Jack's Pizza e devo dire che sono veramente buone.Situata a Martorano di Cesena, le pizzette mi son piaciute sia per gli abbinamenti tra gli ingredienti, con cui erano riccamente farcite, sia per l'impasto che mi è piaciuto molto, simile ad una focaccia.Personale super disponibile e professionale, c'è la disponibilità anche di pizze al piatto di varie misure (diam. da 33 e 45cm.)... io ci tornerò !!!"
"ui_bubble_rating bubble_50","Pizza ottima","Buonissimo impasto, condimenti azzeccati. Cordialità e disponibilità ottima. Consiglio di fermarsi appena si è in zona"
"ui_bubble_rating bubble_50","Buonissima!","Impasto leggero e davvero molto digeribile, i gusti sono originali e ben pensati. Le ragazze sono molto gentili. Torneremo sicuramente!"
"ui_bubble_rating bubble_50","Buonissima!!!","Pizze ordinate tramite foodstation...veloci,puntuali e pizza eccezzionale,con gusti anche diversi dai classici ...consiglio!"
