"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Bella atmosfera ma atteggiamento del personale da migliorare","Situato nei pressi del centro di Cesena, ha posti a sedere dentro e fuori. C’è anche il parcheggio per le automobili riservato ai clienti. È molto frequentato dai giovani universitari. Il personale non è molto amichevole, tuttavia le bevande sono buone e c’è una discreta varietà di scelta. Se hanno gli ingredienti fanno anche cocktail su richiesta. I prezzi non sono proprio economici ma la qualità dei prodotti pare buona. Ottime le feste private, con buffet e bevande di distinta qualità. Effettuano conti separati ma non accettano carte di credito a meno che sia una cifra alta."
"ui_bubble_rating bubble_40","Compleanno ","Sono stato invitato ad un compleanno in questo locale per un apericena , devo dire che dalla pizza alla piadina farcita e anche con le minestre tutto ok . Buono lo spritz "
"ui_bubble_rating bubble_50","Spuntino musicale","Se avete voglia di uno spuntino ben preparato e presentato ed amate la Musica leggera -quella con la emme maiuscola, per intenderci- l'Ex Cafè fa al caso vostro: un menù ricco, se non originalissimo, un servizio attento e pronto, ingredienti freschi. Il tutto accompagnato dalla programmazione -magari un po' vntage, ma piacevolissima- di Radio Freccia: quello che potrebbe apparire come il classico ritrovo giovanile è al contrario un locale davvero adatto a tutti."
"ui_bubble_rating bubble_50","Una chicca nel centro di Cesena","Ricavato all'interno di un locale molto storico e caratteristico di Cesena (la zona e' quella dell'ex macello) si trova questo bar molto ben tenuto, con personale giovane, sorridente e disponibile. Ottima la posizione, poco defilata dal centro, buono il caffe' ed anche la qualita' media delle brioches. Ambiente tranquillo e frequentato da un pubblico eterogeneo. Da visitare il soppalco almeno una volta."
"ui_bubble_rating bubble_40","un ottimo punto di appoggio","sono stato in questo bar con una scolaresca. ci siamo trovati bene. servizio veloce. hanno posti a sedere sia dentro che fuori. tutto molto ben tenuto"
"ui_bubble_rating bubble_40","Estate e inverno sempre gradevole","D'estate e d'inverno è sempre piacevole andare, sia di pomeriggio che la sera,molto frequentato da studenti"
"ui_bubble_rating bubble_50","Un locale vivo!","Ottimo locale, adattissimo per serate fra amici! I gestori sono simpatici, pronti ed affidabili: non ho mai dovuto aspettare troppo per fare un'ordinazione, anche durante le serate piene!"
"ui_bubble_rating bubble_50","Ottimo ","Bravi e fantasiosi...Bello soprattutto di sera Pieno di universitari è gradito anche x coppie. ...Economico e rapporto qualità prezzo ottimo Sono anzi...siamo stati davvero beneBravi Continuate così "
"ui_bubble_rating bubble_40","Fantastico!","Ottimi prezzi per gli universitari, ottimi i panini completamente personalizzabili e anche gli altri piatti. Locale molto accogliente, servizio buono!"
"ui_bubble_rating bubble_50","Fantastico pranzo","Piatti sempre fantastici.Possibilità di personalizzarsi panini, insalate e rispondere ad ogni esigenza.Servizio cordiale e veloce.Sconti universitari e ottima location per gli studenti con l'aula studio alfa dietro.Complessivamente davvero ottimo.Anche per gli appassionati di birra è presente un'ottima scelta di birre artigianali.10 con Lode. "
"ui_bubble_rating bubble_50","Una seconda casa","Locale perfetto per incontrarsi con gli amici. Ampia corte esterna, interno accogliente e moderno! Vastissima scelta di birre artigianali e non. Comodissimo perché in zona centrale e con parcheggio interno gratuito! Prezzi convenzionati con gli universitari. Ottimo anche per un pranzo veloce e poco dispendioso.D'estate si organizzano anche molti concerti all'aperto!"
"ui_bubble_rating bubble_50","Favoloso ","Mi fermo spesso e volentieri in questo locale,comodo per il parcheggio privato e gratuito (cosa rara a Cesena), a due passi dal centro ed in una location molto suggestiva (specialmente con la bella stagione).Ottimo il servizio sia a colazione con ottimi caffè e cappuccini così come il pranzo con cucina espressa con piatti nuovi tutti i giorni,grazie alla presenza di uno chef fantasioso. Il locale è aperto fino a tarda sera e offre un'ampia scelta di birre,vini e cocktails da poter consumare sul soppalco oppure nel giardino esterno.Consigliatissimo"
"ui_bubble_rating bubble_40","Locale Accogliente","Il locale offre davvero un servizio completo, sia per il pranzo che per l'aperitivo.Rapporto qualità-prezzo molto buono e personale super disponibile.E' presente anche un biliardino per poter giocare con gli amici sorseggiando una delle tante birre artigianali in bottiglia che propongono."
"ui_bubble_rating bubble_40","Bel posto",""
