"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Brioches da asporto","Sono entrata per la prima volta in pasticceria incuriosita dal via vai continuo. E devo dire che mi spiego il motivo! Pasticceria pulitissima!Ho acquistato due vassoi di brioches miste..una scelta infinita al banco e tutte molto buone.Ultimo plus: è aperta anche di lunedì"
"ui_bubble_rating bubble_30","Tutto ottimo ","Consiglio moltoOttimo .. di un amico !!!!tutto ok mangiato divinamente e spesso poco.. direi da ripetere "
"ui_bubble_rating bubble_30","UNA BUONA SCELTA CHE POTREBBE DIVENIRE OTTIMA","Quando sono a Cesena è sicuramente una delle pasticcerie “sicure”, dove non sbagli.Pro: mignon, paste, scelta- tre caratteri distintivi di questo locale. La crema tra le più buone che abbia mangiato, e ne ho mangiata molta....Contro: il locale è nemico di sè stesso.Potrebbe diventare più bello, più apprezzato e molto ancora, ma pare aver rinunciato a ogni possibile velleità.No servizio al tavolo, cortesia quanto basta ma senza alcun sforzo in più.A accentuare la mancanza del servizio al tavolo c’è la lentezza con la quale i tavoli stessi vengono rassettati: non è così strano sedersi con davanti bicchieri e tazzine di chi ci ha preceduto.Mettiamola così: questo posto non si evolve e non cambia; probabilmente non migliorerà mai.Questo immobilismo almeno porta “la cesenate” a essere un punto fermo, un porto sicuro.STABILITÀ "
"ui_bubble_rating bubble_10","Schifo ","Appena sono entrato il posto sembrava carino ma i cornetti non erano buoni non c'é servizio al tavolo ed é tutto disposto a caso "
"ui_bubble_rating bubble_10","Scarso igiene","Andavo spesso a fare colazione con il mio compagno ma abbiamo smesso quando una volta mentre facevamo colazione seduti al tavolo quando abbiamo visto il titolare leggere un giornale dietro il bancone mentre si metteva le dita nel naso pulendosi poi nei pantaloni non molto puliti, al che abbiamo lasciato a metà la colazione sul tavolo abbiamo pagato e siamo andati via, conferma avuta quando ho notato che i pasticceri vanno a comprare le paste in altre pasticcerie sicuramente per scarso igiene"
"ui_bubble_rating bubble_50","Sempre una garanzia","Abitando per anni a Sant’Egidio posso dire di essere cresciuto con i loro dolci. Pasticceria di qualità eccelsa, prodotti sempre freschissimi. Personale cortese e gentile. Una delle migliori a Cesena! "
"ui_bubble_rating bubble_50","Il meglio della pasticceria","Ottimo bar e Pasticceria con paste sempre fresche e una grande varietà di scelta... Torte classiche eccezzionali, ti fanno venire voglia solo a vederle... per i compleanni e cerimonie sono sia belle che buone!"
"ui_bubble_rating bubble_50","Sempre buono","Abito vicina a questa pasticceria e non mi mai deluso.. i mignon sono stupendi e davvero molto buoni. Personale molto gentile e disponibile."
"ui_bubble_rating bubble_10","Ordine torta","Sono passato venerdì 22/12 per ordinare un torta di compleanno per la mia nipotina,parlando con la ragazza al banco abbiamo optato per una torta in pan di Spagna,chantilly e fragole al posto della solita torta alla frutta.Ma al momento del ritiro la torta non aveva le caratteristiche promesse.Le fragole le sto ancora cercando!"
"ui_bubble_rating bubble_40","OTTIMA MA UN PO PIU' PULITA","I prodotti di questa pasticceria sono buoni e mai stufosi, anche i salati niente male. L'unico neo è la svogliatezza nella pulizia del bar, spesso ci si deve arrangiare da soli."
"ui_bubble_rating bubble_50","una piccola bomboniera...","Cambierei il nome con ...Una piccola bomboniera  ...questa e l' emozione che si prova entrando , spazio caffetteria , tavoli interni circoscritti da tendaggi , tavoli esterni per l'estate , e grande spazio alla pasticceria !!!! . Personale gentile e titolare Super Bravo , toilette unica (purtroppo) . Prezzi medi ."
"ui_bubble_rating bubble_10","Recensione bar ","Bar se così lo si può definire visto il piccolo spazio a disposizione per consumare qualcosa. Torte costose, pasticceria di basso livello, paste mignon e caffè tipo orzo sciaquato che non costa 1€ ma 1.10€. C è di meglio. "
"ui_bubble_rating bubble_30","Ottimi mignon","Pasticceria di lungo corso a Cesena.Molto curata la piccola pasticceria (mignon) e le torte.Per quanto riguarda le paste, ampia scelta."
