"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Peggior piadina di Forlì","Qualunque piadina ha un costo superiore ai 5 euro. Follia. Poco meno i crescioni, dai 4 ai 6 euro che è comunque un sacco vista la qualità. Quelli già pronti hanno interni freddi (mozzarella non sciolta ecc...), quelli appena fatti non sono degni di tale nome. Se anche tralasciassi la qualità degli ingredienti non posso sorvolare su come sono chiusi!!! Si aprono facendo colare tutto il ripieno... NO NO e NO"
"ui_bubble_rating bubble_40","Di passaggio .....","Usciti a Forli per una sosta lungo la strada per le vacanze ..... chiosco con piccola veranda coperta e alcuni tavoli a fianco ad attrezzature sportive (campi da tennis) buona scelta e varietà di piade farcite .... pulizia e prezzi nella media"
"ui_bubble_rating bubble_20","Male","Piadina riscaldata al momento, immangiabile appena raffreddata. Prezzi un po più alti della media. Male."
"ui_bubble_rating bubble_50","Novità ","Piadina molto buona, prezzi onesti. Nuova gestione il personale molto gentile e simpatico.. tante novità, imbarazzo della scelta..."
"ui_bubble_rating bubble_40","Piada e non solo","Buona piadineria vicino a casa. Riaperta da poco per cambio gestione. Per ora abbiamo provato i soliti gusti tradizionali e qualche crescione. Tutto molto buono. Veloci nella preparazione. "
"ui_bubble_rating bubble_40","Ottima ","Personale cordiale, prodotti sempre freschi insomma rapporto qualità prezzo fantastico. Inoltre le piadine se scaldate il giorno dopo non diventano dei sassi come quelle di molti altri posti."
"ui_bubble_rating bubble_50","Buonissima ","La piadina è ottima e anche i crescioni, secondo me è la migliore piadina di Cesena. Cortesia e prezzi onesti."
"ui_bubble_rating bubble_50","Ottima piadineria","ottimi prodotti (non le solite cose scadenti), con vasta scelta.simpatici e cordiali i proprietari, possibilità anche di prenotare...io e la mia compagna ci andiamo spesso!!! finalmente un ottima gestione a Case Frini!!!!"
"ui_bubble_rating bubble_40","Qualità e cortesia","Personale sempre cortese e sorridente; prodotti di ottima qualità e ampia scelta nel menù. Ci torno sempre volentieri. "
"ui_bubble_rating bubble_30","serata con piada","buona la piadina, personale gentile e carino il posto questa gestione andrà sicuramente meglio delle precedenti"
