"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Qualità e ospitalità","Accompagnavo con la famiglia un ospite esigente e amante del pesce.Abbiamo trovato un’eccelente qualita con porzioni giuste e una location fantastica nel acuore di Cesena. Grande disponibilità e professionalità del personale.Locale non troppo grande per cui è consigliato prenotare se si è in tanti.Ogni piatto è curato e presentato in maniera egregia.Ho visto la passione pura di chi ti presentava le sue creazioni.Complimenti e grazie dei momenti di piacere che ci avete servito Buon rapporto qualità prezzo"
"ui_bubble_rating bubble_50","Ottimo pesce in centro a Cesena ","Seconda volta con grandi conferme: pochi piatti nel menù e qualche fuori menù per stuzzicare. Grande carta dei vini per tutti i gusti e tasche... ottimo servizio attento e cordiale. Top i calamari al forno coi pistacchi... calamarata al sugo di tonno , rombo sfilettato benissimo e cotto perfettamente. La spesa li vale tutti per : location, pesce fresco e servizio. Lo consiglio per una esperienza non banale. "
"ui_bubble_rating bubble_50","Le pietanze da gustare","ieri sono stato all ristorante La Muccigna con i miei,abbiamo mangiato di tutto e devo dire che le pietanze erano succulenti,molto educato e preciso il ragazzo che ci ha servito, molto bravo con le sue capacità di presentare ogni pietanza che serviva al nostro tavolo,anche la proprietaria molto simpatica e sorridente, invitante a sedersi nel suo piccolo ma carino locale, abbiamo assaggiato il pesce crudo e posso dire che al nostro palato era freschissimo, abbiamo scelto un vino denominato Blangé che era molto buono direi squisito, ho notato subito che l'igiene non manca cosa che guardo sempre in ogni locale che provo, con questa recensione vorrei dire che é un ottimo locale da non sottovalutare e quindi vi consiglio vivamente di provare, io tornerò a sedermi in questo ristorante perché sono molto soddisfatto."
"ui_bubble_rating bubble_50","Eccellente.","Siamo stati a cena questa sera. Servizio impeccabile. I miei complimenti al ragazzo che ci ha serviti e coccolati. Per il modo e per come ci ha illustrato e sporzionato le pietanze. Cibo ottimo. Per la qualità e per come è stato cucinato. Bravi! Ci ritorneremo per assaggiare le altre pietanze."
"ui_bubble_rating bubble_50","Qualità prezzo e gente per bene","Personale apparentemente lezioso e eccessivamente preciso rispetto al contesto e al cibo servito. Assenza di contorni. Alta qualità della materia prima e del modo di proporla. Bella carta dei vini"
"ui_bubble_rating bubble_40","Una cenetta romantica ","Sono stata con il mio moroso un venerdì sera e siamo stati bene. Locale piccolo e accogliente nel centro di Cesena, in piazza del popolo dove c’è la nostra bella fontana Masini. Abbiamo scelto due antipasti freddi (tartare di tonno e insalata di baccalà) deliziosi e ben impiantati. Un raviolo ed una grigliata mista entrambe deliziose! Per finire i dessert molto accattivanti... forse un po’ caro, ma tutto di qualità e ben servito... "
"ui_bubble_rating bubble_50","Romantico","Ho portato la mia ragazza per il nostro anniversario in questo ristorante che si trova proprio in piazza centrale a Cesena. Posto fantastico elegante con non molti coperti che rende il tutto ancora più bello senza confusione, personale educato gentile e disponibile per quanto riguarda il cibo, tutto di qualità e a proposito di questo consiglio spaghetti con vongole e bottarga che bontà parlando dei prezzi, per due persone con 2 degustazioni di benvenuti offerti , 3 antipasti 2 primi 1 secondo(grigliatadi pesce) due dolci e vino in bottiglia 120 euro circa ... ritorneremo sicuramente "
"ui_bubble_rating bubble_50","Cena di crudo","Frequentiamo abitualmente questo ristorante, che per noi resta un punto di riferimento a Cesena e dintorni. Abbiamo gia' recensito il menu' tradizionale che consigliamo per l'eccellente qualità delle proposte e la cura dei particolari.Per provare qualcosa di diverso abbiamo voluto sperimentare una cena a base di crudo chiedendo ai titolari Laura e Yuri di guidarci iniziando con qualcosa di soft....ebbene, le nostre aspettative sono state ampiamente superate....carpacci squisiti e crostacei delicatissimi, il tutto accompagnato da sapienti accostamenti di erbe aromatiche che a nostro parere hanno fatto la differenza. In sintesi, una partenza col botto; sicuramente riproveremo."
"ui_bubble_rating bubble_50","Sempre al top","Sono tornato a distanza di poco tempo in questo ristorante situato nel centro di Cesena !Ho trovato un ambiente cordiale e signorile e piatti ottimi soprattutto il crudo di mare!Adatto a coppie e a coloro che amano il pesce!Crostata squisita!Consigliato !"
"ui_bubble_rating bubble_50","Un posto splendido con piatti buonissimi","Il ristorante è stupendo, sia dentro che fuori! In estate si può cenare nella splendida piazza del Popolo con vista spettacolare sulla fontana Masina e sulla Rocca Malatestiana, e in inverno i locali interni sono intimi e accoglienti.Il menù è fatto su misura per offrire il meglio del pesce fresco dell'Adriatico e i piatti sono curatissimi e ottimi.La selezione dei vini è fantastica e Laura la proprietaria è stata gentilissima ed accogliente... Da non perdere i dolci, fatti da Laura che sono vere opere d'arte per gli occhi e per il palato!"
"ui_bubble_rating bubble_40","Posto consigliatissimo","Ristorante molto bello. La cucina ottima e qualità prezzo ottimo. Il personale in sale molto genitale e professionale soprattuto la cameriera"
"ui_bubble_rating bubble_50","Ottima cena nel cuore di Cesena","Un sabato di metà ottobre a cena in questo elegante e accogliente ristorante di pesce nella piazza più bella di Cesena con vista sulla fontana Masini. Locale molto carino e raffinato, servizio impeccabile, materia prima eccellente e una grande mano in cucina. Buona carta dei vini. Peccato non aver avuto lo spazio per assaggiare uno degli interessantissimi dolci... a proposito, dulcis in fundo: ottimo rapporto qualità-prezzo!Bravi"
"ui_bubble_rating bubble_50","Perfetto!","Personale fantastico, piatti ricercati ma allo stesso tempo semplici, atmosfera soft e rilassante, ottimo rapporto qualità prezzo oltre che ad essere inserito nel contesto magico della Piazza! "
"ui_bubble_rating bubble_40","Centralissimo","Ottimo ristorante di pesce, in pieno centro storico a Cesena ,a10 metri dalla fontana Masini,in piazza del popolo!Camerieri competenti e svelti,atmosfera straordinaria,tavoli esterni ed interni!Spaghetti vongole e bottarga super!Consigliato"
"ui_bubble_rating bubble_50","La forza della semplicità","Un pranzo di lavoro è stata l'occasione per scoprire questo ristorante dove sua maestà il pesce regna felicemente.Una apparente semplicità a tratti lascia trasparire una sottile raffinatezza estremamente rispettosa della materia prima di ottima qualità e freschezza.Più che adeguata la cantina e gli spiriti.Servizio professionale e piacevole.Conto giusto.Assolutamente da provare!!"
"ui_bubble_rating bubble_50","Piacevole sorpresa di pesce","Domenica all'ora di pranzo ero a Cesena e guardando i ristoranti aperti più vicini su TA, ho visto questo ristorante, avevo voglia di pesce e siamo andati. Entrando in questo bel locale in Piazza del Popolo, con davanti la fontana Masini (che avevo rilevato circa 15 anni fa) ho riguardato TA e ho visto le €€€€ e mi sono un po' spaventato. Ho mangiato un ottimo antipasto fuori menù e un ottimo secondo. Sono stato molto soddisfatto anche per il costo che rispetto al mangiato era più che onesto. Consiglio vivamente il locale"
"ui_bubble_rating bubble_50","Notevole ","In pieno centro. Vista sulla Rocca.Locale raccolto ed accogliente. Cucina marchigiana.Menu tutto pesce con pochi piatti di livello. Pane della casa di vari tipi.Entree oliva ascolana con merluzzo, insalata di baccalà, fuori menù calamaro grigliato con ripieno di pistacchi Passerina ghiacciata.Selezione cioccolato da 70% a fave.Caffè del marinaio (straordinario).Tutto ottimo.Personale cortese, preparato e attento."
"ui_bubble_rating bubble_50","Soddisfatto ","Il locale ,anche se piccolino, è una meraviglia affacciata su pizza del popolo. Il cibo favoloso con pesce davvero freschissimo e cucinato in maniera ottima. Servizio impeccabile, gentile e discreto. Conto in linea con il servizio offerto. Promosso!"
"ui_bubble_rating bubble_40","Finalmente quello che mancava..","La Muccigna ha aperto in Piazza del Popolo a Cesena da più di due anni e sino ad oggi non c’ero mai stato.Finalmente questa sera siamo stati invitati da una coppia di amici che la frequentano ed apprezzano da tempo e ci siamo seduti ai tavolini sulla piazza malatestiana.Basterebbe solo questo per giustificare la scelta, ma La Muccigna riesce a meritare la visita anche per le sue proposte di pesce.Menù equilibrato nel numero e nella distribuzione delle portate.Dagli antipasti classici ai crudi in tartare, dalle ostriche alle alici fritte.Diversi primi che spaziano dal tradizionale risotto bianco, agli spaghetti vongole e bottarga, dalle mezze maniche ai moscardini ai ravioli rossi all’ombrina e malecche.E poi i secondi di pesce pescato in Adriatico che nella loro essenziale bontà e freschezza non sbagliano mai: fritto, grigliata e forno, tutti buoni.Una carta dei vini in linea con la cifra del menù, non ridondante ma con qualche etichetta idonea a soddisfare i palati più esigenti.Infine la carta dei dolci che fra sorbetti di frutta, mousse, e semifreddi consente di chiudere la cena in dolcezza.Alla fine faccio ammenda della ritrosia che ho sempre avuto nei confronti di questo ristorantino la cui unica colpa, ai miei occhi, era solo quella di essere “troppo raffinato” per i gusti di una piccola città come Cesena.Adesso, col senno di poi, ammetto di essermi sbagliato e riconosco alla Muccigna il merito di aver portato in città una proposta che mancava.Da non perdere soprattutto d’estate.Ci torneremo di sicuro!"
"ui_bubble_rating bubble_50","Qualcosa di nuovo","Il menù presenta piatti particolari e ricercati diversi da quelli che si trovano solitamente nei ristoranti di pesce di Cesena e provincia. Ci sono fuori menù in funzione del pescato è un'ampia selezione di vini. Il locale è molto elegante e d'estate è possibile mangiare all'aperto grazie ai tavoli posti nella bella piazza del popolo. Il personale è cortese e professionale. Consigliato vivamente."
"ui_bubble_rating bubble_50","Una bella realtà","Pesce fresco. Piatti semplici, equilibrati e armonici. Lo chef riesce a valorizzare ogni ingrediente. Grande ospitalità e gentilezza. Ottimo ristorante di Pesce!"
"ui_bubble_rating bubble_50","Ottimo","Anche ieri sera è stata una conferma per qualità ospitalità e professionalità. Pesce fresco e cucinato in modo semplice ma da maestro."
"ui_bubble_rating bubble_50","Anche aperitivo","Ho voluto provare l'aper-ittico ieri sera consapevole che andavo sul sicuro.Come sempre ottimo sevizio da parte dei camerieri e della immancabile signora Laura.Ottima l'idea dell'aperitivo con stuzzichini a base di pesce proposto in maniera originale oltre che di qualità. Il tutto accompagnato da una bottiglia di bollicine italiane. Da ritornare merita !"
"ui_bubble_rating bubble_40","Tutto con calma, ma ottimo.","Locale non grande, pulito e curato, dispone anche di tavoli all' aperto su piazza del popolo ai piedi delle mura, il personale gentilissimo ed attento. i piatti non abbondanti ma in compenso di ottima qualità sono curati e ben presentati, ottimi gli accostamenti tra vivande condimenti. Da provare se si è in zona."
"ui_bubble_rating bubble_20","Conto salato!","Abbiamo cenato alla Muccigna perché amiamo il crudo di pesce. A parte le porzioni non proprio abbondanti la qualità gli abbinamenti ed il servizio sono stati impeccabili. Nota dolente è stato il conto finale decisamente sproporzionato. Forse si paga la location proprio in piazza del popolo ma non credo che torneremo."
"ui_bubble_rating bubble_40","Molto raffinato ","Ambiente raffinato soft e rilassante. Pochi tavoli e si parla a bassa voce . Servizio impeccabile . Viene servita una piccola entrata . Il cibo molto buono , il crudo freschissimo , porzioni un po’ scarse ma accettabili per il tipo di ristorante . Prezzi medio/alti . Ambiente e luci belle , solamente un po’ asettico . Molto comode le poltroncine . Ritorneremo presto . "
"ui_bubble_rating bubble_50","Ottimo locale","Pranzo con la famiglia. Ottima qualità. Il pesce è fresco. Piatti curati e locale rilassante. Professionalità e cortesia fanno della Muccigna un locale da provare."
"ui_bubble_rating bubble_50","Tutto ok","Sono di Cesena e per la prima volta sono stato a cena la sera di S.Valentino qui.Ambiente piccolo ma raffinato e intimo, con musica in sottofondo, ideale per cene di coppia e chiacchiere in tranquillità. Servizio cordiale e attento e ciò che abbiamo mangiato ci è piaciuto molto.Prezzi in linea con le proposte e la raffinatezza del locale."
"ui_bubble_rating bubble_40","Bella serata ","Locale molto carino, arredi essenziali ben studiati! Personale simpatico, gentile e molto professionale. Cibo veramente buon a partire da l’antipasto fino al dolce. Prezzi in linea considerando che parliamo di pesce. Lo consiglio proprio."
"ui_bubble_rating bubble_50","I love it!! ","Ottimo ristorante di pesce in centro a Cesena! Abbiamo cenato diverse volte alla Muccigna, e siamo sempre stati benissimo: ottima cucina, ottimi vini, un ambiente piacevole e raffinato. Prezzi adeguati alla qualità. Consigliato!!"
"ui_bubble_rating bubble_50","Di passaggio a Cesena","Di passaggio nelle vicinanze di Cesena con mia moglie, abbiamo deciso per una pausa pranzo ed abbiamo optato per questo ristorante. Scelta decisamente felice, abbiamo mangiato degli ottimi piatti di pesce in un ambiente piccolo, molto accogliente con la signora, se non erro Laura, che ci ha servito con estrema cortesia ed illustrato le pietanze con competenza. Prezzi onesti in linea con il contesto. Consigliatissimo. "
"ui_bubble_rating bubble_50","Delizia del palato","Il 31 dicembre, in attesa del concerto di fine anno, ho pranzato con amici in questo ristorante. Peccato non riuscire a mangiare di più per assaggiare le varie proposte del menù. Ma il rimedio l'ho trovato: ci sono ritornata il primo dell'anno a pranzo e così ho gustato altre portate. Sono rimasta estasiata dalla bontà, semplicità ma contemporaneamente ricercatezza dei piatti. Il pesce se è fresco non ha bisogno di essere lavorato tanto e insaporito con troppe contaminazioni. Superbo appunto per questo il mix di pesce cotto a vapore con solo un filo d'olio sopra. Pane fatto da loro di tanti tipi che abbiamo quasi finito ancor prima di iniziare a mangiare. E poi i dolci: un semifreddo al pistacchio e uno al limone squisiti. Se fossi stata sola e non vista, avrei pulito per bene il piatto leccandolo, per non lasciare niente. Una menzione al locale molto semplice ma raffinato e al personale professionale e gentile. Aggiungerei anche molto paziente e impeccabile davanti a richieste strane di acqua calda......Grazie!!!!"
"ui_bubble_rating bubble_50","Molto interessante","Locale situato in una delle piazze più belle di Cesena!!!Location carina e molto curata si entra e si respira subito profumo di mare!!!Personale preparato e molto simpatico apre ad un menu ricco di piatti di mare!!Che dire tutto perfetto dai cannolicchi freschissimi alle alici... creano dipendenza!!E la pasta cotta al punto giusto e molto saporita!!!Il tutto inaffiato da un ottima carta vini!!Corretto il rapporto qualità prezzo!!!Consigliatissimo"
"ui_bubble_rating bubble_50","Ottimo","Normalmente per gustare una cena a base di pesce si cerca qualche locale in riviera...invece ho scoperto nel cuore del centro storico di Cesena un ottimo ristorante di solo pesce.Ambiente minimal elegante e raffinato, ingredienti di primissima qualità lavorati da mani sapienti, cortesia e simpatia da parte del personale di servizio hanno reso la serata perfetta.Il conto è assolutamente in linea con il locale e i piatti proposti.Ripeterò sicuramente l'esperienza."
"ui_bubble_rating bubble_50","Locale carino pesce fresco personale gentile","Prima volta molto piacevole. Locale in centrissimo che affaccia sulla piazza del popolo. Pochi posti a sedere ...sinonimo di attenzione al cliente e materie prime freschissime. Locale bello e accogliente . Menu compatto ma con piacevoli fuori menu in base al pesce fresco. Spesa giusta e personale attento e gentile. Da provare se siete in zona"
"ui_bubble_rating bubble_50","Oasi di gusto e tranquillità ","Scoperto per caso questo delizioso ristorante di pesce ubicato sotto uno storico porticato di Cesena.Il locale è piccolo ma accogliente, i tavoli sono comunque distanti tra loro e si può godere la vista sulla piazza.una particolare menzione merita la toilette, pulita e curata nel migliore dei modi. Il cibo è degno dell’ambiente: materia prima freschissima e proposte tradizionali con un pizzico di originalità. Tutto leggero e curato come il cestino di pane pieno di fragranti tentazioni. Ottimi i dolci. Il prezzo è adeguato alla classe del locale ed alla qualità del cibo."
"ui_bubble_rating bubble_50","Domenica in relax","In pieno centro a Cesena , in contesto storico, il ristorante La Muccigna offre un ottimo menù a base di pesce freschissimo e presentato da chi ha a cuore la soddisfazione del cliente. Ottimi anche i prodotti da forno: pane, focaccia, crostini e schiacciata , tutti fatti da loro. Location curata e servizio impeccabile. "
"ui_bubble_rating bubble_40","Ottimo ristorante di pesce nel cuore di Cesena","Abbiamo trovato questo piccolo ristorante per caso e siamo rimasti piacevolmente sorpresi dalla qualità del cibo. Piatti molto buoni e preparati in modo eccellente. Ottimo il servizio."
"ui_bubble_rating bubble_50","Piacevole esperienza!","Ristorante elegante ma senza ridondanza. Raffinato e sapientemente accogliente.Personale garbato, discreto ed al contempo disponibile e preparato. Cibo ottimo e servito con eleganza. I dettagli rendono il pranzo un momento di intensa emozione. Consigliatissimo!!!"
"ui_bubble_rating bubble_40","Ottimo ","Pranzato da solo e la scelta è ricaduta sul menu consigliato e tutto era ottimo con sapori di mare intensi, ambiente gradevole e servizio cordiale e professionale...conto coerente."
"ui_bubble_rating bubble_40","Ottimo","Antipasti e primo non sono forse sufficienti per fare un giudizio. Ottimo l'antipasto, da riprovare il primo. Non cattivo per carità, ma pensavo a qualcosa di più. Una chicca invece i calamari fritti con insalatina e balsamico. Eccezionale!Ottimo la crema di ricotta (dolce fuori menù)Personale ineccepibilePrezzo giusto"
"ui_bubble_rating bubble_40","Cena piacevole!","Locale piccolo ma accogliente ed elegante, l'affaccio sula Piazza del Popolo davvero unico! Servizio molto accurato e cibo ottimo."
"ui_bubble_rating bubble_50","PIACEVOLE SCOPERTA!","Ho pranzato veramente bene. Il servizio è ottimo, Ottima cura del particolari e ricerca della qualità del cibo. Il locale è piccolo ma è una vera chicca. Non vedo l'ora di ritornare a Cesena per mangiare di nuovo qui. Sono rimasta entusiasta.PS: Finalmente ho trovato qualcuno che Sto arrivando! fare anche l'orzo bene!"
"ui_bubble_rating bubble_50","Pranzo domenica 24 settembre 2017","Locale raffinato e accogliente , atmosfera piacevole e rilassante .I piatti vengono composti a bordo tavolo in maniera artistica personale attento e preparato .Cibo delizioso , degno di un ristorante superiore ."
"ui_bubble_rating bubble_40","Cena","Quando vado a cena in questo delizioso locale di Cesena, affacciato sulla Piazza del popolo, sono certo di entrare in un ristorantino curato, elegante, e dove si mangia bene. Piatti curati....unico neo è il personale, tutto molto impostato e......distante...comunque una certezza per la cucina."
"ui_bubble_rating bubble_40","Posto piccolo ma molto curato","Il locale è piccolo ma curato. Il servizio è attento e non invadente. Cerca sempre di essere presente senza dare fastidio. Curati i piatti e c'è una ricerca della materia prima per ottimizzare il risultato. Cosa che visto che parliamo di un ristorante di pesce ritengo sia importante. Tutto buono e curato con una buona qualità"
"ui_bubble_rating bubble_50","crudità sublimi","Dopo un anno, un'altra recensione, e confermo le precedenti , personale professionale, gentile e preparato, location bellissima, arredo ineccepibile.E' stato introdotto un pranzo di lavoro a prezzo fisso di 25 euro, un vero regalo.Mi limito quindi alle mie ultime degustazioni, crudità sublimi, mi sarebbero piaciute più ricche, una chitarrina con sugo di gamberi e cicala di mare, un rombo al forno eccezionale per freschezza e contorni, un baccalà con patate, un brodetto molto gustoso con un sugo da trangugiare fino all'ultima goccia, una zuppetta di cozze da leccarsi i baffi.Ottimi vini, un caffè con deliziosi biscottini, e dolci di qualitàSenz'altro il primo ristorante di Cesena in senso assoluto.I prezzi adeguati alla qualità."
"ui_bubble_rating bubble_50","Fiskebar radical chic di ottima qualita'","Imperdibile una sosta nella bellissima location in piazza del Popolo in una cornice suggestiva, storica e unica per degustare ottimo pesce cucinato secondo la miglior cucina marchigiana, che di pesce e' esperta. Cena superba in una atmosfera sublime"
"ui_bubble_rating bubble_50","Pesce di grande qualità con un servizio impeccabile","Abitiamo a Cesena, eppure non avevamo mai sentito parlare di questo ristorante in Piazza del Popolo, proprio di fronte al Comune: che cosa ci siamo persi in questi anni! Un ristorante con una cucina genuina e raffinata, pesce fresco e preparato con grande accuratezza, una carta dei vini notevole e un servizio perfetto. Insomma altissima cura, attenzione e qualità. Consigliatissimo."
"ui_bubble_rating bubble_50","Pesce fresco, ricette misurate, ambiente piacevole.","Cena a base di pesce fresco: ottimi i crudi, anche se non ricchissimi, brilantemente abbinati a delicati aromi mediterranei. Buona la pasta, gustori ravioli con codine di scampi ben cucinate. Servizio discreto e presente. Esperienza da ripetere."
