"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottima Piadina, crescioni e rotoli.","Piadina molto buona, crescioni e rotoli sono ottimi, inoltre le farciture sono molto invitanti e particolari."
"ui_bubble_rating bubble_40","Piadina come a casa","Buona la piadina e a me che piacciono i crescioni alle erbe devo dire che qui li fanno veramente buoni! Cortesia e disponibilità completano il tutto!"
"ui_bubble_rating bubble_50","Ottimo ottimo","Personale gentilissimo,luogo accogliente,servizio veloce e le piadine,i crescioni che dire semplicemente spettacolari,gustosi,appetitosi,da sogno,se pensate che veniamo da Rieti ed ogni volta che si sale al nord si passa a Cesena solo per mangiare la piadina qui alla Piadina del Borgo,ciao a presto."
"ui_bubble_rating bubble_50","Unici ","Piadina e crescioni straordinari tutto buono prezzi ottimi varietà di gusti eccezionali disponibilità a prenotazioni dalle 15,30 alle 20 e rapidissimi. Consigliato "
"ui_bubble_rating bubble_50","piadina romagnola","Per noi, che siamo comaschi, la piadina è un momento speciale da concederci ogni volta che passiamo in Romagna. La piadina del Borgo non ha deluso, davvero ottima e con ampia scelta (non solo per la varietà degli ingredienti, ma anche per la possibilità di crescioni e via dicendo).Attenzione, ci sono pochi tavoli, ma si può consumare tranquillamente in piedi o in macchina. Ne vale la pena!Complimenti, e consigliato!"
"ui_bubble_rating bubble_50","Una delle più buone ","Io vado spesso a prendere la piadina qui. La prendo e poi la congelo così l'ho sempre in freezer ogni qualvolta mi serve.I rotoli sono grandi e sono molto molto buoni.Il rotolo del Borgo ti avvolge con la sua lovosità che è una meraviglia.I crescioni e le piadipizze anche sono molto buoni.Ogni tanto sfornano nuovi tipi di piadine tipo integrale, integrale coi semi oppure anche nuove farciture per crescioni e piadine.Mi piace la loro fantasia a trovare nuove ricette.Il personale è molto carino, disponibile e gentile.Sono cliente adesso che abito vicino ma lo ero anche prima, perché trovo che sia un chiosco molto molto valido."
"ui_bubble_rating bubble_50","Il top per crescioni e rotoli ","Tutto buonissimo, i rotoli di piadina sono i più grandi che abbia mai mangiato , tanto che non ne riesco mai a finire uno da solaTanti gusti .Il meglio a Cesena. Peccato siano chiusi 2 giorni a settimana "
"ui_bubble_rating bubble_40","Buona la piadina ","Buonissima piadina da asporto a buon prezzo. Ben farcita. Buon rapporto qualità/prezzo. Poco accogliente la ragazza che c'era al banco. C'è posto x il parcheggio. Tempi di attesa brevi. Lo consiglio "
"ui_bubble_rating bubble_50","Grande qualità!","Buonissimi i crescioni e i rotoli, ad un costo davvero contenuto. Graditissima sorpresa poi trovare in cassa a servirmi il grande Cristiano Scalabrelli! consiglio senz'altro a tutti"
"ui_bubble_rating bubble_20","Non mi piace ","Piadina salata... bevi tutta la notte. Piadina abbastanza buona appena calda ma poi quando si raffredda diventa stopposa e dura. Non è una buona piadina romagnola purtroppo. Gentilissimi e cordiali, ma la piada proprio non la fanno bene. Peccato "
