"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Piadine con fantasia","Tantissimi tipi di impasti e ingredienti. Qualità ottima. Il prezzo è nella media.L'impasto è leggero e non troppo alto.Ottimo per vegani e vegetariani.Location molto carina con il chiosco adiacente, all'interno dei giardini Savelli.Posti a sedere anche in inverno presso il bar 45 di fronte."
"ui_bubble_rating bubble_40","Piadine particolari e curiose","Ci siamo andati durante una pausa pranzo e, nonostante ci avessero detto che forse bisognava attendere, in realtà sono stati abbastanza veloci.Un menù molto ricco e particolare, buonissimo il crescione.L'unica pecca: ci sono tornata il sabato successivo per pranzo ed era misteriosamente chiuso...."
"ui_bubble_rating bubble_50","Una piadina al volo in centro","Servizio veloceMenù innovativoPersonale cordiale e disponibile a chiarimentiUn MUST per vegani e vegetariani"
"ui_bubble_rating bubble_50","Ottima piadina, tanta scelta!","Ce n'è di tutti i tipi...scegli se piadina, rotolo, crescione o piadi-pizza...scegli l'impasto che vuoi (bio, farro, integrale, canapa...) scegli tra le innumerevoli proposte o crea la tua combinazione di sapori e poi gusta intensamente!!! Stra consigliato!"
"ui_bubble_rating bubble_50","La miglior piadina di sempre","Piadina fantastica, vasta scelta dai rotoli ai crescioni alle piadine farcite alle insalatona!! Sono cliente abituale in media due volte alla settimana pranzo qui e mi trovo davvero bene! Servizio ottimo, personale cordiale, il piatto forte secondo me è la schioccarella crudo squaquerone e rucola! Da provare!! Piadina migliore di tutte!!"
"ui_bubble_rating bubble_50","Piadina in compagnia","Ci siamo fermati su consiglio di amici e davvero la piadina è molto buona. La location è molto bella, su un viale nel verde. Ingredienti ottimi e personale molto disponibile. Davvero consigliato!"
"ui_bubble_rating bubble_20","Piadina imbarazzante","Piadine piccolissime, poco farcite, quasi sempre crude e carissime. Inutile precisare che a Cesena e dintorni è possibile trovare piadine migliori praticamente ovunque."
"ui_bubble_rating bubble_20","mah...","ammetto me l avevano detto...non ci dormirai la notte.una piadina col prosciutto e una birra risultato tutta la notte a rigirarmi nel letto. impasto pesante degno di materiale edile e costi davvero alti."
"ui_bubble_rating bubble_50","Piada nel parchetto ","Abbiamo mangiato una piadina, a mio gusto davvero eccezionale , il posto è anche molto carino e ben organizzato, con le cameriere gentili e affabili, il conto mi è sembrato giusto ... io personalmente non mi discosterei dalle tradizioni ma ci sono pure tante anzi tantissime varianti con prodotti Bio e vegani "
"ui_bubble_rating bubble_40","Piadina per ogni gusto","Spesso decido di tornare a mangiare al chiosco della piadina di viale Carducci: ci ho portato amici, compagni di studi fuorisede, conoscenti di altre regioni e tutti ne sono sempre usciti soddisfatti. La scelta dei gusti è molto ampia, sicuramente una delle più diversificate della città. Si va dalla piadina ad impasto classico a quella più particolare con impasto alla canapa o al carbone, insomma adatta ad ogni gusto e necessità. Il luogo è molto carino, in pieno centro, in un ambiente molto ricercato e attento al dettaglio. Evitare orari di punta se si vuole evitare la coda. Prezzi forse un po' sopra la media."
"ui_bubble_rating bubble_40","Piadine bio e con impasti speciali","Location con amache, molto carina! Impasti di vario tipo per la varia selezione di piadine, rotoli e cassoni. Personale giovane e gentile. Bella serata"
"ui_bubble_rating bubble_50","Piadina per tutti","Un posto molto carino dove fermarsi a mangiare o prendere una piadina da portrar via. Tantissimi gusti di piade e crescioni, anche per i vegani, e diverse scelte di farine. Noi abbiamo preso due crescioni molto buoni. Il personale è gentilissimo è i prezzi modici. Lo consiglio come sosta dopo un giro per Cesena!"
