"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Piadina eccezionale servita in un delizioso chioschetto","Il piccolo chiosco si presenta molto bene, incastonato nella natura, con un grazioso spazio per consumare sul posto le delizie che vengono preparate. D'estate i tavolini sono al caldo per poter accogliere il visitatore. A pochi metri dalla via Emilia e da un importante centro commerciale, i parcheggi non mancano, ma quel che non mancano, soprattutto, sono la gentilezza, la delizia dei sapori e gli odori di una piadina eccezionale."
"ui_bubble_rating bubble_50","LA MIGLIOR PIADINA IN TUTTA LA ROMAGNA","Capito spesso a mangiare qui, in pausa pranzo dal lavoro. Devo dire che tra tutte le piadine che ho assaggiato fin’ora questa è la più buona. Sapore, freschezza ingredienti, qualità e alta digeribilità!Devo aggiungere altro? Provare per credere!"
"ui_bubble_rating bubble_40","Davvero ottima","Bella scelta di piade e crescioni, ambiente piccolo ma simpatico, prezzi onestissimi, a fronte della qualità. Ottimo indirizzo."
"ui_bubble_rating bubble_50","Finalmente leggerezza, qualità e gusto!","Per chi come noi ama la piada romagnola non può non assaggiare questa.I crescioni e le altre sfiziosità preparate con ingredienti davvero ottimi.Buon appetito."
"ui_bubble_rating bubble_50","Piadina speciale","Qui la piadina non sbaglia mai sempre ottima personale gentile e veloce rotoli eccezionali complimenti "
"ui_bubble_rating bubble_50","Il top a Cesena.","La miglior piadina di Cesena! Cordialita', ottimo posto, menu vegano e tanto altro. Consigliatissimo!"
"ui_bubble_rating bubble_50","Non delude mai!! ","Che dire.. Ambiente familiare, molto gentili e cordiali. Servizio veloce e menù dedicato veramente a tutti! Piadina buonissima; anche i giorni successivi riscaldata rimane morbidissima. Senza parlare poi dei crescioni e rotoli. Si sente proprio la qualità delle materie prime. Da dieci anni è la mia piadineria di fiducia! Belli anche gli addobbi di Natale fatti tutti a mano! "
"ui_bubble_rating bubble_40","Ottima piadineria anche x celiaci!!!","Cena improvvisata con ottimo rotolo fatto di un impasto leggero e con prodotti genuini servito su di un simpatico tagliere di legno...Ottima la piadina senza glutine, sempre disponibile, grazie alla titolare celiaca!!!Chiosco completamente rinnovato e molto pulito...Da provare assolutamente!!!"
"ui_bubble_rating bubble_30","Consigliato ","Mi sono fermata qui ieri sera perché ero di passaggio, prima non c'ero mai stata e l'ho scoperta da poco. Devo dire che ho mangiato piadine migliori (ma questo è un mio pensiero).. ma, nonostante ciò, l'impasto era buono, piadine ben farcita, ampia varietà di scelte tra piadine, crescioni, rotoli, dolci. Prezzi giusti. L'unico motivo pe cui non ho dato un voto alto è solamente perché le piadine che ho preso non erano x me abbastanza calde... . Comunque sia, consiglio questo posto. "
"ui_bubble_rating bubble_50","Meglio di così non potevamo capitare.","Parlo da profano della piadina, ma a me è piaciuta molto. Quello che sicuramente posso testimoniare è l'ampia scelta e l'attenzione posta a chi ha problemi alimentari o è vegetariano/vegano. Prezzi bassi e servizio rapido, unica cosa fate attenzione all'orario perché chiudono presto."
"ui_bubble_rating bubble_50","Crescioni insuperabili ","Da tempo mi servo da questa piadineria, che offre tante proposte per tutti i gusti e scelte alimentari (menu anche per vegetariani e vegani). Tra i tantissimi tipi di piadine,crescioni e rotoli, tutti buonissimi, l'eccellenza (secondo me)va ai crescioni alle erbe,fatti a regola d'arte, con il ripieno delicato,che non gocciola ,ma rimane asciutto e gustoso: ottimi!!!"
"ui_bubble_rating bubble_50","Avevo fame","È quello che ti aspetti, qualità, cordialità e un menù di piadine infinito. Sono stato veramente bene!"
"ui_bubble_rating bubble_50","Ottima piadina!!","Buonissima piadina...ero di passaggio, mi sono affidato alle recensioni di TRIPADVISOR e posso dire di aver centrato un'ottima piadineria!! Personale simpatico e gentilissimo. Lo consiglio"
"ui_bubble_rating bubble_50","Piadina gustosa","Ottima piadina!! Fantastici crescioni e rotoli, non grandi ma squisiti con ingredienti di ottima qualità, mai pesanti ma sempre succulenti!!! Gestione famigliare con tanta cordialità!!! "
"ui_bubble_rating bubble_50","Consigliato!",""
