"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ottimo rapporto qualità-prezzo!","Locale accogliente e carino. Il rapporto qualità-prezzo è sicuramente la cosa che colpisce di più. Abbiamo scelto dei menù molto turistici che hanno superato le nostre aspettative, soprattutto i primi sono meritevoli di lode. Anche la pizza è interessante e ben farcita.Lo consiglio per chi è in zona e vuole assaggiare dei piatti tipici del posto!"
"ui_bubble_rating bubble_30","a due passi dal centro.......................","Posti auto limitati, vi sono a breve distanza posti auto a pagamento, accolti nella normalità, i piatti così come le pizze buoni ma non particolarmente entusiasmanti, si può passare un po' di tempo ma con locale pieno rimbomba e anche per via della maleducazione è difficile conversare."
"ui_bubble_rating bubble_40","ottima cucina ed ottima location","Ristorante pizzeria accogliente dove gustare alcune specialità della cucina romagnola. Tutto buono, dall'antipasto ai primi proseguendo per la carne ed i dolci. Consiglio un bel piatto di Passatelli in brodo o di tagliatelle. Antipasto ricco e buono. Tra i dolci vi consiglio il mascarpone, servito con una cialda a cono che contiene il mascarpone. Il locale risulta spazioso, pulito, caldo ed accogliente. Un consiglio per le cameriere (molto brave e professionali): un sorriso in più non guasta mai..."
"ui_bubble_rating bubble_50","Siamo stati benissimo ","Cena con pizza, locale bello con parcheggio adiacente. Pizza favolosa, ben cotta e ben presentata. Farcitura abbondante. Sicuramente torneremo."
"ui_bubble_rating bubble_50","Cesena in tavola ","Non riusciamo a trovare nessuna critica per questo ristorante. Abbiamo preso dei crostini ed un tagliere misto per antipasto, buonissimi. Passiamo ai primi: gnocchetti verdi ai formaggi, alle noci, alla Sorrentina e tortelloni verdi alla ghiottona. Uno più buono dell'altro, ma i tortelloni davvero insuperabili. Per non parlare delle porzioni super soddisfacenti! Infine i dolci sono stati la conclusione perfetta. Se cercate autenticità, bontà e un rapporto qualità-prezzo ottimo non potete non passare da qui! "
"ui_bubble_rating bubble_30","Nella Media","Sono stato invitato per una cena con Colleghi, quindi c'era un menù concordato all'inizio. Diciamo che il prezzo era buono, ma la qualità nulla di particolare. Erano un antipasto, due primi al piatto, una grigliata e contorno con bevande. Diciamo che i primi sono arrivati freddi, difatti alcuni sono stati riportati ma nel mio caso me li sono fatti andare bene, la qualità non era eccelsa, anzi basica. Ma essendo ad una cena di lavoro non ci si mette di certo a puntualizzare,poi il prezzo era abbastanza abbordabile, diciamo che ce la siamo fatta passare. Sicuramente non tornerei da solo, perché non mi ha entusiasmato la cucina,non so se era per la serata o sempre così,ma comunque credo che a Cesena c'è molto di meglio"
"ui_bubble_rating bubble_50","Super consigliato!!","Nonostante il locale non sia moderno (un po’ anni 80), cibo, prezzo e servizio sono davvero ottimi. Abbiamo sia pranzato che cenato mangiando sia la pizza che primi e dolci: tutto davvero buono! Porzioni abbondanti, Prodotti freschi e fatti in casa...economico e squisito!!! Si consiglia di prenotare."
"ui_bubble_rating bubble_30","Ristorante medio","Il ristorante si colloca nella fascia media dei ristoranti cesenati.La pasta fresca , per i primi , si nota che è fatta a mano Il condimento per i primi è leggermente un po' troppo unti Ma i prodotti usati sono di discreta qualitàI prezzi sono abbastanza convenienti si collocano al di sotto della media dei ristoranti di Cesena, il servizio è discreto anche se il proprietario non brilla tanto per la simpatia"
"ui_bubble_rating bubble_30","Sinceramente pensavo meglio","Ci sono stato ieri sera per mangiare un boccone con i miei parenti. Mi era stato consigliato dal mio albergatore. Sinceramente pensavo molto meglio. È vero che a me la cucina troppo condita e troppo elaborata non piace e qui ho potuto notare che i condimenti non scarseggiano. Il servizio mi è parso tutto sommato efficiente nonostante fosse sabato sera. Il cibo...insomma...la pasta fatta in casa era buona, tuttavia, torno a ripetermi, pietanze troppo condite per i miei gusti: cipolla soffritta. Poi mi ha deluso il manzo ai ferri. Una porzione piuttosto scarsa e per 16€ mi pare un po troppo cara, sinceramente. Neanche i miei commensali sono rimasti particolarmente colpiti. Rivedibile, diciamo. Io penso che in zona ci sia di meglio, almeno per i miei gusti e la mia idea di pietanze."
"ui_bubble_rating bubble_50","Sempre ottimo","Era un po che nn andavamo a mangiare alla stalla perchè ora io e mia moglie viviamo in costa rica, ma devo dire che hanno mantenuto la tradizione, e anche il vecchio cameriere simpatico e sempre attivo.puoi mangiare di tutto e nn sbagli.Veramente ottimo"
"ui_bubble_rating bubble_30","Rimasti negli anni 80","Erano molti anni che non ci tornavo.. esteticamente il locale è vecchio e non proprio bello, ma è comodo per una passeggiata in centro. Il menù è talmente ampio che ci ho messo mezzora a scegliere! Ho preso una tagliata con rucola e grana (14 euro) chiedendo una cottura media, ma purtroppo mi è arrivata asciutta e stopposa..Mascarpone al cioccolato in cialda molto buono, ma porzione esagerata (consiglio 1 dolce in 2 persone). Considerando che il menù degustazione costa 18 euro, ritengo di aver pagato troppo per un secondo, un dolce, e un acqua: 24 euro.La cameriera è stata molto cordiale e simpatica."
"ui_bubble_rating bubble_50","Un buon ritorno ","Erano tanti anni che non venivo on questo locale ma non delude mai. Forse meglio il ristorante che la pizzeria. Ottimo rapporto qualità prezzo è servizio veloce e cortese. Da non perdere gli spaghettoni quadrati porro guanciale e pecorino."
"ui_bubble_rating bubble_40","Buona cucina romagnola","Ristorante che offre piatti abbondanti e gustosi della tipica cucina casereccia romagnola. Personale simpatico, ambiente tranquillo e prezzi modici; elementi che rendono molto piacevole consumare i pasti in questo locale."
"ui_bubble_rating bubble_50","Epifania dello spirito","Consigliati da un albergatore del luogo, con i miei amici ci siamo diretti in questo ristorante. L'impressione estetica del locale da fuori è buona, mentre risulta più spartano all'interno. In due abbiamo deciso per il menu fisso (menù romagnolo), ci viene servito un piatto di crostini abbondante, molto gradevole, a seguito un piatto con due primi, delle ottime tagliatelle a ragù fatte a mano e dei tipici ravioli romagnoli, con un ripieno veramente eccezionale il cui sapore rimandava all'infanzia nella scoperta di un sapore nuovo e genuino. A seguire un piatto con grigliata di carne e contorno di patate arrosto, anche questo molto buono. Al termine della cena completamente sazio e soddisfatto ci è stato servito anche il caffe incluso nel menu fisso cosi come le bevande, acqua e vino. Dopo il caffè mi assento un minuto dal tavolo, tornando trovo la felice sorpresa di due bottiglie di limoncello e liquore alla liquirizia ottimi entrambi.Ma la sorpresa più sconvolgente sta nel fatto che tutto ciò è venuto a costare solo 18 euro coperto incluso: regalato. Anche i miei amici con menù alla carta hanno mangiato bene e speso poco. Da visitare dunque assolutamente una volta nella vita… ah quasi dimenticavo cameriere simpaticissimo."
"ui_bubble_rating bubble_50","Tutto Perfetto","Locale spartano, ma molto molto caldo e accogliente.. ottimo servizio e camerieri gentili.. ho preso il menù fisso a 18€, che dire? Ottime quantità e buonissima qualità, ottimo posto per mangiare bene e spendere poco! "
"ui_bubble_rating bubble_30","Ci tornerò ","Il posto è un po' datato ma la cucina piuttosto saporita.Porzioni abbondanti e prezzi contenuti.Buonissimo il mascarpone con la crema chantilly e gli amaretti.Consigliato per chi vuol mangiare cucina casereccia e non spendere molto."
"ui_bubble_rating bubble_30","Si può fare... ","Locale nulla di che, aria condizionata poco funzionante, ma economico e con una scelta abbastanza ampia. Difficoltà di parcheggio (siamo vicini al centro, comodo quindi per visitare il cuore della città). Consigliato quando si vuole spendere poco (o il giusto) e mangiare decentemente. Comunque promosso! "
"ui_bubble_rating bubble_40","Molto buono","Bel locale. Accogliente e con del personale cordiale e simpatico. La qualità del cibo molto buona. Rapporto qualità prezzo ottimo."
"ui_bubble_rating bubble_30","Locale brutto, mangiare buono","...Locale bello?! Direi orrendo: un tuffo negli anni Ottanta, vecchio e bisognoso di una sana rinfrescata; i bagni poi cadevano a pezzi. Tovaglia, bicchieri e posate erano però molto puliti, cosa che io noto sempre. Quel che abbiamo mangiato noi non era niente male e le porzioni generose. Pizza buona, digeribile e semplice; abbiamo ordinato quelle con ingredienti freschi e lo erano. Mia figlia ha preso calamari fritti: ben cucinati, per niente unti, li ha spazzolati. Calamari veri, non anelli di totano scongelati. Il signore che ci ha serviti è stato molto gentile e disponibile, nonostante fossimo clienti di passaggio. Conto onesto."
"ui_bubble_rating bubble_50","Scoperta eccezionale (breve Soria triste)","Usciti da Mirabilandia, dopo una giornata passata a divertirci, non potevamo concludere meglio la serata.Siamo arrivati non proprio presto ma ci hanno subito offerto un posto nel dehor.Personale molto gentile, cordiale e simpatico.Abbiamo ordinato una pizza, un primo e un secondo, le porzioni Ono abbontanti con ottimo rapporto qualità prezzo. I piatti erano squisiti. La Stalla è diventato il mio ristorante top.... Peccato che è distante 600 km da casa mia "
"ui_bubble_rating bubble_50","Ottimo locale.","Ottimo ristorante pizzeria , qualità prezzo . Personale cortese , pulizia impeccabile. Si consiglia il tagliere dei salumi emiliani ."
"ui_bubble_rating bubble_40","Buon gusto tradizione e semplicità ","Un buon locale con possibilità di posteggio nei pressi che offre ai suoi clienti una atmosfera familiare completa di cortesia e professionalità. Piatti tipici della cucina romagnola e pizza molto buona non pesante ottima la formaggi con noci. Molto veloce il servizio e personale attento. Sicuramente il posto giusto per una serata tra amici. Bravi."
"ui_bubble_rating bubble_50","Nulla da eccepire: Ottimo","Cercate un posto con ottimi piatti tipici della Romagna e qualcosa di innovativo? cercate un locale accogliente con tavoli all'aperto? Cercate un luogo dove i prezzi corrispondano alla qualità di ciò che mangiate? questo locale fa per voi. Cena serale a tarda ora, ottimo il tagliere con salumi e formaggi, tenera la tagliata, gustosa la grigliata, buona la pizza. Porzioni abbondanti e prezzi assolutamente contenuti. Da tornarci anche per la cordialità del personale."
"ui_bubble_rating bubble_40","Bella serata","ho mangiato diverse volte in questo ristornate e mi sono sempre trovata bene ! La pizza è buona. il ristorante in sè l'ho sempre trovato molto pieno e caotico. il cibo in generale è buono, nella media !"
