"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Acquisto piadina e crescioni","La migliore piadina che abbia assaggiato. Ottimi anche i crescioni. Sarà sempre il mio chiosco preferito x la cortesia, la disponibilità e professionalità dei bravissimi gestori."
"ui_bubble_rating bubble_50","Piccolo chiosco, grandi gusti","In viaggio dalla provincia di Lodi per una visita di studio al museo della musica meccanica Musicalia, che consiglio a tutti, a causa di una rotonda sbagliata ci imbattiamo in questo chiosco, che non esagero definendolo il chiosco dei tesori. La signora che cucina e lo gestisce ci accoglie con una proposta di diversi crescioni e piadine (circa una trentina) cucinati e pronti per essere ravvivati sulla piastra e serviti agli avventori. Si va da proposte tradizionalissime a gusti più ricercati e curiosi. Se a qualcuno può attraversare l'idea che un prodotto precedentemente cucinato e riscaldato in piastra per la consumazione possa alterarne il gusto voglio dire che non è così. I due crescioni scelti da me e dalla mia compagna avevano tutta la fragranza e friabilità di un prodotto appena tolto dalla piastra e i sapori dei ripieni erano, forse, ancora più legati e ben distribuiti. Pranzo piacevole di alta qualità in una realtà divertente e dinamica. Se tutti gli errori alle rotonde potessero concludersi così..... "
"ui_bubble_rating bubble_50","eccellente ","Letto su internet che sul giornale vinse un premio come miglior chiosco,aspettativa assolutamente ottima,La miglior piadina e crescioni mangiati fino ad ora, fatte con un antica ricetta originale tramandata,Persone gentili e cordialiassolutamente consigliato!"
"ui_bubble_rating bubble_20","Mamma mia","Che questa baracchina sia aperta dal 1963 proponendo una piada del genere è un vero miracolo, ancora peggio della piadina è il pomodoro di farcitura dei crescioni, sembrano pomodori pelati scatola crudi frullati e salati male."
"ui_bubble_rating bubble_30","Piadine sulla norma cesenete, poca disponibilita'","Qualche mese fa di passaggio x Roma decidemmo di fermarci a San Vittore x una piada. Molto scortesemente ci venne detto che stavano chiudendo... ma di piadine pronte ne avevano un bel po'... vabbè ... l'altra sera si riprova. Piada nella norma rigorosamente riscaldata ma buona. La signora molto seria il signore nemmeno un sorriso..."
"ui_bubble_rating bubble_50","La migliore piadina, senza alcun dubbio","Anche quest'anno non ci siamo fatti scappare l'occazione di gustare queste strepitose piadine.Rientrando dalle rinfrancanti e detossificanti cure termali di Riolo, dove da 11 anni andiamo a rimetterci in sesto per mantenerci in salute e affrontare al meglio la brutta stagione, abbiamo sostato dall'attenta e competente Paola, supportata dal laborioso marito.Come di consueto, ci ha accolto con la cordialità e il bel sorriso che rende il convivio più gradevole.Nonostante si tratti di un chiosco, i sapori sono superlativi e l'attenzione alla qualità ineccepibile. Qui non si fanno compromessi con l'industria e gli ingredienti sono attentamente scelti, sapendo esattamente da dove viene lo strutto (altro che margarine oppure olii vegetali cancerogeni e di incerta origine), qual è il mulino che fornisce la farina (priva dei venefici miglioratori) e da quali filiere arrivano affettati, formaggi e verdure. La piadina ha il pregio di essere un piatto semplice e schietto; se si comincia ad imbastardire per comodità, risparmio o ignoranza delle tradizioni autentiche, perde di senso.Per mantenere saldi i principii alla base di questo sano prodotto artigianale, occorre che l'amore per le cose fatte secondo la regola dell'arte si incorpori con sapienza in un risultato che rispetti secoli di cultura del territorio.E proprio qui sta la differenza rispetto ad altrii posti, cercati, provati e cancellati per l'insalubrità degli ingredienti e l'insoddisfacente palatabilità di piadine e crescioni.Così, assaporata la buona cena di strada, mia moglie ed io abbiamo preso le 50 piadine ordinate un paio d'ore prima (da mettere sottovuoto in buste di polietilene senza taftlati e PBA e da abbattere o surgelare) e siamo ripartiti alla volta di Roma.Torneremo di sicuro l'anno prossimo, ma nel frattempo non ci faremo mancare, di tanto in tanto, l'ottima piadina di San Vittore!"
"ui_bubble_rating bubble_50","Una piadina super super ....","Mi sono fermato per pranzo nel chiosco della signora paola . E come l altra volta non posso dire che bene sia della scelta. Sempre abbondante di piadine farcite che di crescioni pronti Ottimo per le persone come me con i minuti (purtroppo )contati . che della disponibilita' e gentilezza della signora che si adopera in maniera davvero professionale per accontentare tutti. . E dalla gente che vedo sempre ai tavolini direi che ci riesce benissimo ..davvero un chiosco veramente all altezza della sua fama .."
"ui_bubble_rating bubble_10","Senza senso!","Arriviamo al chiosco e incerti sulla scelta diamo un'occhiata al l'ampio menù.... Non passano neanche 5 (e dico 5) secondi che la titolare ci dice: di crescioni non ne faccio più perché le piastre sono troppo calde.... se volete ne ho già tantissimi pronti.Cosaaaa???? Le piastre sono troppo calde???? Non ho mai sentito cosa più assurda!!!!! E se io voglio un crescione che non c'è tra quelli già preparati (da non so quanto tempo )non me lo fai perché le piastre sono troppo calde?????? NON CI SONO PAROLE!!!!!!! Quindi sono obbligata a scegliere tra quelli esposti sulle griglie che toccano quasi il pavimento senza alcun tipo di protezione ...... No grazie!!!! Vado altrove ,dove i crescioni me li fanno al momento .Decido io se voglio qualcosa che è già pronto......... io pago.... io decido!!!!"
"ui_bubble_rating bubble_50","Fantastica!","Buonissima tradizionale piadina romagnola. Proprietari gentili, che ti aiutano dando consigli, su come scaldare la piadina, per gustarla nel modo migliore"
"ui_bubble_rating bubble_40","ok","chiosco di piada con parcheggio comodo,anni fa questo chiosco vinse un premio come migliore piada e credo meritatamente. "
"ui_bubble_rating bubble_40","Non è la flessibilità il loro forte","Aperto anche a mezzogiorno siamo andati a pranzo. La signora è sempre molto gentile ma sembra quasi che lavorare in quel chiosco gli sia molto faticoso. Tutto molto buono. Crescioni ben farciti e piada buona anche non calda."
"ui_bubble_rating bubble_40","Piccolo chiosco, ottime piadine","E' un piccolo chiosco con pochi tavolini. Tanti crescioni e piadine diversi, la signora è molto cordiale, insomma si sta molto bene per un pasto veloce"
"ui_bubble_rating bubble_50","Super piadine e gustosi crescioni , la migliore per noi in zona ","Ci andiamo appena possiamo e ogni volta ritorniamo soddisfatti . I crescioni sono belli imbottiti e le piadine si possono avere sia sottili che più spesse , a scelta . Ci vediamo presto !"
"ui_bubble_rating bubble_50","Piadina Buonissima","Piadine e crescioni di ottima qualità, molta varietà di scelta,chiosco in posizione comoda, personale veloce e simpatico."
"ui_bubble_rating bubble_50","Ottima piada e gerente indaffarata ma attenta.","Mi son fermato perché ci ho quasi sbattuto contro. Una forruna. Otima piada. Un movimento impressionante di avventori per in chioschetto in inverno. Una situazione forse più favorevole in estate, ma bella storia comunque. Piada classica al prosciutto di Parma di livello. Se vi capita di passarci davanti frenate e andateci. "
"ui_bubble_rating bubble_30","La migliore piadina (rovinta da ENORMI peccati evitabili)","D'accordo.il chiosco ha sempre fatto una piadina di ottima qualità. (gesione precedente e gestione attuale).Se si è indecisi su dove andare a prendere la piadina da portare a casa e consumare non eistono alternative credibili nel raggio di molti km.Allora perchè solo 3 stelle... Perchè non è accettabile che chi si ferma a mangiare una piadina farcita direttametne in loco possa incappare in piadine preparate in precedenza e RISCALDATE al momento per essere poi farcite.Chi si siede ad un chiosco di piadina deve trovarsi servito un piatto fresco e appena preparato (il gusto cambia)."
"ui_bubble_rating bubble_40","Sosta veloce","Ho scelto questo chiosco soprattutto per la posizione, in quanto è vicinissimo alla statale! Ne sono rimasta molto soddisfatta, la signora è molto simpatica le piadine sono buone ed economiche ma soprattutto i crescioni sono il top!!!"
"ui_bubble_rating bubble_50","Crescioni Libidinosi!","Premetto che io il locale non l'ho mai visto. Una mia collega che lavora fuori sede ci porta queste delizie ogni qualvolta gliele chiediamo e in base ai suoi programmi quando torna a casa propria a Cesena. È diventata prassi fare la lista di crescioni che desideriamo ci porti qui in Veneto perché sono troppo buoni. Stiamo parlando di un prodotto cotto, confezionato, trasportato e spesso congelato per essere poi riscaldato successivamente. Se sono libidinosi così, non oso pensare la bontà appena fatti!!! Scelta degli ingredienti ampia e fantasiosa .Un plauso alla Signora Paola."
"ui_bubble_rating bubble_50","Piadina e via! ","Piadina ottima, moltissima scelta, gentilezza e cortesia, come sentirsi a casa. Ottimo posto per una tappa veloce ma gustosa "
"ui_bubble_rating bubble_50","Piadina 10 e lode!","La piadina è la più buona che abbia mai mangiato. Ho preso 4 cassoni da portar via e una serie di 20 piadine (per fortuna ne hanno in abbondanza pronte e cotte in giornata e quindi non ho dovuto aspettare...) da portare a casa e congelare. Infatti da quando ho scoperto questo chiosco, non compro più pane! Scaldo le piadine e ritornano profumatissime e fragranti. La sera sono una soluzione ideale per chi come me lavora fino a tardi e ha una famiglia da sfamare. Anche l'ordine e la pulizia sono ottimi. La signora è cordiale e il marito che ogni tanto si affaccia, molto simpatico. Lo consiglio a tutti quelli che amano la piadina romagnola alta... a chi invece la preferisce versione slim consiglio di dividere la piada in due e farcirla. Deliziosa!"
"ui_bubble_rating bubble_50","Piada di sanvittore","Dire che è il massimo è poco, è fotonica. Per la signora che si lamenta è perche non capisce tanto non ho mai avuto problemi addirittura non avendo i soldi dietro mi ha detto me li porterai. Si mangia bene ed è buona buona buona la piadina. 100%più complimenti vivissimi se fossero tutti cosi anche in bici ci passo"
"ui_bubble_rating bubble_50","Ottima","Mi sono fermato. A pranzo. Per una piadina farcita. .davvero ottima. Ho trovato inoltre una signora disponibilissima. E organizzatissima mi ha chiesto se la volevo.tagliata a metà,È La mangiavo li o se la portavo via che me l avrebbe lasciata intera ..ho notato inoltre che era. Davvero tutto pronto in modo che le persone durante la pausa pranzo potessero scegliere La piadina farcita. O il crescione. Senza inutili attese ,tutto questo fatto. Con la massima attenzione e cura. Verso i prodotti preparati.. Davvero bravi e organizzati ."
"ui_bubble_rating bubble_10","disponibilità : ZERO !","Passiamo da queste parti e dato che mancavano 5 minuti a mezzogiorno, decidiamo di fermarci in questo chiosco, lungo la strada, per una piadina al volo.Buongiorno, vorrei una piadina caldaBuongiorno, le ha fatte prima, non gliela faccio calda, le scaldo una di quelle che ho già pronteMa veramente la volevo appena fattaGuardi le ho fatte proprio prima e le scaldo una di queste.Va bene...ho risposto un pò sconcertata perchè non era proprio quello che volevo inoltre il concetto di piadina è cotta e mangiata, non scaldata e mangiata; Aggiungerei che se il cliente non è d'accordo si cerca, a mio modesto parere, di soddisfare le sue richieste...una poi così semplice richiesta non credevo fosse così difficile da esaudire...Solo una piadina? mi chiede la Signora quasi infastidita.Si, grazie e se può me la potrebbe tagliare in 4, dato che abbiamo un pò di fretta e la mangieremo per stradaah...va bene. risponde nuovamente scocciata..Metto una banconata da 20 euro e la signora prima mi dice che ha appena aperto e non ha il resto perchè ha appena cambiato 50 euro e poi mi chiede se ho degli spicci.Abbiamo cercato ovunque ma di spicci non ne avevamo proprio.Allora la signora mi chiede se posso andare al bar a scambiarli..IO????Be... io non mi sono mai trovata in una situazione del genere...Ma mi chiedo, non hai un fondo cassa, capisco che scoccia scambiare 20 euro per 0,90 cent di una piadina, ma la richiesta di andare io al bar a scambiarli proprio mi sembrava inopportuna, a dir poco.MI sono sentita siceramente un cliente di 3 grado; Evidentemente le mie erano pretese troppo difficili o poco convenienti...: chiedo solo una piadina, la vorrei fatta al momento, non mi va bene se me la scalda e poi la voglio anche tagliata in 4 !!Si vedeva chiaramente che dopo il mio no alla risposta del Bar le avevo già rotto abbastanza le scatole..Non si fa così a trattare la gente...In ultimo, e non per ultimo, vorrei spendere 2 parole sui prodotti :La signora aveva già preparato circa, occhio e croce, una 50 di crescioni, messi su una griglia tipo mobile della viceversa (e sappiamo benissimo che le vetrine devono essere chiuse ai lati), appoggiati uno sopra all'altro a raffreddare...ma tanto li scalda..( lo si può vedere ahiaramente dalle foto del suo profilo) .. quello che più mi ha lasciato senza parole è che i crescioni erano appoggiati su questa griglia fino al piano più basso di essa, dove polvere e tante altre cose potrebbero venire a contatto con questi prodotti.... anche semplicemente mentre il personale passa da li potrebbe strisciarci con i vestiti....Ma l'AUSL non le vede queste cose??? L'igiene dov'è?? ...Be, alla fine la piadina l'ho lasciata alla Signora perchè lei non aveva il resto. e la piadina che mi aveva scaldato è stata riposta nuovamente insieme alle altre piadine...Vorrei ricordare alla signora che IL chiosco di piadina è nato con il concetto di prodotto preparato al momento (certo ultimamente la gente va di fretta e potrebbe succedere che chiede qualcosa di pronto, quindi è giusto tenere qualche crescione in vetrina..non quantità industriali come la signora); Questo più che un chiosco mi sembra un negozio dove si vende solo quello che è già pronto... LA PIADINA GLIELA SCALDO, se io non sono d'accordo, non esiste!!... ...alla fine sono contenta di non aver preso quella piadina, siceramente l'educazione non abita qui !! e neanche l'igiene...."
"ui_bubble_rating bubble_40","Piadina buona","Buona piadina siamo andati già diverse volte e tutto come la prima volta, abbiamo provato anche i crescioni e devo dire che sono buoni."
"ui_bubble_rating bubble_50","E' sempre un piacere","Come fai a passarci davanti tutti i giorni e non fermarti una pausa dal lavoro sempre piacevole. Piadina ottima svariati gusti o combinazione di ingredienti sempre freschi e di ottima qualità gentilezza e simpatia sono la ricetta perfetta per farmi preferire questo chiosco ai numerosi presenti in zona. Ottimi anche i crescioni..Da provare"
"ui_bubble_rating bubble_50","Piadina eccellente!!","Finalmente, dopo aver provato diverse piadine, ho trovato quella che mi soddisfa al 100%. Ne faccio scorta regolarmente, la congelo nel freezer e quando la tolgo la metto direttamente a scaldare su piastra calda o forno. Incredibile come si sprigionino nuovamente, come appena fatta, il profumo e la fragranza. Molto digeribile, si sente che è preparata con ingredienti di qualità e cucinata con grande attenzione, sempre al punto giusto. Bravissimi Paola e consorte!"
"ui_bubble_rating bubble_50","Ottima!!!","Trovata grazie a tripadvisor, comodissima dalla statale, 2 minuti dall'uscita, merita una sosta!!!!Piadina artigianale, gustosa, veloce."
"ui_bubble_rating bubble_50","La vera piadina","Fotonica!!! La vera piadina romagnola, buona gustosa mai asciutta e con dei sapori pieni ma delicati. Crescioni che fanno resuscitare! X tutti i gusti sempre pronti. Veloce e cortese Top"
"ui_bubble_rating bubble_40","Ottima piadina","Bem condita, molte possibilita' di farcitura; con tavolini all'ombra e parcheggio limitrofo. Gestori cordiali e gentili."
"ui_bubble_rating bubble_40","Piadina Buona","Come da diversi anni sono andato a prendere la piadina, impasto come sempre buono sopprattutto se caldo."
"ui_bubble_rating bubble_50","La piadina che mancava!!","Da vero romagnolo D.O.C. Sono passato casualmente da questo grazioso chiosco, gestito con serietà da una cordialissima famiglia romagnola!! Una piadina veramente fantastica, gusto e fragranza unica! Infinite le possibilità di personalizzazioni nei crescioni!! Veramente da provare!!!"
"ui_bubble_rating bubble_40","Ottima piadina!","Ideale per una sosta veloce, grande varietà di farcitura e piadina doc. Il posto è facilmente raggiungibile dall'uscita dalla E45. Consigliato. "
"ui_bubble_rating bubble_40","lo street food di tradizione","ieri dopo una lunga giornata di lavoro, ci siamo fermati con dei colleghi di lavoro a far merenda in un chiosco dove la tradizione Romagnola per la produzione artigianale della piada, ancora si oppone all'avanzare della produzione industriale. Sapori tradizionali, impasti naturali e selezione di buoni ingredienti, fanno di questa attività un luogo di ristoro semplice ma decisamente gustoso. Complimenti.. !!"
"ui_bubble_rating bubble_50","Piadina superba e cordialità romagnola","Ci sono diverse scuole di pensiero sulla piadina romagnola (oggi salvaguardata dal marchio IGP, ma con un disciplinare un po' vago): chi la vuole alta, chi la vuole bassa (c.d.alla riminese), chi utilizza solo lo strutto, chi solo l'olio dva, chi aggiunge anche olio di oliva o chi solo chi solo questo, chi la farina di grano tenero 0, chi farina 00 e chi sperimenta anche altre farine (farro, grano duro ...).A me piace sentire un po' di strutto, ma oggi è difficile pensare che abbiamo bisogno di grassi saturi, sicché trovare una piada che metta insieme tutti i requisiti che mi soddisfano non è facile. E poi ci sono le farciture e la cottura, dove basta poco per far perdere il buono.Da Paola, che da decenni si dedica a questo semplice ma gustosissima preparazione tradizionale ho trovato tutto perfetto, Sicché dopo averne gustata una per ciascuno (col prosciutto o con lo squacquerone e le erbette, perfette!) abbiamo deciso di farne una scorta e surgelarle. E la comprovata digeribilità ci ha dato ragione del giudizio iniziale.E così, di quando in quando, abbiamo potuto rinnovare il piacere di sapori autentici."
"ui_bubble_rating bubble_50","La piadina premiata dal Carlino","L'uscita di San Vittore della SS3bis conduce verso una sorpresa non ancora conosciuta agli amici di Tripadvisor: la piadineria di S. Vittore! Il chiosco si trova sulla prima rotonda verso il paese. Buona, genuina, fresca offre una varietà fantasiosa di sapori. Intanto che gustiamo la classica piadina (crescione, crudo e rucola) si alternano gli abitanti che prenotano, per il pasto serale, quantità variabili di piadine. La gentilezza della coppia che gestisce da anni questo luogo fa apprezzare l'ottima ospitalità italiana. Se ricercate genuinità e cordialità venite a trovarli e non sarete delusi."
