"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Carissimi","24€ per 3 birre medie mi sembra un po' eccessivo... Se togliamo 1,50€ di servizio fa 7,50€ l'una. Ma che scherziamo???"
"ui_bubble_rating bubble_50","Un po’ di montagna in città!","In diverse occasioni sono stato in questo locale e ogni volta che entri, ti senti un po’ in montagna. Arredato con gusto, tipico di montagna, gestito da ragazzi simpatici e bravi nel portare un locale di questo genere nella nostra città. Ho bevuto diverse birre ed erano una più buona dell’altra, e in due occasioni ho potuto gustare gli ottimi piatti del loro menù, come lo stinco, i wurstel, i brezen, il gulash, il panino con carne di maiale e altro… tutti piatti buonissimi e preparati con prodotti di ottima qualità! Alla fine puoi gustarti anche qualche grappa di buona qualità! Ottima accoglienza e servizio. Bravi continuate così!"
"ui_bubble_rating bubble_40","Sempre una garanzua","Locale affacciato sulla bellissima piazza del Popolo, propone una valida cantina. Ottimo per aperitivi o merende. Consigliato!! "
"ui_bubble_rating bubble_50","I migliori baristi/e","locale davvero molto carino, drink ottimi , personale disponibile, consiglio a tutti questo locale giovanile, birra ottima, apertivi top grande tia continua così a presto."
"ui_bubble_rating bubble_30","CARATTERISTICO.......IN ALTRO CONTESTO","La sensazione entrando è che avrebbero potuto osare di più in termini estetici, l'arredo e l'allestimento ricordano la montagna solo a chi non c'è mai stato!Vino e Birra ok ma sul menu' il voto è pessimo. Premesso che non siamo in un ristorante la scelta è molto, troppo limitata, e soprattutto non varia con le stagioni mentre in un posto così mi aspetterei più scelta e visto il tema anche maggiore legame con la stagionalità dei cibi."
"ui_bubble_rating bubble_50","Gentilezza fino alla fine!","Spesso e volentieri veniamo qui per una bibita dissetante o per un aperitivo. Il service e molto educato e gentile! "
"ui_bubble_rating bubble_40","Serata tranquilla","Locale accogliente, carino, magari un po' scomodi quei tavolini a lato del muro perché un po' piccoli, ma nel contesto ci sta. Ottimo spazio fuori e servizio impeccabile. Qualità del menù ottima, prodotti buoni e ricercati. Prezzo nell'insieme ottimo anche se l'unica pecca è il prezzo dei panini, un po' piccoli per la loro cifra...Comunque uno dei posti più carini e buoni nel centro di Cesena, consiglio vivamente a tutti!"
"ui_bubble_rating bubble_40","Bello ma si potrebbe osare di più in fatto di cibo del Trentino","Fuori sulla piazza in una bella serata si sta benissimo. Mangiato wurstel e brezen con senape dolce, molto buoni. Ero tentato dal gulash ma forse sarà per un' altra volta.La birra buona. Speravo di uno strudel caldo con crema, ma mi sono dovuto accontentare di una crostata di marmellata di more, va bé."
"ui_bubble_rating bubble_50","Finalmente un bar decente in centro","Era ora che qualcuno aprisse un posto decente in centro! ottimi drink e buonissima anche la birra. Baristi di gran qualità. Ottimo!"
"ui_bubble_rating bubble_50","Apericena","Locale situato in centro con personale cordiale e gentilissimo che sanno consigliarti sul bere e mangiare...ottima scelta di birre e ottimi piatti di carne..ampia scelta di aperitivi...bravi e complimenti"
"ui_bubble_rating bubble_40","Bel pub in centro a Cesena","Sono stato con un amico in questo locale situato in centro a cesena. Locale carino, buone le birre, ce ne siamo fatte 3 medie. bella gente, e patatine di contorno con le birre peccato che servano anche le tisane :D"
"ui_bubble_rating bubble_50","Tappa fissa","Ormai è una tappa fissa, se si va a bere qualcosa, un salto allo chalet lo si fa sempre! Ragazzi in gamba e alla mano, ottimi drink e vasta scelta di birre!"
"ui_bubble_rating bubble_30","Un pranzo semplice in Birreria","Ho pranzato con mia moglie a fine Dicembre del 2017.la birra è ottima hanno diverse marche.Abbiamo mangiato mezzo pollo a testa.Tutto buono."
"ui_bubble_rating bubble_40","Caldo e accogliente...Come in montagna","Uno dei tanti locali che stanno aprendo nel centro storico di cesena. Legno, ed un tocco di moderno, questo locale offre.il calore di un locale di montagna abbinato ad in offerta di birre attenta alla qualità. Bravi"
"ui_bubble_rating bubble_40","Tappa fissa","Il personale, conosciutissimo in città, è di una gentilezza inaudita. Che sia per un drink o per un'occasione più particolare non si può non passare da qui. Leggermente piccolo internamente quindi nel weekend si subisce un po il freddo dovendo star fuori (attrezzato comunque con i riscaldatori) D'estate perfetto. "
"ui_bubble_rating bubble_40","Centralissimo","La caratteristica principale è data dalla disponibilità e simpatia del personale. Ampia scelta dei prodotti in locale centralissimo, in piazza, e dalla buona accoglienza. Prodotti rispondenti alle aspettative. Un buon relax serale prima o dopo il rientro."
