"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Pizza terribile ","Ho ordinato una pizza mozzarella di bufala e pachini. La mozzarella non è assolutamente di bufala, e non è nemmeno mozzarella, ha un onore nauseabondo e mi ha lasciato un sapore terrificante in bocca. Prima e ultima volta. "
"ui_bubble_rating bubble_40","Buona pizza","La qualità della pizza e la cordialità del personale solo al TOP. Anche le consegne sono sempre puntali. Ovviamente se ordini nelle serate festive e prefestive un po' di ritardo le devi mettere il conto."
"ui_bubble_rating bubble_20","Pizza non male, organizzazione pessima ","Sulla bontà/qualità della pizza non ci sarebbe nulla da dire..ma organizzazione zero: sempre in ritardo con le consegne, mancano spesso la metà degli ingredienti e ahimè me ne accorgo quando ho già pagato il ragazzo delle consegne! Sconsigliato"
"ui_bubble_rating bubble_30","Buono e veloce ","Vado spesso in questa pizzeria da asporto, fanno anche consegna a domicilio bel paesini vicini. Pizza buona, se là si ordina da ritirare sul luogo all'orario prestabilito la trovi già pronta senza dover aspettare troppo, ampia scelta di gusti e dimensioni.. unica piccola pecca: personale non troppo cortese.. fortunatamente la pizza è buona! "
"ui_bubble_rating bubble_40","Ottima pizza","Lavorano bene. Fanno una pizza sottile molto digeribile. Usano ingredienti di qualità. I prezzi sono onesti.fanno anche una pizza doppio impasto molto buona ma più impegnativa da digerire."
"ui_bubble_rating bubble_10","Mai Più!!!","Mia sorella ha ordinata 5 pizze a domicilio per tutta la famiglia...la grandezza è giusta..prezzo uguale come tutte le altre pizzeria ma veramente la pizza è pessima ma davvero pessima..per niente leggera...infatti nessuno ha finito il suo cartone..io ho mangiato 2 tranci e ho lasciato ma perché mi dispiaceva buttare via tutto..è sempre cibo però veramente io di solito so dire quando una pizza è ottima. E in più mi ha fatto male allo stomaco. Scusate se scrivo cose così ma alla fine dico ciò che penso nella speranza sempre di migliorare un Po(l'impasto probabilmente)."
"ui_bubble_rating bubble_50","La migliore pizzeria da asporto a Cesena","Da quando ha cambiato gestione, più di due anni fa, ho smesso di cercare pizzerie dove andare a prendere una buona pizza! Sempre puntuali, tranne qualche volte al sabato ma è più che comprensibile. I prodotti utilizzati sono ottimi, dal pomodoro al l'ingrediente più ricercato. Bravo Beppe, continua così!!"
"ui_bubble_rating bubble_10","Pizza a domicilio ko","Dopo 40 minuti di ritardo arrivano le pizze sbagliate,in panico torna alla consegna precedente per riprendere le pizze giuste e me le riporta fredde schiacciate e aperte da altri clienti!Non ci sono parole,cambiate mestiere!"
"ui_bubble_rating bubble_20","Scortesia e scarsa igiene","Ingredienti buoni e abbondanti. Servizio e igiene molto scarsi però. Personale poco gentile e le stesse mani che facevano la pizza toccavano anche i soldi. Mi hanno anche sporcato il bancomat di taleggio"
"ui_bubble_rating bubble_50","Pizza fantastica","La migliore pizza da asporto della zona da sempre. ...il pizzaiolo salentino è super simpatico. ...Servizio veloce e pizza ancora calda....."
"ui_bubble_rating bubble_50","Qualità e fantasia ","Mi fermo spesso in questa pizzeria con possibilità d'asporto o con possibilità di consumare in loco. La pizza è di altissima qualità con prodotti molto selezionati. Velocità nel servizio e consegna a domicilio. Consiglio la Gighen, tra le innumerevoli disponibilità di scelta. La personalità del titolare la fa da padrona. Assolutamente consigliata"
