"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Giro pizza con bibite illimitate","Sono stato a cena con amici, locale situato vicino al campo da calcio, ha un ampio parcheggio auto riservato. Non avevano posti nella pizzeria e ci hanno dato il posto nel bar, bello comunque; il locale non è grandissimo perciò conviene prenotare. Abbiamo fatto giro pizza con acqua, coca cola e birra illimitata a 13 euro totali. Pizze a scelta del pizzaiolo, gusti particolari, impasto sottile, mi sono piaciute. Il personale è disponibile ma pareva che non vedesse l'ora di non portaci più le pizze. Comunque tutto sommato sono stato molto soddisfatto, ci ritornerò, e lo consiglio."
"ui_bubble_rating bubble_50","Serata con marito ","Premetto che non conoscevo questo locale... appena arrivati senza entrare il primo istinto era di fuggire locale affianco ad un campo sportivo...poi essendo che si era prenotato il tavolo abbiamo deciso di entrare....e sorpresa..il ragazzo che ci ha seguito è stato stupendo consigliandoci divinamente.... abbiamo ordinato battilarda di crostini tortelli con erba papaverina e speck una splendida grigliata è come contorno patate del contadino( tagliate a fette abbastanza spesse con buccia e fritte condite con sale e rosmarino) ed erbette saltate il tutto accompagnato da un buon vino della casa!!!! Il prezzo medio basso!!! Sicuramente un locale da consigliare!!!"
"ui_bubble_rating bubble_40","Cena di classe","Cena di classe con crostini molto buoni . Bis di primi con strozzapreti e cappellacci . Grigliata mista contorni vino acqua e caffè €20 . Da tornare per assaggiare la pizza "
"ui_bubble_rating bubble_50","BUONISSIMO","Siamo tornati al Martoranello in occasione dell' evento cena con delitto (davvero bello) e per questo, a livello gastronomico, non avevo troppe pretese ed invece...Il locale è arredato in maniera sobria ed il personale, costituito da ragazzi giovani, è stato davvero disponibile e professionale...bravi ragazzi.Il menù prevedeva un antipasto con tortino alle erbe, molto buono, poi lasagnetta con carciofi e salsiccia, molto delicata ed infine stinco di maiale cotto alla birra in forno con patate arroso: sublime..davvero gustoso e per niente stopposo, si scioglieva in bocca.Le porzioni, date le tante persone presenti, non erano grandissime..ma si è potuto bissare, cosa lodevole, data l'ottima qualità!!Continuate così..STRACONSIGLIATO!!!"
"ui_bubble_rating bubble_50","Strepitosa!","Ho cenato al Martoranello con i miei figli...abbiamo preso la pizza...assolutamente strepitosa!!!Consigliatissimo!"
"ui_bubble_rating bubble_50","Pranzo di Pasqua","Abbiamo mangiato il pesce in questo ristorante per il pranzo di Pasqua. Tutte le portate sono state di qualità eccellente, si mangia tanto e il prezzo è più che giusto.Personale cordiale.Servizio impeccabile. Niente da ridire. Inoltre mi sono fermato parecchie volte a mangiare la pizza fra settimana e devo dire che è molto buona (come tutto il resto). "
"ui_bubble_rating bubble_50","cibo","Bella accoglienza, personale giovialeServizi: Sport e Cibocibo ottimo = qualità + quantitàconsigliamo a single, coppie, famiglie e amici/gruppi.Gabriele Manuela e Michela"
"ui_bubble_rating bubble_10","Cameriere incapaci","Festa di compleanno...oltre alle pizze in quantità ridotta mio figlio è tornato a casa con il giubbotto tutto unto dall'olio di una pizza versato dal cameriere..almeno un minimo di scuse"
"ui_bubble_rating bubble_20","Delusione","Abbiamo preso 2 menu di pesce (insalata di mare, risotto ai frutti di mare, frittura di pesce) , acqua,vino sorbetto,e caffè € 46,00: insalata di mare era un calamaro a a Julien con carote e insalata verde senza sapore ,una misera sperlunghina di riso con microscopiche vongole e minuscoli gamberetti di 1 cm con 1 chela , non c'era ne una cozza ne una mazzancolla ne un polipetto n'è uno scapetto ,un pappone,: il cameriere gentile ha chiesto tutto bene e gli dico di no e gli ho elencato i problemi, puta caso la frittura è arrivata una porzione onesta e con frutti di mare decenti che si vedevano vi consiglio di eliminare il menù di pesce che la gente non è stupida "
"ui_bubble_rating bubble_40","MANGIATO BENE","Siamo andati al ristorante Martoranello, annesso al centro sportivo omonimo in Via Calcinaro a Cesena, per partecipare alla cena con delitto.Il posto è molto spartano, ma accogliente ed il menù mangiato per l'occasione si è rivelato buono.Antipasto con sfornatino alle zucchine con fonduta di taleggio, davvero buono e gustoso, primo di crespella ai funghi buono e per secondo arrosto di maialino(scaloppato) con patate al forno, quest'ultime buone, l'arrosto pensavo qualcosa di meglio.Acqua, vino rosso buono e servizio veloce ed alla mano. Serata piacevole con una buona cena annessa...ci torneremo!!"
"ui_bubble_rating bubble_50","ambiente informale, buona cucina","sia la pizza, sia la ristorazione sono di ottima qualità a prezzi decisamente abbordabili che non guasta!!"
"ui_bubble_rating bubble_50","Umili, veloci, disponibili! E che cucina...!","Ci hanno accompagnato in un pranzo a 360°.Menù ottimo, salutare e quindi ideale per i nostri ragazzi impegnati nel torneo Città di Cesena.Tavolata adulti trattata coi guanti da uno staff sorridente e super educato, nonché<U+200B> giovanissimo e molto ben organizzato!Piatti abbondanti e rapporto qualità prezzo ottima.Ragazzi vi facciamo i nostri sinceri complimenti.Locale essenziale e molto moderno.A voi il nostro più sincero GRAZIE.FORLÌ CALCIO A5."
"ui_bubble_rating bubble_40","Buon giro pizza!","Sono stato una sera con amici e ci siamo lasciati convincere al giro pizza,proposto dal pizzaiolo,che consiste in pizze giganti a sua fantasia che arrivano già tagliate a spicchi.mi sono piaciute tutte anche quelle con impasto ai 7 cereali e l impasto di canapa....tutte con buona farcitura"
"ui_bubble_rating bubble_30","Cosi cosi","Sono stata a fare una cena con tutta la classe . Devo dire che non so se sia stato che eravamo molte persone più bambini ma diciamo che si e intoppata un po' la consegna dei piatti ai bimbi mentre sono andate avanti le pizze dei genitori nonostante i solleciti a fare prima i bimbi non è cambiato nulla...Peccato.."
"ui_bubble_rating bubble_40","Consigliato per il giropizza con amici","Spesso post allenamento mi fermo con degli amici a fare un giropizza ed il rapporto qualità/prezzo è fenomenale. Consigliato"
"ui_bubble_rating bubble_50","Tutto quel che serve","Ci sono diverse ragioni per fermarsi almeno una volta al Bar Ristorante Pizzeria Martoranello:- facile da raggiungere essendo vicino al casello autostradale di Cesena, quindi comodo anche per chi è solo di passaggio;- il personale è molto in gamba, dinamico e cordiale. Vi faranno sentire subito a vostro agio;- il mangiare è ottimo, in particolar modo la pizza;- se si ha solo voglia di bere nessun problema. Accanto alla sala ristorante c'è il bar fornito di tavolini e posti a sedere, sia dentro che fuori il locale. Sono ottimi i cocktail!- è il tipico posto da poca spesa, molta resa;- siete degli sportivi? Sono disponibili su prenotazione dei campi da calcio a 5. Consiglio di organizzarsi per una partita + mangiata/bevuta al Martoranello!"
"ui_bubble_rating bubble_50","cene fra amici","Io e miei amici andiamo spesso a Martoranello per cene di gruppo / post partite. È un posto accogliente, il menù è molto vario, ho avuto occasione di assaggiare nelle varie serate sia la pizza, che la carne, che il pesce, sempre tutto buonissimo e di qualità !! Qualità prezzo ottima e personale simpatico e disponibile. Ci torneró sicuramente!!! "
"ui_bubble_rating bubble_30","sufficiente","Sono stata in questo ristorante il 15/5/16, x festeggiare la comunione di mio nipote.... Antipasto e primi buoni.... la grigliata e tagliata pessime... Appena l hanno portata a tavola si è subito sentito un odore acre molto forte... la carne, spacciata x tagliata era immangiabile... non era fresca. "
"ui_bubble_rating bubble_50","mangiare ottimo e bravissimo il personale","mangiare variegato e molto buono: sia pizza che pasta e carne!ottimo il personale che è riuscito a soddisfare le ns richieste!ideale per famiglie e gruppi di amici!!!"
"ui_bubble_rating bubble_50","Mangiare","Ottimo il servizio la pizza eccellente ho mangiato anche la grigliata ottima minestre ok tutto ottimo"
"ui_bubble_rating bubble_40","Meritevole in tutto e per tutto.","Ottimo ristorante e non da meno la pizzeria ( molto buone le pizze ) , gestito da giovani meritevoli e capaci con prodotti di ottima qualita' sia carne che pesce , il servizio e' ottimo e ospitale adatto a tutti , famiglie comprese .Ci andiamo spesso ed e' come sentirsi a casa , all'interno di un centro sportivo che non a eguali nella zona .Da non perdere , provare per credere .Ciao a tutti ."
"ui_bubble_rating bubble_50","Lo consiglio a tutti!","Mi capita spesso di andare a mangiare a maroranello perché la qualità del cibo è molto buona e la pizza è ottima. Il tutto a prezzi modici. Inoltre il posto è accogliente con ampio parcheggio. Lo staff è composto da giovani e sono tuti cordiali e disponibili. Continuerò a frequentarlo perché ci si sente come a casa. "
"ui_bubble_rating bubble_50","Ottimo lavoro <U+0001F60A>","Ottima cucina , carne , pesce , minestre curate nei minimi particolari .La pizza è veramente il top .Professionalità e cortesia con uno staff giovanile e sempre sorridente .Locale molto accogliente per tutte le età. Non posso chiedere di meglio perché il meglio l'ho già trovato. Grazie ragazzi / e . "
"ui_bubble_rating bubble_50","Torneró sicuramente!!!","Non ero mai stata in questo ristorante...Pizza veramente ottima...come piace a me, bella condita e croccante!! Consiglio a tutti la Pagorà!! E che dire del tortino al cioccolato..."
"ui_bubble_rating bubble_40","Torneo","Ottimo ristorante adatto a tutti specialmente per il post partita e mangiare qualcosa di veloce ottimi il servizio è la cordialità "
"ui_bubble_rating bubble_40","pizza post partita tutto alla grande seppur...","ho assaggiato la pizza e devo dire oltre le aspettative in quanto piu che discreta di qualità ma non molto condita per veritò ottimo il servizio del giovane cameriere con la barba gentile in tutto per tutto,.hanno sky ed è possibile vedere tv mangiando... molto onesti nel prezzo... riproverò sperando in una pizza più farcita"
"ui_bubble_rating bubble_40","Adatto a tutti.","Locale carino ed accogliente con personale affabile e gentile. Ogni tanto a tema vengono organizzate cene varie sia a base di pesce, cacciagione, baccalà, funghi e tartufi ed altre varie tutte comunque squisite ed a prezzi accettabilissimi. Inoltre per chi lo desidera si può gustare una ottima pizza. Ci vado spesso e continuerò a ritornarci perchè ne vale la pena."
"ui_bubble_rating bubble_40","Pizzeria e non solo","Sono stata nel locale per cena con la mia famiglia ed abbiamo preso la pizza! È molto buona e ben farcita! Il locale è carino e nello stesso tempo alla mano! Sicuramente adatto per chi unisce il piacere di giocare a calcio all'aperto a quello di una cena tra amici! "
"ui_bubble_rating bubble_50","Cena","Ottimo posto per stare in compagnia....pizza e cucina squisiti...e ogni tanto si organizzano menu tipici culinari notevoli....ottimo qualità prezzo......cosa aspettate partì sobit....."
"ui_bubble_rating bubble_40","Pizza e sport","Buona la pizza personale accogliente e anche il ristorante ha una vasta scelta di piatti semplici e molto buoni. Sicuramente una meta per chi nei giorni del weekend vuole trovare un po' di tranquiliità e vedere una partita in TV"
