"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Locale sporco e puzzolente ","Locale sporco puzzolente e pieno di immondizia dentro e fuori.Dopo aver ordinato l'attesa è lunga sembra che il personale non conosca neppure come sono i panini.. quando arriva la carne è fredda Ce un sacco di gente a lavorare ma 0 organizzazioni forse sarebbe meglio cambiare gestore è la prima volta che il mc è così scarso di qualità "
"ui_bubble_rating bubble_10","Sporco e puzza di fritto","Quando arrivi da fuori si sente giala puzza del frirto é devastanteMa non cambiano mai olio e filtri?Non si resiste...Poi tutto pieno di residui di mcdrive uno schifo sembra abbandonato...Il resto servono panini freddi non del livello di altri localiSono molto delusa spero che qualcuno lo capisca e rimedi strano lavorare così male...."
"ui_bubble_rating bubble_10","Cibo buono. Ma la differenziata??","Il cibo è buono e i ragazzi disponibili. Ciò che non posso accettare è che i clienti, terminato il pasto, dividano i rifiuti (giustamente), come da raccolta differenziata, mentre i dipendenti arrivino e svuotino l'intero contenuto del vassoio nell'indifferenziato. Non si fa."
"ui_bubble_rating bubble_20","Ma se non ne hai voglia...","Dicembre: Locale 90% vuoto, 14:30 entriamo in una dozzina. Ordine al display ok, con app ok, ma la biondina alla cassa è stata una delusione. Non mi interessa il sorriso nel servirti ma almeno che spieghi bene a chi non ha l'app che lo sconto non c'è,almeno dica il prezzo e mostri lo scontrino! Non penso che abbia avuto fretta dato che non doveva gestire nessuna fila, saremo stati in 3 a fare l'ordine. Ciliegina sulla torta: pago con i 20€ mi da il resto sbagliato, mi sono accorto dopo che mancavano 5€... per la seconda volta, stessa biondina mese precedente. Nessuno l'ha costretta a lavorare al Mc, se non ne ha voglia può anche venire a raccogliere le pesche da me, adesso che è estate!! Mc drive abbastanza veloce, il cibo del Mc è sempre il solito"
"ui_bubble_rating bubble_40","Bel localino","Locale nuovo e pulito. Parcheggio facile. Personale gentilissimo. Hamburger saporiti e gustosi. Ben cucinati. Torneremo "
"ui_bubble_rating bubble_20","McDrive... Male!","Purtroppo riconfermo quanto esposto da altre recensioni. McDrive disorganizzato. Troppo spesso attese lunghe.. e almeno un paio di volte mi è capitato ordine sbagliato.. o addirittura merce mancante. Per il momento non all'altezza degli standard a cui altri McDrive mi avevano abituato. Spero di ricredermi in futuro."
"ui_bubble_rating bubble_30","Normale mcdonald","Aprire altre casse elettroniche perché sono tutte fuori uso. Tenere aperto i giochi fino a tarda notte. Il nuovo panino economico di pollo è una vergogna, rimettete quello con la salsa verdognola! #foodporn"
"ui_bubble_rating bubble_40","MC = Menù Completo","Il locale è bello, spazioso e coi posti anche fuori. Il cibo è buono, il personale è giovane, carino e si sforzano di gestire tutto. A volte gli schermi touch su cui ordinare sono guasti e si crea un po di fila, inoltre il macchinario non scansiona il codice per le promozioni nell'app, ma questo disagio si può risolvere ordinando le cose per cui hai lo sconto che poi verranno scontante alle casse quando vai a pagare.Per quanto riguarda il Mc Drive, ho preso un Sundae al cioccolato e me l'hanno dato bianco senza nulla, mentre al mio amico non han dato la cannuccia.Comunque, nell'insieme mi piace e mi sento di dare un giudizio abbastanza positivo."
"ui_bubble_rating bubble_10","Pessima organizzazione ","Sono stata in questo Mc diverse volte, in quanto vicino a casa. Ogni volta panini e patatine fredde, locale sporco, con bidoni stra pieni. Per non parlare del drive, lentissimi è disorganizzati, proprio ieri sera abbiamo atteso 25 minuti e davanti a noi avevamo solo due auto. Dopo tutta l'attesa ci accorgiamo che l'ordine era sbagliato, o meglio hanno sbagliato gli ordini di tutte le persone in fila.. Ogni volta in questo ristorante ci sono problemi, forse sarebbe ora di rivedere qualcosa. "
