"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Bello","Ottimo x passare una serata con gli amici ,il locale alla moda .olro carino, bella musica e il personale top"
"ui_bubble_rating bubble_30","Compleanno","Abbiamo passato una serata per un compleanno, cena e dopocena. Per cena insalatina di pesce e alici (non buonissima) e paella invece, come ci avevano garantito, davvero molto buona, (e ne ho assaggiate tante, Valencia compresa), acqua, vino e caffè, in totale circa 25 euro a testa, quindi prezzo adeguato. Serata allietata dal vocalist che ha intrattenuto gli ospiti del locale con giochi vari. Dopocena con discreta musica disco, tanta gente over anta. Completano il tutto un mega parcheggio comodissimo e la posizione lontana da case che non guasta mai per gli schiamazzi. Non guasterebbero una selezione almeno di certi alcolici di qualità migliore, e a tavola durante la cena più spazio tra i coperti. Detto questo è un locale che sicuramente consiglio per gli over 35, 40."
"ui_bubble_rating bubble_20","Da movida non da coppia","Locale molto carino e alla moda, ampio e comodo parcheggio. Sono capitato per l'aperitivo della domenica. Ok che li con l'aperitivo, praticamente si cena, però cavolo se prendo un long drink e non mangio, non farmi pagare anche tutto quello che si mangiano gli altri. Capisco le difficoltà organizzative a gestire separatamente le due opzioni, ma non andrò mai più se devo solo bere qualcosa. Mentre merita come apericena. Ben frequentato, tanta gente giovane e bella, allegro e divertente. "
"ui_bubble_rating bubble_50","aperitivo cenato ottimo e abbondante","Son andato di domenica con un'amica e ho mangiato davvero tanto.aperitivo cenato con primo buono poi vari fritti,piadina nresaola e grana,patatine frittte,patate al forno,anellini alla cipolla carne e tante altre cose.staconsigliato per l 'ottimo rapporto qualita' prezzo accompagnato da buona musica e bell ambiente"
"ui_bubble_rating bubble_30","Locale di tendenza","Sicuramente un locale di tendenza, molto carino con della musica discreta. Carina la musica, disorganizzato il servizio di guardaroba . Da riprovare con calma"
"ui_bubble_rating bubble_30","Cena tra colleghi","Locale piccolo ma carino, il cibo non è esaltante ma al prezzo di 20 euro va bene. Carina l'animazione e la musica a fine cena. Per una serata da baracca va bene."
"ui_bubble_rating bubble_30","Buon aperitivo!<U+0001F378>","Aperitivo top nella zona, drink buoni e costi equi considerando il ricco buffet disponibile. Verso tarda serata diventa una semi discoteca, ideale per giovani o per feste in genere, per chiacchierare invece diventa un po difficoltoso data la musica alta! Personale disponibile e veloce nel servizio!"
"ui_bubble_rating bubble_10","Metto una stella perchè meno non posso!!","Prima volta che vado alla serata di mercoledì con colleghi di lavoro..mai più ci tornerò!! Il locale è carino anche se un po' piccolo ma il vero PROBLEMA è il CIBO!!!! Abbiamo mangiato un tortino di spinaci con besciamella e passata di pomodoro, un quadratINO piccolino di lasagne precotte e riscaldate, come secondo 4 patate al forno e 3 pezzetti di carne su un letto di rucola e per finire una coppetta di mascarpone..tutto ciò alla modica cifra di 22 euro a testa...ovviamente tutti abbiamo lasciato tutto nel piatto visto che la roba non si mangiava!! Prima e ultima volta. Carino il dopo cena con la musica."
"ui_bubble_rating bubble_30","Aperito domenicale","Famoso per il loro aperitivo domenicale. Il locale è ampio e spazioso, arredamento confortevole, piano bar un po' alto, camerieri gentili e disponibili. Aperito abbondante con qualità nella media"
"ui_bubble_rating bubble_10","Festa di capodanno","Ultimo dell'anno ed anche ultima volta.Cena pessima musica pure.Da dimenticare e da evitare se possibile.Non si può presentare una cena così mediocre ad un prezzo di 50 € anche se è l'ultimo dell'anno.Noi non torneremo. "
"ui_bubble_rating bubble_40","Il. Meglio di cesena","Questo locale dovrebbe essere preso d esempio x il suo modo di gestire le serate .Ottimo il servizio bar le cene a tema e la bellissima musica che si può ascoltare."
"ui_bubble_rating bubble_40","Festa di laurea...","Ho festeggiato la mia laurea in questo locale. Musica ottima, Aperitivo ricco ed abbondante, personale davverocortese! "
"ui_bubble_rating bubble_20","Serata del Mercoledì","In effetti un posto così mancava nella nostra cesena, per uscire dai soliti locali del centro storico. Ma vale solo per il dopo-cena, poichè per la prima serata la ristorazione lascia molto a desiserare. Il fatto che vi sia il menù uguale per tutti mi va anche bene, ma la qualità sarebbe anche da migliorare, e poi non parliamo del vino(rosso) compreso nel menù! (per fortuna che siamo capitati la sera del compleanno del titolare e ci hanno offerto qualche bicchiere di champagne).La spesa, se si mangiasse molto meglio e si bevesse un vino sufficiente, è ottima, 25€ tutto compreso, ma andrebbe bene anche 5€ in piu' ma un vino mgliore.....(p.s. anche il dolce della serata, zuppa iglese, non arrivava alla sufficienza!).Altro neo della serata, durante la cena si è esibito un gruppo(credo i brillanti sparsi ormai come il prezzemolo, sono dappertutto) per cui nella sala un casino incredibile, ci si doveva urlare nelle orecchie fra vicini di posto. Durante la cena, la musica va bene, ma non a così esagerato volume!Di locali come questo dalle nostre parti ne abbiam già visti, ma in nessuno ricordo un casino così!Il dopo cena invece è veramente carico! tanta gente che tira anche tardi."
"ui_bubble_rating bubble_10","Bar aperto fino a tardi orribile con i clienti molto vecchi di moda",""
