"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","si e no","il cibo non era male . ma personalmento non tornerei, la pizza era nella media , gli hambuerger pure"
"ui_bubble_rating bubble_30","Nella media","Ci vado spesso con la mia famiglia e mangiamo sempre bene spendendo il giusto, ma non sanno gestire troppi clienti: quando ci andiamo durante la settimana c'è poca gente e sono veloci a servirti, ma appena ci sono 2 tavoli in più per due panini sono capaci di farti aspettare mezz'ora. Hanno rinnovato la location ed ora il posto è più curato."
"ui_bubble_rating bubble_50","Qualità-Prezzo imbattibili","Trovi tutto quello che cerchi in Romagna, mangiar bene, spendere poco e tanta cordialità. Insomma ti senti un po' a casa. Se prendete panini o pizza non sbagliate!"
"ui_bubble_rating bubble_40","ambiente giovane e pizza buona","Locale da cena in famiglia, magari con amici. La pizza è ottima ed anche i panini sono validi. E' sempre pieno di studenti universitari e ci si può trovare anche con amici. Prezzi ok "
"ui_bubble_rating bubble_50","Pizza e vigliacco","Pizza ottima, atmosfera da amici. Quando ordinate da bere chiedete il vigliacco, vi svolterà la serata...."
"ui_bubble_rating bubble_30","Pranzo veloce","Posto a poca distanza da alcune strutture universitarie, propone piatti veloci (primi, insalate, affettati) accompagnate da piadina o da schiacciata. Prezzi più che popolari per un cibo sufficientemente genuino. Non veniteci se siete interessati alle meraviglie della cucina romagnola, rimarreste gravemente delusi: per un pasto veloce, invece, è un posto perfetto."
"ui_bubble_rating bubble_40","Very good","Pizza più che buona! Hamburger buonissimi, prezzi onesti e cameriere gentilissimo! Consiglio vivamente!"
"ui_bubble_rating bubble_50","Ottimo giro pizza!!!","Ottimo locale a due passi dal centro di Cesena ottimo giro pizza a prezzi contenuti consigliatissimo!! "
"ui_bubble_rating bubble_40","Che pizza!!!","Il restiling del locale era quello che mancava ma ora anche quello è fatto. La pizza è ottima (e lo dice un napoletano che quindi di pizze ne capisce qualcosa) e con grande gioia è disponibile anche l'impasto senza lievito che rende la pizza molto leggera senza togliere nulla al gusto. ..ottimi e freschi tutti gli ingredienti. ..anche i panini e i primi piatti sono ottimi...quei ragazzi sono poi simpaticissimi e cordiali. ..insomma l'ideale per una seratina tranquilla magari davanti al maxischermo a guardare una partita. .."
"ui_bubble_rating bubble_50","StElLaRe!!!!!<U+0001F4AB><U+0001F4AB><U+0001F4AB><U+0001F4AB><U+0001F4AB>","Sempre MEGLIO, locale rinnovato, pizza eccezionale, calzone mondiale, personale stellare!!! Ormai sono dipendente; birre sempre fresche, wi-fi gratuito, sky sempre in onda e bella gente. Non dimenticate di richiedere la specialità della casa: la SAMBLIZ!!! "
"ui_bubble_rating bubble_30","Discreto e senza pretese","La mia ragazza ed io abbiamo pranzato da Mr Burger oggi 25 luglio.Il locale ha l'aspetto di un vero e proprio bar di paese, nulla di più, un ritrovo per universitari affamati e gente in cerca di un pranzo veloce (come noi).Buono l'hot dog, crocchette di patate così così, proprietario gentile e disponibile.Da notare la tv con Sky accesa, sicuramente un punto a favore.3.50€ un hot dog, 3.50€ crocchette di patate, 1€ 0.5l di acqua.Nella media."
"ui_bubble_rating bubble_40","Pranzo buono e veloce","Locale con prodotti semplici e pochi fronzoli: Pizza, hamburger, pasta. Provato baconburger saporito e croccante e con patate fritte. Prezzo decisamente economico. Consigliato"
"ui_bubble_rating bubble_50","Ottimo tippest!!","Provato questo fast-food con un amico, con 2 buoni tippest, e sicuramente tornerò a gustare un altro imbattibile baconcheeseburger con patate! comoda saletta al piano superiore!"
"ui_bubble_rating bubble_40","Un'istituzione per gli universitari!","Se si è alla ricerca di un pasto veloce ed economico, mr Burger è il posto giusto, meta di riferimento per gli universitari. Discreta varietà, prezzi onestissimi, locale carino."
"ui_bubble_rating bubble_50","Fast food top!!!","Se cercate il posto senza pretese, ma dove si mangia bene e si spende poco allora con mr burger nn si sbaglia. La pizza è molto buona e leggera ma i panini sono veramente il top!!! Altro che american graffiti o simili!!!"
"ui_bubble_rating bubble_50","Un istituzione di Cesena","Ottimo sia per un pranzo al volo, sia per delle cene di gruppo con gli amici, per eventi o quant'altro, magari non sarà raffinato, ma merita per concretezza e bontà di ciò che viene servito!"
"ui_bubble_rating bubble_40","Anche ad ora tarda...","Affamati verso le 23 ci siamo fermati nel primo posto trovato aperto. Difficoltà a trovare il parcheggio, il locale sembra piccolo e un pò dismesso, ma la pizza (non troppo sottile, ma nemmeno alta) è buona e siamo stati contenti anche per la velocità di servizio. una pizza margherita e una birra 7,40€"
"ui_bubble_rating bubble_50","TOP","Ambiente giovane, amichevole divertente. Ottime sie le pizze che il fast - food, prezzi bassi. Personale simpatico e cordiale. Perfetto per vedersi una partita in compagnia (se gioca il Cesena ancora meglio). Sconti studenti e accettano buoni pasto. Chiedete il panino special! Sempre! TOP."
"ui_bubble_rating bubble_40","Ci sta ","Ci sono stato per fare il giro pizza con i miei compagni . Ci hanno riservato la sala al piano superiore per noi e la cosa è stata molto azzeccata. Il prezzo è molto concorrenziale visto che con 12 euro a testa si hanno bibite e pizza illimitati, poi la pizza e anche buona ."
"ui_bubble_rating bubble_40","Ci ritorniamo !!!!","La mia esperienza proviene dal acquisto di due coupon su tippest, devo ammettere che da fuori sembra molo piccolo ma al suo interno svela il mistero un soppalco con sala e tavoli ! Il cibo era buono abbiamo travato il pane dei panini buonissimo così come la carne Siamo stati serviti con molta velocità e gentilezza Il costo è più che ragionevole.La prossima volta proveremo la pizza !"
"ui_bubble_rating bubble_40","Buona pizza...fino a tardi","Vengo spesso in questo locale, molto alla mano...un fast food che sa fare pizza al forno a legna tra l'altro pure buona. Vale la pena considerarlo per una cena veloce o una cena a tarda notte."
"ui_bubble_rating bubble_50","Pizza ottima ","Dall'esterno non sembra un gran che ma una volte entrato già la storia cambia, ero con degli amici e abbiamo deciso di fare il giro pizza e la pizza è veramente buona e poco pesante, il cameriere simpaticissimo e direi ottimo rapporto qualità-prezzo"
