"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Speciale buono e gustoso, arrobba bona s pag","Fat paura e troppo buona speciale da Felice Anto e Daniel Na cosa è luss, gente gradevole e sorridente e tutto buono"
"ui_bubble_rating bubble_50","Senza parole ","La pizza napoletana come il cielo comanda! Fantastica da rimanere senza parole. Mio marito si è convertito alla pizza napoletana mangiando a Napizz di Cesena. Il personale è super cordiale. Presto proverò i primi."
"ui_bubble_rating bubble_10","Na ladrata","Sono stata da poco a Na Pizz per una cena con un gruppo di amici, incuriositi dalla vicinanza col centro e dall'offerta di pizza napoletana. Il nostro tavolo era al piano inferiore, carino ma insopportabile per l'acustica, è impossibile tenere una conversazione persino col proprio vicino perché non lo si sente e vi verrà un mal di testa terribile per l'eco e il frastuono delle voci e casino generale. Subito ci accorgiamo per altro di una nauseante puzza di fogna, che accompagnerà tutta la nostra permanenza nel ristorante. 2€ di coperto per mise en place di carta e un bicchiere a barattolo, dove non entra il naso se troppo grosso. Tutto questo sarebbe stato accettabile se solo prezzo, qualità e servizio valessero la pena di una visita. Così non è però. Abbiamo aspettato ben 2 ore per la pizza mentre chi aveva ordinato un antipasto è stato subito servito, non riuscendo quindi a mangiare tutti insieme. E dopo 2 ore di attesa ci saremmo mangiati anche la piantina di alloro sul tavolo. La pizza arriva, ma per molti dopo 20 secondi la pizza era congelata, immangiabile e impossibile da tagliare perché troppo gommosa e, in alcuni punti, bruciata nella crosta. Impasto colloso, tanto da rimanere a tutti sullo stomaco, così come il prezzo, eccessivo per il trattamento riservatoci e la qualità della pizza."
"ui_bubble_rating bubble_30","Troppo caro","Niente da dire sul livello della cucina, ottimo. Buoni gli ingredienti e buona la cucina, l'unica pecca sono i prezzi eccessivamente alti. Anche se la qualità è alta non giustifica prezzi simili. "
"ui_bubble_rating bubble_20","Cattivo rapporto qualità /prezzo ","Il locale è carino ma con tavolini piccoli e sedie scomode. I tavolini sono troppo ravvicinati fra loro, non c’è privacy, sentiamo tutto quello che dicono i vicini di tavolo e viceversa.La pizza non è molto buona, è gommosa e resta sullo stomaco. Quella della mia amica è troppo salata. Il personale comunque è molto gentile. I prezzi eccessivi: quattro pizze (due con cornicione ed due normali, acqua, due birre di marca VIOLA consigliate dalla cameriera, è un babà per un totale di 90 euro. Considerate che coperto non esiste, solo un tovagliolo di carta e non c’è tovaglia. Al posto dei bicchieri per l’acqua dei vasetti per conserva quattro stagioni con il bordo sagomato (che - come molti altri - abbiamo fatto cambiare)Non credo che ci torneremo."
"ui_bubble_rating bubble_50","Pizza napoletana","Pizza ottima, alta ma soffice e leggera. Locale moderno e molto ampio. Prezzi forse un po' più alti della media, ma ben spesi. I digestivi offerti a fine pasto sono il top (limoncello, meloncino, e liquirizia)."
"ui_bubble_rating bubble_50","Una pizza da NaPizza","Ottima pizza, lievitata benissimo. Location molto carina, l'unica cosa che non mi è piaciuta i barattoli della Bormioli come bicchieri"
"ui_bubble_rating bubble_10","Semplicemente...disgustato..!!!","Ho voluto provare questa...ná pizza...Prima cosa...Ci si siede in tavolo che è la metà...di quelli a norma...leggo 2 euro di coperto e trovi,un tovagliolo di carta,e nemmeno una tovaglia...un' altro pezzo di carta su tavolo...illegale la cosa...vabbè...passiamo oltre...leggo il menù...Prezzi fuori di testa..una pseudo Ortolana..8.40 euro...Non parliamo delle bevande...la birra meno cara...una chiara in bottiglia da 50 cl....5 euro!!!!!????Tipo nastro azzurro per intenderci....Vabbe ordino una bottiglia d'acqua.Arriva la pizza.....formato normale...senza alcun profumo...né di pomodoro o simili mozzarella...loro la chiamano fiordilatte.Era formaggio fuso filante...parola di Chimico Alimentare...Provo il primo taglio..e qui parte la bestemmia...Gomma appena calda...dove tutto il sopra...va per gli affari suoi ..chiamo subito una delle ragazze...e con Duemanovre..coltello e forchetta...gli rimpasto la pizza sotto gli occhi....Scusi mi dice Lei, la faccio rifare e non la paga....Non me ne frega niente di roba gratis,...voglio pagare una pizza..degna di tale nome...Vado verso l'uscita e credo fosse il titolare...che mi chiede spiegazioni....Io in risposta..Semplicemente le avrà...nella mia..recensione...e sono andato dal mio Amico Paolo..ai 3 Papi...."
"ui_bubble_rating bubble_50","Piacevole scoperta.","Non fatevi ingannare dalla lunga fila fuori, nel giro di 10 minuti si è a sedere e una volta ordinata la pizza arriverà subito.Il menù non offre molta varietà di pizze, le più tradizionali e qualche cosa di nuovo. La specialità è il bordo ripieno di ricotta!Oltre alle pizze hanno anche altre proposte, ma la pizza è veramente buona: la passata pomodoro è la più buona che io abbia mai mangiato!Le pizze hanno un prezzo da 8€ a 19€.Dolci tipici napoletani come il Babà e altri.Locale enorme e ben arredato, camerieri gentili e disponibili, servizio veloce e ottimo.Abbiamo preso 4 pizze tutte sui 9,50€, 3 bottiglie di acqua, 4 dolci e due caffè per una spesa di 17,50 € a testa, ottimo vista la qualità dei prodotti.Assolutamente consigliato."
