"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Sempre una certezza","Sono cliente del New Asia ormai da diversi anni e ogni volta trovo disponibilità e cortesia da parte dei gestori del locale. Nel corso del tempo ho sperimentato da loro vari piatti tradizionali cinesi e giapponesi sempre con ottimi risultati, ma ultimamente prediligo ordinare sempre e solo le mie due o tre portate preferite che mangio con molto più gusto. I piatti sempre esteticamente ben presentati e le porzioni sono soddisfacenti. Forse un po' costoso il prezzo dell'all you can eat per la cena, ma è in linea con il prezzo della concorrenza; buono il costo della versione per il pranzo. Personalmente apprezzo la possibilità di mangiare d'asporto che il locale offre."
"ui_bubble_rating bubble_50","ottima qualità del cibo","Il locale è un pò antiquato, ma la qualità del cibo è ottima a prezzi molto contenuti. Miglior ristorante di cucina giapponese e cinese a Cesena."
"ui_bubble_rating bubble_10","Pessimo ","Mi sono fermato (di passaggio) locale praticamente vuoto erano le 21.00 aspetto all'ingresso, naturalmente nessuno mi c..a, decido di sedermi da solo ed il cuoco mi dice hai ordinato poi parla in cinese con quelli della cucina e mi dice che è tutto prenotato. Prendo ed esco mandandoli a c.....re"
"ui_bubble_rating bubble_30","Nella media..","Il locale è pressochè identico da 10 anni ed anche la cucina è sempre la stessa: valida ma senza picchi degni di nota. Il personale è però poco attento, i tempi di attesa sono lunghi ed anche il conto non è basso se confrontato con altri ristoranti simili."
"ui_bubble_rating bubble_10","Personale sgarbato e sushi pessimo","Mi dispiace dover scrivere una recensione negativa, ma questo ristorante é peggiorato molto rispetto ad un tempo.Il sushi salvo la tartara di salmone non sa di niente. Io e la mia ragazza abbiamo preso una barca ( siamo due appassionati di sushi conosciamo un po' tutti i locali della zona), la zuppa di miso era acqua allungata con un leggero gusto di quello che dovrebbe avere. Il locale é datato, e molto freddo, la signora é molto sbrigativa e sgarbata, ci ha lasciati un po' così. É stata un'esperienza abbastanza negativa. Se volete provare sappiate che il sushi non é un gran che in sto posto."
"ui_bubble_rating bubble_50","Il Top dei top!","Sono anni che lo visito a cadenza mensile. Tutto meraviglioso, dai piatti fino all'arredamento retro'. Per chi e' vegan come me, c'e' davvero di che rimpinzarsi. Ah, c'e' pure All You Can It... Cosa volete di piu'?"
"ui_bubble_rating bubble_30","Non so se tornerò","L'estatica del locale lascia un pò di amaro in bocca in quanto lo stile è abbastanza vecchio e rende il locale poco moderno, ma pazienza, la cosa importante è mangiare bene! Le portate non sono male, ma ho trovato il riso del sushi troppo poco compatto, si sbriciolava abbastanza facilmente insomma. Molto buoni i piatti caldi, ma in generale, vista la presenza di altri AYCE a Cesena e soprattutto nelle vicinanze, non credo che tornerei qui in quanto non ho trovato alcun valore aggiunto! Soffre molto della concorrenza!"
"ui_bubble_rating bubble_40","Buono!!","Cinese e sushi molto buoni, niente di speciale rispetto ad altri all you can eat ma tutto fatto bene. Unica pecca: il servizio e in particolare la cameriera (e credo anche proprietaria del locale), una vera e propria musona che non è stata capace neanche di fare un mezzo sorriso."
"ui_bubble_rating bubble_30","Tornarci?","L'estatica del locale lascia un pò di amaro in bocca in quanto lo stile è abbastanza vecchio e rende il locale poco moderno, ma pazienza, la cosa importante è mangiare bene! Le portate non sono male, ma ho trovato il riso del sushi troppo poco compatto, si sbriciolava abbastanza facilmente insomma. Molto buoni i piatti caldi, ma in generale, vista la presenza di altri AYCE a Cesena e soprattutto nelle vicinanze, non credo che tornerei qui in quanto non ho trovato alcun valore aggiunto!"
"ui_bubble_rating bubble_30","Non particolarmente attraente","Nuovo posto da provare, siamo partiti! C'è da dire che il prezzo è piuttosto basso, ma riflette abbastanza bene la qualità degli ingredienti (seppur ben serviti e costruiti), servizio piuttosto informale e locale caratteristico ma che non dice nulla di più. Se si vuol spender poco e non pretendere nulla, va bene."
"ui_bubble_rating bubble_30","Niente di che","Premetto che ho fatto l'asporto, cibo cinese con prezzi nella media, insapore e stracotto. Non ho provato il sushi ma non penso che ripeterò l'esperienza. "
"ui_bubble_rating bubble_10","San Valentino assurdo...","Prenotazione per le 20:30, il servizio e pessimo, sono sotto personale, sala piena il primo piatto arriva dopo 1 ora di attesa, le bevande le hanno scordato... secondo piatto servito quasi 40 minuti dopo, il sushi e arrivato alle 22:50 e l'avocado era pure verde, cosa che rende il piatto veramente orrendo e amaro... sinceramente sono molto delusa... non penso siano preparati per servire tanti tavoli... i sapori sono molto neutri, niente di straordinario, i rotoli del sushi non erano stretti... cena triste..."
