"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Nuovi panini!!!","Ecco un posto in cui la ricerca e l’innovazione non si fermano mai...Fermo restando i punti di partenza del locale (carne, formaggi e condimenti principali), spesso fuori menù si trovano abbinamenti diversi e gusti di panini nuovi in modo da provare qualcosa di gustoso... Bravi!Meglio la prenotazione."
"ui_bubble_rating bubble_50","Come salvarti la serata","Esco dal lavoro e non ho fatto la spesa, vivo solo a Cesena per lavoro durante la settimana.Leggo hamburger dalle 18 alle 21...Vado di corsa, entro nella macelleria.Personale gentilissimo e sorridente.Io prendo subito hamburger di castrato (ne vado matto) fantastico con bacon e formaggio....Una favola tutto fatto sul momento è specialePrezzo 5-6€ a seconda di cosa ci mettete.. ma 150/180gr di carne ottimaVeniteci e dite che vi manda il ragazzo Ferrarese...ormai faccio scorta di hamburger di castrato "
"ui_bubble_rating bubble_40","Una valida alternativa...","Durante il giorno... macelleria. Alla sera... hamburgeria! Panini e gastronomia buoni con un discreto rapporto qualita' prezzo. "
"ui_bubble_rating bubble_10","Non all'ALTEZZA","Mai mangiato una carne così scadente, dura, nervata, una vergogna...se a Cesena le macellerie sono tutte così, siete rovinati.."
"ui_bubble_rating bubble_50","Ottimi burger! ","Panini con ottima carne a prezzi vantaggiosi, comodo anche d'asporto! Panini molto più buoni rispetto a quelli dei fast-food o ad altri locali che servono hamburger, consiglio!!"
"ui_bubble_rating bubble_50","Uno dei migliori hamburger mai mangiati","Mangiare un hamburger direttamente dentro la macelleria è davvero una grande idea. La carne inoltre è davvero saporita (parlo solo del manzo, che è l'unico hamburger che ho assaggiato) e anche le crocchette sono buone, ben impanate. Ci torneremo sicuramente anche perché i prezzi sono davvero ottimi. Unica pecca: alle 21 chiude, quindi se abitate in zona e volete mangiare un po' verso il tardi consiglio l'asporto."
"ui_bubble_rating bubble_50","Un signor' hamburger.","Sono stato in questo posto di recente,nulla da dire locale pulito personale simpatico e panino strepitoso! Poco lo spazio da sedersi ma ne vale la pena! "
"ui_bubble_rating bubble_50","La qualità la trovi solo in macelleria.","Macelleria che fa hamburger, pepite di pollo, patate e d'estate anche il fritto (buonissimo) personale simpatico e cordiale, carne davvero ottima preparata in giornata, idem per il pane, strepitoso... Nulla a che vedere con i panini riempiti di salsine per nascondere il sapore della carne surgelata.Per chi cerca la qualità questo è il posto giusto, super consigliato il panino al castrato!P.s. Chi valuta questo posto con una stella se ne intende davvero poco di carne ed è meglio che vada da Mc Donald! "
"ui_bubble_rating bubble_40","Alla faccia del Mc Donald's","Macelleria che di sera si trasforma in fast food - io e il mio ragazzo abbiamo preso due panini + una porzione di patatine (che vale per due) da asporto = 13€. Trattandosi di una macelleria la qualità della carne è davvero ottima - ci ha stupito la cordialità del proprietario e la qualità del pane e degli altri ingredienti. Ci torneremo sicuramente!"
"ui_bubble_rating bubble_50","Manzo burger al top","Ci vado spesso e rispetto alle catene di fast food qui si parla di qualità.Possibilità di personalizzare gli hamburger. Ottimo pane. Consigliatissino"
"ui_bubble_rating bubble_50","Tornato nuovamente, sempre più soddisfatto","Non ci sono paragoni con altri hamburger. Ciccia cotta al momento, morbida e gustosa. Dalla mia recensione precedente non è cambiato nulla, ho ripetuto il doppio di manzo. Voto 10"
"ui_bubble_rating bubble_20","Nulla di ch'è","Sono stato questa sera al milleburgher con il coupon tippest . bellissima l idea di unire macelleria e ristorazione, cosa che ho già apprezzato in altri posti, ma il panino di manzo non era nulla di eccezionale. Carne anonima, nessuna salsina, sicuramente con verdura e pomodori freschi, ma queste cose le trovi anche da un kebabbaro. Nel hamburger sono le salsine e la cottura della carne a fare il gusto non di certo il pane del fornaio. Crocchette insapore e troppo speziate, che danno acidità immediata. Patatine fritte che come le crocchette erano fredde. Volete un panino buono andate allo street food di cervia !"
"ui_bubble_rating bubble_50","Ottimi hamburger","Si tratta di un servizio di hamburgeria annesso a una macelleria tradizionale. L'ho provato con un coupon ed è stata una scoperta molto positiva: i panini sono buoni e saziano, e si può scegliere fra carne di castrato, di manzo, di maiale, di pollo e tacchino oppure vegetariano. La carne è di qualità e i prezzi sono contenuti. Inoltre servono crocchette di pollo e patatine. C'è qualche posto a sedere all'interno (pochini a dire la verità), ma è comodo anche come asporto (volendo, nelle vicinanze si trovano panchine per sedersi all'esterno). Attenzione solo al fatto che chiude piuttosto presto: almeno al momento, gli orari dell'hamburgeria sono 18-21. I titolari sono simpatici e molto cortesi! Buona idea, torneremo!"
"ui_bubble_rating bubble_50","Burger fatti a mano, a vista, con la stessa carne che trovi al banco di giorno","Macelleria di giorno, hamburgeria di sera. Scelta davvero ampia, dal classico manzo (che adoro, talvolta anche doppio...), al maiale, al pollo, al vegan, ma soprattutto al castrato, che difficilmente si trova. La carne è la stessa che trovi nei banchi di giorno, è preparata a vista, puoi ovviamente scegliere i condimenti e il pane è senza strutto, elemento da non sottovalutare. Il tutto accompagnato a piacere da crocchette, patatine e birre artigianali. Ho inserito il locale come fast food perchè tutto viene servito anche da asporto, ma per chi ama gustare un hamburger espresso hanno anche un angolo in cui è possibile sedersi."
