"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Super cena","Consigliataci dalla persona che ci ha ospitato in un bed and breakfast abbiamo trovato eccellente sia la cucina che la cortesia. era la sera del 25 dicembre e quindi poteva starci anche un po' di rilassamento. invece tutti molto sul pezzo, eccellente il pata negra e la spiegazione mentre veniva affettato. bravi, posto da cercare, non lo trovi sulla strada, ma anche per questo molto gradevole. "
"ui_bubble_rating bubble_50","Super consigliata","Consigliata da tante persone, questa osteria poco fuori Cesena è un bellissimo locale con ampio parcheggio. Personale preparatissimo e cortese, pietanze squisite dal bellissimo aspetto esteriore, prezzi nella media."
"ui_bubble_rating bubble_50","cena con colleghi","ottimo,servizio cordiale simpatico professionale, cibo eccellente, locale molto bello, non vedo l'ora di ritornarci con la mia famiglia"
"ui_bubble_rating bubble_50","Ristorante ottimo","Non c'ero mai stato e devo dire che non vedo l'ora di tornarci. Appena arrivato con una parte di amici, ci hanno assistito chiedendo se volevamo acqua o vino per ingannare l'attesa è aspettare il resto del gruppo. Antipasti, primi e secondi davvero ottimi e originali. Per quanto riguarda il conto non so perché ha offerto tutto un amico e non so quanto abbiamo speso "
"ui_bubble_rating bubble_30","Una volta, la seconda no.","Prenotazione per tavolo da 10 persone. Locale leggermente fuori cesena, molto ben arredato, ricercato, si vede che su questo si impegnano davvero molto. Leggendo le recensioni un po l'idea me l'ero fatta. Servizio un po lento, ma in una tavolata il tempo si passa anche a chiaccherare... quindi ci sta. Prezzi decisamente alti per la proposta, per carità, i prezzi non li devo fare io, ma non sono certo da osteria. La cosa che meno mi è piaciuta è che al tavolo eravamo davvero stretti.... forse qualche coperto in meno avrebbe aiutato la location a respirare un po, visto che già è satura di arredamento. Antipasti misti, alcuni han preso un secondo alcuni un primo e qualche dolce. 34,40 euro a testa. P.s. al pagamento non accetta pagamenti con carte singoli... non si capisce bene perchè.. dopo un po hanno capito che se volevano che pagassimo poteva anche accettare le carte singolarmente e tutto è andato liscio. La signora che serve ai tavoli gentile. Io personalmente non ci tornerò."
"ui_bubble_rating bubble_50","Bello e buono!","Son rimasta esterrefatta già all’ingresso, si vede che i titolari han gusto; sia per la location che per il cibo. L’unica piccola pecca è la poca ricerca nella carta di vini, poche scelte e classiche, che trovi ovunque.Comunque; partenza con prosciutto di praga alla piastra come antipasto: delicato, adeguatamente abbinato ad una misticanza leggera e gustosa, la qualità e la freschezza dei prodotti non si mette in discussione. Io mi sbaffo una pappardella con fonduta di formaggi e tartufo nero (da non far caso al l’abbinamento, mea culpa! ) l’uomo prende un filetto al sangue con tartufo bianco. Il nostro tavolo emanava un aroma al tartufo davvero invidiabile. Naturalmente ho rubato una forchettata: il filetto era tenerissimo. consiglio! vivamente! "
"ui_bubble_rating bubble_30","Bello ma ..","Il posto bellissimo non compensa la lentezza del servizio. Siamo tornati per la seconda volta dopo un anno, proprio perchè la prima volta ci eravamo trovati benissimo, ma ahimè non posso dire lo stesso di questa volta, per questo motivo non mi sento di dare meno di tre stelle.Ci hanno fatto sedere ai 06 e sono venuti a prendere l’ordine ai 54. Si sono scusati e ci hanno offerto due crostini, ma questo non basta se l’antipasto mi arriva dopo un ulteriore attesa di 40 minuti. Crostini buoni, cappellacci con interno ustionante e esterno tiepido , microonde? Spaghetti alla chitarra buoni. Secondo di verdure e patate nella media. Niente dolce , tre ore per un pranzo ci sono sembrate troppe. Torneremo? Forse, una giornata no puó capitare a tutti i ristoratori. "
"ui_bubble_rating bubble_40","Ci sta!","Sono stata in occasione di un compleanno. Il locale è bellissimo, arredato benissimo, ci sono le gabbie con gli usignoli. Hanno una stanza più piccola molto romantica, per coppiette, molto carina.Il cibo è buono. Merita.Servizio un pò lento, però cameriera molto gentile, disponibile, sorridente.I dolci non li abbiamo mangiati poiché avevamo la torta portata da fuori, però vedendoli passare per i tavoli dietro, avevano una bellissima faccia, per cui sicuramente tornerò e mangerò anche il dolce."
"ui_bubble_rating bubble_50","consigliato","sono stato con due amici per cena e devo dire che sono rimasto pienamente soddisfatto. Personale gentile, premuroso e simpatico. Piatti ben curati e e bruschette al top. I prezzi aimè, sono un po' alti ma sono indicati nel menù quindi ok. Unico neo, la cioccolata fondente associata al rum, era sbriciolata nelle confezioni e sicuramente non freschissima. Un consiglio: il menù per chi come me inizia ad aver problemi di presbiopia e non ha occhiali al seguito, risulta illeggibile.Comunque consigliatissimo."
