"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Capodanno da dimenticare","Siamo andati a cena qui per capodanno dire che abbiamo mangiato male era dir poco tutto al di sotto della media ! Tagliolini pessimi pesce da dimenticare mai più "
"ui_bubble_rating bubble_50","Tutto ottimo. Consigliato !","Abbiamo cenato la sera sel 30 novembre con coupon di Groupon: antipasti su tagliere squisiti ed abbondanti, primi cappellacci verdi e passatelli asciutti al formaggio di fossa, poi tagliata servita in 4 modi diversi abbinata e patate al forno e per concludere dolce.... davvero tutto squisito! Io ed i miei amici di tavolo abbiamo fatto i complimenti perché era tutto davvero DELIZIOSO. P.S. il locale era pieno...vorrà dire qualcosa. Consigliato al 100% "
"ui_bubble_rating bubble_10","una cena poco buona e....INFINITA","Provato questo ristornate così per caso ma la delusione è stata enorme, a mio avviso uno dei peggiori ristoranti provati ultimamente a Cesena.I primi provati onestamente non erano male ma nulla di speciale, come secondo invece la tagliata era veramente poco poco buona, carne dura e poco saporita.Il problema più grande però sono le attese infinite...oserei dire bibliche.Tra i primi e i secondi è passata un' ora e 20 minuti e un bel po' di lamentele.Infine i costi rapportati alla qualità del cibo sono troppo alti."
"ui_bubble_rating bubble_10","Chi giudica ottimo questo locale temo mangi veramente male a casa propria. ","Noi qui non abbiamo mai mangiato bene, usciti non abbiamo mai potuto dire “mamma mia quanto si mangia bene qui”! Di tutto e nulla di eccezionale, nulla che ti lasci dire “torniamo”. Antipasti, mi soffermo sul fritto congelato che si trova comodamente al supermercato in busta e sui crostini O R R I B I L I tutti uguali con un po’ di formaggio spalmabile sotto ed un basico prosciutto cotto o carciofo sopra tutto frullato.Minestra/Pasta, non c’è male il ragù così come gli strozzapreti. A mio parere la pasta ripiena non è come “sfoglina” comanda... il ripieno non c’era era tutto un mapazzone col condimento, era evidentemente uscito in cottura. Carne, bistecca ... si può chiamare bistecca una cosa durissima e piena di nervi? Fatto presente ci sentiamo rispondere “non sembra che non sia piaciuta”... ne era rimasta tre quarti, eravamo in 6 e la sua poca bontà l’abbiamo assaggiata tutti e sei... di un quarto che mancava ci sentiamo rispondere così ? Parliamo del servizio, pessimooooo!! Attese infinite, serviti tavoli che hanno ordinato dopo di noi. Mangiamo in 3 coppie tutti divisi... chi prima chi dopo e chi quando gli altri hanno finiti ed avevamo solo antipasto tutti e chi il primo chi il secondo. Ordiniamo le patatine fritte. All’arrivo della carne ci dicono che sono finite. A capita... certo se non fosse che ad tavolo vicino poco dopo arriva una pirofila enorme di patatine fritte , tavolo che aveva ordinato dopo di noi. Lo facciamo presente e ci viene detto “ma no non fate così ci facciamo perdonare”... ma che risposta è?? Scopriamo poi che in questo tavolo c’erano conoscenze familiari del cuoco che esce dalla cucina e viene ad abbracciare la signora che “capeggiava” il tavolo. Tra l’altro tutto sporco ... cosa che lascia immaginare la poca pulizia che ci può essere in cucina. Per farsi perdonare lasciano due profitterol, che non avevamo ordinato e che nessuno ha mangiato. Caffè? Come si fa ad uscire dal locale andare al bar a pochi passi e tornare coi vassoi ed il caffè ? Non lo trovo molto igienico. Nonostante tutto, diamo una seconda possibilità, Perchè ci vengono fatte le scuse da parte del cameriere che spiega di essere capitati in una serata particolare ... ecc... ma nulla, il servizio è identico il cibo uguale ... quindi chiuso. Temo che chi fa commenti positivi a queSto locale mangi veramente male a casa propria. "
"ui_bubble_rating bubble_40","CENA DA RIPETERE","ho cenato qui sabato sera per una cena di classe da me organizzata, il servizio è un po' lento, ma il cameriere sa fare bene il suo lavoro e ti viene incontro, eravamo una tavolata non troppo numerosa ma abbiamo cenato tardino, la cucina ci ha accontentato lo stesso, peccato che la prenotazione sia per internet e non per e mail e quindi certe richieste tipo lontano dalla porta, non sono possibili, pero' siamo stati fortunati era una serata calda, e ci avevano posizionato lontano dalla porta. Veniamo alla cena: presi passatelli che ci siamo divisi, ed erano per tutti ottimi anche se non tanti, poi gli altri hanno preso tagliata e grigliata e sono rimasti contenti, io mi sono presa da sola un altro primo cappellacci noci e formaggio di fossa che era ottimo, la porzione era enorme e naturalmente ce lo siamo diviso tutti contenti. abbiamo preso le patate al forno e verdure in gratin non è rimasto nulla! per tre bottiglie di vino e acqua filtrata coperto e primi secondi e verdure abbiamo speso 27 euro, non poco per non aver fatto un menu completo a testa, ma considerato che era una cena le porzioni erano abbondanti, e nessuno di noi ha avuto bruciori il giorno dopo ne una sete tremenda nonostante tagliata al sale, direi che sono stati ben spesi."
"ui_bubble_rating bubble_40","buon pranzo.......con calma!","Buona la posizione,molto vicina al centro storico. Che dire, bel posto piccolo ma carino e pulito. Cibo buono e abbondante, nota di merito per i primi in particolare i cappellacci al formaggio di fossa. Buono il servizio anche se un po lento, ma in sala serviva solo una persona e ed era quasi tutta piena, tutto comunque perdonabile. Ottimo rapporto prezzo qualità."
"ui_bubble_rating bubble_30","Buono ma....","Ho cenato ieri sera, eravamo 5 adulti e 3 bambini. Gabbiano preso 5 galletti alla brace, uno strozzapreti al ragù, una porzione di salsiccia da dividere tra due bambini, 6 porzioni di patate al forno, una coca e 4 bottiglie di acqua. Prezzo totale € 110 nella media, e devo dire che tutto ciò che abbiamo mangiato era buono, senonchè alcuni galletti erano di grandezza media, come ho già mangiato in tanti altri posti, alcuni invece erano piccoli come piccioni, inoltre le 6 porzioni di patate in realtà erano si è no 3 porzioni non di più, tant'è che i nostri vicini di tavolo erano in 2 ed avevano un vassoio di patate uguale al nostro. Fatto sta che con un piccolo vassoio per 6 persone, ognuno di noi ha mangiato circa 4/5 fettine di patata, che come porzione mi sembra francamente un po poco considerando il prezzo di €4 ciascuna, €24 in totale. Se non erro le patate costano circa € 0,50 al kilo perciò non pretendo che ci portassero 40 kili di patate ma neanche così poche. Trovo che speculare su un contorno povero lesinando sulla quantità è vergognoso, proprio perché un ristoratore può fare bella figura con poca spesa. Comunque ripeto il cibo era tutto buono. Rimandato...."
"ui_bubble_rating bubble_40","Buon cibo a ottimo prezzo","Il locale offre una genuina cucina tipicamente romagnola con un buon servizio ed un ottimo prezzo. Cibi saporiti e porzioni molto generose."
"ui_bubble_rating bubble_50","Ottimo e abbondante !","Utilizzato il coupon di Groupon .Locale piccolo e molto carino. Ottimi gli affettati, le tagliatelle ai porcini, i cappellacci. Tenerissima e abbondante la tagliata con le patate."
