"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Locale nuovo, certezze vecchie","Locale storico di Cesena, fresco di rinnovo nel look. La sua cucina però rimane una certezza: ottimi panini e crostini. Ideale per una bella serata in compagnia! "
"ui_bubble_rating bubble_50","Intramontabile","Se vuoi un panino, anzi un pano, vai qui, al Lampione. Storica cantina nel centro di cesena, immutato nei decenni, offre sempre lo stesso menu di panini, tutti buonissimi è perfettamente preparati. Ottimo anche i crostini mentre non ho mai provato le famose penne del lampione, ma prima o poi dovrô farlo. Niente...che dire: spero non chiuda mai perché é davvero un punto di riferimento anche a tarda serata, un gustosissimo punto di riferimento!"
"ui_bubble_rating bubble_40","Come il tempo si fosse fermato","Torno in questa osteria a distanza di 15 anni, e noto con piacere che l'unica cosa mi interessava (oltre alla bontà dei panini/crostini serviti) è rimasta intatta: la loro identità! Gestione intima e familiare, penso che perfino il menù sia lo stesso di 15 anni fa! La qualità del cibo lo è sicuramente! Complimenti ai gestori "
"ui_bubble_rating bubble_50","Una tradizione di Cesena ... il Sabo","Credo che questo posto abbia più di 30 anni, io lo ricordo che ero piccolo. Miei parenti mi dicevano che ci andavano già da allora. Il titolare è il capostipite di una famiglia di ristoratori che si sono dedicati nel tempo ad avviare molte attività del genere nel cesenate: lo Zampano, l'Approdo e il Lambretta (questi ultimi due a Cesenatico), villa Villacolle sulle colline.L'osteria si presenta bene, con un arredamento tradizionale, coi colori caldi del legno. Il locale si snoda quasi completamente in un seminterrato, dove sono ubicate le sale.Occorre tenere presente che questo locale è un'osteria nel senso più stretto del termine: ha una buona selezione di vini (il titolare è sommelier), le proposte culinarie invece non sono molte e prevedono prevalentemente taglieri misti e panini. Potremmo quasi affermare che è un'osteria paninoteca.Ma è coi panini che il locale dà il meglio di se e conquista l'avventore. Io non posso che recarmi qui per prendere il panino definitivo: il Sabo.Il Sabo, cioè un panino (tipicamente una ciabatta) con speck, formaggio, insalata russa, paprika e tabasco. Molto piccante ma gustosissimo.Mi sento quindi di consigliare il posto soprattutto per i panini, e in particolare per il Sabo. Provatelo !"
"ui_bubble_rating bubble_50","Posto vecchio come la morte, ma ottimo!","Uno dei baluardu della vecchia Cesena. Angusto, sa di muffa, ma il cibo e il bere sono ottimi. Fate un tuffo nel passato!"
"ui_bubble_rating bubble_40","Semplice e gustoso","Durante la stagione autunnale e quella invernale, ci capita di venire qui, soprattutto in quelle sere in cui abbiamo voglia di mangiare qualcosa di semplice e sfizioso, senza che rimanga troppo pesante! I loro panini sono molto buoni e i vini sono ottimi, anche il rapporto qualità prezzo non si discute... se non si ha voglia di andare nel solito ristorante, è ideale"
"ui_bubble_rating bubble_50","Qualità e cortesia","Un po' nascosto a prima vista racchiude un'atmosfera accogliente e ottimi crostini. Ideale per una cena casereccia con del buon vino. Personale gentile e disponibile."
"ui_bubble_rating bubble_40","lo stesso da sempre","Io lo frequento di tanto in tanto da quando ha aperto cioè da 37 anni, e tutto o quasi è rimasto immutato: dai proprietari agli arredi ai panini e crostini, salvo qualcuno di nuovo introdotto di tanto in tanto, la buona qualità. Ciò è per me rassicurante e piacevole.... si sta bene "
"ui_bubble_rating bubble_20","crostini già pronti","Sono venuta a mangiare con un gruppo di amici, appena entrata ho notato i crostini già pronti in esposizione in vetrina, non di buonissimo gusto visto che si spera in una preparazione sul momento.. in più, nel momento del conto il totale era 14,20 euro a testa, ma ci sono stati comunque chiesti 15 euro per arrotondare.Qualità dei crostini mediocre."
"ui_bubble_rating bubble_50","I migliori crostini","Piccola osteria/paninoteca alle porte del centro, il menù è piuttosto ristretto, quindi consiglio di andarci solo se si ha l'intenzione di mangiare i crostini o dei panini. I crostini sono la loro specialità, infatti si ci sono tantissimi gusti da provare; l'ambiente è molto rustico, i prezzi sono molto onesti e il personale è attento e gentile. Consigliatissimo"
"ui_bubble_rating bubble_40","Ideale per coppie o amici.","Atmosfera unica, locale accogliente.Vige la filosofia dello slow food, se si entra bisogna essere nell'ottica di saper aspettare (anche molto) ma ne vale la pena.Panini storici e sempre buonissimi!Ottimi anche i vini."
"ui_bubble_rating bubble_40","Panini molto buoni","L'osteria del lampione è da anni un punto di riferimento a Cesena per mangiare panini buonissimi. Prezzo sopra la media ma vale la pena provarlo!"
"ui_bubble_rating bubble_30","Crostino e un po di vino","Buon locale in centro dove il crostino e il buon vino la fanno da padrone.i gusti dei crostini sono vari ma tutti molto buoni. Ottimo x aperitivi o cene senza troppe pretese. Servizio pacato ma efficiente, prezzo forse un po caro ( 4 crostini ciascuno, mezzo dolce e tre bottiglie di vino in 4- 22€ a persona)"
"ui_bubble_rating bubble_40","Panini fantastici","Locale aperto da una vita...un motivo ci sarà. Panini fantastici anche se la lista è sempre la stessa. "
"ui_bubble_rating bubble_40","Panini d'eccezione","Locale molto carino e rustico, ci si sente a proprio agio.Si beve bene e si mangia altrettanto bene."
"ui_bubble_rating bubble_50","Spero che non finiranno mai questi posti storici","È da quando ero piccolo che ci vado ed è sempre accogliente e tranquillo . Bruschette speciali pure i panini ... personale gentile . Consiglio anche per portarci una ragazza . "
"ui_bubble_rating bubble_10","Panino con capello","Locale antiquato ma clientela giovane, ideale per uno spuntino prima del cinema.Panini e crostini assortiti, un solo primo, pochi vini tra cui scegliere, idem per le birre.Commetto l’errore di ordinare due cose e tra la prima e seconda portata vedo estinguersi i dinosauri. Detto questo, avrei dato comunque un giudizio positivo, nel suo genere il posto non è male, se non fosse che nel panino trovo un lungo capello biondo che credo provenire dalla signora che fa i panini al banco senza cuffia.Mi spiace ragazzi, ma il voto è 3."
"ui_bubble_rating bubble_30","Normale!","Chi va all'Osteria del Lampione e ha chissà quali pretese...cambi posto!Crostini e panini nella norma(il pane è buono le farciture hanno tutte lo stesso sapore), è un'osteria alla buona, perfetta per chi deve andare al cinema o esce dal cinema o ha semplicemente fame.Staff gentile e posto informalissimo!Insomma nella media!"
"ui_bubble_rating bubble_50","i migliori crostini della zona","Location spartana che offre ottimi panini e crostini, un primo (pennette piccanti in inverno e spaghetti freddi in estate), qualche piatto freddo, lumache alla bourguignonne e qualche dolce.Il servizio non è particolarmente veloce, prezzi nella media."
"ui_bubble_rating bubble_50","Sono 20 anni che cucinano crostini e panini mitici.","Il tempo si è fermato all'Osteria del Lampione. Da 20 anni servono crostini e panini mitici. Mai un ingrediente non all'altezza della fama. Punto fermo delle nostre serate invernali. Anche da asporto e cucinati a casa in forno i crostini sono eccezionali. Da provare."
"ui_bubble_rating bubble_50","Sempre una certezza ","Locale storico di Cesena, qui potete mangiare ottimi crostini! Il locale presenta un arredamento antico, il che rende il posto rustico! Assolutamente da provare... poca spesa, massima resa! "
"ui_bubble_rating bubble_40","In coppia è perfetto ","Sempre bravi Tanti vini con tanto da accompagnarliGentili e disponibili Onesti nei prezziLocale originale della vecchia cesena Ottimi i crostiniQui troverete sempre il vino più adatto a voi....Bravi Lo consiglio "
"ui_bubble_rating bubble_50","I migliori crostini della zona","Ambiente rustico e menù che propone un'ampia scelta di panini e di crostini, qualche piatto freddo ed un primo (Pennette piccanti nei mesi invernali, a mio parere buonissime, e spaghetti freddi in quelli estivi)."
"ui_bubble_rating bubble_20","C'è di meglio","L'arredo di questo locale storico di Cesena è quello di una volta. Non è un'osteria: fanno panini e crostini, nella media. Servizio lento. Prezzi altini, per quello che si mangia: si paga il fatto di essere in centro a Cesena. C'è di meglio."
"ui_bubble_rating bubble_30","Deluso","Non é un'osteria.Panini e basta.Antipasto di salumi del supermercato. Non prende la carta di credito.Un po' deluso."
"ui_bubble_rating bubble_50","Un grande film classico..","Ci andavo da ragazzo, ci sono ritornato dopo più di 25 anni ed è stato meraviglioso ritrovare tutto al suo posto, come se il tempo si fosse fermato!Come riguardare un grande film classico che non tramonta mai, I buonissimi crostoni assortiti che puoi scegliere dalla vetrinetta, il classico antipasto del lampione, e la grande cella frigo antica.I sapori e la bontà sono rimasti invariati nel tempo, come il vecchio proprietario...è proprio vero, i grandi classici non tramontano mai.."
"ui_bubble_rating bubble_40","MITICA OSTERIA ANNI 80 !!!!","Esiste dal 1980 (cioe' da 36 anni )..stessi titolari,stesso arredo,stesso cibo..stesso tutto....Siete dei grandi..avete resistito alla crisi e non avete ceduto alle trasformazioni tipiche di quasi tutti i locali fatte nel tempo per attirare clienti: tipo aggiungere pizza...tipo cambiare stile..targhet.I crostini sono i meglio della terra e tali debbono rimanere!!!!Con ingredienti insoliti ,come sono insolite le paninoteche di questi tempi.BRAVI RESISTETE...."
"ui_bubble_rating bubble_10","esperienza pessima !","Stasera siamo stati all'osteria Lampione di Cesena e posso dire tranquilamente che non ci torneremo mai più... Abbiamo aspettato 4 panini per ben 1 ora e 20 min, dopo che abbiamo chiesto come mai, ci e stato detto che è assolutamente normale per loro metterci cosi tanto. dopo di noi anche altri tavoli hanno cominciato a lamentarsi, ma con scarso risultato. insoma, ci aspettavamo almeno una spiegazione plausibile e magari anche le scuse, invece erano solo schocciati e infastiditi. Mia moglie ha ordinato vitello tonnato che alla fine si e rivelato 4 fette di tacchino arrosto del supermercato con la salsa idem da supermercato.Uno schifo ! Anche a questo la spiegazione non c'è stata... ci hanno detto che è normale da loro. Lista dei vini molto scarsa, e pure quelli che c'erano sulla lista, non li avevano. Insomma un incubo !!! Mi aspettavo dopo la figuraccia che hanno fatto al momento di pagare il conto, almeno di ricevere una offerta di un digestivo, come si usa dappertuto, e nemmeno questo. Siamo andati via abbastanza infastiditi e pure affamati, visto che i piatti non erano buoni."
"ui_bubble_rating bubble_40","Un tuffo nei ricordi","Venivo in questa paninoteca dai tempi ddl liceo, quando non potevo fare le ore piccole, con i miei compagni di scuola...si beveva ottima birra, si mangiavano crostini gustosissimi...sono passati tanti anni e mi commuovo quasi nel vedere che nulla è cambiato, quando ci ritorno mi sembra di tornare una ragazza di liceo serena e spensierata, crostini veramente super!!!! Consigliato a cesenati e non!"
"ui_bubble_rating bubble_20","Deluso","Sono stato qui per cena, non cucinano primi piatti,solo crostini che sinceramente non sono male,ma neanche così squisiti. Inoltre la dimensione lascia un po' a desiderare. Prezzi nella media, ma non credo di tornare in questo locale. Delusione totale."
"ui_bubble_rating bubble_30","target anni 80","piccolo ristorante anni 80, in centro città a cesena, comunque buona cucina senza pretese... ricordo bruschettoni deliziosi"
"ui_bubble_rating bubble_40","Crostino I love you!","Il locale si è fermato agli anni 80, le salette e l'arredo fanno fare un inconsapevole tuffo nel passato! Quello che rende speciale questo locale sono i crostini, croccanti e buonissimi, con il classico pane toscano. I miei preferiti sono funghi e besciamella, erbette e salsiccia e il classico pomodoro e mozzarella ricco di origano!Tappa fissa prima del cinema!"
"ui_bubble_rating bubble_30","il venerdì sera ","Locale storico di Cesena, tipica osteria romagnola. I Crostini sono veramente ottimi vasta scelta nei gusti mentre l hamburger è da rivedere negli ingredienti i prezzi sono giusti e il personale gentile ma peccato un po triste. "
"ui_bubble_rating bubble_50","In assoluto il numero 1!!!","Quando abbiamo voglia di cose buone, veloci, in un locale tranquillo...questo è il numero 1!!!Panini e crostini ottimi! Buon vino! Questa è la Romagna!!!!!!!!!!"
"ui_bubble_rating bubble_40","OSTERIA - PANINOTECA","E' un'osteria, ma la sua specialità sono i panini, davvero buonissimi. Il locale in centro a Cesena è storico, sinonimo di qualità ed arredato da Osteria, molto accogliente nel suo piccolo.Tra i panini consigli Ufo, Piccola Monaco e Bocconcino che sono i miei preferiti..ma anche negli altri, non si sbaglia...compresi i crostini. Buon vino e servizio veloce, con prezzo onestissimo...servono anche alcuni primi, ma i panini del lampione, in città non hanno uguali."
"ui_bubble_rating bubble_30","I crostini più buoni di Cesena","Amo i crostini di questo ristorante, a mio avviso i migliori di Cesena, peccato solo per il locale, un po' stile famiglia Addams, silenzioso e con personale un po particolare. Niente da dire sulla cucina, ci torno sempre molto volentieri."
"ui_bubble_rating bubble_40","Paninoteca e crostineria favolosa","Sono anni che vado in questo locale a conduzione famigliare, straordinari.Assortimento di panini, bruschette immense fatte al momento con accompagnamento di ottimi vini.Possibilità di tagliere e salumi di qualità, prenotate se potete.Rimarrete entusiasti."
