"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Gustosa pausa","Nel corso di un lungo viaggio, una gustosa piadina preparata al momento per noi. Vicina all'uscita di Cesena, un'eccellente alternativa ad una sosta in autostrada..."
"ui_bubble_rating bubble_50","Ottima piadina ","Rientrando dalle vacanze per caso (fortuna) ci siamo fermati per gustare una ottima piadina per salutare la Romagna. "
"ui_bubble_rating bubble_50","Ottima<U+0001F51D>","Ci siamo fermati per caso in questa piadineria prima di tornare a casa e oltre alla gentilezza dei Titolari devo dire che una piadina così buona non l’avevo mai mangiata a tal punto che ho comprato un pacco da 10 di piadine da portarmi a casa...Consigliatissimo per la vastità delle farciture "
"ui_bubble_rating bubble_50","Ottimo","Questo locale è diventata una nostra tappa fissa ogni volta che ci troviamo sulla A14. A pochi metri dal casello di Cesena si può gustare una piadina veramente buona, farcita con grande varietà di ottimi ingredienti. Il signor Silverio è una persona simpaticissima, come tutti i romagnoli. Insomma è una sosta veramente molto gradevole e consigliabilissima."
"ui_bubble_rating bubble_50","Assolutamente da provare! Romagna DOC","Siamo capitati in questo chioschetto per caso in una delle solite domeniche di traffico in A14...ma grazie alla piadina che abbiamo mangiato...la deviazione si è rivelata ottima!Abbiamo provato i veri sapori e odori della Romagna Doc!Consigliatissimo!"
"ui_bubble_rating bubble_50","Ottime","Locale carino, proprietario gentilmente e disponibile. Piadine e rotoli ottimi. Ripieno super abbondante. Servizio veloce. Dispone di posti a sedere interni ed esterni. "
"ui_bubble_rating bubble_40","Genuinutà nel cibo e nelle persone","il miglior connubio: genuinità nel cibo e nelle persone, in tutto insomma.Ottima la piadina, il tutto in un contesto con quel sapore di passato che diventa piacere di mangiare, a partire dalle lettura dell'immenso tabellone scritto a mano con dovizia e precisione...Ovviamente non potrà mancare l'acquisto di un bel sacchetto di piadine da gustare a casa..nel ricordo di quel senso di passato"
"ui_bubble_rating bubble_40","Cosa volere di meglio","Cassoni buoni ed economici...cosa volere di più da in piada e cassoni lungo una strada a scorrimento rapido... i titolari gentili e storici..."
"ui_bubble_rating bubble_40","Semplicità old sytle e piadia speciale","Sembra di fare un salto indietro nel passato, ma la piadina ed i cascioni sono veramente eccezionali.Per un break veloce è l'ideale. Consigliatissimo."
"ui_bubble_rating bubble_30","promosso","superato l'impatto iniziale, ti trovi difronte ad un buon crescione e ben farcito.il posto è un pò datato, con i prezzi scritti a mano. Non ha il bagno, ma non è l'unico chiosco nella zona che espone il cartello che per quell'esercizio il comune non ha disposto i servizi igenici. i prezzi sono nella media anzi più economici di altri, per i gusti base, tipo pomodoro mozzarella o erbe e gorgonzola. un pò più cari della media se c'è il crudo. titolare cortese. nel complesso promosso."
"ui_bubble_rating bubble_50","Grande piada","Piadina come una volta. I gestori davvero carini e simpatici. Romagnoli doc. Prezzo da vera piadina romagnola. Davvero bravi e originali. Il listino scritto a mano da un tocco di vintage davvero speciale "
"ui_bubble_rating bubble_20","Crescioni ","Proprietario disponibile e gentile, ho preso due crescioni ben farciti e pronti da portare via, il prezzo mi è sembrato comunque un po' alto. L'impasto è doppio e morbido, sinceramente da esterno preferisco la ricetta riminese da cui non si torna più indietro. "
