"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Miglior piadina in assoluto","Una vera e propria istituzione a Cesena, e di gran lunga la miglior piadina (e i migliori crescioni) che io abbia mai avuto l'occasione di provare.Li mangio sin da quando ero piccolo e la qualità non è cambiata di una virgola da allora: impeccabili!Consiglio in particolare il crescione patate zucca e salsiccia che è una vera delizia!"
"ui_bubble_rating bubble_50","Top!!!!!","Buona la piadina, buonissimo il crescione, qualità e servizio impeccabile! I proprietari sono carinissimi! Lo consiglio a tutti!"
"ui_bubble_rating bubble_50","La miglior piadina in assoluto! ","Piadina grande e ricca di condimento, veramente molto molto buona, la migliore che io abbia mai mangiato! Farciture speciali e titolari simpaticissimi e cortesi. Ci tornerò sicuramente non appena ne avrò l'occasione! Non potete non fermarvici, consigliatissimo!!!!! "
"ui_bubble_rating bubble_50","Ce l'avessi sotto casa...","Ogni volta che ho l'oppurtunità di passare per Cesena devo assolutamente fermarmi in questa piadineria... piadine, crescioni e chi più ne ha più ne metta. Tutto buonissimo e ad un prezzo più che ottimo. Lo consiglio vivamente!!"
"ui_bubble_rating bubble_40","45 anni di piadina","Essendo vicini andiamo saltuariamente a rifornirci. Buonissimo il crescione alle erbe e ottima la piada. A volte mangiamo al tavolo e assaggiato gli affettati e/o la porchetta. Buono anche il vino da richiedere assolutamente freddo xche' con il calore delle piastre sembra vin brulé!"
"ui_bubble_rating bubble_50","Sempre fantastici","Abitando ci vicino ho la fortuna di poterci venire ogni volta che mi va la piadina, loro sono delle persone speciali e la loro piadina è buonissima e sempre abbondante nella farcitura"
"ui_bubble_rating bubble_50","Ci vado da quando ne ho memoria! <U+2764>","Secondo me, una delle piadine migliori di Cesena! Scelta vasta e prezzi onesti, soprattutto per crescioni e piade farcite.Ci vado da sempre, e prima di me i miei genitori...sempre una garanzia!"
"ui_bubble_rating bubble_50","La piadina TOP di Cesena","Nulla da aggiungere, la piadina più buona che ho mangiato in 7 anni a Cesena. Gestori cordiali e simpatici, ingredienti di qualità."
"ui_bubble_rating bubble_50","Come una volta","In tempi (ahimè) di biologico e vegano, parole sacrileghe se affiancate alla santa buona vecchia piada, è davvero confortante avere ancora i chioschi di e come una volta. Marito e moglie genuinamente gentilissimi che rappresentano e che fanno mangiare la vera Romagna, con i suoi veri sapori. Altro che apericena, qui si mangia il casareccio (crescione crudo erbe mozzarella). La piadina è fatta nel modo classico (riempita con crudo squacquerone e rucola è al solito insuperabile), il crescione è disponibile (ed anche già pronto) con molti diversi ingredienti. C'è anche qualche tavolo a lato (dove mangiare un prodotto tipico della Romagna se non sulla Via Emilia?). E ci sono due o tre posti auto proprio davanti. Andato con mia moglie moltissime volte ho sempre apprezzato la costante qualità e l'immancabile calore. Una garanzia. "
"ui_bubble_rating bubble_50","Una piadina super","Insieme ad una coppia di amici ci siamo fermati in questa piadineria nei pressi della stazione ferroviaria di Cesena ed è stata una piacevolissima scoperta : piadine speciali,farcite con prodotti nostrani di una bontà insuperabile, accompagnate da un Sangiovese straordinario e dalla simpatia di Ettore e dalla dolcezza di Tesaura....superconsigliatissimo +++++++++++++++++"
