"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ottima piadina ","Situato proprio all'uscita del casello autostradale, é un chioschetto dove fermarsi per mangiare qualcosa di passaggio. Le piadine sono ottime sia per l'impasto sia per i condimenti di buona qualità! Da provare i tortellini di piadina ripieni di Nutella! Forse leggermente alto il prezzo. "
"ui_bubble_rating bubble_40","Sempre il meglio!","Una delle piadine migliori in zona, vasta offerta e materie prime valide. Peccato che qualche volta sono piuttosto lenti e che le comande non seguano l'ordine numerico."
"ui_bubble_rating bubble_50","Comunque non plus ultra","Ogni volta sempre una delizia! Ieri 3 crescioni patate e salsiccia (forse forse toglierei un pelo di pepe) ma squisito! Uno alle erbe fotonico, i tortelli alla nutella etc etc una prelibatezza! Se poi migliora velocità è da 6++"
"ui_bubble_rating bubble_50","Ottimo crescione","Ottimo crescione in provincia di cesena, soffice condito bene con vasta scelta ed inoltre non è pesante"
"ui_bubble_rating bubble_50","Ottimo","A mio modesto parere, uno dei migliori nel raggio di Km e Km. Crescione spaziale, rotolo immenso. Chapeau"
"ui_bubble_rating bubble_40","Una piadina come si deve","È un chiosco che fa un sacco di cose probabilmente tutte molto buone. Sicuramente lo è la piadina. Personalmente ho mangiato forse la più classica, Prosciutto crudo Squacquerone e Rucola, perfetta, in particolare la consistenza dell’impasto. Se capiterà vi tornerò ben volentieri e non posso non consigliarlo. I prezzi sono un tantino più alti del solito ma anche l’offerta complessiva lo è."
"ui_bubble_rating bubble_30","Non solo pizza","Locale da trovare con un Po di pazienza... la pizza è davvero molto buona. Se avete voglia di pizza andate tranquillamente... prezzi davvero accettabili..."
"ui_bubble_rating bubble_40","Tappa fissa","Non passo di frequente, ma quando percorro l'Adriatica, la tappa è fissa, andata e ritorno. Decine di piadine, anche in diversi formati, in grado di soddisfare chiunque (sempre che non si abbiano intolleranze o allergie; in questo caso è meglio informarsi prima). Informale ed efficiente, si aspetta il giusto. Da provare. "
"ui_bubble_rating bubble_50","Farina di canapa","Piadina ottima, anche con farina di canapa (quella normale non l'avrei potuta mangiare).Posto alla mano e ospitale che stimola l'appetito.Andateci "
