"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Consigliato!!! ","Una piacevole scoperta! Un posticino super carino in Piazza del Popolo, il personale é gentilissimo e il cibo é davvero buono! Super consigliato! "
"ui_bubble_rating bubble_50","ottimo soggiorno","scoperto per caso abbiamo mangiato un'ottima piadina, un ottimo hamburger e, la seconda sera, abbiamo gradito degli ottimi infusi con dei dolci di loro produzione."
"ui_bubble_rating bubble_10","Traumatico e terrificante","Esperienza devastante. Ho pranzato con colleghi ed è stato traumatico: piadina precotta (non artigianale) non scaldata quindi immangiabile, verdura passata e andata a male, pomodori marci, Burger vegetariano agghiacciante, addirittura si sono dimenticati di mettere il Burger nel panino e lo hanno portato dopo in un altro piatto, allucinante! Bicchieri sporchissimi, prezzi chiaramente eccessivi per questo “cibo” di qualità inesistente. Inoltre, le bustine di zucchero per il caffè vecchissime e cristallizzate. È stata un’esperienza talmente tanto paradossale che alla fine ci ha fatto sorridere, ma chiaramente da evitare. Piuttosto il digiuno veramente!"
"ui_bubble_rating bubble_50","Speciale","Io e il mio fidanzato abbiamo fatto un aperitivo in questo locale da 10 e lode! Tagliere XXL ricco e buonissimo, la degustazione di vini top! Prezzi medio bassi, qualità impeccabile, locale carinissimo per non parlare della posizione.. Cameriera simpaticissima e super disponibile! Torneremo sicuramente!!!"
"ui_bubble_rating bubble_50","Infernale eccezionale! ","Un panino ‘infernalmente’ piccante ma equilibratissimo, hamburger con formaggio e pomodoro con contorno di patate fritte! Cuoca gentile e veloce e per me che son sempre di fretta è un plus! Anche l’aperitivo nell’attesa è utile a spezzare la fame e gustare il piatto forte! Settimana prossima il pollo al curry!!!!"
"ui_bubble_rating bubble_50","Bio e si vede!","Stasera mi sono recato in questo simpatico locale sito nel centro di Cesena, in piazza del Popolo. All'apparenza si presenta come un bar, ma appena assaggi le pietanze ti rendi conto che sei nel posto giusto per gustare una cena con i fiocchi! Menu' abbastanza vasto e piatti di qualità sopraffina! Il tagliere è colmo di formaggi, marmellate, affettati, piadina, ecc e anche i primi risultano davvero gradevoli, ma soprattutto leggeri e digeribili.Buoni anche i dolci.Prezzi nella mediaPersonale molto gentile!Continuate così! ;-)"
"ui_bubble_rating bubble_40","Buono","Non male devo dire. I prezzi non sono troppo eccessivi e comunque c'è un'ottima scelta tra primi, secondi, contorni e panini.La carne è di buona qualità e viene cotta molto bene e, in generale, sono stata soddisfatta della qualità del cibo.L'unica pecca è stata che, in tutti i piatti che abbiamo ordinato, hanno sempre dimenticato un ingrediente. Ad esempio, nella tagliata con porcini, non c'erano i porcini. Così come nel tagliere non c'era il miele e nella grigliata mista c'erano solo le verdure grigliate senza le patate al forno. Ora non so se il problema fosse legato alla mancanza di tali ingredienti, a un cambiamento nel menù o ad un effettiva dimenticanza ma, nonostante ciò, sono rimasta soddisfatta e non ho mosso nessuna critica a riguardo.In ogni caso, lo consiglio "
"ui_bubble_rating bubble_30","poca chiarezza","pranzo veloce prenotato con l'applicazione di the fork, che avrebbe previsto il 50% di sconto alla cassa. Nessuna traccia dello sconto nel momento in cui andiamo a pagare."
"ui_bubble_rating bubble_50","LOCALINO TUTTO AL FEMMINILE","Siamo stati, io e mio marito a cenare domenica sera. Il locale è molto semplice, accogliente e tranquillo. la cucina a vista e i prodotti usati a km zero, della loro azienda agricola, compreso il vino.Abbiamo mangiato due hamburgers, io classico e mio marito al bacon, entrambi fatti di buona carne e cotti al punto giusto, accompagnati da patatine fritte.Come antipasto un assaggio di affettati e formaggi accompagnati da piadina calda, soffice e profumata. Abbiamo concluso la serata con una fetta di torta vegana ed un tiramisù rivisitato ma altrettanto buoni. Siamo usciti dal locale molto soddisfatti"
"ui_bubble_rating bubble_40","Cena in piazza","Abbiamo prenotato un po' tardino sperando di trovare un posto aperto per cenare. Arrivati in piazza siamo entrati e l'atmosfera è stata subito molto tranquilla e accogliente. Antipasto sfizioso, prosecchino ottimo; ordinato le crepes con delle verdure e una porzione di lasagna. Tutto ottimo e abbondante. Le porzioni erano giganti. Per concludere una fettina di dolce e caffè. Sono rimasto soddisfatto e ci ritornerò. Consigliato! "
"ui_bubble_rating bubble_50","Piazza fantastica","È una piazza storica con una bellissima fontana,Da un lato si trovano:il comune il foro anonario ristrutturato recentemente e la Rocca malatestiana.Mercoledì e sabato c'è il mercato."
"ui_bubble_rating bubble_50","Molto carino e accogliente ","Siamo stati qui un sabato sera in questo Bar molto tranquillo e ci siamo trovati davvero bene! Il locale è molto carino nell'arredamento e anche la barista è stata molto cortese.Abbiamo preso un analcolico Giorgio non beve molto buono e una tisana che ci hanno portato accompagnata da biscottini che erano BUONISSIMI! si sentiva che erano fatti in casaConsiglio a tutti di passarci se si passa da Piazza del Popolo"
"ui_bubble_rating bubble_40","Ottima degustazione","Posizione ottima ai limiti della maggiore piazza di Cesena. Locale abbastanza ampio con dehors munito di due stufe a gas.Degustazione di tre calici di vino a scelta con coupon Groupon. La degustazione comprendeva anche un tagliere di affettati e formaggi misti, con piadina e pane caldi e un dolce della casa.Tutto molto buono e ben presentato. Personale cordialissimo. Ottimo il prezzo del coupon se confrontato con quello reale."
"ui_bubble_rating bubble_40","Posticino carino in centro a Cesena. ","Abbiamo scoperto questo posto grazie ad un Groupon. Location moderna in centro città. Con il caldo c'è la possibilità di mangiare fuori. Ottima l'accoglienza. Il servizio è veloce senza lunghe attese. Cibo buono, con buon rapporto qualità prezzo. Ottimi i vini. Se siete di passaggio fermatevi perché si mangia e si beve bene. "
"ui_bubble_rating bubble_40","Tutto bene","Pranzo con Groupon per 4 persone. Personale gentilissimo, specie la giovane ragazza bionda (forse Giulia?) , cibo aderente al coupon, davvero molto buono. Locale in Piazza del Popolo, con alcuni tavoli interni e altri nella veranda proprio nella piazza. Piadina calda molto buona, affettati nella norma, i primi deliziosi, carne alla griglia consigliata, quantità e qualità. Il vino a calice rosso (mi pare Chianti) davvero gustoso. Torneremo."
