"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","MAH !","Pizza buona ma non si fa certo l'indigestione dato che è come un francobollo ,quello che fa rabbia è che non si può scegliere se mangiare la parte con o senza crosta ma si DEVE andare in fila di taglio mi era già capitato sempre qui anni fa pensavo che fosse la commessa scontrosa ma ho l'impressione che sia una regola,trovo la cosa veramente assurda e non concepibile dato che non è una caserma e il cliente non è una recluta ."
"ui_bubble_rating bubble_40","Tra le migliori pizze a quadretti","La pizza è sempre buona, con un impasto davvero unico per leggerezza e digeribilità.C'è un minomo spazio per consumare la pizza nel locale ma in genere l'asporto è consigliato."
"ui_bubble_rating bubble_40","La pizza a quadretti","Sicuramente la miglior pizza al taglio di Cesena. Personale cordiale e sempre disponibile anche per ordini via telefono. Consigliato sicuramente per la grande varieta di pizze."
"ui_bubble_rating bubble_50","Il top della pizza","Una delle pizzerie da asporto storiche della città ... e soprattutto una delle più buone. Ottima la varietà di pizze, gustosissime, sempre calde e pronte."
"ui_bubble_rating bubble_50","Storica.","Una delle prime pizzerie al taglio di Cesena; qualità sempre alta negli anni (l'esclusiva salsiccia è sempre deliziosa), con molti gusti. Da provare."
"ui_bubble_rating bubble_40","Cortesia e professionalità.","Buone le pizze,tanti gusti ben assortiti,per chi cerca la classica pizza al taglio è un ottimo posto,sempre pieno di clienti ma trattati con cura e cortesia."
"ui_bubble_rating bubble_30","Qualita' un pochino al ribasso...","Pizzeria storica di Cesena. Ha sempre fatto pizza al taglio di qualita' con prezzi adeguati. Ora la qualita' e' lievemente diminuita, ed i prezzi sono lievemente aumentati. Comunque vasta varieta' di farciture ed anche un po' di tavoli per potersi fermare a mangiare in loco. Peccato che le ultime tre volte che abbiamo prenotato diversi quadretti di pizza per feste o mangiat ecc... invece del trattamento che ricordavamo, ci siamo trovati con tanti pezzetti di pizza avanzata da precedenti padelloni, accumulati e scaldati al momento. Una delusione. La pizza al taglio di questo tipo e' buona mangiata appena fatta... o subito dopo. "
"ui_bubble_rating bubble_50","Pizza buonissima!! Ottima!!","Sono un cliente abituale di questa buonissima pizzeria, ammetto di esserne un fan! A Cesena ci sono 2 locali così, ed entrambi fanno una pizza veramente BUONISSIMA! La pizza non è tonda ma a quadretti.A Villa Chiaviche il locale è molto carino, tranquillo dove si può stare per gustarsi queste pizze mentre vicino al centro di Cesena il locale è un pò più piccolo e funziona molto bene da asporto.SUPERCONSIGLIATO!!"
"ui_bubble_rating bubble_50","Ottimo, una garanzia!","Ottima pizza, ottimo impasto, ottima varietà di gusti. Una garanzia per Cesena. Servizio veloce e gentile. "
"ui_bubble_rating bubble_40","MERENDA POMERIDIANA","Mercoledì pomeriggio 8 febbraio 2017 sono stata presso questo per un vassoio di pizze di vari gusti. Mi hanno servito in due commessi abbastanza gentili. Le pizze non mi sono piaciute perché non erano cotte bene e poco farcite. Tempo fa erano croccanti e molto farcite. Ma hanno cambiato gestione? "
"ui_bubble_rating bubble_20","Pizza calda persone fredde","spesso vado alla pizzeria fausto per l'ottima pizza ma mal volentieri per le persone.Ho sempre l'impressione che siano loro a farmi un favore a vendermi la pizza.Buongiorno e buonasera non sempre sono di casa. L'ideale poi sarebbe mettere l'elimina code."
"ui_bubble_rating bubble_50","La pizza al taglio per eccellenza a Cesena","Mi sembra strano che nessuno non abbia ancora scritto niente su questo locale che è una delle pizzerie al taglio storiche per Cesena. La pizza è molto buona, anche se un po' unta (forse è questo il buono). Personale molto gentile e cortese. Locale nel complesso un po' piccolo per fermarsi a mangiare, molto meglio l'asporto. Sempre ampia la scelta dei gusti anche se non si prenota."
