"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","pizza squisita","Quando desideriamo mangiare una buona pizza ci rechiamo alla Pizzeria Jonny. Hanno molti gusti, ed in presenza di ospiti si odono complimenti . La nostra pizzeria preferita ."
"ui_bubble_rating bubble_40","tappa fissa per pizza al taglio da asporto","Da anni la domenica sera si mangia la pizza di Jonny. fragrante e digeribile, si può anche ordinare al telefonono (è consigliabile visto la fila), prezzi corretti e cortesia."
"ui_bubble_rating bubble_40","Pizza a quadretti buona e veloce","Da diversi anni quando capito per uno spuntino veloce mi reco in questa pizzeria piuttosto caratteristica tutta in legno che ricorda un pub inglese. Se dentro è tutto occupato, d'estate si sta molto bene anche fuori sui tavoli. La pizza è servita nei classici quadretti, è piuttosto buona e come prezzi è nella media rispetto agli esercizi commerciali della riviera durante la sessione estiva. Sono disponibili diversi gusti oltre ai classici. Se capitate ve lo consiglio."
"ui_bubble_rating bubble_40","Buonissima!!!!","Almeno una volta alla settimana la pizza di Jonny è la nostra cena!E se rimane la metto in congelatore per poi riscaldata nel microonde. Buonissima!!!!!!!!"
"ui_bubble_rating bubble_50","Pizza top! ","La pizza di Jonny e la cortesia di Daniela fanno di questo luogo una sosta obbligatoria a cesena. Provate anche la schiacciatina e non ve ne pentirete!!!!!! "
"ui_bubble_rating bubble_50","La pizza più buona è quella di Jonny! ","Tanta qualità e tanta varietà di ingredienti, la pizza è davvero buonissima, gustosa e cotta al punto giusto. Personale gentile e cordiale, ambiente sempre curato e pulito. È impossibile non fermarsi! "
"ui_bubble_rating bubble_50","Ottima pizza al taglio.","Pizzeria al taglio da asporto punto di riferimento per tranci di pizza ottima e con una vasta scelta di gusti. Lo staff sempre molto disponibile e cortese."
"ui_bubble_rating bubble_50","Un'ottima pizza al taglio!!! ","Qualità e cortesia!!! Da anni questa pizzeria ci delizia con le sue ottime pizze!!! Ampia scelta di gusti e ottimo servizio!!!"
"ui_bubble_rating bubble_50","Certezza","Da 30 anni la pizza al taglio senza rivali.Peccato per la posizione, via Cervese non offre posteggi comodi.Si suggerisce di non andare troppo tardi altrimenti finisce tutto!"
"ui_bubble_rating bubble_40","La buona pizza al taglio","Per la pizza al taglio non c'è niente di meglio che Jonny. Non si sbaglia mai: tanti gusti per tutti i palati, bisogna solo scegliere. Nel fine settimana è consigliabile prenotare."
"ui_bubble_rating bubble_40","sapore buono , porzioni piccole","davvero pizzette molto buone a cesena, sono di dimesioni piccole rispetto alle altre pizzerie ma sono molto molto buone. a presto"
"ui_bubble_rating bubble_40","Sceglietelo ad occhi chiusi","Quando insieme alla famiglia si decide di mangiare pizza al taglio in riviera scegliamo per cortesia, qualità e simpatia il Mc-Nellie's di Cesenatico. Questa domenica tuttavia condizionati dall'orario e dalla location (eravamo di sede a Forlì), abbiamo optato per una soluzione di ripiego. Con tappa intermedia a Cesena abbiamo fatto sosta alla Pizzeria Jonny, dopo aver preventivamente ordinato per telefono. Andando al punto, tengo a sottolineare come prima cosa la gentilezza dell'addetta al banco. Poi, la pizza è ottima, ed il prezzo ampiamente nella media. Il locale, che solitamente nei casi di pizzerie al taglio tende ad essere scialbo e dozzinale, è ordinato e piacevole con i suoi arredi in legno. Vi è inoltre la possibilità di pagare con il bancomat. In conclusione, un 4 che in realtà sarebbe un 5, ma per coerenza con passate recensioni… Personalmente credo che questo ripiego potrebbe diventare una consuetudine in futuro!"
"ui_bubble_rating bubble_50","Pizza sublime !","La pizza piu ' buona al taglio e' daYonny ! L'impasto e gli ingredienti sono curati alla perfezione da Yonny . Varia scelta di gusti ,pizza con ingredienti di qualita' e prezzi onesti ! Cortesia e accoglienza sempre !"
"ui_bubble_rating bubble_30","Tutto ok",""
