"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","È vero...il coraggio e la passione!!!","Perché a 54 anni questa sera ho rivissuto la mia infanzia/adolescenza, quando Papà diceva: questa sera Vi porto a mangiare la pizza!!! E allora si veniva in posti come questo...a parte la pizza con i cappelletti originalissima e buonissima, è il luogo che ti fa venire un groppo alla gola; tutto come tanti anni fa...nell'era del foodporn e dei piatti solo belli esteticamente comprendi il coraggio e la passione dei due fratelli Ivan e Elio. Poi ti guardi intorno e scopri che sei in compagnia di persone di tutte le età e allora comprendi che forse la verità è in questi luoghi!!! Bravissimi, oggi sono tornato bambino sempre con mio babbo al fianco...alla prox. Marco"
"ui_bubble_rating bubble_50","Atmosfera famigliare","Ogni qualvolta mi trovo a passare da quelle parti non disdegno di fare una visita ai simpatici gestori di questa Pizzeria che fa della cordialità il suo cavallo di battaglia.Questa atmosfera familiare e la gentilezza tipica romagnola unita ovviamente alla qualità delle pietanze rende questo locale una delle ultime location old-style, dove ci si può sentire come a casa propria e gustare piatti semplici con buon rapporto qualità-prezzo.Piatti consigliati: Schiacciatina con prosciutto, tortellini (panna e prosciutto o pasticciati) infine lo squisito mascarpone preparato artigianalmente ogni settimana."
"ui_bubble_rating bubble_10","Delusione","Pizza non soddisfacente: poco cotta sopra e bruciata sotto; condimenti di qualità opinabile, ambiente datato. Cameriere gentile; nel complesso non sufficiente. "
"ui_bubble_rating bubble_50","Ottiko","Ci siam fermati per una pizza e siamo rimasti molto soddisfatti. Pizza cucinata beni sei ko, ben cotta e non bruciata. Farcitura abbondante e di qualità. Locale bellovpulito e benvenuto."
"ui_bubble_rating bubble_10","pizza pessima","abbiamo ordinato due pizze,ma di pizza nn ci stava neanche il nome.....impasto senza sale,insipida e ingredienti di scarsa qualità.....la peggior che ho mangiato..."
"ui_bubble_rating bubble_50","Andateci e basta","Che dire? Li adoro! È un locale storico tra il centro e Ponte Vecchio. Pizza e primi buonissimi, mascarpone anche, prezzi modici. Loro sono gentili e il locale pittoresco e senza tempo. "
"ui_bubble_rating bubble_50","Un bellissimo tuffo nel passato ","Andiamo una volta al mese a cena in questo posticino fantastico. Sapete , i. Un mondo fatto oramai solo di “apparenze” e piatti super costruiti , è fantastico tuffarsi a piedi pari in una piccola realtà rimasta ferma ad almeno 20 anni fa , nella sua genuinità e semplicità , nel suo arredamento spartano e non ricercato , nella familiarità dell’ambiente e di chi ti accoglie, due fratelli (credo) che dopo tanti anni sono ancora lì ad offrire alla loro clientela un sorriso e una pizza favolosa ( ancora più favolosa se in mezzo ci fai mettere i cappelletti ! ). Grandi , grandissimi ... "
"ui_bubble_rating bubble_30","Vecchio come il ponte ma prezioso","Sono andato con la mia famiglia a mangiare una pizza a tarda ora, senza aver prenotato, e ci hanno accolto volentieri. è un locale molto simile a un bar, le pizze non sono grandissime ma sono soffici e buone, le birre normali e il personale è cordiale e disponibile. Nei paraggi il parcheggio c'è ma è quasi sempre pieno. Comunque tutto sommato è un bel locale, storico della città di Cesena."
"ui_bubble_rating bubble_40","Ottima pizza! ","Locale storico di Cesena, molto alla mano ma ciò che conta è la sostanza che non manca.Servizio cordiale, con clima familiare.Molto buone le pizze assaggiate.Buon rapporto qualità prezzo.Non è facile trovare parcheggio in quella zona."
