"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Nel complesso una buona pizza","Salve ho conosciuto per caso questa pizzeria nel quartier  le vigne  a Cesena…….molto alla mano e molto disponibili…...sono andato con una prenotazione telefonica con un voucher acquistato come sempre su Groupon ..nell'attesa mi hanno offerto anche una birra…….la pizza è buona considerato il prezzo medio delle pizze consigliato…..."
"ui_bubble_rating bubble_40","Consegna a domicilio impeccabile","La pizza è squisita e leggera, io vi consiglio la Regina d’Italia perché è davvero buonissima!!! La consegna a domicilio è arrivata puntuale e con le pizze calde, impresa non facile dato che parliamo del sabato sera. La consiglio di cuore!!! "
"ui_bubble_rating bubble_40","MOLTO BUONA","Buona, i miei amici ed io sono due giorni di fila che la ordiniamo .... .Abitando a carpineta e è difficile trovare pizzerie disposte ad arrivare quassù , ma questa lo fa perciò mi sentivo di lasciare questa recensione ..."
"ui_bubble_rating bubble_40","Qualità buona, prezzo contenuto","Ho ordinato pizze con justeat e sono arrivate puntualmente, ancora calde. Qualità buona, prezzo contenuto"
"ui_bubble_rating bubble_50","assolutamente da provare","Pizza leggera saporita e con tanti gusti diversi, sicuramente da provare in tutti i tipi di impasto. Servizio a domicilio puntuale e la pizza arriva calda. bravissimi i gestori che ci mettono sempre il massimo impegno"
"ui_bubble_rating bubble_50","Pizza buonissima","Abbiamo ordinato la pizza tramite foodstation! È BUONISSIMA!!!!!! Finalmente pizze con dei gusti non comuni, cotta a dovere e leggera!! Finalmente!!!! "
"ui_bubble_rating bubble_50","la migliore pizzeria in zona Cesena","ho provato la maggior parte delle pizzerie in zona Cesena e posso dire che questa è la migliore sia per quanto riguarda la qualità che il prezzo. inoltre mantengono ottimi risultati durante il servizio di consegna a domicilio (gratuita). le pizze mi sono sempre arrivate fumanti e molto buone. soddisfatta."
"ui_bubble_rating bubble_50","Una delizia da provare","Sono rimasto molto soddisfatto delle pizze ricevute. Molto precisi nella consegna e donano alle pizze una preparazione a dir poco sublime. Consigliatissima per chi è a Cesena e dintorni. Bravissimi."
"ui_bubble_rating bubble_50","Ottima pizza!! ","Prendo sempre qui la pizza, è buonissima, leggera e gustosa! Ormai è la mia pizzeria di fiducia.. non mi delude mai!! "
"ui_bubble_rating bubble_50","PIZZA ECCEZIONALE ","Mercoledì sera 17 gennaio 2017 ho ordinato due pizze farcite maxi. Superficie, cotte bene e grandissime. Supercomplimenti!!!! CONSIGLIATISSIMO!!!!!! La migliore pizzeria di Cesena."
"ui_bubble_rating bubble_50","CENA IN TARDA SERATA","Sono stata in questa pizzeria martedì sera 22 novembre 2017. Ho ordinato una pizza maxi alle verdure. Buonissima,grande e molto farcita. Complimenti!!! Superconsigliata!!! "
"ui_bubble_rating bubble_20","Sempre in ritardo nella consegna ","Pizza nella media, gestione poco simpatica. In ritardo di 20 minuti come minimo nelle consegne a domicilio..."
"ui_bubble_rating bubble_50","Molto buona!!","Ho ordinato 12 pizze per una cena tra amici. Staff molto gentile e cordiale e pizze molto buone e ben farcite!!Complimenti "
"ui_bubble_rating bubble_50","molto bravi e gentili","ciao :-) ho preso due weekend le pizze a domicilio e questa pizzeria mi è piaciuta molto per diversi motivi.. l ' ottima qualità della pizza che a me piace davvero molto,ed è molto farcita! la gentilezza del ragazzo e la ragazza che consegnano le pizze,davvero molto carini :-) e il rapporto qualità-prezzo piu' che ottimo dato che costano poco e le cosegne (gratuite) le fanno fino Macerone da Cesena!!! per tutti questi motivi consiglio di provare e non rimarrete delusi :-)"
"ui_bubble_rating bubble_40","Pizza a domicilio","Ho ordinato due pizze da asporto per domenica sera. Le pizze sono arrivate puntualissime. La mia era davvero molto buona (una 4 formaggi); l'altra era buona, ma nulla di eccezionale o indimenticabile.Penso ci tornerò!"
"ui_bubble_rating bubble_10","La peggiore in assoluto","È vero che le pizze a domicilio perdono tutte un minimo di gusto rispetto a quando le si mangiano al ristorante,ma questa non ha scuse..... Era veramente cattiva!Impasto molliccio,avevo chiesto una caprese ma invece dei pomodorini erano state piazzate sopra delle fettine di un pomodoro normale ed insapori,con aggiunta di olive e del gran origano.Infine non si sentiva nemmeno la bufala!Che orribile pizza! Pessima veramente insapore al massimo per niente gustosaMi dispiace... Mai più ."
"ui_bubble_rating bubble_50","Sconti","Non potendomi consegnare la pizza a casa mi ha fatto il 10% di sconto e regalato una birra... pizza ottima "
