"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Pur stop","Ottime tutte le proposte dai tipi di pane alle colazioni e per finire con buoni aperitivi. LUCA il padrone di casa prepara con i suoi collaboratori delle battilarde squisite "
"ui_bubble_rating bubble_10","Ma che delusione!!!","Ho insistito parecchio per andarci visto che la posizione è scomoda se non sei del centro...e poi la delusione è stata totale! Cappuccino tiepido quasi freddo e poco schiumato (forse il latte schiumato era pronto da un bel po’), pasta dura e soprattutto tavolo sporco!!! Mi dispiace ma è un “mai più”!!!"
"ui_bubble_rating bubble_30","Pranzo veloce","Locale adatto per una rapida pausa pranzo, prezzi molto abbordabili, buona scelta di pizze, panini, dolci vari."
"ui_bubble_rating bubble_30","Dipende....","Posto molto carino e cibo buono. Qualche perplessità sul menù, ho chiesto un banalissimo toast (in lista) e non c'era, poi un carpaccio di pesce spada (in lista) e non c'era, però ho trovato altre cose, ma forse il menù andrebbe aggiornato/corretto. "
"ui_bubble_rating bubble_20","Aggiornamenti....","Eh sì, è proprio la parola giusta. Con rispetto a tutto il personale e al lavoro fatto. Ma ogni tanto bisognerebbe cambiare qualcosa. Il locale Benfatto carino accogliente, ma più che cambiare l'arredamento cambiare ogni tanto un dipendente. Esempio di uno di questi il piu grande e grosso, con rispetto! Ma continuerò sempre a frequentarlo e cercando di non farmi servire da lui. A presto..... Continuate così."
"ui_bubble_rating bubble_20","Freddo","Cappuccino appena sufficiente, pasta mediocre, con un impasto pesante e compatto.La cosa che mi ha lasciato molto perplessa però, è stato l'atteggiamento del personale.Molto freddo, zero sorrisi, zero accoglienza. La pasta mi è stata servita subito. Mi sono accomodata al tavolo in attesa del cappuccino e ci sono rimasta diversi minuti. Prima sono stati smaltiti gli ordini di quelli entrati dopo di me. Poi, con calma, ecco il mio turno. Ma non mi è stato portato nulla al tavolo, è stato solo preparato e poi la ragazza al banco ha urlato Cappuccino! Un servizio veramente scarso. Ci sono andata solo perché i bar dove vado di solito erano chiusi, ma di sicuro non ci torno."
"ui_bubble_rating bubble_40","ampia scelta di dolce e salto... caldo dal forno","Ideale per colazione, merenda o pranzo. Pane e dolci. Molto apprezzabile anche lo spazio esterno per consumare in famiglia e compagnia."
"ui_bubble_rating bubble_30","buono spuntino","è un locale a metà tra bar panificio e tavola calda: il servizio bar è buono: buono il caffè (ne fanno vari tipi) e buono il cappuccino. c'è molto da scegliere per gli snack.. tra dolce e salato: buonino, ma tutta roba decongelata. Comodi e piacevoli i tavolini fuori nella corte"
"ui_bubble_rating bubble_40","pane e focacce","Vengo spesso qui per il pane. il locale è collocato in una corte deliziosa, lontana dal traffico.Vengono servite ottime focacce, buoni dolci e torte con caffe ed altre bevande.Personale molto professionale e gentile.Un ottimo posto per una pausa di relax."
"ui_bubble_rating bubble_40","Quasi perfetto","Quasi perfetto: bellissimo e molto fornito il banco dei prodotti da forno; gentile e professionale il personale; giusti prezzi (caffè ancora ad 1 euro); andrebbe un po' rivisto lo spazio con tavolini all'esterno."
"ui_bubble_rating bubble_40","Nizza",""
