"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Buono","Ci sono stato una sera, per lavoro.Menù non caratteristico, ma pietanze curate.Servizio professionale.• Posizione: nei pressi di un Hotel• Parcheggio: abbondante e comodo• Tempi di attesa: nella norma• Staff: professionale• Pulizia: buona• Posti a sedere: comodi• Qualità del cibo: cibo curato e di buona qualità• Qualità Prezzo: buona"
"ui_bubble_rating bubble_40","Ottimo sia a pranzo che a cena","Sono stato diverse volte a pranzo, sempre con soddisfazione (si mangia a buffet a prezzi contenuti con piatti vari e di qualità). Si conferma ottimo anche a cena, con menù alla carta e proposte di menù primo e secondo a prezzi contenuti. Servizio veloce e piatti buoni. Ottimo il fritto di calamari con verdure in pastella."
"ui_bubble_rating bubble_40","Si distingue per tre cose","Qualità, quantità e prezzo, queste sono le qualità che contraddistinguono questo locale.Sono stato sia a pranzo che a cena ed in entrambi i casi sia il servizio che la qualità del cibo sono stati impeccabili. A cena ho scelto una combinazione da loro proposta nel menù, di cui non me ne pento, mentre a pranzo ho mangiato dal buffet dove è possibile trovare una marea di specialità da poter mangiare liberamente. L' atmosfera è molto accogliente con i quadri che rendono l'ambiente rilassante.Consigliatissimo!"
"ui_bubble_rating bubble_50","Ottimo qualità ad un prezzo vantaggioso.","Varie volte ho pranzato o cenato al binario 27 e sempre è stato un successo.Cena abbondante a base di pesce ,con amici,come le altre volte ho fatto bella figura,chi non lo conosceva lo ha apprezzato e ritornerà.Molta scelta anche nei vini,Massimo è un intenditore.Cena ottima con liquori vari offerti dalla casa."
"ui_bubble_rating bubble_40","Soluzione comoda","Ero alloggiato nell'hotel accanto ed alla fine della giornata ho scelto di cenare qui senza spostarmi verso il centro. Oltre ad essere comodo, devo dire che la cena è stata molto buona ed il prezzo più che ragionevole. Il giorno dopo, a pranzo, ho sperimentato il buffet, veramente variato e rifornito in continuazione, anche in questo caso tutto buono e rapporto qualità/prezzo molto conveniente."
"ui_bubble_rating bubble_30","Un buffet illimitato....................","Qui con il buffet si può mangiare, bisogna stare attenti ai rifornimenti al buffet per poter gustare le migliori portate, il bere illimitato è buono ma la qualità del vino normale. Attenti a come ordinate, con abbinato il primo € 13 primo e secondo € 17, solo secondo € 17. Fate bene la vostra ordinazione e buona degustazione, idoneo per una pausa pranzo veloce."
"ui_bubble_rating bubble_30","Episodio dubbio","Abbiamo mangiato bene e speso il giusto ma nel finale c'è stato un episodio dubbio che ha in parte compromesso il nostro giudizio: abbiamo notato che ai nostri vicini di tavolo avevano portato, assieme ai caffè, una bottiglia di limoncello e bicchierini. Quando sono arrivati i caffè, del limoncello nessuna traccia, allora ho chiesto al cameriere di portare anche a noi limoncello, e quello si presenta, non con la bottiglia, ma con due bicchieroni enormi di limoncello, che abbiamo faticato a finire, mettendoli in conto a 3.50 l'uno, per un totale di 7 euro. A parte il fatto che solitamente il limoncello è offerto, ma il problema non è stato l'averlo pagato, ma la discrepanza nel servizio, che ci ha prodotto una cattiva impressione."
"ui_bubble_rating bubble_40","Mangiato Accanto l'Hotel","Non ero molto convinta di mangiare in un ristorante accanto l'hotel ma eravamo cosi stanchi della fiera che abbiamo deciso di scendere a mangiare vicino. In tanto il ristorante non è dentro l'albergo ma è un locale completamente separato. Grandissimo, sembra una mensa, molto capiente e non molto bello ma ci siamo ricreduti. Abbiamo mangiato molto bene, il risotto era speciale, gustoso. Piatti ultra abbondanti. Servizio veloce anche se c'era gente e e personale gentile. Il giorno dopo volevamo tornarci di quanto ci è piaciuto ma era chiuso quindi domenica sera (Chiuso)."
"ui_bubble_rating bubble_50","Cena","Torniamo sempre in questo ristorante, si mangia veramente bene, accontenta i gusti di tutti e mette d'accordo il portafoglio di tutti.Dalla carne al pesce, e se vuoi spendere poco c'è il buffet.Propongono menù oppure puoi ordinare alla carta.Personale preparato e socievole"
"ui_bubble_rating bubble_40","Ottima scelta","Location moderna, spaziosa, molto comodo per i clienti dell'hotel Unaway Cesena che si trova difronte. Offre vasta gamma di primi e secondi di mare e di terra. C'è anche la possibilità di menù a prezzo fisso. Buona la carta dei vini. in media 25 - 30 euro a persona per primo secondo e vino."
"ui_bubble_rating bubble_50","il mare in bocca!!!","Di domenica a pranzo!! Ottimo ristorante per chi ha voglia di pesce fresco,personale cordiale,disponibile,portate abbondanti e prezzo veramente ottimo!!"
"ui_bubble_rating bubble_50","Sempre una sicurezza","Lo consiglio vivamente anche per gli abitanti della zona. Frequentato principalmente da ospiti dell' hotel adiacente. Prezzi ottimi, porzioni abbondanti e qualità medio alta. Da rivedere leggermente il servizio. Locale elegante con ampi tavoli ed in quantità. Parcheggio comodo. Consiglio molto. Bravi "
"ui_bubble_rating bubble_50","Abbondante e buono","Cena 4 persone. Locale grande ed elegante, ampi tavoli, servizio veloce e professionale. Oltre alla carta offre 2 menu standard, carne e pesce, a prezzi molto bassi, tutti e due con piatti molto buoni e ultra abbondanti con rapporto qualità/quantità/prezzo senza pari in zona. ( a casa con il doggy bag ho mangiato per altri 2 giorni ). Unica pecca , come tutti i locali molto frequentati , nei weekend è rumoroso."
"ui_bubble_rating bubble_40","Eccellente","Eccellente ristorante con specialità di pesce fresco . La sera offre un menù di terra e di pesce di buonissima qualità.abbiamo privato entrambi. A pranzo funziona una sorta di allyoucaneat.. buon rapporto qualità prezzo sia a pranzo che a cena."
"ui_bubble_rating bubble_50","Pesce eccellente","Vado circa 3 o 4 volte l anno in questo posto esclusivamente per il pesce mai rimasto deluso in nessun modo,vasta scelta di pietanze, porzioni abbondanti,qualità ottima è curats, sempre tutto perfetto, personale molto, ma molto gentile e socievole, sono un grande mangiatore, di solito li esagero con le porzioni, mai un problema. Pesce freschissimo sempre, prezzi anche inferiori alla mefia , nettamente superiore a moltissimi altri posti ben più rinomati della riviera... Continuate cosi ragazzi !!!"
"ui_bubble_rating bubble_40","Sempre all'altezza ","È ormai diverse volte che vengo a mangiare al binario. I primi di pesce come i secondi sono veramente buoni e abbondanti. Il menù di terra per quanto riguarda i primi è anche questo sempre buono, sui secondi di carni possono migliorare, ma non si può avere tutto dalla vita... "
"ui_bubble_rating bubble_50","Ottimo ristorante ","Accanto all'hotel dove soggiornavamo e abbiamo scoperto questo ottimo ristorante.Personale simpatico e professionale.Attenti ai bambini.Porzioni molto abbondanti.Piatti gustosi e presentati da mani esperte.Simpatiche le combinazioni dei menu anche creano un po'di rigidità.Comunque consigliatissimo"
"ui_bubble_rating bubble_40","Pesce non solo fresco ma di qualità","Rientrando dal nostro viaggio avevamo già prenotato su indicazione di un amico;buono la collocazione con l'autostrada,sala ristorante spaziosa ,pulita e altrettanto rinfrescata con il seguente menù ordinato: Antipasti di mare freddi :insalata di mare,gamberi alla Catalana,palombo al vapore con salse,salmone sbollito in salsa rosa; Antipasti di mare caldo:guazzetto di cozze e vongole; 1° Piatto Tagliolina allo scoglio; 2° Piatti misti di pesce alla griglia(spiedino di gamberi,spiedino di seppioline,gamberoni alla griglia spinato;Piccola frittura dell'Adriatico: sorbetto al limone; con acqua ,vino in bottiglia , digestivi e caffè, una vera eccellenza in tutto; accoglienza, piatti abbondanti, servizio cambio piatti veloce con massima pulizia , disponibilità e tanta cordialità; qualità prezzo ottimo, andate ve lo consiglio,"
"ui_bubble_rating bubble_40","Pesce davvero buono","Abbiamo cenato qui ad agosto, ambiente tranquillo e elegante. Abbiamo ordinato il menù degustazione pesce 20 euro che comprende due portate pesce a scelta, coperto, sorbetto, Cafe, acqua e vino. Davvero buon cibo e gustato!"
"ui_bubble_rating bubble_40","Una soluzione comoda","Abbiamo soggiornato nell'hotel accanto e volevamo una cena semplice senza spostamenti. Il locale è grande e un po' anonimo, ma abbiamo mangiato un piatto di buon pesce cucinato bene ad un prezzo onesto. "
"ui_bubble_rating bubble_40","Buono, sopra la media","Buona qualità e porzioni abbondanti. Menù vario.Locale moderno e servizio veloce.Il ristorante è accanto all'hotel unaway, ampio parcheggio."
"ui_bubble_rating bubble_50","Unico nel suo genere. ","Alcuni giorni fa sono stato a pranzo in questo locale più per curiosità che altro. Essendo la prima volta ho necessariamente osservato la predisposizione della sala,molto ordinata e pulita, dei banchi buffet e bevande self-service per capire da dove iniziare: poi tutto è stato chiaro e semplice. Puoi sederti a tavoli già apparecchiati ed attendere il cameriere per ordinare il primo/secondo oppure andare direttamente al buffet e servirti da solo: c’è solo l’imbarazzo della scelta di verdure varie, antipasti caldi e freddi terra/mare, vini alla spina o in bottiglia. Ciò che mi ha maggiormente gratificato è stato la qualità e la preparazione del cibo: tutto ottimamente confezionato. Quasi sempre si rapporta il posto al prezzo pensando che dove si spende una cifra esigua, si mangia poco e discretamente oppure si giudica il posto nella media/norma. Al binario 27, al costo di 13 €uro, a mio modesto parere, si mangia benissimo. Il personale costituito essenzialmente da giovani è stato cordiale ed educato, pronto e veloce. Annovero a questa location il massimo del punteggio perché li merita tutti. "
"ui_bubble_rating bubble_40","Pranzo piacevole","Tappa x pranzo durante un trasferimento con amici in moto, in zona industriale ma locale piacevole e ottimo rapporto qualità prezzo"
"ui_bubble_rating bubble_40","Tutto buono!","Sono stata a cena in questo ristorante per lavoro... e sinceramente ero un po’ scettica. In realtà ho trovato personale cordiale, cibo buono ( orata al forno ) e prezzi onesti! Grazie !! "
"ui_bubble_rating bubble_40","Tappa prima del mare","Abbiamo cenato in tre (due adulti e un bimbo di 4 anni) durante un soggiorno presso l’hotel Unaway di Cesena Nord. Abbiamo trovato molto pratico il fatto che fosse proprio attaccato all’hotel.Accoglienza cordiale e subito siamo stati serviti.Il menù presentava diverse scelte per amanti del pesce e altrettante per amanti della carne. Forse poche scelte per vegetariani.Piatti molto abbondanti ma comunque ben presentati. Sapori buoni e tutto ben condito.Personale giovane, molto cordiale e disponibile!Prezzi molto buoni (insalata di mare, insalatona, verdure grigliate, patatine fritte, spada alla griglia, tonno alla griglia, acqua, bottiglia di vino e caffè: €76.-Molto consigliato!"
"ui_bubble_rating bubble_40","Ottimo","Personale cordiale, cibo ottimo e in porzioni generose. Prezzi onesti. Bravi, una piacevole cena per noi che siamo di passaggio. "
"ui_bubble_rating bubble_30","Nella media","Considerato il prezzo competitivo di € 13.00 a cranio per il buffet a pranzo, che include 1 primo servito al tavolo, le varie proposte a buffet, vino, sorbetto e caffè.... va da se che non è lecito aspettarsi l'eccellenza. Il primo l'ho trovato comunque molto buono.Il buffet invece è concentrato in un banco di dimensioni modeste, pertanto la capienza è limitata. Quando c'è un numero elevato di persone in sala è inevitabile l'attesa.... e spesso e volentieri non si riesce nemmeno ad approfittare delle pietanze più invitanti prima che si esauriscano in pochi istanti. Qualità dei piatti a buffet per essere schietti equivalente ad una mensa.Personale efficiente ma non brillante, piuttosto distaccato e spento. Locale con scarsa illuminazione che mette un pò di tristezza, devo dire però molto pulito e questo l'ho apprezzato. Penso che basterebbe rivedere qualche dettaglio per migliorare sensibilmente l'impressione e la soddisfazione del cliente. Incoraggio la gestione a i tal senso. Comunque ci tornerei perché il giudizio globale è positivo."
"ui_bubble_rating bubble_10","Tutta apparenza! ","Dopo varie ricerche sono stata colpita dalle immagini di presentazione di questo ristorante, ieri sera ho prenotato per 2, ordiniamo un menù, le portate arrivano e iniziano i primi dubbi.. La seconda portata l'abbiamo scartata subito: un primo dal sapore acido, immangiabile! L'ultima portata era grigliata mista di pesce: era prodotto surgelato, e soprattutto pesce cotto in precedenza e poi scaldato! Magari era rimasto in ordini precedenti! Non capisco le recensioni positive.. Bah! Non consigliato! Definire pessimo è poco! "
"ui_bubble_rating bubble_40","Ottimo rapporto qualità prezzo.","Locale un po’ nascosto e poco visibile, internamente moderno, ben arredato e con gli spazzi giusto. Menù del giorno vario e completo, ma la nota migliore la esprime con il buffet! Veramente completo, vario e con prodotti dall’ottimo aspetto, di qualità, ben cotti e presentati! Per una pausa di lavoro veramente appagante dal buon rapporto qualità prezzo! Consigliatissimo!"
"ui_bubble_rating bubble_50","Ottimo ristorante","Menù di pesce davvero ottimo,personale e locale accogliente ,il menù buffet davvero esagerato e senza paragoni"
"ui_bubble_rating bubble_50","Sorpresa inaspettata","Ho alloggiato due notti al UNAWAY HOTEL di fronte al ristorante. Che ha gestione differente dall'albergo, ma la comodità di poter fatturare tutto insieme, in hotel.Arrivato in hotel intorno all'ora di cena, ho optato subito per il ristorante, senza dover impazzire a cercare locali magari distanti, che costringessero a prendere nuovamente l'auto. Mi sarei, quindi, accontentato della classica cena da ristorante d'albergo.Invece, l'inaspettata sorpresa. Menu ampio e combinazioni a prezzo prefissato (molto molto conveniente). Quantità molto abbondanti: io ho optato per tagliatelle al ragù ed un'ottima mega-cotoletta.Compresi nel prezzo: una bottiglia d'acqua, un calice di vino e un sorbetto a fine pasto.Ottimo! Bravi!"
"ui_bubble_rating bubble_50","Menù degustazione","Il Ristorante Al Binario 27 si trova vicino all’uscita dell’autostrada Cesena Nord.Il locale è grande ed accogliente, un arredo minimale che crea l’atmosfera adatta a trascorrere una piacevole serata.La cucina propone piatti legati al territorio con ricette tradizionali rivisitate in chiave moderna.A pranzo è possibile mangiare anche a buffet; mentre alla sera, oltre che alla carta, propongono dei menù degustazione (carne o pesce) comprensivi di calice di vino, acqua, sorbettino, caffè e servizio a 20 euro. Le porzioni sono abbondanti e ben presentate.Inutile dire che si mangia bene!Eccellente rapporto qualità/prezzo.Il servizio è professionale, curato e gentile."
"ui_bubble_rating bubble_50","Pranzo di pesce ","Domenica a pranzo abbiamo voluto provare il menù di pesce del Binario 27 posto di cui avevamo sentito parlare bene. In effetti confermo un ottimo rapporto qualità prezzo: con 33 euro a testa il menù offre antipasti freddi e caldi , bis di primi pasta fatta in casa secondo acqua vino e caffè. Tutto buono e abbondante. Torneremo senz'altro "
"ui_bubble_rating bubble_20","Nella norma","Ristorante discreto se mangi alla carta si mangia bene il menu che fanno deluso prodotti non freschi"
"ui_bubble_rating bubble_30","Comodo veloce economico","Ristorante comodo (a 2 passi dall'uscita della A14 di Cesena), veloce (formula self service a buffet, con un primo a scelta servito a tavola insieme al sorbetto e caffè), al prezzo fisso a PRANZO di € 13,00 bibite incluse."
"ui_bubble_rating bubble_30","ambiente accogliente, porzioni abbondanti, qualità turistica","ambiente accogliente, personale di sala cordiale e in uniforme, tavoli con tovagliato in stoffa ma tovaglioli di carta. Il menù di pesce è stato abbondante ma alcune tipologie di pesce si sono ripetute in quasi tutte le portate, dagli antipasti ai secondi. Antipasti con troppe salse sopra come coprente. Ottima la pasta fresca. Insomma, tanta scena ma nulla di così speciale. Prezzi normali, non certo eco. Consigliato per pranzi/cene di tipo turistico, nel suo insieme potrebbero migliorare."
"ui_bubble_rating bubble_40","Buono","Il menù di pesce è conveniente. Le pietanze sono buone e abbondanti. Le lumachine dell'antipasto caldo sono ottime e peccato che non ci siano sempre! Il vino in bottiglia e il sorbetto al limone non sono un granché."
"ui_bubble_rating bubble_50","Rapporto qualità prezzo ineguagliabile","Ristorante che propone piatti della tradizione e pietanze rivisitate, con alcuni menù a prezzo fisso molto accattivanti ed economici (20,00 euro). Quello che sorprende è la qualità dei prodotti, l'abbondanza delle porzioni, il servizio attento ed un prezzo eccezionale. Merita tutti i 5 pallini"
"ui_bubble_rating bubble_50","Costolette di carne fantastiche! ","Eravamo tre amici e siamo stati a pranzo a metà marzo. Devo dire che si è mangiato veramente bene!Ogni prodotto di qualità persino i salumi...Nota particolare va alle costolette di maiale che erano a dir poco fantastiche! Complimenti!!!"
"ui_bubble_rating bubble_40","Ottimo trattamento e porzioni abbondanti","Scelto per comodità perché adiacente all'albergo ad un primo impatto lascia perplessi per l'allestimento. Devo però dire che il trattamento è ottimo e le porzioni abbondanti oltre che di ottima qualità. Scelta una tagliata sale e rosmarino ben fatta, di buona qualità e sufficiente per due persone. Personale all'altezza della situazione e molto gentile. Non è un ristorante alla moda ma si è rivelato una buona soluzione ad un ottimo rapporto qualità prezzo."
"ui_bubble_rating bubble_40","Una piacevole scoperta!","Sono stata a pranzo di domenica in questo ristorante.Era quasi pieno!Ambiente ampio,un po'rumoroso e in qualche tavolo un po'buio.Ho trovato il personale molto gentile e premuroso,abbiamo ordinato 2 menú degustazione di pesce da 33 euro tutto compreso.Devo ammettere che, a parte gli antipasti caldi che erano tiepidi,era tutto molto buono e abbondante!Ritorneremo sicuramente!"
"ui_bubble_rating bubble_30","Nella norma.","Sono sempre stata il sabato a pranzo col buffet.Il cibo è buono, il buffet è molto vario.I gamberoni sono buonissimi almeno per quei tre che sono riuscita a mangiare una sola volta dato che ce gente che appena arrivano si avventa e li finisce lasciando quelli dopo senza..Il prezzo per quello che si mangia direi che è molto buono.Lo consiglio."
"ui_bubble_rating bubble_30","Spesa contenuta, ma niente di memorabile","Sono stato una domenica a pranzo con amici per festeggiare il compleanno di uno di noi.Come suggerito anche dal titolo in sé non si mangia male, le pietanze sono anche abbastanza ricche e non si spende tanto....Sarà anche perché non mi piacciono i posti grandi e anonimi (o poco caratteristici), ma non credo che ci tornerei....Molto cordiali, disponibili e veloci i ragazzi del servizio."
"ui_bubble_rating bubble_40","Pranzo","Ottimo locale per pranzare con casta scelta di primi e secondi di carne e pesce a buffet. Prezzo in media in Romagna "
"ui_bubble_rating bubble_40","Compleanno quasi a sorpresa ","Subito fuori dall’autostrada di Cesena con un Menù di pesce pazzesco e prezzi ottimi.Nota di merito: disponibilità e cortesia anche a fine turno!!Bisogna tornarci"
"ui_bubble_rating bubble_40","Ottima soluzione","Questo ristorante è adiacente e credo collegato ad un hotel a Cesena di grande passaggio. Ho cenato in questo locale da solo ieri sera dopo una dura giornata di lavoro, e sono rimasto piacevolmente stupito dalla qualità dei piatti e dalle combinazioni che ti consentono di fare una cena più che buona ad un prezzo molto onesto per chi lavora. Forse non è il posto dove porterei la mia ragazza per una cenetta romantica, ma si mangia bene, il cibo è espresso, e la qualità del pesce mi e parsa soddisfacente. Il personale era cortese."
"ui_bubble_rating bubble_40","Pranzo informale","Ambiente informale,pranzo a buffet e primi espressi. All you can eat con piatti di pesce e carne, buon rapporto qualità prezzo."
"ui_bubble_rating bubble_40","ottimo ristorante di pesce","molto vicino al mio hotel questo ristorante è molto buono per i piatti di pesceha un ottimo antipasto e dei primi di pesce molto gustosi"
"ui_bubble_rating bubble_10","Incompetenza","Il locale meritebbe pure ma seppur i prezzi siano molto bassi sono comunque esagerati al cibo , al servizio e alla gestione nel suo insieme ."
"ui_bubble_rating bubble_50","Sempre ottimo","Mi ritrovo periodicamente per lavoro e devo dire che è un ottimo locale.. tra L’altro con portate abbondanti e soddisfacenti..e pesce ottimo"
"ui_bubble_rating bubble_40","Piatti abbondanti","Piatti abbondanti e di qualità superiore alla media, comodo per chi soggiorna nel hotel vicino, peccato i camerieri non troppo cortesi."
"ui_bubble_rating bubble_10","Pessimo","Servizio molto scadente, cibo non al livello del locale e per lo più di venerdi sera alle 21:30 si fanno mancare il pane.Brutta esperienza "
"ui_bubble_rating bubble_40","Cena ","Buon ristorante, buon menu di pesce e carne, ottimo per cene famiglie, ricevimenti e per lavoroServizio buono e molto cortesi."
"ui_bubble_rating bubble_30","Buon pesce a menù fisso","Cena con menù a prezzo fisso di pesce, tutto buono, porzioni molto abbondanti. Ristorante molto grande ma poco illuminato. Sono andata con famiglia ma i miei erano gli unici bambini, prevalenza di persone in cena di lavoro."
"ui_bubble_rating bubble_40","Pesce fresco ... ottimo prezzo","Ottimo pesce , gamberoni freschi ... buono anche il primo piatto ...siamo proprio stati bene.Piatti semplici ma buoni... esperienza da rifare"
"ui_bubble_rating bubble_30","BUONO IL PREZZO","Nota positiva il prezzo.Menu di pranzo a 13 euro , un primo a scelta fra quelli proposti + piccolo buffet di salumi verdure e pesce (gamberoni al sale , alici sott'olio,insalatina di seppia) e carne(salsiccie e costine) acqua e caffe.A questo prezzo cosa vuoi di più?Tipico pasto da buona mensa."
"ui_bubble_rating bubble_30","Ottimo e abbondante","Ristorante semplice ma molto pulito - staff molto efficiente ; piatti molto vari di pesce freschissimo !! Super abbondanti le porzioni dagli antipasti ai primi. Consigliato"
"ui_bubble_rating bubble_40","A due passi dall'autostrada","E' il ristorante di Unaway Hotel, uscita A14 Cesena Nord.Molto frequentato a pranzo in quanto ci sono molte aziende nelle vicinanze, e il locale offre uno strepitoso menù a prezzo fisso da 12 euro, che comprende un primo alla carta e il resto a buffet, anche di pesce.La qualità è buona, il buffet vario e abbondante, nel prezzo fisso inclusi acqua, sorbetto e caffè.Ottimo per una pausa di lavoro."
"ui_bubble_rating bubble_30","Niente di particolare. ..","Siamo stati in questo ristorante una sera giusto x la comodità adiacente all'albergo. Mi spiace ma. ...senza infamia e senza lode! A Cesena e dintorni c'è di meglio! !!"
"ui_bubble_rating bubble_40","comodo e di buona qualità","abbiamo alloggiato per lavoro due notti all'Unaway e visto che intorno esiste ben poco abbiamo cenato sempre a questo ristorante.Il cibo dei menù da due portate è sempre stato ottimo e cucinato sul momento, sia le pietanze di carne che quelle di pesce sono risultate fresche e ben elaborate, il servizio è veloce in rapporto alla notevole frequentazione, corretto e moderatamente socievole.Il vero punto di forza, in rapporto alla notevole qualità del cibo è il prezzo.Un primo espresso, un secondo con guarnitura, un calice di vino, acqua, un mini sorbetto ed il caffè, € 20,00.Ci torneremo.P.S. in realtà ci eravamo già stati un anno fa e non avevo scritto niente perché eravamo caduti in un orribile buffet che a quanto pare per la cena è stato abolito.Ottima operazione."
