"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Che bontà ","Abbiamo più volte pranzato in questo tipico locale! L’ambiente è molto caldo e caratteristico. Menù ampio e sfizioso, carne buonissima e porzioni abbondanti. Servizio veloce e attento. Ottimo rapporto qualità prezzo. Assolutamente da provare sia a pranzo e sono sicuro anche a cena."
"ui_bubble_rating bubble_10","Pessimo","Location molto bella, ma cibo pessimo: tagliatelle al ragù, sfoglia troppo, troppo spessa con un ragù da mensa scolastica... Quelle ai funghi, un misto di funghi insapore tipo barattolo del supermercato.. Queste non sono le tagliatelle che si mangiano in Romagna! Secondo, coscie di pollo alla griglia sufficienti, le patate al forno invece sapevano solo di strutto! Il vino rosso era gelato e di scarsa qualità... Mai più! "
"ui_bubble_rating bubble_40","ACCOGLIENTE","Ci sono capitato per caso in un giorno di fiera, ambiente molto confortevole e ben curato, cucina tipica di ottima qualità e al giusto prezzo, personale cordiale. Ci tornerò quanto prima"
"ui_bubble_rating bubble_30","Senza Infamia nè lode.","Era qualche anno che mancavo. Oggi, a pranzo con mia moglie: menù fisso al prezzo di 26 euro a persona: antipasto con crostini,affettati, verdurine, squacquerone, cappelletti al ragù, strozzapreti panna e salsiccia, grigliata mista e arrosto con contorni, dolce acqua vino limoncello e caffè. Porzioni normali ad eccezione della grigliata mista scarsa sia per qualità che per quantità (1 salsiccia, 1 costoletta di maiale e due fette di pancetta da dividersi in 2); servizio veloce e cortese e prezzo di 26 euro a testa."
"ui_bubble_rating bubble_30","Sufficiente ","Cibo buono servizio pessimo Peccato troppa gente troppo poca attenzione per i clienti ....... non so se ci ritornerò "
"ui_bubble_rating bubble_40","OTTIMA CARNE","Bellissima location e pochi chilometri dall’uscita dell’autostrada. Ci siamo fermati per un pranzo di lavoro. Carne cotta alla brace davvero ottima. Locale accogliente e servizio buono. Da tornare con più calma sicuramente!"
"ui_bubble_rating bubble_40","Ciao ottimo e locale bello","Conoscevo da tempo questo ristorante.. E riscoperto di nuovo in questi ultimi due mesi.. A mio dire le tagliatelle al ragù migliori della zona...ma tutti i primi piatti ottimi come i secondi di carne.. A pranzo i menu sono eccezionali.. Ed abbondanti a prezzo veramente ottimi.. Personale gentile.. Da provare per chi è in zona.."
"ui_bubble_rating bubble_30","NIENTE DI SPECIALE","Erano anni che mancavo ma conservavo dei ricordi non piacevoli. Cena aziendale con menù già concordato : crostini e affettati, tagliatelle al ragu, ravioli con panna e grigliata mista con contorni. Tutto molto normale ma meglio di quello che avevo mangiato anni fa con una menzione speciale per i ravioli che, se non fossero stati annegati nella panna, sarebbero stati anche molto buoni. Porzioni abbondanti, servizio veloce e cortese e prezzo di 25 euro a testa. Giudizio finale non negativo ma in giro c'è di molto meglio."
"ui_bubble_rating bubble_50","Spettacolo ","Inizio questa recensione dalla location che si trova in un bellissimo contesto e dove gli arredamenti sono perfettamente integrati e consoni al tipo di locale..... Accoglienza tipica della romagna con allegria e simpatia oltre alla professionalità delle ragazze e del proprietario, il menu propone un ampia scelta di antipasti e primi piatti.... Consiglio gli strozzapreti salsiccia e funghiE poi la carne alla griglia, le costine sono a dir poco divine.... Ma anche tutto il resto e top compreso il dolce al mascarponeQualità prezzo ottimo!!!!!Assolutamente da tornarci"
"ui_bubble_rating bubble_50","...con Bikers post Fiera!!!.","...tradizionale la nostra presenza annuale in questo mitigo Ristorante, sempre con ampio Parcheggio in una Atmosfera di Campagna, con Garden attrezzato al post pasto, con le varie Sale da Pranzo, con ottimo servizio, con un giusto & buonissimo Menu' ad un Costo contenuto, cosa chiedere di piu'???… merita & meritera' sempre la nostra presenza annuale, provare per credere!!!."
"ui_bubble_rating bubble_50","Una garanzia per la carne","Ci sono tornato in questo ristorante dopo più di 5 anni dopo aver fatto un matrimonio e devo dire che ho mangiato molto bene, soprattutto la carne buonissima. Prezzi onesti. Lo consiglio. "
