"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Elegante.","Ristorante elegante, personale gentile è disponibile.Piatti buoni soprattutto la carne (noi abbiamo preso l’anello arrosto).Consigliato."
"ui_bubble_rating bubble_50","Una garanzia","Io e la mia famiglia non abbiamo dubbi, tappa fissa ogni volta che mi vengono a trovare.Buono, personale cortese, ampia scelta che varia in base alla stagionalità dei prodotti.Prezzi giusti per quello che si mangiaTornerò sicuramente altre volteil Canolo è da prendere almeno una volta, spettacolare"
"ui_bubble_rating bubble_20","Prezzi non proprio popolari.","A Cena con fratelli e sorelle il 20/12/2018.Un bis di primi per ognuno di noi composto da  Cappellacci ai porcini e mandorle  e classiche tagliatelle al ragù. Qualità discreta , porzioni alquanto ridotte e prezzi salati. Secondo con grigliata di Mora Romagnola senza lode nè infamia, ma per questo tipo di carne si trova di meglio in altri locali. CONTORNI NELLA NORMA SE NON FOSSE CHE UNA PORZIONE DI PATATE AL FORNO COSTA € 4.50. Carta dei vini interessante ma anche quì i prezzi praticati sono leggermente alti. ( Rebola dei colli riminesi a 18 € mi sembra eccessivo, confrontato ad esempio a bianchi friulani di maggior spessore eleganza e complessità e che in alcuni supermercati trovo a meno di 8 € ).Servizio ai tavoli all'altezza del locale , considerando che comunque era serata non troppo affollata di clienti. Il conto finale a mio avviso , è risultato eccessivo rispetto alla qualità e quantità servite. Un altro locale della zona che depenno dalla mia lista."
"ui_bubble_rating bubble_40","Di passaggio ","Siamo capitati per caso in questo ristorante , vicino ad una uscita della E45, essendo di passaggio a Cesena.Ci è piaciuto molto. Buonissimi i cappellacci e i cappelletti in brodo, ottimo il galletto alla cacciatora. Personale cordiale e molto carina la veranda dove abbiamo cenato. Meno bello ci è sembrato il salone interno. Prezzi medi.Ci torneremo. "
"ui_bubble_rating bubble_50","Eccellente ","Locale affermato da molti anni e che, seppur possibile, riesce sempre a migliorarsi e a stupire positivamente. Il menù è molto interessante e variabile con le stagioni, raccoglie proposte di terra e qualche buon suggerimento di mare. Certa dei vini adeguata. L'organizzazione è impeccabile e coordinata tra cucina e sale. Servizio professionale, cordiale e attento. Dalla cucina arrivano piatti di ottima fattura e bella presentazione, oltreche di sostanza. Prezzi molto interessanti con eccellente rapporto qualità /prezzo. Un ottimo ambasciatore della cucina romagnola!"
"ui_bubble_rating bubble_30","SEMPLICE ... SEMPLICE","Sono stato in questo ristorante in occasione di un compleanno, cercavamo cibo semplice, di stagione ( dato il periodo ) ma di Qualità, che fosse il più possibile TRADIZIONALE ... ci siamo fatti portare il classico tagliere di salumi e piadina, per tenere spazio x assaporare i classici primi Romagnoli ... Tagliatelle e cappelletti al Ragù.... tutto molto buono ma soprattutto SEMPLICE .. Da appassionato di cucina Romagnola, mi permetto di farvi notare che il Ragù deve essere Ragù come le nonne ci hanno insegnato, non fate il Ragù che vada bene a tutti !!!!! Consiglio questo ristorante x pranzi o cene di lavoro."
"ui_bubble_rating bubble_30","Sufficiente ma prezzi alti per un menu romagnolo","Sono qui per provare il classico canolo della cerina... Mi accorgo che hanno da questo mese aumentato il prezzo a mano nel menu da 9 a 10... Solo quello è più che giusto per una pausa pranzo.... Aggiungete 2 euro di acqua 1 di coperto perché vi fanno sedere nella parte chiamata Da loro osteria quindi con tovaglia di carta... 10 il canolo... 1.5 il caffè afferro il digestivo... Totale 14.5 per un canolo servizio sufficiente ah c'è un buffet di verdure crude che ho scoperto da solo essere di libera scelta.. Lho provato ok ma per me va bene 1 volta per anno trovo tanti locali romagnoli che per 12 13 euro fanno menù pausa pranzo completo di primo secondo acqua vino caffè "
"ui_bubble_rating bubble_40","pranzo di lavoro","Capito spesso e volentieri per pranzi/cene di lavoro.Sempre all'altezza. Una buona cucina con tradizione romagnola sia i primi che i secondi piatti.Sempre ottimo il Canolo e le paste in brodo (passatelli e cappelletti) e superconsigliato un mix di coniglio/faraona al forno in tegame di terracotta con patate arrosto.I miei ospiti hanno apprezzato anche dei cappellacci alla fonduta e mandorle.Ottimo anche il rapporto prezzo/qualitàAlla prossima."
"ui_bubble_rating bubble_10","Romagnolo da rivedere","Trattoria sulla strada con troppe pretese! Cucinare romagnolo rivisitato non è da tutti. Le lasagne non erano cotte bene ma sopratutto la pasta era compera e il ragù terribile. Servizio assurdo. Non credo di tornare peccato. "
