"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Mare e monti....","Situato a pochi chilometri da Cesena ho trovato un ambiente accogliente e pulito. Molto buona la cucina sia per chi ama menù a base di carne che di pesce....."
"ui_bubble_rating bubble_20","Delusione ","La nuova gestione lascia a desiderare il posto non è mai stato bello, ma ha perso il suo tocco romagnolo. "
"ui_bubble_rating bubble_40","Meglio tardi che mai..","Purtroppo mai andato con la vecchia gestione, ed ora con la nuova ci sono stato due volte in pochi giorni. Locale curato pulito con personale cortese e disponibile, venerdi prima della festa del minatore anche se a tarda sera ho cenato con un buon piatto unico composto da assaggio di un primo, stinco e patate,e qualche giorno fà ho pranzato con degli ottimi strzzapreti ai frutti di mare e un buon vino della casa sempre all'aperto grazie alla gradevole temperatura di questo strano ottobre.Prodotti di buona qualità molto gustosi, servizio rapido e preciso caffè compreso e digestivo offerto il tutto ad un prezzo onesto. ci tornerò e lo consiglio."
"ui_bubble_rating bubble_20","Siamo a Borello?","Dopo averne sentito parlare per anni siamo capitati in questo ristorante.Locale accogliente,pulito e signora molto gentile.I crostini ai porcini molto buoni,anche se avrei preferito un pane piú rustico!La grigliata di carne:1salsiccia,1costa,1pancetta,1/2fettina di manzo e 1 di vitello €12 ( pollo e castrato mancavano)non cotta sulla brace,ma sulla piastra come di usa adesso!La porzione di patate al forno,buona,ma 6 patate € 4 mi sembra un po'troppo!Nel servizio dimenticato il pane,portato su richiesta dopo un bel po'.Secondo me a Borello,come in tutte le ns.bellissime zone bisogna mantenere le tradizioni,con qualche innovazione,ma non su determinate cose tipo:pane,cottura carne,porzioni generose e piadina!!"
"ui_bubble_rating bubble_40","Cena di pesce","Ci siamo recati al ristorante da Lucio nuova gestione per provare una cena di pesce a pochi metri da casa, L Accoglienza è stata ottima, il locale intimo e pulito.la signora è stata gentilissima e i due antipasti consigliati erano buoni, poi abbiamo preso due risotti , uno rosso e uno bianco buoni entrambi . Rapporto qualità prezzo buono."
"ui_bubble_rating bubble_50","Come sentirsi in paradiso!!!","Oggi ci siamo fermati per pranzare in questo ristorante mentre eravamo di passaggio, e siamo rimasti veramente colpiti dalla pulizia e dall'ordine in sala e da una meravigliosa accoglienza del personale di sala che in un istante ci ha messo a nostro agio, assicurandosi di offrirci un aperitivo di ben venuto. Le portate sono state preparate e curate nei dettagli con una qualità eccellente, sicuramente è un ristorante davvero consigliato anche per il rapporto qualità prezzo.Ci ritorneremo sicuramente anche se abitiamo abbastanza lontano."
"ui_bubble_rating bubble_20","Peccato, davvero!","Siamo tornati in questo ristorante dopo alcuni anni ed abbiamo trovato una nuova gestione. La signora che serve ai tavoli è molto gentile e attenta.Abbiamo provato le tagliatelle ai funghi porcini che erano molto buone, sode e molto ben condite.Abbiamo poi ordinato io coniglio arrosto e mio marito il piccione arrosto che conoscevamo essere ottimi nella precedente gestione. Purtroppo la delusione è stata grande: il coniglio non cucinato fresco di giornata aveva un sapere stantio e più che arrosto sembrava lessato in un sugo pieno di erbe aromatiche che coprivano ogni sapore, davvero poco buono.Il piccione anch’esso non cotto bene, non di giornata con un sapore che nulla ha a che vedere con il piccione arrosto.La piadina non può definirsi certo romagnola essendo di uno strato sottilissimo, con sapore retrogusto di burro e troppo “biscottosa”.Infine il dolce, cestino di mascarpone con crema al mascarpone e frutti di bosco, anch’esso di bassa qualità sia per quanto riguarda il cestino che i frutti di bosco.Al momento di pagare il conto, la signora gentilissima, senza che nulla avessimo chiesto, non ci ha fatto pagare il coniglio che praticamente avevo lasciato tutto lì, gesto apprezzabilissimo, non da molti!"
"ui_bubble_rating bubble_50","Relax ","Tutto molto buono. Dall'antipasto al dolce. Consigliato... Cambio gestione però all'altezza della. Vecchia gestione "
"ui_bubble_rating bubble_50","Tradizione e raffinata innovazione","Ho trascorso in questo ristorante il giorno di Pasqua con la famiglia. Siamo tutti rimasti piacevolmente stupiti dalla maestria dei cuochi che hanno saputo coniugare alla perfezione tradizione romagnola e raffinata innovazione. Piatti tutti squisiti, ma il fagottino con crema di funghi porcini veramente superlativo"
"ui_bubble_rating bubble_40","Cena con Famiglia","Pesce freschissimo, servizio accurato, personale gentile, siamo stati molto bene, ritorneremo di sicuro per provare il menu di carne!"
"ui_bubble_rating bubble_40","Pesce buonissimo e freschissimo","Lo scorso venerdì sera con un grunge di 12 persone abbiamo mangiato eccellenti piatti a base di pesce. Il punto di forza la freschezza."
"ui_bubble_rating bubble_50","Pesce da 10 e lode!","A Borello, nell'entroterra cesenate, abbiamo trascorso una piacevolissima serata in compagnia mangiando OTTIMO PESCE (la serata pesce è il venerdì - gli altri giorni su prenotazione). Freschissimo e cucinato alla perfezione. Buonissimi anche i primi fatti in casa e i secondi di carne. Personale di sala molto cordiale e ambiente accogliente. Lo consigliamo a tutti!"
"ui_bubble_rating bubble_40","W la tradizione","Ottimi primi,ottimi arrosti e contorni sfiziosi!Ottimo il servizio.Ambiente familiare : siamo stati proprio bene!"
"ui_bubble_rating bubble_40","Trattoria di qualità, con alcune pecche abbastanza importanti. ","Trattoria di assoluta qualità sita nella piazza centrale del paese che offre cucina del territorio con predilizione per i funghi.Assaggiato carpaccio di ovuli e di porcini davvero strepitosi, tagliatelle con finferli e cappellacci ai porcini mondiali, tagliata ai porcini molto buona, galletto molto delicato, piccione abb buono e castrato che come sempre viene spacciato come tale peccato che sia il solito pecorone. Le pecche sono state prevalentemente due: il servizio che portava le portate a singhiozzo (il tavolo va sempre servito integralmente) e i porcini alla griglia che sapevano troppo di grigliata (magari pulire la griglia?!?!?).Ad ogni modo locale che mi sento di consigliare, qualità delle materie prime eccelsa. Spesa sulle 35€ a testa. "
"ui_bubble_rating bubble_30","Come prendere un palo al novantesimo","Il locale è semplice, Ma questo non è un problema, la cucina è più che buona i premi strozzapreti con i funghi e tagliatelle poi secondi l'agnello fatte in modo eccellente E con materie prime ottime, cantina di vini sicuramente non gigante ma di buona qualità. Meriterebbe 4 palline e mezzo però c'è una cosa su cui io non transigo il servizio. Niente da dire sul titolare ospedale e Cortese Ma la signorina bionda lascia qualche perplessità sia sull'abbigliamento non adeguato al ristorante ( sembrava un ospite qualunque), Ma ancor peggio il fatto di vederla masticare un chewing gum in continuazione per circa un'ora e mezza Veramente fastidioso. Inoltre non capisco cosa serve il menù all'esterno quando in realtà è tutto a voce. Da tornarci per la qualità del cibo."
"ui_bubble_rating bubble_50","Funghi spettacolo!","Per gli amanti dei funghi penso sia veramente difficile trovare di meglio in zona,carpaccio di porcini e ovuli spettacolari,porcini alla griglia fantastici,i primi da sono buonissimi cappellacci su tutti,tagliata tenerissima,prezzo ottimo!Straconsigliato!!"
"ui_bubble_rating bubble_50","Ristorante da Lucio cucina romagnola con leggere sfumature ....asiatiche","Sempre al Top da Lucio. Ottimo Chef l' ho visto ai fornelli anche a Pechino ed Hong Kong. Cucina genuina abbinata a ottimi Vini."
"ui_bubble_rating bubble_40","Una domenica tranquilla","Avevo sentito parlare di questo locale e sono voluto venire a provare di persona.Locale accogliente, personale discreto. Avevo prenotato per tempo a pranzo,due persone.Fame poca, abbiamo ordinato quei piatti che sono la specialità del locale:due tagliatelle ai piselli e per assaggiare,una porzione di gallettino e una porzione di agnello al forno,una porzione di contorni,due caffè,un digestivo.Il tutto buono,in particolare il primo,ma del resto in queste zone, sono una normalità.Alla fine il conto:e qui sono rimasto molto contrariato:il prezzo è stato conteggiato sul foglio della comanda(quindi niente ricevuta e senza possibilità di conoscere il valore delle portate).Il totale pagato ABBASTANZA ALTO,se vogliamo considerare ciò che abbiamo consumato.Considerazioni finali: cibo buono,ma prezzo non controllabile e a mio giudizio troppo caro in rapporto a quanto offerto."
"ui_bubble_rating bubble_50","Piacevole scoperta","Sono capitata in questo locale per caso e devo dire che sono rimasta molto soddisfatta...come antipasto ho preso ovuli freschi con grana, a seguire cappellacci ai porcini e infine una bistecca alla Fiorentina di ottima qualità. Tornerò sicuramente! "
